t,eps_xx,eps_xy,eps_yy,sig_xx,sig_xy,sig_yy
0,0.0,0.0,0.0,0.0,0.0,0.0
1,6.060019987481221e-06,-8.821034497845e-10,6.054557436770884e-06,356861.9190932366,3355.7540489074754,357145.4926232809
2,1.2120039974962443e-05,-1.7642068997478767e-09,1.2109114873541772e-05,713723.838187153,6711.508098216229,714290.9852467391
3,1.818005996244368e-05,-2.6463103478542722e-09,1.816367231031261e-05,1070585.7572795963,10067.262147099693,1071436.4778705994
4,2.4240079949924863e-05,-3.528413796001781e-09,2.4218229747083528e-05,1427447.676372853,13423.01619613258,1428581.970494942
5,3.0300099937406093e-05,-4.410517253617034e-09,3.0272787183854448e-05,1784309.5954687966,16778.770245336244,1785727.46311468
6,3.6360119924887326e-05,-5.2926206960688734e-09,3.63273446206252e-05,2141171.514558444,20134.524294135445,2142872.955742576
7,4.242013991236854e-05,-6.1747241446549694e-09,4.2381902057396125e-05,2498033.433656268,23490.27834501106,2500018.4483658257
8,4.8480148233052565e-05,-4.1842119252195715e-09,4.843775855912836e-05,2854852.4301256253,25533.027629705084,2856929.012296744
9,5.454460146727398e-05,-2.3403446148388732e-08,5.449242717451033e-05,3210625.096201922,28509.331244262565,3213362.768844832
10,6.059603055696084e-05,-2.738649575852084e-07,6.054469577772481e-05,3539235.646832012,23967.75169324264,3545955.118415229
11,6.664779980507193e-05,-3.234414085609733e-09,6.660509918076822e-05,3718944.670444987,34250.185218493374,3714323.201573721
12,7.270697076015827e-05,1.5998063793219474e-07,7.267102297707936e-05,3907767.451520924,35957.616657815845,3862914.186722344
13,7.875735748782177e-05,8.185159136461409e-07,7.872985396168851e-05,4039818.8251459706,43129.00478455552,4004784.274107314
14,8.481438937487764e-05,3.437903244040667e-07,8.473308373889661e-05,4177122.5691706752,46047.50333010669,4121290.1916736825
15,9.088036529949069e-05,7.760640364355408e-07,9.078657721951868e-05,4202962.766001037,81584.78876535577,4178877.270926109
16,9.691889935664506e-05,6.957496428282854e-07,9.68441362992122e-05,4255821.145750626,51581.35108027235,4258810.777181398
17,0.000102924882883,2.130940939503145e-06,0.0001029151658498,4255572.587590012,72956.64731142836,4336650.763220166
18,0.0001089990387367,-3.20872657531491e-06,0.0001090361923334,4050118.679336962,6218.741625868552,4046161.009790501
19,0.0001150539780469,-3.844073648099325e-06,0.0001151013324202,4116610.8981053457,5864.793817029142,4160304.113753621
20,0.0001211007066669,-8.920160411637172e-06,0.0001211929831927,4056867.8736513406,-3470.963715062787,3949670.080905768
21,0.0001266864118111,1.3654401420090715e-06,0.0001272066277286,3027943.011529284,227167.1929316689,3696754.906357027
22,0.0001326917514959,6.526912191562125e-07,0.0001332600609107,2592033.803198312,272932.2179751561,3685737.183209899
23,0.0001386735255645,8.495453016096613e-07,0.0001393275011562,2294346.984357733,263344.5965071428,3621766.7411195138
24,0.0001445160272017,-4.920503151676492e-06,0.0001453854578755,2210695.420113961,217585.6166733112,3667742.6409399062
25,0.0001504372091163,-2.307916892115394e-06,0.0001513866395978,1760977.0469049772,241545.34691040267,3687897.318379383
26,0.0001563717654747,5.370650618063967e-06,0.0001573099793959,1096197.4164260193,60036.977852242606,3524291.618274122
27,0.0001624075505583,3.849402417116446e-06,0.0001633495480487,1048337.495503649,34425.66990094083,3158173.451275005
28,0.000168405187566,4.971245424758977e-06,0.0001693851875425,982392.57157755,21167.31508436076,3241135.036427095
29,0.0001744287428189,-1.7346451455399882e-06,0.0001756409980779,1007253.6229673272,117357.51407270614,2323332.4478793903
30,0.0001804889499205,6.090625059659669e-06,0.0001819574079413,999484.5537586408,227038.89825478397,1271302.1966118282
31,0.0001865044496974,6.569236325074856e-06,0.0001880182169568,1019944.8594714772,231148.708983906,1308923.751458485
32,0.0001925210629299,7.214022948954921e-06,0.0001940826057727,1023191.026823816,230278.76732452525,1343928.0515691906
33,0.0001985355767468,8.411909648514778e-06,0.0002001349685973,1012605.091010518,223456.51978875397,1367039.6263247975
34,0.000204552676389,8.698476231888445e-06,0.0002062218158584,1013800.2371549548,238616.9229383791,1342688.4098727214
35,0.0002106225350637,1.7303206142778425e-05,0.0002123282020097,1012707.8901630368,239854.23918086407,1122591.7719703703
36,0.0002166408705395,1.7895173605517854e-05,0.0002183949425017,1041505.7664108756,246527.7261964105,1153015.0947091137
37,0.00022265888634,1.841296334419348e-05,0.0002244616244395,1070220.5231308334,253372.5790541404,1183521.866256477
38,0.0002286226537448,1.3609888573677296e-05,0.0002305594448633,920237.182923462,236230.3192533533,1068571.3060185804
39,0.0002347551298512,3.340143855066673e-05,0.0002367049743441,867316.2572110096,137550.49922483534,539485.1377553089
40,0.0002407685625214,3.465307012553489e-05,0.000242824139195,894383.4563939195,160612.87379395065,445620.6443553207
41,0.000246787259943,3.5432192502477834e-05,0.0002488936580158,912287.702586438,164522.64516372216,456485.9447351289
42,0.000252806461405,3.629639231928404e-05,0.0002549642350406,934538.6221234722,168535.39259538177,467619.748263374
43,0.000258825662867,3.7160592136677e-05,0.0002610348120654,956789.5416641298,172548.1400304438,478753.551773324
44,0.0002647894711232,3.736044787619354e-05,0.0002670575119153,567211.3291916195,149058.49641714335,480355.5972626943
45,0.0002707887422548,4.234172017159011e-05,0.0002731819515387,459811.3116342489,117291.07813387291,479258.6382559795
46,0.0002768062698604,4.328264728654527e-05,0.0002792526615729,470029.3408044684,119897.54653780606,489908.83020662685
47,0.0002828237974661,4.42235744016204e-05,0.0002853233716071,480247.3699463771,122504.0149545703,500559.02218141867
48,0.0002888183254496,3.955158838036429e-05,0.0002913970692973,496090.3399412011,120865.77057430838,407508.80959971726
49,0.0002948392768165,4.139795366752457e-05,0.0002975055978692,485747.97609273024,138560.84165033803,324232.1914703229
50,0.0003008564049148,4.224280986491758e-05,0.0003035771406828,495661.2001229564,141388.61393313884,330849.17495514354
51,0.0003068735330131,4.308766606171558e-05,0.0003096486834965,505574.42414863297,144216.3862305817,337466.158457392
52,0.0003128752272892,4.720068136967003e-05,0.0003155709941853,122265.86815138914,41669.11054247578,299038.349637887
53,0.0003188920585832,4.810838678147449e-05,0.0003216396671504,124617.13476333689,42470.43955406297,304789.0870955222
54,0.0003249088898772,4.9016092192170286e-05,0.0003277083401155,126968.401439075,43271.76859729242,310539.8245894061
55,0.00033092881543,5.076579528886265e-05,0.0003338067602525,94003.3105942253,56306.14352525185,239359.86806000225
56,0.0003369457029833,5.168880974906319e-05,0.0003398759740753,95712.4618394936,57329.89163790224,243711.86568854115
57,0.0003429625905366,5.261182420935664e-05,0.000345945187898,97421.6128561884,58353.63967543137,248063.8632707807
58,0.0003489660918162,5.381332009078624e-05,0.0003520118067882,83423.8908743462,62530.89908759523,247057.74849514745
59,0.000354982612014,5.4838080896701006e-05,0.0003580786045509,78920.43665904626,62060.41819955607,251053.2381318863
60,0.0003609992664549,5.576753989463902e-05,0.0003641477334416,80258.07124205584,63112.28970914896,255308.3777655308
61,0.0003670159208958,5.669699889313821e-05,0.0003702168623323,81595.7057599396,64164.161199497146,259563.51738256877
62,0.0003730325753367,5.762645789176919e-05,0.000376285991223,82933.34025899871,65216.03268017998,263818.65701080166
63,0.0003790492297777,5.855591689007912e-05,0.0003823551201137,84270.97479551054,66267.904186901,268073.79665670526
64,0.0003850658842186,5.948537588874225e-05,0.0003884242490043,85608.60928812405,67319.77566189531,272328.93626534374
65,0.0003910838287299,7.504163449876653e-05,0.0003942745239491,2671.4835833852053,21116.79219725859,181832.2172095684
66,0.0003971005030181,7.619612118218511e-05,0.000400340285856,2712.5834887128262,21441.665957286343,184629.63587253436
67,0.0004031171773062,7.735060786768378e-05,0.0004064060477629,2753.6831272459667,21766.539637322945,187427.0545850369
68,0.0004091338515944,7.850509455095601e-05,0.0004124718096698,2794.783042400412,22091.41344313608,190224.47337530088
69,0.0004151505258825,7.965958123728278e-05,0.0004185375715767,2835.882622149034,22416.28710397238,193021.89206703877
