t,eps_xx,eps_xy,eps_yy,sig_xx,sig_xy,sig_yy
0,0.0,0.0,0.0,0.0,0.0,0.0
1,-2.391834294936381e-09,4.0395853139746594e-06,-6.986913310755571e-09,477.09762344371694,151230.4168956511,-3382.258838792849
2,-4.783668586106135e-09,8.079170627949322e-06,-1.3973826623210277e-08,954.195247004148,302460.8337912413,-6764.517677662576
3,-7.175502877494337e-09,1.2118755941923977e-05,-2.0960739935038116e-08,1431.292870624045,453691.25068688346,-10146.77651662733
4,-9.567337171287197e-09,1.6158341255898638e-05,-2.7947653260540206e-08,1908.3904936438032,604921.6675822093,-13529.035355626203
5,-1.1959171462347408e-08,2.0197926569873307e-05,-3.4934566558776434e-08,2385.4881177302937,756152.0844781307,-16911.294194071856
6,-1.4351005754566874e-08,2.4237511883847974e-05,-4.192147988255458e-08,2862.5857409488744,907382.5013737415,-20293.5530326389
7,-1.674284004004363e-08,2.827709719782262e-05,-4.890839320475815e-08,3339.6833651817115,1058612.918269104,-23675.811872085204
8,-1.9134674338133148e-08,3.231668251179725e-05,-5.58953065000028e-08,3816.780988224052,1209843.335164396,-27058.07071274845
9,-2.1526508620380185e-08,3.635626782577199e-05,-6.288221985483884e-08,4293.878611694531,1361073.752061355,-30440.329548271427
10,-2.443434078549548e-08,4.039585339019581e-05,-6.965440537111198e-08,4727.549804819768,1512281.833152085,-33829.332671314965
11,-2.6877774884963485e-08,4.44354387292154e-05,-7.66198459348638e-08,5200.304783843024,1663510.0164663447,-37212.26593799401
12,-1.9782979359993508e-08,4.847511368269397e-05,-8.210527607022865e-08,5428.946106644214,1814017.400711462,-40998.49187083185
13,9.909898131136936e-10,5.25146294231098e-05,-7.318268852361816e-08,5506.64861170071,1963340.303341749,-45152.06727423034
14,6.664737963773055e-08,5.655429672691421e-05,-1.7023705126078938e-08,3894.515524989567,2108632.7490144065,-50077.94772523402
15,1.0999823411672715e-07,6.05922168113654e-05,4.858260741327957e-08,1777.575475891986,2254070.781061091,-54680.088830093206
16,2.1520380943989687e-07,6.463143090740383e-05,8.182086391014719e-08,-1518.9819623563103,2395250.943455129,-62682.413346584064
17,2.787531419857834e-07,6.867114137390232e-05,2.571715332513167e-07,-11520.50237643957,2530652.8119032234,-72637.67642677981
18,4.359771358032799e-07,7.270993290782828e-05,3.756793913565344e-07,-17217.424647423748,2658955.773896883,-95414.64667020252
19,7.456416304805327e-07,7.674690327511664e-05,7.175154632465184e-07,-24291.01614215012,2782484.9320268184,-105663.03062317731
20,9.457104456439212e-07,8.078752240777833e-05,8.717197286965699e-07,-6323.018048273198,2938523.409157149,-118831.5608651994
21,1.1822260314278291e-06,8.482784140190113e-05,1.076983331639806e-06,-15129.79199027277,3066958.2518671444,-132505.90986451757
22,1.466887494345245e-06,8.886774712605391e-05,1.237725709042654e-06,-26206.73137037413,3200292.7117313044,-137003.23504377864
