t,eps_xx,eps_xy,eps_yy,sig_xx,sig_xy,sig_yy
0,0.0,0.0,0.0,0.0,0.0,0.0
1,-2.3260672582945048e-10,8.078937099300372e-06,3.138586742254016e-09,-94.37503088744002,310478.3819986783,29.04527114910691
2,-4.6521340234864657e-10,1.615787419860088e-05,6.2771734328781476e-09,-188.75005716862708,620956.7640031297,58.090550379670375
3,-6.978201307582335e-10,2.423681129790149e-05,9.415760145702714e-09,-283.1250906701105,931435.1460025395,87.13582906175975
4,-9.304266940227871e-10,3.2315748397202166e-05,1.2554346719366564e-08,-377.5001058450383,1241913.528018076,116.18112308547866
5,-8.299572915848599e-11,4.039468700866383e-05,1.7452118804234792e-08,-512.9871138803001,1552243.385327482,98.58317503875766
6,1.4804810191041875e-08,4.847334431485157e-05,4.059784924903561e-08,-479.2464841899392,1861618.4953573165,375.90221207423633
7,4.924035367533904e-08,5.655211682642414e-05,1.193413708695487e-07,-3552.782571112741,2165567.5350607336,-1738.800094271728
8,1.6674262123552926e-07,6.463084754444853e-05,2.479104999201841e-07,-10216.816639027817,2462882.2739643096,-6145.003817568635
9,4.021122950657407e-07,7.271031312632367e-05,5.055445259275061e-07,-17813.39044076828,2749662.330325749,-15735.84601819535
10,8.567778461459078e-07,8.078688857003841e-05,1.001517915896171e-06,-35840.60639365285,3014317.511404979,-30518.175710940348
11,1.574748425408956e-06,8.886231213526687e-05,1.9042992615597957e-06,-49800.50279166871,3263459.798390676,-45076.81444934906
12,2.1709601410532544e-06,9.693685985788924e-05,2.575167183546681e-06,-73299.37562888097,3513364.1054233443,-68451.80301756563
13,2.924310874748261e-06,0.00010501886371,3.541696201993472e-06,-107601.72919028722,3744771.356289033,-97299.24526627093
14,4.191473970365972e-06,0.0001130979964278,4.871663831814856e-06,-119655.56059922854,3966461.971730644,-109638.392426641
15,5.399177433200583e-06,0.0001211750951907,6.390310560612594e-06,-156327.35738507548,4165498.4895106503,-144094.84866366643
16,6.96672744315584e-06,0.0001292453338928,8.003162943398069e-06,-182975.5870008406,4353081.561841311,-171544.70218070177
17,9.25555294568173e-06,0.0001373220449942,1.0121718319878416e-05,-202861.3450324521,4516851.818983915,-194712.1259765731
18,1.0907702952004173e-05,0.0001453917687764,1.2084541224717314e-05,-239663.06523666045,4672067.526014478,-223416.49228653964
19,1.2326995304708268e-05,0.0001534691557944,1.3796448838813614e-05,-268937.5314654049,4859365.998075912,-253668.71518410827
20,1.4583430433240771e-05,0.0001615422094763,1.6849160787735618e-05,-305435.9057621707,4997784.301860075,-275954.266569326
21,1.660274214518782e-05,0.0001696213781963,2.0801123481081466e-05,-361101.8050779893,5107330.882619059,-316321.7740014193
22,4.293905627477626e-05,0.0001776865024485,6.845441085543778e-05,-119191.3452569673,4170469.415508303,-84715.95162448252
23,7.254832878373571e-05,0.0001857443837584,0.0001322133740802,-654721.1225432558,2551749.645015831,-457910.76616813074
24,9.465285113869284e-05,0.0001937479514285,0.0001599866570191,-788581.5669869357,1838178.3504396707,-581434.884065066
25,9.90629450552469e-05,0.0002018216152778,0.0001665530665788,-828211.0332462133,1899154.832450392,-622997.893212522
26,0.0001036238042238,0.0002098913102139,0.0001744279992499,-892222.872607331,1918217.287196196,-708631.3364580245
27,0.0001077123185227,0.0002179638360164,0.0001811717486379,-927207.193980378,1988262.669680811,-738246.8809663286
28,0.0001242553999838,0.0002259651485198,0.0001918224830527,-813582.3604104529,1862217.5407390008,-604415.6236337294
29,0.0001310134219597,0.0002340191422886,0.0002017511336423,-791886.9705250438,1849931.39352509,-570867.266444232
30,0.0001355814815595,0.0002420779585848,0.000209227700213,-812386.900387816,1901903.0739316773,-582032.3505111631
31,0.0001401008642805,0.0002501472238709,0.0002162019568885,-839466.4636924807,1965299.84308121,-601433.4286712536
32,0.0001448537931378,0.0002581775439172,0.0002291840430693,-823148.8678732722,1916583.071577911,-566679.4139560328
33,0.0001532556812794,0.0002662264152433,0.0002370361530641,-804873.7989088219,1920489.4528848676,-541259.0188330591
34,0.0001561797855718,0.0002742934679986,0.0002503141538886,-882517.2198360859,1890977.907945869,-593478.3682256795
35,0.0001604047858522,0.000282360828636,0.0002581569486901,-911797.0994044318,1943128.961460844,-613873.4301064911
36,0.0001686189197166,0.0002904137993337,0.0002707225925713,-848517.3032372965,1895201.8850512996,-543484.5028051651
37,0.0001735045175876,0.0002984800871062,0.0002780839894632,-870747.8793636278,1944944.0315215408,-557501.3482754213
38,0.000176712102365,0.000306543341197,0.0002971834149898,-975671.7638765476,1765717.7442621975,-713442.4590446275
39,0.0001848182695756,0.000314648687076,0.0003017176545549,-1042141.968446752,1733570.956135425,-858568.6666207598
40,0.0001895571995659,0.0003227166021292,0.0003094540046717,-1068863.5573311632,1778021.4934952764,-880583.2478146753
41,0.0001928471618515,0.0003307867329339,0.0003230094826973,-1180774.7352608114,1685343.2937555993,-991620.9060790814
42,0.0001975439656494,0.0003388546374995,0.0003309289743884,-1209863.8597568076,1725580.429299754,-1016175.7631787484
43,0.000202202596272,0.0003469256359151,0.0003389160067249,-1239814.971195934,1766571.5020092314,-1039532.4408600378
44,0.0002055332220592,0.0003549983296355,0.0003515672289272,-1353431.466208541,1685796.7739887738,-1176783.7973137368
45,0.0002101528681771,0.0003630664793497,0.0003597463254312,-1385178.4222475083,1723513.414850017,-1203247.8977869044
46,0.0002148188398587,0.0003711347151455,0.0003677424746492,-1415994.773558786,1761712.6467747765,-1230425.0610415635
47,0.0002197394639767,0.0003792015680647,0.0003757241056571,-1441429.2768784775,1793471.5934211807,-1253328.2535890294
48,0.0002244147717246,0.0003872696865341,0.0003837182355649,-1472097.984794154,1831630.5635094184,-1279994.8121185375
49,0.0002291748692888,0.0003953340526998,0.0003918088617945,-1502555.2935549968,1867306.05469526,-1309262.662779146
50,0.0002343297559906,0.0004034006517436,0.0003998184834633,-1531770.883088616,1901948.601415027,-1330467.2532234502
51,0.0002443957074247,0.0003113109664045,0.0003923910935687,397857.6903316505,-2.4610009685039595e-05,-2.5963545007784203e-06
52,0.0002544887560123,0.0003184277169312,0.0003993316864337,557227.5510931954,-2.635612432484093e-05,5.336131820392685e-06
53,0.0002645805028506,0.0003232638109736,0.0003969099523829,614790.6342725198,0.0001160613922695,-4.015889684856648e-06
54,0.000274674955904,0.000329521046348,0.0004016242885606,767792.9621192483,-0.0001095216211277,-1.3342159625795177e-06
55,0.0002847694910509,0.0003357215416213,0.0004062982331069,917844.8639200923,-0.0001532293142403,1.4023783955021895e-06
56,0.0002948633276821,0.0003415566379593,0.0004102904193459,1065329.736640351,-4.418916125153433e-05,-7.233771995456011e-06
57,0.0003049585850577,0.000347716499199,0.0004149320343151,1210686.615985858,4.365193676293909e-05,-2.9476831563122117e-06
