t,eps_xx,eps_xy,eps_yy,sig_xx,sig_xy,sig_yy
0,0.0,0.0,0.0,0.0,0.0,0.0
1,-1.7834688788928486e-08,6.597097103999287e-06,3.5879405102214213e-09,9701.812567632604,251536.2409516634,287.8304426315191
2,-3.5669377554523543e-08,1.3194194207990363e-05,7.1758810204903905e-09,19403.62513523709,503072.48190349154,575.6608830164594
3,-5.35040663685366e-08,1.979129131197769e-05,1.0763821530663594e-08,29105.43770735117,754608.7228568979,863.4913276807722
4,-9.164303384745913e-08,2.636316026996575e-05,1.4622432039697996e-08,37843.79309139069,1004870.007814357,-492.6488566764607
5,-1.4521767176228798e-07,3.29040941951278e-05,1.7577562702565535e-08,45269.22113881164,1252921.1185895726,-4884.503751055549
6,-2.637572168693956e-07,3.936132064330307e-05,2.3778397200031493e-08,46872.46681403687,1494429.3488747138,-17709.43007666253
7,-3.299130576326111e-07,4.5809849429224775e-05,3.0666695485798394e-08,41559.0710808201,1725955.0494962367,-41274.0770830235
8,-4.299165257309739e-07,5.186704898818408e-05,4.1275996204412447e-08,29679.575162350997,1938884.6351240163,-95365.0916341072
9,-7.157280678077281e-07,5.798401406929261e-05,2.1184380594389007e-08,8054.223583158972,2150929.815006416,-148730.56666081882
10,-9.830568594390856e-07,6.398059038479271e-05,-4.2259917543282366e-09,-21770.52547583768,2349142.90772728,-215672.34593498264
11,-1.3722079209775833e-06,6.996734655040009e-05,7.837257913902214e-10,-74125.19811901214,2527030.7263030093,-311480.6469168173
12,-1.1127499572436035e-06,7.631872951517438e-05,3.5291434106509078e-09,-92159.30202232444,2724886.8374409536,-378945.6895872686
13,-1.1737609744502147e-06,8.125602816833357e-05,8.499964340072215e-08,-155820.69917500176,2850297.5883837785,-561557.5707701157
14,-7.100578103330571e-07,8.471549364564833e-05,2.994961181323766e-08,-220037.1551961065,2926354.2948936867,-840449.3440408864
15,-4.6048036855465524e-07,9.046469495114868e-05,3.4343613759511725e-08,-255156.58286523243,3095898.219526664,-957435.271319346
16,-2.6038204587582736e-10,9.597505813818414e-05,3.615128679388576e-08,-285732.0735888309,3253640.982848753,-1092673.7951999025
17,2.734394260305387e-07,0.0001021294724059,3.9806238654456925e-08,-316909.521720513,3434187.181324249,-1189241.372072074
18,-3.806217866019206e-07,0.0001042508986885,3.4045851043415535e-08,-484691.04796440486,3397434.173770018,-1669244.435050644
19,2.433893072031448e-07,0.0001093474732272,3.1348934196279905e-08,-518148.5597698557,3551297.9103587144,-1816491.160931936
20,6.658284934823023e-07,0.0001151767035959,-1.9417885216027152e-08,-579599.2188833593,3686589.20400204,-1972346.901915244
21,1.3039815795630735e-06,0.0001211090901399,-1.8648102846535513e-08,-613193.8238424239,3845154.839445191,-2089280.776519624
22,1.4403861243593834e-06,0.0001246483969941,-2.554054079967428e-08,-743917.4040576466,3843610.146616931,-2626535.5340712667
23,1.125757133510333e-06,0.0001310655086262,-2.8425436258918965e-08,-846412.9671105547,3960617.479805176,-2829305.966877841
24,1.4739100058714262e-06,0.000136995136346,-3.060012695089932e-08,-919911.9734313494,4083326.34845845,-3031623.367315051
25,-1.083123732599112e-06,0.0001291973411832,6.065810077060968e-08,-1159520.4043651803,3894726.5536818015,-3845082.912610753
26,-1.086132599417068e-06,0.0001343848120887,6.301919523123799e-08,-1206919.5732959406,4049319.809668956,-3999752.3902589935
27,-1.5649690712533626e-06,0.0001374883146512,8.420112868917303e-08,-1310132.0697696153,4074030.6497614025,-4478868.587760704
28,-2.5460829984481613e-06,0.0001435056854499,8.357000132772388e-08,-1428649.26004988,4182589.6375263873,-4672696.147482489
29,-2.50470358086785e-06,0.0001485295726614,8.787579575931487e-08,-1480477.3400910308,4326989.340246448,-4851157.603924856
30,-2.888838594331135e-06,0.0001535295481933,9.307936226984537e-08,-1569863.5460478698,4429229.351657027,-5091028.146575634
31,-2.8823994128167783e-06,0.00015868045438,9.63839308549784e-08,-1622056.5840379524,4575305.119244419,-5260332.169909571
32,-2.524838225471167e-06,0.0001638063630243,3.9412502031017e-08,-1685104.2767830975,4701777.874416904,-5466419.976510684
33,-2.324430988834307e-06,0.0001691590454665,4.120675674375209e-08,-1744736.5441979936,4833675.676161762,-5650125.099647719
34,-2.255466583365385e-06,0.0001747749249974,2.883077347498021e-08,-1803441.354809457,4961220.380393824,-5830046.216252404
35,-1.9442750471164285e-06,0.0001800811210924,2.9678357266069818e-08,-1879604.741726296,5078175.645185032,-6064619.3883104725
36,-7.437302753418695e-07,0.0001847827912176,2.5447980180235036e-08,-1888399.7240289235,5197530.676235237,-6249914.490140275
37,-2.54667244240518e-07,0.0001899927340575,5.6490123060341134e-09,-1946264.460724534,5331826.224027685,-6416492.500343249
38,3.7953995882420057e-07,0.0001955413228476,9.701978894824493e-09,-2006998.2641054173,5474709.828288823,-6602679.954485088
39,1.0237210035738994e-06,0.0002010037360325,1.1153204551671941e-08,-2062895.3252281707,5593081.964283399,-6775158.99872423
40,1.499964743350626e-06,0.0002065367726489,9.541718547430654e-09,-2117551.607475174,5721790.154690879,-6949088.672021024
41,1.786503637115188e-06,0.0002118189791126,5.688943270129598e-09,-2169517.435302549,5858637.779320792,-7120251.784349895
42,2.114708180787972e-06,0.0002175350282647,6.1325346998046795e-09,-2228608.1357498583,5978669.383955263,-7314785.907231389
43,3.119491205328188e-06,0.0002230712000696,6.3038747690472675e-09,-2276170.984086775,6110664.603020035,-7485769.271979946
44,3.910540662021168e-06,0.0002285024889231,7.770387673665366e-09,-2323962.2873753323,6239293.625711188,-7654175.856631605
45,5.227183292622173e-06,0.0002342243935466,8.162673076596377e-09,-2382657.9989413694,6356771.594386997,-7821949.712994485
46,6.009922817604876e-06,0.0002395802754293,4.481931688137428e-09,-2449853.667673281,6485599.331728235,-7989459.067596031
47,6.156786956280913e-06,0.0002455490529596,2.322243517003865e-09,-2535900.175913019,6582423.693175197,-8272887.56582894
48,6.614768557144265e-06,0.0002509703566332,-1.1196327711397971e-09,-2595004.7588502937,6715382.551095611,-8445607.44828938
49,7.439075881150404e-06,0.0002570732848309,4.859987588843645e-10,-2662933.1140170963,6822761.918034961,-8621569.393269021
50,8.386094934890404e-06,0.0002633043979969,3.2151807868015055e-08,-2724001.4625898497,6920986.508586514,-8841495.071865179
51,9.628410390589096e-06,0.0002691288270521,3.0337530348281034e-08,-2779748.891542516,7038722.289334733,-9015061.62712357
52,1.2256880459862942e-05,0.0002750410000571,3.1952971529460703e-08,-2822903.487845638,7136003.180265482,-9155605.16437118
53,1.4233540853843512e-05,0.0002808434629638,3.0281174443073625e-08,-2866653.310010365,7252474.075666982,-9311221.740919018
54,1.8714771012862964e-05,0.0002873065682927,2.984121682607371e-08,-2904438.258977668,7328992.569609417,-9455793.71126664
55,2.020266976770489e-05,0.0002932401199149,3.0677090913358565e-08,-2958729.973098526,7441981.872228501,-9624286.75461491
56,2.1520864419600987e-05,0.0002991761630535,2.9545763358614436e-08,-3011255.1404915014,7556194.306837651,-9797692.508193463
57,2.694688870582423e-05,0.000301870201924,-2.2979096833804573e-07,-3013408.855632578,7582125.730699972,-9892481.260471152
58,2.9179835047291083e-05,0.0003076876738029,-2.3272185132297083e-07,-3062644.0632288973,7689494.294317038,-10047179.60268897
59,3.1638758677447896e-05,0.0003134702070075,-2.3913666858049925e-07,-3108755.6612993614,7802332.4373884145,-10197851.761151493
60,3.285291835913307e-05,0.0003190844068004,-2.3984053153392645e-07,-3159367.432103827,7926236.852573827,-10363681.883933978
61,3.607081648685562e-05,0.0003254184717254,-2.4249008413954e-07,-3204016.0695237108,8019468.552275609,-10521613.275422558
62,4.294832550440025e-05,0.0003322738445978,-2.372325700375829e-07,-3258054.915654578,8123676.720108818,-10646212.77277095
63,4.315490676100695e-05,0.0003391866352204,-2.355300071708783e-07,-3319737.829760348,8202374.991369819,-10861217.376061954
64,4.482833631569454e-05,0.0003448713896385,-2.384971589205676e-07,-3360702.479308936,8318922.21916917,-11019366.358211745
65,4.663140358921517e-05,0.0003506072699144,-2.4257935470381056e-07,-3411403.82493067,8437912.87833648,-11179565.934468005
66,0.0004878264753827,0.0004991579293075,-2.03876509889536e-07,-2995000.8027811507,5412413.789113803,-9089052.302656315
67,0.0004953832227797,0.0005068210709344,-2.009397767956384e-07,-3041545.8567648404,5493856.044229738,-9221183.556530168
68,0.0005031292535942,0.0005142878394648,-2.0398047602612137e-07,-3085872.8212792017,5574944.037143561,-9358911.36659803
69,0.0005112275962053,0.0005220565874057,-2.0812324496587217e-07,-3129753.443698309,5653385.616059408,-9492206.709733771
70,0.0005219842531556,0.0005311013208357,-2.3085134699461337e-07,-3168233.7750015925,5719744.6713388525,-9610913.377018107
71,0.0005295375130356,0.0005387915489004,-2.3573573128815025e-07,-3211961.361101458,5799366.620096875,-9745463.713209596
72,0.0005410716097537,0.0005481093922824,-2.418386742087101e-07,-3258538.50786866,5866134.145310131,-9873655.613569416
73,0.0005487348072371,0.0005557267513774,-2.450100856309383e-07,-3305321.974578342,5947165.110272019,-10008960.118764844
74,0.0005565058250689,0.0005634633532531,-2.4455638798702614e-07,-3351445.656540774,6027446.364262279,-10145074.885245282
75,0.0005647704971759,0.0005715315725069,-2.2427132824284375e-07,-3394348.240382581,6107196.3404308,-10281818.324925328
76,0.0006389264132325,0.0006004008656072,-5.766041488521373e-08,-3153447.9375975016,5549882.160995038,-9259568.688113494
77,0.0006473767817433,0.0006083004583809,-5.8276015212043574e-08,-3195267.148452584,5622697.550553816,-9380554.00325328
78,0.0006796075311056,0.0006253267708367,-9.036446182288517e-08,-3252698.8653649883,5584836.626258258,-9404344.308809038
79,0.0006896898138059,0.0006340177046709,-9.372527919857353e-08,-3291627.086202329,5654636.2120763045,-9526149.76714604
80,0.0007003155155213,0.0006428798741243,-9.459092446187565e-08,-3329757.513603652,5717174.213152651,-9640495.192551818
81,0.0007093198953074,0.0006509888994158,-9.69421736703739e-08,-3373623.498320797,5785789.513363784,-9758886.088517653
82,0.0007726569604519,0.0006812379990563,-9.476043895323989e-08,-3250055.659534503,5611212.788399585,-9527270.235384203
83,0.0007821605131215,0.0006895773048707,-9.762381746725352e-08,-3289382.8245920176,5679228.353366833,-9642713.61748223
84,0.0007915871385352,0.0006978850345694,-9.875787320012979e-08,-3329140.4203471583,5747529.145701982,-9758689.103979316
85,0.0008050111797161,0.0007080087349954,-1.0801089711083957e-07,-3360263.0393193937,5808897.461094394,-9871433.28493632
86,0.0008146210763822,0.0007163703693193,-1.0922152538512017e-07,-3402025.5330744134,5876392.939587226,-9985049.581324171
87,0.0008234437191477,0.0007237099005152,-8.416349217072183e-08,-3434841.284914817,5927008.410280315,-10077892.03055756
88,0.0008016797594641,0.0007002809364484,1.7888303950600468e-07,-3399057.922405228,5789716.109361631,-9764785.265096612
89,0.0008109292706091,0.0007083595551233,1.753602116775489e-07,-3437141.293631622,5854785.702943184,-9875167.947102468
90,0.0008261992184276,0.0007190334661297,1.5309502634293293e-07,-3485565.8887072112,5904506.6290391125,-9989027.010369612
91,0.0008367053364826,0.0007275573200262,1.5293972517257081e-07,-3521517.3569998653,5968567.526984816,-10102019.079677196
92,0.000845922403402,0.0007355722741037,1.5473913567545005e-07,-3559916.980654575,6033663.144893974,-10212197.195983604
93,0.0008605759563245,0.0007465949821084,2.439028796180459e-07,-3569130.837385758,6047030.286877908,-10274559.186299471
94,0.000869829461271,0.0007546228851593,2.465254914421743e-07,-3607508.588295208,6112052.118003486,-10385038.31733868
95,0.0008800553151014,0.0007628492860936,2.414887074539529e-07,-3642314.777172444,6171659.537598672,-10487562.501603708
96,0.0008912584973803,0.0007713896778385,2.581392857752793e-07,-3665236.329450701,6210324.227627559,-10562666.475084756
97,0.0009005618496604,0.0007794364252899,2.609154464262587e-07,-3703060.941493556,6274453.034268972,-10671770.85101742
98,0.0009133926201169,0.0007891149709237,2.632296717701845e-07,-3731053.128685727,6325954.625760186,-10764081.045756925
99,0.0009229871762946,0.0007972928442089,2.6172859431863816e-07,-3767406.8948304113,6388332.1222759485,-10870596.11918049
100,0.0010887844557921,0.0008504957727085,5.360341614413946e-07,-3292777.4681112133,5629374.8885779735,-9710082.016395988
