t,eps_xx,eps_xy,eps_yy,sig_xx,sig_xy,sig_yy
0,0.0,0.0,0.0,0.0,0.0,0.0
1,5.048282847809687e-06,-6.490061638729985e-10,-1.0459074561546197e-06,231012.75494416745,-1030.1445476533809,-9.329613831566308e-09
2,1.0096565695619364e-05,-1.2980123289817814e-09,-2.0918149123109512e-06,462025.50988834666,-2060.289095297825,1.5999543647700546e-08
3,1.5144848543428996e-05,-1.947018490021428e-09,-3.1377223684646826e-06,693038.2648324161,-3090.433643263474,-1.780103732197159e-08
4,2.019313139123874e-05,-2.5960246639955594e-09,-4.183629824626188e-06,924051.019776913,-4120.578190767201,-2.0524083203952864e-08
5,2.5241414239048405e-05,-3.245030824614139e-09,-5.229537280786707e-06,1155063.7747210453,-5150.722738511031,1.1270271427939702e-07
6,3.028969708685808e-05,-3.894036984839639e-09,-6.275444736933436e-06,1386076.529663847,-6180.867286812545,-1.1444422203657885e-07
7,3.5337979934667744e-05,-4.5430431464595274e-09,-7.32135219308501e-06,1617089.284609639,-7211.011834112013,4.059890584268914e-08
8,4.038647230981903e-05,-5.4865430633925e-09,-8.366783711077672e-06,1847697.6889445733,-8237.553337127436,4.7493651677636416e-08
9,4.543320506231202e-05,-6.739166782067934e-09,-9.41238685503994e-06,2078340.316795854,-9269.93394950279,-6.80184020594474e-08
10,5.048146055007394e-05,-6.859595067144609e-09,-1.0462591769168475e-05,2306895.22805717,-10278.006364605102,2.6504656852623316e-08
11,5.5528830867813584e-05,-1.5946983807024972e-08,-1.1515456776403367e-05,2531898.9958079946,-10937.266891817111,1.261348850407262e-07
12,6.057618127135472e-05,-1.1789434851342656e-08,-1.2567086358293357e-05,2753102.7045486406,-11689.445102983906,-5.736503025161496e-08
13,6.561926468807105e-05,5.380289640106053e-08,-1.3600426937438844e-05,2942464.837375044,-12581.88278976793,-1.034796857265448e-07
14,7.066725603624176e-05,6.605640345021291e-08,-1.4640036570734892e-05,3135171.63582364,-12420.017058240666,3.515253611192164e-08
15,7.571437594345189e-05,6.25376933203814e-10,-1.5652257054597546e-05,3312766.4998651785,-4995.877409973873,-7.166486587637634e-08
16,8.075571060874005e-05,6.300662576678416e-08,-1.6604626611947746e-05,3473240.923055162,-4611.935654064889,7.677247874164853e-08
17,8.580421740656094e-05,1.0063455984418485e-07,-1.7569740334222486e-05,3623526.1044159103,-2327.6539545216024,2.1384232347180066e-07
18,9.085392340320822e-05,1.1657791038308745e-07,-1.8463447299392383e-05,3763643.014330802,-2221.9460681027663,-2.488228201959422e-07
19,9.587977944574316e-05,4.45649520087556e-07,-1.929733897409668e-05,3893520.744514073,-4610.613148388222,4.10357514388868e-07
