t,eps_xx,eps_xy,eps_yy,sig_xx,sig_xy,sig_yy
0,0.0,0.0,0.0,0.0,0.0,0.0
1,6.060196485575909e-06,6.385882115928893e-09,-1.2455568160858297e-06,281851.5362440482,2997.39087840869,-2.9656438252108155e-08
2,1.212039297115182e-05,1.2771764248444208e-08,-2.4911136321610515e-06,563703.0724882995,5994.781757234132,-5.5896170728173235e-08
3,1.8180589456727694e-05,1.9157646376349217e-08,-3.73667044824148e-06,845554.608733931,8992.172636114658,2.380233303539512e-07
4,2.424078594230365e-05,2.554352847608003e-08,-4.9822272643369575e-06,1127406.1449770092,11989.563514121704,-4.957495011657692e-07
5,3.0300982427879528e-05,3.1929410637004755e-08,-6.227784080399948e-06,1409257.6812208712,14986.954393273378,1.939049860826048e-07
6,3.636117891345543e-05,3.831529277625567e-08,-7.473340896450878e-06,1691109.2174696708,17984.345273190553,2.9760938022509853e-07
7,4.242137539903129e-05,4.47011748680124e-08,-8.718897712581667e-06,1972960.75371144,20981.73615122529,-3.286852684072543e-07
8,4.8485513820186906e-05,5.124208061365383e-08,-9.963817842913824e-06,2254153.2916293032,23975.862282993134,-5.917117103089094e-07
9,5.454649304232963e-05,6.267583019889714e-08,-1.1215886774194074e-05,2532459.0769624286,27036.723895135237,3.536759572944735e-07
10,6.060787588685585e-05,6.938019188447541e-08,-1.2466963332768974e-05,2802693.278659514,30018.396294818827,-2.806984596060595e-07
11,6.666766117753952e-05,5.303392092114875e-08,-1.3705636557816996e-05,3053836.1232417496,32674.140961560184,4.261467516425982e-07
12,7.27268342580151e-05,8.340458265439746e-08,-1.4913491436398368e-05,3274543.163737996,34573.60165185318,2.973041364713412e-07
13,7.877645776464854e-05,2.064651143161349e-08,-1.6073267651156738e-05,3471221.358900092,36388.84406853129,-8.071600535446028e-07
14,8.483110719765692e-05,5.0489074205185526e-08,-1.724950442379504e-05,3679116.3063850943,38549.08642900487,1.810660151335719e-07
15,9.08838346445747e-05,1.386123305531769e-07,-1.8397689555620567e-05,3883947.398618701,38494.7031376467,-7.183790005363966e-07
16,9.695708253354036e-05,2.758056343481858e-07,-1.947219410879033e-05,4012750.30056642,40499.4006733983,-1.0155377376241848e-06
17,0.0001030170454626,3.151035869651524e-07,-2.040454058840639e-05,4152015.670356816,41506.7898428058,-2.8500100310364663e-08
18,0.0001090825276001,3.067830728410931e-07,-2.1472132783908252e-05,4286971.244613111,40881.94027410998,1.4059039594105342e-06
19,0.0001151296997719,2.0743106660299238e-07,-2.2223223361572172e-05,4378069.330149198,44699.74799553134,-1.2828531951172194e-06
20,0.000121184439657,2.1431743440056078e-07,-2.320582411271977e-05,4504315.929730182,45460.49953158783,6.723306239394838e-07
21,0.0001272435971677,2.488941926856901e-07,-2.402308282645261e-05,4603063.481507426,45720.02736214732,1.1958518234678396e-07
22,0.0001333130933099,2.909670223811647e-07,-2.467773656773423e-05,4659418.535465179,42926.27774441598,1.1821648813866086e-06
23,0.0001393388888721,2.779027809951619e-07,-2.5358958872524703e-05,4723190.190653636,43826.808479128,-1.174261100737315e-06
24,0.0001453618524834,4.052227609367485e-07,-2.626048072702845e-05,4845759.670601968,44405.456906275096,-8.274158712747197e-07
25,0.0001514321220252,3.8794268378676153e-07,-2.6944553927305946e-05,4936062.0924631,46112.52030891903,4.233806087465673e-07
26,0.0001574588547518,1.323150600659741e-07,-2.698992537079265e-05,4909015.25721067,54647.38192849612,3.800655289949053e-07
27,0.0001634272497563,-2.574118268024212e-07,-2.736545659912392e-05,4847689.218822609,47695.94060899716,1.2304680551062802e-06
28,0.0001694631354301,4.0741529233405575e-06,-2.114555914040552e-05,4095203.0377256814,55401.003079120805,1.719931619976936e-06
29,0.0001750943214722,6.94793689748431e-06,-1.4014265637227528e-05,2789768.017609341,31799.45521460288,-2.9321735470284607e-06
30,0.0001811221804493,7.283310489373813e-06,-1.4167138051304444e-05,2814691.695769647,31257.13533060585,-7.311061389289983e-07
31,0.0001869660049744,1.1103572151971206e-05,-7.982785528275301e-06,1888274.437056307,23608.131543618005,-3.75776136295511e-06
32,0.0001929970382894,1.1398385094340234e-05,-8.190508207574944e-06,1942827.519314916,24072.26250801284,-5.474156944502096e-06
33,0.0001990162656957,1.0646488852844157e-05,-7.857974437652942e-06,1947569.7295735616,23393.083773310325,5.0797620680475305e-06
34,0.0002050349224156,1.0924613881178849e-05,-6.162256250526543e-06,1730265.6291744576,13914.08589383758,-1.7911938264717445e-05
35,0.0002099431028288,1.5738582513293695e-05,-4.885148232645387e-06,1647340.0178513762,14403.864935044216,-3.6551283856546352e-06
36,0.0002159436255399,1.59592295085605e-05,-4.954051250449837e-06,1664747.4122253722,8928.840389301762,-8.92121950655209e-06
37,0.0002219306263611,1.928861888976578e-05,-3.5745909397548206e-06,1625277.4244613107,7510.8781428534385,-3.175687798386936e-07
38,0.0002279143435169,1.8968273443697463e-05,-2.9140335766885325e-06,1604437.8977188575,5442.79851530265,-6.222169040944964e-06
39,0.0002339119451506,1.9478556556421032e-05,-2.846815947081714e-06,1643052.3219867144,5530.757081885752,5.950076059976227e-06
40,0.0002398254632701,2.824130777586308e-05,2.050632224954532e-06,1443552.4043560142,2490.130734614977,-1.17105186715515e-06
41,0.0002458210998519,2.8947340472244967e-05,2.1018980316238024e-06,1479641.2146071375,2552.3840691940454,8.753661472006556e-07
42,0.0002518158209787,2.9978068030929987e-05,2.3935430256527e-06,1510135.7066399078,2474.1388284417644,4.5649774881193765e-07
43,0.0002578259621885,3.3413434602815175e-05,3.868769374317238e-06,1440919.2886091887,30669.226391983306,4.5012084021763565e-06
44,0.0002638225920431,3.417006844232744e-05,3.961796492913173e-06,1471614.256351349,31177.38001534693,-1.2077962911562427e-05
45,0.0002698185600441,3.494666090733151e-05,4.051837322435733e-06,1505060.0348105214,31885.956793585297,-4.436932456331029e-06
46,0.0002758150404265,3.521286449229904e-05,3.953444263052724e-06,1518358.4989243436,31766.18862511773,-5.504262680603875e-06
47,0.0002818106117589,3.603774923382142e-05,4.073555809329883e-06,1546315.1098461323,32335.45502452837,-7.939190727721507e-06
48,0.0002878074394717,3.682722212467273e-05,4.198179909833811e-06,1574196.8944038907,32346.94498905205,-2.652573434574072e-06
49,0.0002937862150375,3.578050177779633e-05,4.984216654571573e-06,1557981.934907197,32798.97980717106,4.510209228249628e-06
50,0.00029977980981,3.652903726585128e-05,5.126149243466997e-06,1583591.3929812063,33308.58802310355,-2.4146855387858714e-06
51,5.057610874760478e-05,1.843364710678278e-05,1.1150534350383396e-05,1.6305409628595288e-06,3957.0244645189873,58963.51838807682
52,4.8860015530007e-05,1.8901518285147263e-05,1.720579833521278e-05,1.8778348696724426e-07,4940.344480395132,286925.2290404068
53,4.724387196514287e-05,1.931952042385601e-05,2.326138572882788e-05,2.359486529673245e-06,5925.918804212828,510602.3336131971
54,4.552499290276517e-05,1.975508562672098e-05,2.9314684734329117e-05,2.0862361236531525e-07,6946.325328496959,732346.5186996995
55,4.382302987138301e-05,2.0188395012436284e-05,3.537058053746071e-05,-1.4334529301662652e-06,7890.88686017956,956740.991325814
56,4.213146236046482e-05,2.0674715242202933e-05,4.142500307114851e-05,4.263731017023088e-07,8871.423877473413,1180475.2815198496
57,3.99726100484289e-05,2.105819524759545e-05,4.748132263313957e-05,2.4089918379511728e-06,10087.09206348945,1385942.4438045125
58,3.8424651675011856e-05,2.204042168496494e-05,5.354292915292983e-05,-3.180485576017025e-06,11035.18231592218,1581083.7887352128
59,3.6591831480346864e-05,2.2456463565707457e-05,5.95992755428609e-05,-1.0023327207390926e-06,11532.726427942194,1794283.4328507397
60,3.451817370890088e-05,2.288643302409145e-05,6.565597564420065e-05,1.3964277248322478e-06,11481.74520496289,2004691.1107475832
61,3.187259672951423e-05,2.3246848872271507e-05,7.171231151534517e-05,-1.5937399562781423e-06,12580.676961214143,2209879.619731871
62,2.980086587223575e-05,2.3635029520916324e-05,7.776895255544592e-05,-1.0057758933737197e-07,13342.37648415644,2386819.822951048
63,2.778949521176213e-05,2.3754658486518937e-05,8.382388254230127e-05,5.585163045745675e-06,14998.947134925744,2568883.239486583
64,2.556760104257237e-05,2.414579898902869e-05,8.988018860785335e-05,-2.930329022157829e-06,15651.222806656768,2741995.303757151
65,1.3768306963303306e-05,2.7513208827941083e-05,9.598913654248026e-05,7.187327663019635e-07,18839.006755004848,2387540.610203434
66,9.603824251591438e-06,2.641901057736374e-05,0.0001020756818533,3.202054894583158e-07,17429.773329357715,2430448.108159502
67,6.996937510490032e-06,2.689825343728637e-05,0.0001081367922176,2.817444602202413e-07,18215.295490414726,2584391.000917282
68,1.857221715053912e-06,2.7595914316711748e-05,0.0001142059922092,1.7054334990815353e-06,18979.88582060879,2689953.035967536
69,-1.8053655140419616e-07,2.355054714227325e-05,0.0001202957499848,-1.8456969941255505e-06,12597.628109740212,2653721.97679021
70,5.014220653592949e-07,2.32150781718783e-05,0.0001265253613258,-5.723607428166453e-06,12659.923378905787,2477415.1427409104
71,-2.0701541579509507e-05,1.5989881410793228e-05,0.0001326093730892,1.259003859081448e-07,21769.01430982197,2338716.869228974
72,-2.906445312682093e-05,1.0704449675648224e-05,0.0001387079901556,4.6035291634587733e-07,10327.64882487796,2118843.2337282
