t,eps_xx,eps_xy,eps_yy,sig_xx,sig_xy,sig_yy
0,0.0,0.0,0.0,0.0,0.0,0.0
1,5.999552187075487e-06,-1.5586092713572306e-10,5.99964040232357e-06,363886.82572810666,254.51431313306625,363922.46622202
2,1.1999104374150973e-05,-3.11721854271869e-10,1.199928080464714e-05,727773.6514568191,509.0286262075025,727844.9324434986
3,1.7998656561226447e-05,-4.675827814132608e-10,1.7998921206970714e-05,1091660.4771850845,763.5429394210413,1091767.3986656645
4,2.3998208748301945e-05,-6.234437085471512e-10,2.399856160929428e-05,1455547.3029138662,1018.0572528578884,1455689.864887216
5,2.9997760935377437e-05,-7.793046356855492e-10,2.9998202011617825e-05,1819434.128641511,1272.5715651007156,1819612.3311072667
6,3.5997313122452894e-05,-9.351655628283975e-10,3.599784241394143e-05,2183320.9543678784,1527.085877507784,2183534.797329877
7,4.199686530952835e-05,-1.0910264899770379e-09,4.199748281626497e-05,2547207.7800985803,1781.6001924367588,2547457.263552182
8,4.7996417496603904e-05,-1.246887417090098e-09,4.799712321858856e-05,2911094.605822679,2036.1145030894145,2911379.729772868
9,5.3995969683679375e-05,-1.4027483442503871e-09,5.399676362091212e-05,3274981.4315579818,2290.6288186803667,3275302.195997182
10,5.999128486356333e-05,-1.7614279026621846e-09,5.99955638757318e-05,3636647.7265733457,1903.6474472179884,3638248.2813954633
11,6.59895884186738e-05,-7.671309716718111e-10,6.599520233828044e-05,3803534.358556397,11165.591326447471,3835564.873152368
12,7.19923826908791e-05,-1.4425188935769371e-09,7.199594465957267e-05,3982968.685551358,-6639.136930158757,4026465.2618936254
13,7.799261820563982e-05,3.3973547945053994e-10,7.800037226174346e-05,4122568.761250316,-15619.610622971586,4179189.038862399
14,8.399316339412037e-05,8.732982857444576e-10,8.400210932085139e-05,4278458.789491302,-20532.294867584824,4345426.149799025
15,8.999305316818039e-05,-9.930983425732163e-10,9.000695782022712e-05,4403792.1183124585,-27970.518845750496,4489178.542384948
