t,eps_xx,eps_xy,eps_yy,sig_xx,sig_xy,sig_yy
0,0.0,0.0,0.0,0.0,0.0,0.0
1,-1.3639168196401554e-09,1.4999620079626756e-05,7.351800387220745e-10,516.5415726707448,588770.5639433598,-12021.11012903185
2,-2.7278336392935672e-09,2.999924015925351e-05,1.4703600774339956e-09,1033.0831443108095,1177541.127886246,-24042.22025686208
3,-4.0917001995095025e-09,4.49988603026242e-05,2.20562832723926e-09,1545.2086747653032,1766305.5405438286,-36068.070284418136
4,-5.0704791956419665e-09,5.9998020896478216e-05,1.2590211730488075e-09,-7148.528764971777,2344528.8858401217,-57918.9689365765
5,-5.905883971093018e-09,7.499852952139182e-05,1.8604257395761318e-09,-50541.97176675335,2887936.551916458,-122949.9276657712
6,-5.760487094129954e-09,8.999931418402307e-05,4.579600985673467e-09,-133969.2358217403,3396922.853782626,-221678.6855287776
7,-5.190960633275126e-09,0.0001050009628859,6.089489668924045e-09,-255378.0239820334,3867772.1438206183,-350812.1668872892
8,-6.303656279186262e-09,0.0001200018108024,1.0600766440923952e-08,-432936.7169570133,4228039.835722955,-477936.5612223201
9,-5.268827493006784e-10,0.0001350072237218,1.4712290098611648e-08,-614680.7493843569,4613616.141325926,-714540.1270569647
10,-9.00800267739621e-10,0.0001500080833054,1.7007024455637785e-08,-776677.03650084,5033729.699187528,-888670.1022639927
11,1.2941289970268112e-09,0.0001650130924947,1.9824651515338523e-08,-974681.0237802586,5422849.270916689,-1096539.818470238
12,6.882469066966659e-09,0.0001800200277373,2.272042337406228e-08,-1207387.9744693085,5777225.469500879,-1330427.8440450155
13,7.563706378121082e-10,0.0001950208348168,2.647457352997561e-08,-1434531.5735143507,6142613.596738401,-1554093.7552304058
14,1.4539775653472992e-09,0.000210023700516,3.1503081839963726e-08,-1664397.732683009,6505047.58493875,-1783973.625792984
15,1.5468750938198955e-08,0.0002250349558039,3.4452374763386124e-08,-1945849.793134019,6835715.692557782,-2043438.031985924
16,1.588286830359632e-08,0.0002400299278212,2.4419820088649997e-08,-2236842.3068531244,7122328.725104555,-2339760.424016596
17,2.1324589348593348e-08,0.0002550355830677,2.2847632413026552e-08,-2497178.8591331667,7446062.132119479,-2621106.147801735
18,4.0697919650884114e-08,0.0002700465412056,3.1894675811400734e-08,-3376527.789027737,7439201.61988206,-3412191.86570705
19,4.5098434135493816e-08,0.0002850518843857,3.4656336688415034e-08,-3677453.9854354993,7772204.328711597,-3680655.464175441
20,5.474142584406666e-08,0.0003000619878209,3.748122443591178e-08,-4053365.282606465,8079489.721092957,-3998783.443588607
21,4.8111412730967674e-08,0.0003150494912981,1.0500540633997317e-08,-4308822.886347137,8441413.37123755,-4245144.056763058
22,4.183253787439816e-08,0.0003300572524276,1.4087587752895248e-08,-4669535.127842493,8730844.624527909,-4557384.148726205
23,4.7148311859915706e-08,0.0003450631839392,2.528102126744396e-08,-5157497.682190674,8898073.870742619,-5126867.472158041
24,5.531917389543062e-08,0.0003600734503612,3.5558940679499765e-08,-5419005.856129888,9244962.248563625,-5430075.102410673
25,4.9616474226689354e-08,0.0003750672200072,1.1266761255892585e-08,-6044789.900666305,9334729.279568383,-6136834.625554415
26,5.6211504642811174e-08,0.0003900838802402,1.9903756312372985e-08,-6373351.678907948,9658657.739511646,-6464306.568567284
27,5.0048836226328164e-08,0.0004050866556807,1.9404152323562753e-08,-6696705.1995935,9968180.721150495,-6795209.659869534
28,4.9999212281199366e-08,0.0004200899797118,2.100117178182641e-08,-7036379.813805519,10250375.70903882,-7210733.597090442
29,5.65524357191113e-08,0.0004350911704128,2.0913682113761216e-08,-7216566.529645034,10724135.212114688,-7389129.841776949
30,5.8871519749928026e-08,0.00045009476427,2.0320029189370493e-08,-7488754.661997675,11058418.26541925,-7663683.129915317
31,6.659872088682788e-08,0.0004651009030469,2.29827046531911e-08,-7850062.090384145,11299281.738848064,-7990596.466594909
32,6.217050127672345e-08,0.0004801061996944,3.43102561544418e-08,-8343889.689061831,11520176.731737528,-8428135.898846867
33,6.524245534164644e-08,0.000495109604516,3.5806799615854644e-08,-8611956.717207484,11866614.751502609,-8698490.70154423
34,6.560879252069286e-08,0.000510110304271,3.5411219727233086e-08,-8854118.043728909,12203329.522098685,-8998825.563831912
35,6.668079983207036e-08,0.00052510737484,2.169589961097556e-08,-9158389.068844924,12488305.04850336,-9409625.199436314
36,6.574561217612362e-08,0.0005401084369521,2.466992890061216e-08,-9423615.83095297,12809834.734520908,-9700026.889581503
37,7.112637842330492e-08,0.0005551279631167,4.7864929436928757e-08,-9773428.239719536,13101128.836111773,-10065270.748944256
38,7.407791302772209e-08,0.0005701338008417,5.2423587083856855e-08,-10052644.62500885,13422936.371078946,-10346556.546770357
39,7.596247475895768e-08,0.0005851372162611,5.3952820597627433e-08,-10371265.45811116,13660613.887842508,-10734891.607787162
40,7.817891186232628e-08,0.00060014116887,5.4476942945399836e-08,-10651580.52772779,13972037.846523698,-11019374.853158018
41,9.27793990080358e-08,0.0006151509874583,6.016538683327125e-08,-10936779.356341248,14296502.862848897,-11307813.848252911
42,9.76160555270961e-08,0.0006301530556385,5.939094997967448e-08,-11229139.523958808,14589348.56437227,-11589584.798129668
43,9.910492035000317e-08,0.0006451577760292,6.15992488408939e-08,-11523701.063369043,14905279.701395933,-11891180.962252006
44,9.797442739942457e-08,0.0006601544280601,6.324218837469119e-08,-11651992.69764946,15235792.767024372,-12185241.564340713
45,8.434048075860106e-08,0.0006751489567157,7.323923921522586e-08,-11933182.297872145,15516173.668475552,-12501073.873675004
46,9.915374471511193e-08,0.0006901535743491,7.566727133549694e-08,-12261485.772660542,15752686.77965022,-12790752.63374661
47,9.85218065081788e-08,0.0007051503507707,8.04841688742899e-08,-12626071.211991947,15975038.027234254,-13151591.3130633
48,1.0839175146336521e-07,0.000720139708865,1.2525342006265e-07,-12928172.954345914,16255484.437561125,-13438428.348016975
49,1.1092555351869501e-07,0.0007351434890431,1.2827776469341362e-07,-13205723.564948509,16569638.096087972,-13734910.357889898
50,1.1278271048702318e-07,0.000750158783018,1.3884931622390954e-07,-13566362.116752408,16811937.091899607,-14126032.605419025
51,1.1727096882538934e-07,0.0007651577906871,1.3698498837839994e-07,-13855467.248675805,17107867.361253273,-14416554.432979744
52,1.2711941999505097e-07,0.0007801679635842,1.378076875942972e-07,-14344617.804983651,17335036.777667955,-14699086.747232253
53,1.0840510239292456e-07,0.0007951474125229,1.2642949384082397e-07,-14607990.101413349,17644723.426943157,-14945144.806333402
54,1.2041977027045969e-07,0.0008101555405631,1.4067091336336266e-07,-14912953.853192424,17890638.65066515,-15249259.527404476
55,1.262598704030405e-07,0.0008251592008527,1.4312375814634154e-07,-15182774.809304709,18197792.00684023,-15523388.657025246
56,1.3442206867021645e-07,0.000840167372386,1.490744314264223e-07,-15377633.645965068,18568529.83456083,-15731453.923432734
57,1.210902032890438e-07,0.0008551381906616,1.1597645894440801e-07,-15708028.641297815,18822731.577534385,-16005599.946806092
58,1.419096086058873e-07,0.0008701759924712,1.5706615432030785e-07,-16051351.419280568,19045594.572214182,-16165160.411570108
59,1.4470533186695165e-07,0.000885179748616,1.6228269811737628e-07,-16325754.296312893,19298132.176579416,-16469767.976662653
60,2.483417410571274e-07,0.0009002343871331,1.5997178376042706e-07,-16793722.543513145,19382547.962620717,-16786005.407969743
61,2.805333292645587e-07,0.000915237235391,1.5765551161657126e-07,-17059896.825136304,19675933.035674147,-17056564.350388683
62,2.8657383980742845e-07,0.0009302387443932,1.6039913944428538e-07,-17346945.470524907,19976248.670166407,-17343233.058307108
63,2.899211122774497e-07,0.0009452236686357,1.6396973936655836e-07,-17618865.93642699,20220802.625674456,-17672559.474928804
64,2.9449442750737025e-07,0.0009602232323046,1.6045277091058006e-07,-17880497.872717198,20496795.97234291,-17990412.230252452
65,2.920716916378227e-07,0.0009751966045267,1.794841873694654e-07,-18170730.379860368,20805852.04417512,-18216689.467066526
66,2.896208550476089e-07,0.000990204455018,1.9030375397743482e-07,-18470464.462848637,21053731.228248417,-18516069.41203993
67,2.76737611835161e-07,0.0010051986854792,1.9327135727760174e-07,-18751591.6813229,21349393.846465547,-18784282.94386596
68,2.715793760765628e-07,0.0010201983966146,1.9785317271873856e-07,-19030713.678936977,21630513.67140945,-19068773.84694542
69,2.639720502486853e-07,0.0010351951159205,2.0092655982258014e-07,-19316692.74622104,21903165.851377677,-19356146.24628201
70,2.7050479556192385e-07,0.0010502004818774,2.0251317001228477e-07,-19590067.766541798,22198588.808959395,-19627289.65403043
71,2.5941776551906933e-07,0.0010651876658571,1.9897511132272945e-07,-19862350.921045534,22472098.255250305,-19894567.68363096
72,2.46238026959492e-07,0.001080166829948,1.6551429906203077e-07,-20156485.52389274,22771065.77818919,-20088078.143248998
73,2.671050975407306e-07,0.0010951876013621,1.2444627835544242e-07,-20480431.32323982,23001031.06617037,-20244636.947425906
74,2.680204349577074e-07,0.0011101814528435,1.317590715148031e-07,-20779139.21591254,23261734.68658117,-20513713.33746128
75,2.828493216503638e-07,0.0011251679934633,1.3558586402543565e-07,-21055034.06139806,23564562.153085586,-20785401.735435463
76,2.774234546654352e-07,0.0011401500132349,1.1385896821468338e-07,-21333514.9689403,23827497.66492772,-20974299.243866783
77,2.779318895458103e-07,0.0011551309987526,7.523640385094501e-08,-21592221.67559644,24099654.162594914,-21255195.110315904
78,2.674957559000876e-07,0.0011701324847181,7.691619878991119e-08,-21835755.532731563,24386839.9362312,-21533107.26085021
79,2.6366881399782097e-07,0.0011851344905137,8.571446394208297e-08,-22110073.357224867,24655956.440175142,-21822148.1981736
80,2.269077062673941e-07,0.0012001055287985,8.782238177377648e-08,-22731898.718060203,24475770.73489025,-22668502.95462761
81,2.2768558770605747e-07,0.0012151105549872,7.91351918832008e-08,-22999378.470022306,24711179.937800396,-22896446.95777205
82,2.311087903970511e-07,0.0012301192909681,8.541736725128419e-08,-23178465.908932272,25028434.57257081,-23183241.3614096
83,2.3485650204314962e-07,0.0012451213353513,8.904513997212484e-08,-23445867.93295974,25312104.68909884,-23468321.079640817
84,2.6423993528230016e-07,0.0012601441060366,9.546218464521639e-08,-23733641.994308755,25556702.59984386,-23614861.44035781
85,2.6684362309382053e-07,0.0012751403061323,9.526561529530016e-08,-24002988.246358708,25842667.576670147,-23892892.94896659
86,3.091721679730573e-07,0.0012901824187689,1.2421348427590577e-07,-24287404.99097541,26138050.77483993,-24253792.29868598
87,3.108773926644798e-07,0.0013051805243115,1.2938235612801694e-07,-24614457.68211061,26356153.25834508,-24513397.870484654
88,3.1528513136110484e-07,0.0013201845280234,1.3416830479647578e-07,-24896532.58422428,26591015.907830294,-24769125.93516021
89,3.188132097542201e-07,0.0013351877585144,1.3711245507089173e-07,-25353397.997420512,26639316.368807435,-25253390.69357476
90,2.81668809902137e-07,0.0013501839591888,1.3662214591225566e-07,-25557481.53319119,26874403.268158764,-25466505.34848392
91,2.841201017827652e-07,0.0013651879748285,1.3231784158828486e-07,-25840623.06294638,27157464.8259698,-25735117.34746207
92,2.8889777162413e-07,0.0013801938624286,1.3328044071041277e-07,-26097763.154433027,27400917.176031005,-25993039.221386462
93,2.8353040553874936e-07,0.0013951804323314,1.1120513265460753e-07,-26374208.29462592,27610183.683341764,-26254551.680938624
