t,eps_xx,eps_xy,eps_yy,sig_xx,sig_xy,sig_yy
0,0.0,0.0,0.0,0.0,0.0,0.0
1,-4.3268335301607317e-10,1.0000757445238937e-05,6.201231558200073e-10,5007.0720182272935,386440.44848732464,-3926.2794993862735
2,-8.653667060301614e-10,2.0001514890477884e-05,1.240246311640485e-09,10014.144036911084,772880.8969753853,-7852.558997104413
3,-1.2980500590683774e-09,3.000227233571684e-05,1.860369467476999e-09,15021.216055133797,1159321.3454625611,-11778.83849561794
4,-1.719745119176758e-09,4.000304254735999e-05,2.4905680166280184e-09,19659.34335370295,1545296.4341815866,-15961.72241795406
5,-2.143201002458042e-09,5.000385410371336e-05,3.128906038141444e-09,21062.87470419965,1927128.6078628616,-23782.545610481076
6,-2.518187365815299e-09,6.000460031188333e-05,3.757215065762724e-09,18987.577569030826,2303183.7647596123,-37715.659335579294
7,-2.3839070300513304e-09,7.000568541127723e-05,4.556859744543754e-09,-7343.458347134676,2655367.095773084,-70891.64830879902
8,-2.3701142082621222e-09,8.00068547718089e-05,5.4724542168444605e-09,-41375.28635991363,3004168.7806622963,-111351.10500433305
9,-2.711081515199598e-09,9.000778613479496e-05,6.155502816042235e-09,-103082.70489972216,3322927.809836573,-183152.3124951748
10,-2.166657283114648e-09,0.0001000090132996,6.784110335083458e-09,-175132.17358876043,3646730.1865017535,-226385.21473126856
11,-2.4740378845339766e-09,0.0001100108773915,7.91887162360765e-09,-258725.1233676779,3956564.737074338,-298591.96964981034
12,-3.984520804099742e-09,0.0001200106859899,8.088992754006174e-09,-365082.14842382434,4243494.191726161,-401868.0085058831
13,-3.821107412731978e-09,0.0001300120303804,9.23752169648331e-09,-467636.9835513812,4533002.847886625,-491522.4214825873
14,-3.832890679364833e-09,0.0001400148279588,1.0834055880359386e-08,-591340.241748465,4797952.575922635,-621710.4753586905
15,-2.0566870932868567e-09,0.0001500175344438,1.3686047843829169e-08,-707046.6607841747,5067181.269205896,-728905.9407099535
16,-5.518874378646242e-09,0.0001600135599987,1.406138991454193e-08,-901159.3646903108,5278527.335735263,-889826.7086897932
17,-5.142774084323251e-09,0.0001700144933861,1.4228842572885945e-08,-1057114.561466492,5489293.773753597,-1061674.231304407
18,-1.618231383274254e-08,0.0001800074486015,1.4006273135821754e-08,-1202625.771880957,5736045.737198807,-1212395.2531972749
19,-1.4984516359463272e-08,0.0001900080182077,1.5239911344818964e-08,-1367897.4088051843,5954788.628301324,-1400560.7804423994
20,-1.4968902961677492e-08,0.0002000090268503,1.6418005185977452e-08,-1502826.07546192,6198975.869696663,-1534827.7901881896
21,-1.4686751001420985e-08,0.0002100102162665,1.8235571258449675e-08,-1683209.949339342,6424993.022567272,-1664682.056520622
22,-1.383834761880916e-08,0.0002200123674203,1.972630062538837e-08,-1852131.410410168,6651008.853690576,-1835705.2851254863
23,-4.247670542622723e-09,0.0002300152884875,2.0298449359587888e-08,-2043015.0693241835,6851951.291730332,-2039614.1108287012
24,-6.848766326825261e-09,0.0002400125256262,2.1060302006570863e-08,-2173407.2032053047,7099455.790251975,-2188151.97991869
25,-4.789325869713979e-09,0.0002500142812679,2.3258192772884028e-08,-2410572.908308374,7286745.739864176,-2424205.660366344
26,-3.255851894912205e-09,0.0002600159479982,2.4391205908655645e-08,-2588301.896623875,7503130.490325535,-2602123.02527846
27,-2.1108134653939837e-09,0.0002700177988831,2.7219088242862635e-08,-2799347.927976344,7675320.145178414,-2824046.03107654
28,-1.5178040993191726e-09,0.0002800186856879,2.837902946849513e-08,-2944406.44840094,7912484.892578076,-2979627.412848788
29,3.832027071039331e-09,0.0002900245521904,3.194730877252732e-08,-3173749.8307696106,8078089.665533196,-3235649.362509743
30,3.549806590489214e-09,0.0003000261785804,3.2803247883689935e-08,-3327095.9563700184,8319088.728454715,-3385661.7824292853
31,7.662058166370454e-09,0.0003100293417375,3.296964235321532e-08,-3531197.8597670365,8501415.985910539,-3622118.13505012
32,1.1113996256552411e-08,0.00032003049695,3.2759193106231545e-08,-3740544.322531782,8695351.47796578,-3804861.3190734456
33,1.1446795862841109e-08,0.0003300312890827,3.2050575220513626e-08,-3909840.166539165,8923988.526347168,-3976929.1225498505
34,2.3741191424764036e-08,0.0003400436919809,4.488281603674778e-08,-4691539.381397694,8725113.267240055,-4842414.621551751
35,2.447940007973955e-08,0.0003500453891625,4.7420735256560784e-08,-4884096.667418705,8949598.203934424,-5035731.412315386
36,2.536142280740674e-08,0.0003600470057186,4.894224273015049e-08,-5048463.782448881,9181935.696046077,-5222253.292290894
37,2.650216045755313e-08,0.0003700487240573,5.0519925298381164e-08,-5206405.614646515,9420405.844584277,-5381869.791135658
38,2.737467686832995e-08,0.0003800472736069,5.5921777513220136e-08,-5355555.60711515,9665198.444958083,-5542617.399202009
39,3.3086004880725705e-08,0.0003900515544638,5.8741818752094436e-08,-5650741.685474825,9818899.588230165,-5796864.764403883
40,3.505653861708357e-08,0.0004000533710435,6.227193301043105e-08,-5897928.798305295,9948142.760159569,-6112287.274935279
41,3.686938386055616e-08,0.0004100527667228,6.492198769860707e-08,-6101685.645007405,10153525.806311604,-6320346.113471794
42,3.5808208231894366e-08,0.0004200530820756,6.660884610318044e-08,-6254459.226242327,10391611.88149888,-6480315.412009495
43,4.108770958927832e-08,0.0004300590440683,7.153321271759408e-08,-6672902.696007493,10456117.530882504,-6945906.117630379
44,4.2191911352459534e-08,0.0004400596877503,7.291409130289043e-08,-6858433.222324553,10671525.056413218,-7137564.276042361
45,4.4460123708667136e-08,0.0004500630638807,7.633265093605877e-08,-7173593.758284372,10796211.634288888,-7458974.685294785
46,4.955906516931648e-08,0.0004600673197746,8.200598070102119e-08,-7592756.316306315,10887164.85656863,-7875618.96025456
47,4.8981613362103515e-08,0.0004700685306606,8.393932410090626e-08,-7785282.706205624,11087482.409777869,-8086859.130344567
48,4.9395372761162335e-08,0.0004800691732058,8.616831450977498e-08,-7955666.878541699,11306476.812843785,-8283165.751412309
49,5.2269470115558456e-08,0.0004900701440892,8.689285411492214e-08,-8126377.746999105,11534308.52680244,-8461571.313669495
50,5.3944851148807377e-08,0.0005000718697418,8.913848931797434e-08,-8312378.715714425,11747272.760118796,-8640149.77260686
