t,eps_xx,eps_xy,eps_yy,sig_xx,sig_xy,sig_yy
0,0.0,0.0,0.0,0.0,0.0,0.0
1,9.999455024505283e-06,-1.843971483731318e-11,-4.1186863907474186e-10,503206.8615158064,874.5726487211969,103090.55518399096
2,1.9998910049010563e-05,-3.687942967580948e-11,-8.23737278149992e-10,1006413.7230330782,1749.1452978020557,206181.1103676551
3,2.9998365073515885e-05,-5.5319144517429565e-11,-1.235605917222701e-09,1509620.5845478943,2623.7179459542667,309271.66555121343
4,3.9997820098021126e-05,-7.375885934920411e-11,-1.647474556299624e-09,2012827.44606494,3498.290595203296,412362.2207357322
5,4.999727512252649e-05,-9.219857419215418e-11,-2.0593431953701558e-09,2516034.307582596,4372.863244411806,515452.7759190728
6,5.999682565502887e-05,-1.1998279483640456e-10,-2.4450535843592983e-09,3003308.78559628,4634.510349951754,618486.2612628079
7,6.999650691478724e-05,-1.0368380850526124e-10,-2.8329739038553726e-09,3442081.057753553,6617.506925422328,718624.5707464706
8,7.999051661601089e-05,7.175459001616014e-10,-3.1191065186145583e-09,3803718.4815242738,-4204.782656505221,817679.4445555977
9,8.998936766265344e-05,3.6013647292300886e-10,-3.106710906713723e-09,4084908.9852735656,-7031.938680511105,899669.2138613211
10,9.997823277866329e-05,-1.243564805769271e-09,-3.865001443512972e-09,4326047.18589936,-15347.963912562816,975097.8487490092
11,0.0001099699631006,-2.852371308532362e-09,-3.17729269129791e-09,4612952.344840839,-14060.215068903271,1055650.910188921
12,0.0001199666780493,-2.513512899500905e-09,-2.3877205314298406e-09,4844437.434374403,-16745.02492912709,1120907.9771478742
13,0.000129967085868,-1.2775981846747115e-09,-2.2303478277679783e-09,5019563.274677891,-15674.068468947036,1177190.839980106
14,0.0001399700452922,1.7953545469570511e-09,-6.932974999451191e-10,5137234.497285475,682.8778896101594,1200186.732143086
15,0.0001499719560878,4.457403718122311e-10,2.772139419019803e-09,5124561.493739995,-5797.616855547392,1171415.7793271714
16,0.0001599624025575,4.317530554562319e-09,1.1862350852467256e-09,5166722.625481875,-24254.50477139012,1196477.00064185
17,0.0001699645976729,2.844190789623841e-09,8.511990330398425e-09,5244262.413578311,-20610.87984727671,1211329.018838419
18,0.0001799674098868,1.7076253886492115e-09,9.02711651818863e-09,5392570.098179977,-9349.497565945014,1243566.948054596
19,0.0001899675128861,4.252618672085324e-09,9.51078185099836e-09,5472493.854968297,9125.104132987182,1248531.2473695865
20,0.0001999935632361,6.219696910744992e-09,2.1299715014144263e-08,4442726.546368094,88498.4274106873,948443.70974818
21,0.0002099973513088,3.279895625229722e-09,2.93838420586788e-08,4580264.51320264,94807.64580413916,969152.9539901912
22,0.0002200039606771,7.147799728796139e-09,3.14962339429108e-08,4587712.733237302,128494.07250651631,963048.8567308872
23,0.0002300066181873,6.4748700021316395e-09,2.870311524845992e-08,4719377.874155999,147752.93138719554,974529.0355691802
24,0.0002400081708553,8.007911316343283e-09,3.2250578285082e-08,4826731.94011252,137803.4018939627,976641.025516624
25,0.0002500242124581,-8.367036918953846e-09,1.8503949465861423e-08,3564436.737004851,69624.09859880447,670144.1182702003
26,0.0002600265310579,-6.672572247935627e-09,1.9887883598284972e-08,3682721.309087192,81439.86465206923,624725.6794681329
27,0.0002700395343361,-8.3760708645984e-09,1.6214012108442848e-08,3416977.255727527,93224.905731486,514368.081664824
28,0.0002800423784844,-1.6674486398379755e-08,-8.185729236132264e-09,3233538.579445799,10259.197211731203,473003.9327141911
29,0.0002900496053216,-1.2194969959025433e-08,-8.678615748180626e-09,3249545.0759364148,31350.63358495046,423897.79558778566
30,0.0003000509039888,-9.91376599614843e-09,-1.2655756285996321e-08,3310444.21504459,21740.72113916839,415598.3637499389
31,0.0003100524642353,-1.0923238257898822e-08,-1.3934150149309168e-08,3324054.664287599,78748.2902705865,338756.25214135903
32,0.0003200571582652,7.806242830418267e-09,-1.0016376472914998e-08,3436109.9128242885,68176.97927080361,328356.6391546824
33,0.0003300617091863,1.2734005372796414e-08,-2.44244841023837e-09,3420819.149964807,81630.32283876846,277006.8518223685
34,0.0003400694874685,2.338088397646713e-08,-1.1127853834796954e-08,3510343.132093229,87650.98795227398,279220.5894743507
35,0.0003500869390212,3.31466059480716e-08,9.296446709538783e-10,3022542.177581251,21939.16255820026,49294.96363540114
36,0.0003600968860216,4.673649249533549e-08,1.7530554978276136e-08,2886008.9742518943,25757.97593288204,-64992.3184250141
37,0.0003701004768528,5.139627196344295e-08,1.2130773754938608e-08,2948988.3396176104,31529.78458890512,-72707.21941904981
38,0.0003801011242946,5.1925997595007353e-08,7.725827686658945e-09,3006281.3296387764,17751.37922721354,-88510.49845643707
39,0.0003901108330492,4.9253144640270415e-08,2.166955954465435e-08,2953714.027586207,11611.427536933,-150704.98606208185
40,0.0004001166621542,4.38976556213157e-08,1.88316898857079e-08,2980803.283711467,30877.67673978499,-176867.90943177
41,0.0004101114457337,3.9891616141001294e-08,2.2028082180561683e-08,3011323.6328380653,19635.106445042395,-198512.05363790013
42,0.0004201141827656,4.0835616307421694e-08,2.958823380010495e-08,3050370.6397331897,16374.074267422397,-200977.8196659103
