t,eps_xx,eps_xy,eps_yy,sig_xx,sig_xy,sig_yy
0,0.0,0.0,0.0,0.0,0.0,0.0
1,3.9998634618048e-06,-5.901402630315515e-11,-2.973646280110503e-11,201961.30603918663,-167.97065368186733,39821.12124547777
2,7.999726923609596e-06,-1.1802805260713042e-10,-5.947292560305337e-11,403922.6120788779,-335.9413071801951,79642.24249100804
3,1.1999590385414388e-05,-1.7704207890836135e-10,-8.920938840319861e-11,605883.9181178588,-503.91196126602057,119463.36373644178
4,1.59994538472192e-05,-2.3605610521132493e-10,-1.18945851194666e-10,807845.2241553083,-671.8826156938799,159284.48498108043
5,1.999931730902397e-05,-2.9507013152426604e-10,-1.4868231401253287e-10,1009806.5301990052,-839.8532671768728,199105.6062276689
6,2.399918077082878e-05,-3.5408415782155777e-10,-1.7841877680425322e-10,1211767.836235784,-1007.8239218671572,238926.7274728452
7,2.7999044232633616e-05,-4.13098184121018e-10,-2.081552395973672e-10,1413729.1422733427,-1175.7945760782168,278747.84871746704
8,3.1998907694438405e-05,-4.721122104244678e-10,-2.378917023994251e-10,1615690.4483137685,-1343.765229805249,318568.96996349125
9,3.5998771156243175e-05,-5.31126236728203e-10,-2.6762816519724083e-10,1817651.7543551065,-1511.73588279806,358390.0912081249
10,3.999863461804793e-05,-5.901402630441145e-10,-2.9736462798794447e-10,2019613.0603974543,-1679.7065357140868,398211.212452828
11,4.39984980798528e-05,-6.491542893181233e-10,-3.271010907616785e-10,2221574.3664294854,-1847.6771939424432,438032.3336963558
12,4.799836154165756e-05,-7.081683156746296e-10,-3.568375536472857e-10,2423535.6724799317,-2015.6478387861632,477853.4549480985
13,5.199825573609988e-05,-6.892230208076507e-10,-3.699559718483283e-10,2624691.6777946195,-2227.893362098173,517738.63540906383
14,5.599817959898963e-05,-7.321608221157251e-10,-4.300955783583793e-10,2822962.074331365,-3005.1473436656725,557307.5598727295
15,5.999813507552376e-05,-7.846516725907113e-10,-4.880276019592402e-10,3017748.6309882696,-3331.774594506722,597322.7745039364
16,6.399792794083346e-05,-6.514256762943088e-10,-4.1946222591108816e-10,3206216.335218821,-2682.485107047584,637856.2013741512
17,6.799795585779188e-05,-6.129482670394252e-10,-2.3103836213080438e-10,3379193.316916731,-3295.5128892559374,677377.3220459485
18,7.199876963682954e-05,5.901858732743753e-11,-8.403116034160687e-10,3531392.0710889334,-6669.399306211571,716043.6732155483
19,7.599893948186233e-05,4.2769392493496056e-10,-1.1667005463905332e-09,3685908.8351632734,-8005.257810493609,753128.249150187
20,7.999952241088009e-05,5.94342768677961e-10,-1.454571122907673e-09,3842735.293767885,-3985.258959304927,790859.9816945622
21,8.400048523201361e-05,-2.8072721115504e-10,-4.0754076418744296e-11,3992873.816738217,-5129.803843522806,828404.4152385027
22,8.800099189325262e-05,6.893790037785804e-10,5.396560383113221e-10,4141672.681132408,-8019.874197492964,860962.5979975987
23,9.20008440455973e-05,9.528960803863775e-10,5.585827076765902e-10,4261836.905177187,-11135.294248998149,893008.378072554
24,9.600362382366252e-05,-4.894089030133791e-10,8.16740865009041e-10,4350589.116621804,-14567.89519131795,922611.514842712
25,0.0001000038850613,-4.966518932528197e-10,7.545041796387364e-10,4459680.536750629,-12485.366005835152,959359.8151642312
26,0.0001040036325492,-6.444482194562423e-10,1.905123482701984e-09,4527339.666052586,-1412.5109446729557,993178.8191888984
27,0.0001080042591812,3.3264766356745286e-10,2.1470511691140395e-09,4612698.066876785,3291.949101008162,1026073.5732935918
28,0.0001120046764627,1.092259113563409e-10,-1.0524116717775947e-09,4690635.196969749,-30050.599659097177,1048035.176556875
29,0.0001160040614105,6.46092201328891e-09,-3.602735655886398e-09,4762257.996897694,-33564.377541459806,1074105.4032070793
30,0.0001200042763749,5.128371820173564e-09,-2.1303271379391127e-09,4860654.234617233,-34059.946759859326,1101090.1838870838
31,0.0001240062974668,4.697532237181315e-09,-1.4019024561401419e-09,4873023.022536141,-43196.87959263584,1098206.0748251656
32,0.0001280054587356,5.0854639180494444e-09,-1.2886936240408931e-09,4975946.787637241,-41568.65664322218,1120925.6939998812
33,0.0001320061198219,5.598603398961525e-09,-9.734247246944535e-10,5042091.944475164,-46235.85272082296,1140000.9444312216
34,0.0001360063719892,9.695276407040431e-09,-1.7095605410597223e-09,5132926.79985023,-47108.56514693761,1168074.0151133796
35,0.0001400090565962,5.752194699973439e-09,-8.661199898581474e-11,5182867.8820259245,-25120.417736018837,1174321.4663180972
36,0.0001440105195714,4.697009370897173e-09,-1.1353901395436882e-09,5216593.305411757,-41307.1168029845,1182988.8872390264
37,0.000148011778109,4.805400624003909e-09,-1.2266343328401604e-09,5247265.652107531,-53510.98531187302,1202565.8079383671
38,0.000152011972852,4.771494270355216e-09,-1.4127271595491184e-09,5321772.587605355,-59733.49717533157,1221463.138845757
39,0.0001560131292718,5.073940173658197e-09,-1.4235074337333324e-09,5353220.706130516,-57533.6042249872,1227087.9880147693
40,0.0001600164188857,3.1766347616187872e-09,-4.500785680058334e-09,5346004.915094063,-60534.3490605877,1229872.8599464393
41,0.0001640201065629,2.2704148983807246e-09,-3.384429210899308e-09,5137776.356211281,-60578.86727708012,1182447.822591056
42,0.0001680233701475,-6.159386571875363e-09,-4.3256921147649585e-09,4959576.235888951,-48165.12312747455,1135285.6559289591
43,0.0001720248590669,-6.5640462316893165e-09,-4.426418244821435e-09,4996033.047053031,-60242.9234713538,1137468.4275668391
44,0.0001760302746359,-7.941253519350341e-09,6.822705763580625e-09,4742683.362862078,-34349.46483136203,1081702.0234126626
45,0.0001800341092942,-1.095869971773779e-08,4.556486104609706e-09,4813203.575365018,12451.481155055702,1108881.8726850806
46,0.0001840328649818,-1.6645992003061038e-08,4.279792348928211e-09,4808747.980065149,38014.466634608856,1094802.0016944334
47,0.0001880352374997,-1.7401361331201093e-08,3.8061162914333517e-10,4819043.656779176,53371.0154073151,1081621.0084163002
