t,eps_xx,eps_xy,eps_yy,sig_xx,sig_xy,sig_yy
0,0.0,0.0,0.0,0.0,0.0,0.0
1,5.00018145145784e-06,2.0510873040688392e-10,5.000182407121639e-06,300022.6131404528,12.868878436673851,300019.75035782595
2,1.0000199593585228e-05,2.200093778391385e-10,1.0000182820627344e-05,600029.2062564192,12.84606285985844,600025.1365756249
3,1.5000189633227878e-05,2.2342897888217359e-10,1.500019203625213e-05,900035.8097617708,12.84615375232464,900031.9096052443
4,2.000019363456655e-05,2.1365723356409472e-10,2.0000181267677272e-05,1200042.413368055,12.846354166919014,1200038.045869279
5,2.5000194305257137e-05,2.1930167429211462e-10,2.500018566543379e-05,1500049.016595094,12.846137092214937,1500044.7430029896
6,3.0000192379354537e-05,2.216441350936478e-10,3.000018345970065e-05,1800055.6201724,12.846352403180784,1800051.4215236944
7,3.500019231163182e-05,2.0741800173739e-10,3.500017863438477e-05,2100062.223314703,12.846315847239287,2100058.632619557
8,4.000018985969526e-05,2.1270674423960007e-10,4.000017969055978e-05,2400068.8265175098,12.8462147798711,2400065.215894857
9,4.500020078600663e-05,2.1435935389967408e-10,4.50001830785265e-05,2700075.429790953,12.84637643700869,2700071.5130876647
10,5.000019328921648e-05,2.1764063675245398e-10,5.0000184883556695e-05,3000082.033322759,12.845955830844591,3000077.984593726
11,5.5000192943038725e-05,2.1919217006513855e-10,5.500018391992448e-05,3300088.63649268,12.845996120510994,3300084.976460853
12,6.000018633881534e-05,2.062387839439125e-10,6.000017918931478e-05,3600095.239920915,12.84636437340297,3600091.666445296
13,6.500003596363393e-05,-3.1384829895668325e-11,6.49999873191524e-05,3758965.317415465,4777.8438758501,3756571.305189997
14,7.000010929018075e-05,-4.367323662537814e-11,7.000001029298276e-05,3889611.391133572,20247.86307483313,3890798.224901462
15,7.500115464746119e-05,-3.9714734154931374e-10,7.500072189145236e-05,4048831.432618266,11432.103861665131,4059512.022940415
16,8.00013095937531e-05,-3.776427310121746e-10,8.000078099293056e-05,4138184.977158413,42565.32398796089,4128052.3526620576
17,8.500146075400242e-05,-3.622168272957754e-10,8.500083331959729e-05,4227430.99966811,55541.06775970709,4190449.303001948
18,9.000156204080307e-05,-3.805344641147941e-10,9.000101928081355e-05,4309870.710035527,41863.623982182784,4290724.906475907
19,9.500229488846518e-05,-6.129520425599443e-10,9.500104439160372e-05,4343859.134715728,76026.89971585442,4283127.33707168
20,0.0001000024416902,-5.93271531256175e-10,0.0001000011391214,4286482.410795972,99257.0985151213,4280471.321034553
21,0.0001050024673121,-6.840014674390143e-10,0.0001050012366342,4277875.912174272,120648.01396558384,4323808.509872087
22,0.0001100025363933,-7.019614161650947e-10,0.0001100013255633,4242315.438069871,102908.30134802547,4201242.304326725
23,0.0001150012650079,-1.0905454702415481e-09,0.000115001619046,4209361.865555816,157083.60221849824,4214376.348937308
24,0.0001200014376819,-1.0273166809530163e-09,0.0001200017004218,4209567.87120719,129557.88281422718,4232642.423238781
