t,eps_xx,eps_xy,eps_yy,sig_xx,sig_xy,sig_yy
0,0.0,0.0,0.0,0.0,0.0,0.0
1,5.238687519890531e-10,1.00000157410531e-05,2.1797685264253023e-09,-590.7957718510552,381764.6126441761,844.8542202409102
2,4.4224928454460685e-10,1.999993775934724e-05,2.41960140912517e-09,-1284.8323171439715,763526.4882756914,1603.1156823629285
3,3.448472801098121e-10,2.9999836660592944e-05,2.634782745262543e-09,-1978.8429455372664,1145288.3551747657,2361.3464933620494
4,-3.823212623339199e-10,3.999961572889256e-05,9.153711484489535e-10,-2811.6826922802748,1526992.4414943971,2993.38224394656
5,-4.743640360914061e-10,4.999952285877931e-05,1.1381676129087419e-09,-5326.431163913626,1906605.69099854,2098.348571242433
6,-5.665208138544915e-10,5.999943464125159e-05,1.3902435212415682e-09,-18598.967458594547,2273428.991803524,-10382.315921399704
7,-6.368482069119765e-10,6.999938694378653e-05,1.6817164695174671e-09,-44870.365845232256,2627621.588831448,-34940.815961956505
8,-2.9271336580291162e-12,7.999889339539454e-05,8.360906539929795e-10,-84352.30537983509,2966100.898589763,-77352.23908806697
9,-8.021814544273676e-11,8.999893466177765e-05,8.587345564016827e-10,-144943.69006690092,3289509.626073437,-131734.88361561237
10,-2.5427491730811186e-10,9.999905331802644e-05,9.44631887967374e-10,-221448.5483935653,3593400.2798233395,-207446.2217048404
11,-4.310688794022594e-10,0.0001099992236379,3.8450574544080064e-10,-320244.6604682389,3878260.073324695,-307060.7636029148
12,-4.252319205766358e-10,0.0001199993377141,6.470466259769513e-10,-415742.9799632913,4168817.46488175,-402099.7065989557
13,-6.82049877067056e-10,0.0001300000353397,1.954181866401454e-09,-524923.5077235908,4447115.481734876,-500433.7995653479
14,-6.967528856871605e-10,0.0001400002007458,2.223382437486705e-09,-646253.5042162989,4713429.548986083,-623015.7264918307
15,-1.1542958696065723e-09,0.0001500033247056,1.4315514774588957e-08,-781540.9249279648,4962165.488852777,-749627.6379419621
16,-1.1005206773027735e-09,0.0001600037409821,1.4833290241062253e-08,-920779.874417216,5208251.990170794,-886468.759323617
17,-1.419501780772407e-09,0.0001700040800054,1.5893594189036918e-08,-1061437.1900749276,5456186.989755614,-1014511.6458916512
18,-1.4697066052848615e-09,0.0001800044522125,1.6609110288662435e-08,-1214184.8113236213,5688000.513719104,-1183635.85558293
19,-1.6387974604364236e-09,0.0001900048278471,1.7474344455080232e-08,-1342689.7808967074,5944467.485595192,-1307004.0702148092
20,9.009230967881175e-10,0.0002000033278111,1.5063894997942575e-08,-1499730.869894332,6175795.524714034,-1457081.1530646945
21,1.0023998161674681e-09,0.0002100032965034,1.617592710332057e-08,-1626786.2108011576,6430704.984880444,-1582236.8475231847
22,-1.3003446255848915e-09,0.0002200038460816,2.86947283612136e-08,-1796714.7058547232,6644471.36701924,-1749627.3984192242
23,-1.174262119575348e-09,0.0002300039631481,2.985904852150287e-08,-2037391.1217777852,6822617.135588837,-1973275.027274103
24,-9.343930414850744e-10,0.00024000444288,2.9919686069223826e-08,-2210883.220755373,7035716.944739091,-2141451.8947844347
25,-1.012691666294732e-09,0.0002500049053564,3.0636745840171874e-08,-2388572.9471387807,7252040.383284921,-2316976.658731696
26,-9.80216567557658e-10,0.0002600052690868,3.1470314727581314e-08,-2588498.791971136,7445811.540703757,-2518543.491866192
27,-9.701200054502347e-10,0.0002700056723663,3.2083222179886235e-08,-2780391.808281215,7649746.262177149,-2706834.4175620168
28,-1.1213434447274323e-09,0.0002800062083628,3.2385769454969314e-08,-2971658.2356686834,7851506.086218609,-2899148.0026268363
29,-1.7367485728936e-07,0.0002900304911221,3.702505488832146e-07,-3854672.156328397,7635424.774462486,-3692088.1276031546
30,-1.854714431915591e-07,0.0003000280141703,4.070437664819614e-07,-4048971.931740539,7847135.679597711,-3897140.9077533903
31,-1.923287196235433e-07,0.0003100292845029,4.211587945506632e-07,-4200682.295500666,8092168.967290372,-4044491.391254753
32,-1.983258440308714e-07,0.000320030318121,4.340151878431234e-07,-4346281.395134493,8340328.011297908,-4186509.380620528
33,-2.0447957138259766e-07,0.000330031405515,4.470408614430904e-07,-4515064.690195285,8570863.92720716,-4339736.4554621605
34,-2.153021598588677e-07,0.0003400355584952,4.616254386588247e-07,-4787689.800391766,8747662.554721162,-4570488.678824002
35,-2.123022024380711e-07,0.0003500353079724,4.5774548196553894e-07,-5084808.5346073,8851430.80019636,-4904904.683271947
36,-1.7569387477879452e-07,0.0003600302836145,3.911807030623344e-07,-6345042.032101802,8369190.302743629,-6179542.874029571
37,-1.796863379808446e-07,0.0003700315719783,3.986293506497492e-07,-6941037.002965485,8361976.690960098,-6738337.66046185
38,-1.845652767870882e-07,0.0003800324316328,4.094080943940635e-07,-7128624.344821442,8587718.185145583,-6921363.207142994
39,-1.8984555996501138e-07,0.0003900334549419,4.204144899207825e-07,-7317105.853435541,8809283.735384785,-7114342.776633241
40,-1.968854169133365e-07,0.0004000350747201,4.340498811833626e-07,-7517279.242875935,9010644.858129963,-7338418.782739657
41,-2.0179907123670726e-07,0.0004100359504816,4.4489091757213285e-07,-7705458.544360905,9235870.30374322,-7521736.125763931
42,-2.242477385507972e-07,0.0004200318887467,5.098481730687359e-07,-8086090.977395367,9319145.213750036,-7962814.591014441
43,-2.2953693950233558e-07,0.0004300326311872,5.219783231843481e-07,-8278455.998454667,9540897.988154436,-8152392.017458464
