t,eps_xx,eps_xy,eps_yy,sig_xx,sig_xy,sig_yy
0,0.0,0.0,0.0,0.0,0.0,0.0
1,3.000044057073156e-06,9.864784432503378e-13,8.684703900403294e-11,148988.95243982776,-30.331405778660702,31027.23616197369
2,6.000046910608549e-06,-1.2348573486612794e-11,7.246940468345912e-11,297972.53732836345,-64.69687744956633,62047.59063423356
3,9.00004848080246e-06,-2.4976872617968665e-11,5.90375402546885e-11,446956.1288977796,-99.05010530748564,93067.9813398774
4,1.2000048880401912e-05,-3.801019642037376e-11,4.4131961828006315e-11,595939.7204451793,-133.40338070585875,124088.31700675668
5,1.5000051286026326e-05,-5.000740661820876e-11,3.0689013557847346e-11,744923.3120391172,-167.7566123074746,155108.68886477698
6,1.8000053278327846e-05,-6.295358393419759e-11,1.518158368670752e-11,893906.9036070795,-202.1098757297636,186129.04887292243
7,2.100005405527317e-05,-7.588234219839729e-11,6.426900312013026e-13,1042890.4951885784,-236.46311665282389,217149.4502616435
8,2.400005621221825e-05,-8.921443261645861e-11,-1.3430386038941908e-11,1191874.086787091,-270.81634953107755,248169.8274238105
9,2.7000057528803203e-05,-1.016209352520254e-10,-2.7193212762438822e-11,1340857.678334468,-305.1696309650269,279190.1538803073
10,3.000005924961174e-05,-1.1527681328694809e-10,-4.254216483382488e-11,1489841.2699094743,-339.52287077080166,310210.5609221916
11,3.300006072836803e-05,-1.2873652107600096e-10,-5.550640494322508e-11,1638824.8615055955,-373.8761166579649,341230.94357854646
12,3.6000062968405576e-05,-1.4038092966467477e-10,-7.090656066901269e-11,1787808.4530645176,-408.2293947586544,372251.2744233605
13,3.900006410466382e-05,-1.5411575477098227e-10,-8.556202967151391e-11,1936792.0446406456,-442.5826467845126,403271.6614900947
14,4.200006515076844e-05,-1.656489643466046e-10,-9.995113440100551e-11,2085775.6362044185,-476.9358919921659,434292.0468390092
15,4.500006783219415e-05,-1.8013646815172582e-10,-1.15437227150362e-10,2234759.2278065085,-511.2891465746174,465312.4026007897
16,4.800006922794357e-05,-1.9194576120117784e-10,-1.2857073912239804e-10,2383742.819363771,-545.6424135583767,496332.7497015521
17,5.100006958797896e-05,-2.0578876697386868e-10,-1.4378353255610729e-10,2532726.4109533266,-579.9956548147997,527353.1572565796
18,5.400007170420389e-05,-2.1877180987734843e-10,-1.5844918366203546e-10,2681710.002502731,-614.3489152745922,558373.5424170168
19,5.700003110120764e-05,-2.4596408391225046e-10,-2.7311399794824237e-10,2829161.206911318,-688.8123665517248,589431.9640738501
20,6.000003797437708e-05,-2.5826974770913043e-10,-2.87169793864026e-10,2974429.335098656,-792.8328858886116,620591.2055384937
21,6.300004054041576e-05,-2.7489770675923957e-10,-2.9711302054282216e-10,3108127.573457382,1033.3429154431633,651252.1080078064
22,6.600007567055434e-05,-2.810244160702435e-10,-3.1988126815512777e-10,3230768.0235347385,1914.3382381225504,681863.3836265615
23,6.90000964939406e-05,-2.906852423458626e-10,-3.268808307603341e-10,3347181.8476155563,3067.6885349219565,711158.0755187598
24,7.200007418394953e-05,-3.057367922563214e-10,-3.3384147865102185e-10,3467591.765329402,3696.4684059684178,741016.9299613453
25,7.500007682425276e-05,-3.1792299834849544e-10,-3.473285762548301e-10,3585055.596485432,5979.070282372264,770502.6582396443
26,7.800007083221234e-05,-3.2744461391008117e-10,-3.5654153018134863e-10,3689771.114365408,5906.148361723854,798804.1471576889
27,8.10000753681355e-05,-3.3204537660409773e-10,-3.6824621857308455e-10,3797619.261958283,4572.497918941606,825850.0859728213
28,8.400010873425811e-05,-3.409733815591746e-10,-3.798852313283534e-10,3889850.520976119,6387.59170200369,852537.1293328558
29,8.700004162744123e-05,-3.6818697722688427e-10,-3.809816466914075e-10,3980696.038888454,8527.183320387328,876120.027916091
30,9.000007355210063e-05,-3.805148670770837e-10,-3.9464689643529935e-10,4067314.555411461,6792.4546586482975,901040.9168842502
31,9.300012659880002e-05,-3.5425406720068347e-10,-4.1007622799794013e-10,4106900.783420616,2042.6371466190349,920235.6521985024
