t,eps_xx,eps_xy,eps_yy,sig_xx,sig_xy,sig_yy
0,0.0,0.0,0.0,0.0,0.0,0.0
1,1.00000230742086e-05,1.038631731561744e-10,2.500671382148325e-10,497533.71370539255,-370.2582480965584,102453.71232007536
2,2.0000056193763328e-05,1.0962477599331679e-10,2.5695531401178953e-10,995071.330928228,-739.6267450152931,204907.6819236677
3,3.00000726872593e-05,9.625064811707279e-11,2.5792998513598357e-10,1492608.9471009686,-1108.9889281835922,307361.6641998064
4,4.000010864325636e-05,1.0840432235656451e-10,2.621550454879854e-10,1990146.564750848,-1478.3517187394125,409815.6806322737
5,5.000010921341388e-05,7.534579738154057e-12,3.3991612431886136e-11,2487299.550033264,-1813.118719760768,512331.9134834187
6,6.0000128053282274e-05,1.1766403909944207e-11,4.97353369114782e-11,2975018.3941520248,-2340.490989611688,615261.9839774141
7,7.000026836981898e-05,2.064546012943351e-10,2.0351925532433103e-10,3396173.281172436,-3990.121139122615,715804.3289648764
8,8.000036346273237e-05,3.150573574108786e-10,2.0585260488703726e-10,3747246.595079795,-4597.990356205251,806932.4534761338
9,9.000039684379705e-05,3.4379680844389677e-10,2.157352095933976e-10,4022751.540846242,549.9764298241521,887254.9618192228
10,0.0001000004717718,3.2160593995077474e-10,2.483820249128633e-10,4283090.982127062,2754.943623311937,962375.9963380628
11,0.0001099985017129,-6.508918537048467e-10,1.586957036145362e-09,4523660.178586304,5865.232466474081,1036559.6269101306
12,0.0001199982152612,-7.926634433237443e-10,1.7483152236459061e-09,4733992.2703594975,3074.5880200350584,1097333.6432583462
13,0.0001299981160627,-7.889607260252717e-10,1.867166195453656e-09,4881502.253307793,12989.748279835056,1149894.1415727586
14,0.0001399979517769,-8.70012804079964e-10,2.0997420560543155e-09,4781079.712967791,-21594.20667195568,1157116.011360715
15,0.0001499977057943,-9.770392627885228e-10,2.304459458162518e-09,4820985.792202367,-4634.580692618845,1172025.0452993491
16,0.0001599975162588,-1.0252575379551579e-09,1.619817459758785e-09,4648071.914875122,-64020.53694521585,1112953.1755168273
17,0.0001699843685529,-1.0188544766044362e-08,4.180592568603465e-09,2570942.828629712,-121512.74347871412,539100.0904262078
18,0.0001799736721339,-1.341950019414121e-09,3.5161993070271635e-08,864821.788510768,-92811.30999348764,50721.13917040952
19,0.0001899723402627,-1.3991666199635936e-09,3.703133770347069e-08,897453.1503028218,-102575.10611912757,51989.03152046466
20,0.0001999715444512,-1.3354691569223152e-09,3.8190499135750725e-08,823572.1565099653,-95261.113974791,31760.477923710383
21,0.0002099701841638,-1.409546478943717e-09,4.020980258103456e-08,864747.0162983229,-100020.54089554166,33355.614667435984
22,0.0002199683457619,-1.512123772157005e-09,4.254907281672749e-08,865291.8307275593,-78968.62287111284,33521.094806900706
23,0.0002299668409227,-1.5427434767015766e-09,4.455849303731341e-08,894091.0557873888,-80023.4078088465,36297.98109707926
24,0.0002399651799464,-1.8293022338831306e-09,4.648781166661847e-08,539650.0812061907,-96039.56229966693,25169.53800091762
25,0.0002499672988733,-1.330805021232222e-09,4.366454964674853e-08,529056.8994732997,-90035.77772933323,20916.563874842584
26,0.0002599657887158,-1.366773149360326e-09,4.5951004769296055e-08,499831.7802788919,-94073.4079295781,18026.95020650202
27,0.0002699643609318,-1.3759833674128391e-09,4.8033067600911857e-08,483465.49575568654,-103090.63732232148,12142.869426193673
28,0.0002799630262735,-1.432499543036809e-09,4.9826464168900594e-08,497297.71497967775,-108406.10383647692,10885.347615802544
