t,eps_xx,eps_xy,eps_yy,sig_xx,sig_xy,sig_yy
0,0.0,0.0,0.0,0.0,0.0,0.0
1,5.999784786939576e-06,7.217555941990942e-11,1.2528558498735883e-11,298294.4113047439,-199.4432513800569,61713.21030029886
2,1.1999881997700167e-05,1.0317715573409164e-10,-4.430695657116273e-11,596607.5919099406,-399.1693819169497,123431.36028098175
3,1.7999982758491886e-05,1.3487076478539848e-10,-1.0463590158964867e-10,894920.8180568885,-598.8940734668549,185149.52923335056
4,2.400008120023007e-05,1.6492946239107758e-10,-1.6244431650248164e-10,1193234.0444502842,-798.6187542616727,246867.70054457616
5,3.000018134164083e-05,1.9675330841498846e-10,-2.187538808869341e-10,1491547.2707161652,-998.343439839465,308585.8715174193
6,3.600028142192682e-05,2.2752163738322307e-10,-2.7881455167574937e-10,1789860.4969154526,-1198.0681280915726,370304.04110133176
7,4.2000380268496966e-05,2.578644881963932e-10,-3.3746534681759764e-10,2088173.723250077,-1397.792805805895,432022.2061998932
8,4.800047967958372e-05,2.890429013353194e-10,-3.969740202597157e-10,2386486.949503583,-1597.5174995516209,493740.37226443744
9,5.400086629959633e-05,3.2679347811953305e-10,-4.895114913528035e-10,2682549.35931842,-1774.0139165046212,555714.6199485144
10,6.000097806238442e-05,3.6068151948255695e-10,-5.474958979727631e-10,2964982.054249843,-1434.0058179322737,618202.0770171015
11,6.60011025178857e-05,3.8320355563111006e-10,-6.064160297504655e-10,3233575.706927948,-2027.2364194181232,679627.1356148849
12,7.200178118577331e-05,8.187203050167259e-10,-7.424222320615145e-10,3454446.206827661,-4923.071424793177,737515.7709045997
13,7.80020211439439e-05,8.510539509635253e-10,-8.049546670311096e-10,3672559.845900282,-5004.557310664188,792907.2778311257
14,8.400219145825459e-05,9.266844531619821e-10,-8.619562836798394e-10,3864500.8975088703,-7761.341264057761,844350.1947191138
15,9.00024202005763e-05,1.0359034433087904e-09,-8.984671764511814e-10,4057340.570358159,-9657.20494580389,894433.2540317468
16,9.600261630612428e-05,1.022107239476354e-09,-1.011949926910362e-09,4216315.67575127,-7809.807354170489,942882.9364549476
17,0.0001019816249145,-2.894170834520692e-09,2.0477042637440434e-09,4369760.108216673,-6772.053544171193,985565.7372157824
18,0.0001079804158172,-3.0425281745189003e-09,2.301103820627702e-09,4492800.176769659,-2594.3578175642538,1025847.8127598696
19,0.0001139797189908,-2.9865466374724732e-09,2.5305746791164607e-09,4653214.9961544685,-4516.551206872667,1072174.9200576737
20,0.0001199788616235,-3.192516147517366e-09,2.136622515833557e-09,4482454.230076369,16831.033335762746,1052049.5821156565
21,0.0001259779563872,-3.519477292844225e-09,1.9752216561133038e-09,4402889.838589538,36309.24357729952,1032961.719681042
22,0.0001319777375627,-3.660544991014357e-09,1.880139875771589e-09,4436734.513971848,62545.2234205404,1034294.8376875065
23,0.0001379758844301,-3.701174657961242e-09,2.194847071336044e-09,4577783.047175424,62425.19509196844,1068023.1621560163
24,0.0001439742125445,-3.8839605935357614e-09,1.8025279683520995e-09,4649470.095271923,101630.70322802594,1080280.0502922265
25,0.0001499740605721,-3.963859855920249e-09,1.6346582876505914e-09,4668734.771807079,82354.81442925685,1085432.6709024245
26,0.0001559693814625,-6.1304535075600684e-09,1.2148269647547367e-09,4239476.817208126,103087.27619257846,946932.6672431246
27,0.0001619682402024,-6.495446143143845e-09,1.2251315945573815e-09,4390790.835740162,107256.06779718536,979594.7765579256
28,0.0001679860126657,-1.2609719607225403e-09,2.16042316780592e-09,3178633.461370913,152993.15889861778,690643.619274915
29,0.0001739859207403,-1.5733895773365867e-09,2.376490880654215e-09,3055737.2867145035,187333.10502320976,657478.1167642176
30,0.0001800001064319,-4.884445131313779e-09,-1.4361892875371275e-09,1929985.1504567212,-32475.367687366637,287870.9420852171
31,0.000186001394964,-4.457924099362081e-09,-9.659963203455184e-10,1871803.069305888,-33073.72917001277,261442.7507018635
32,0.0001920024790499,-3.5531767994677102e-09,-7.266580328974984e-10,1861470.3366632245,-59347.30075841869,226624.09565236492
33,0.0001980025697028,-3.848580807811946e-09,-1.2646587507323316e-09,1591739.959643387,-80834.1094252442,172714.25366072278
34,0.0002040026662805,-4.01680509050412e-09,-1.297011073296868e-09,1634346.9608010687,-78525.06132317329,174481.48024670003
35,0.0002100027776855,-4.167751135004133e-09,-1.2842562769395186e-09,1629882.9473767958,-43698.36189867607,159217.1373127585
36,0.0002160028605955,-4.300244624024192e-09,-1.3171412142870406e-09,1675472.5433448711,-43333.35425249444,162517.45746666295
37,0.0002220048033484,-4.820766406469631e-09,-1.6143061455830691e-09,1599401.5289051058,-14920.91722268867,166925.21866097598
38,0.0002280048778003,-5.12802530045915e-09,-1.8109996723126326e-09,1609318.6737524185,-20825.337439598607,167195.81539691586
39,0.0002340050048671,-5.2626621833710545e-09,-1.864387953685165e-09,1646979.202153784,-23876.24538704824,169623.64256523963
40,0.0002400051391259,-5.421970225551331e-09,-1.8945692961320284e-09,1684367.2382214167,-18494.54278472932,169946.12042159296
