t,eps_xx,eps_xy,eps_yy,sig_xx,sig_xy,sig_yy
0,0.0,0.0,0.0,0.0,0.0,0.0
1,8.00019987665391e-06,-1.6107914843838194e-10,-1.1128045399228916e-10,397513.8113068769,363.2142748044663,82482.19757522314
2,1.600026782562667e-05,-1.7572969141322268e-10,-2.2477258838207024e-10,795019.3859288647,738.6824357095816,164959.0061186003
3,2.4000340085692735e-05,-1.9055723405805438e-10,-3.362910126470551e-10,1192524.9669743574,1114.149865709701,247435.8138969708
4,3.20004090667696e-05,-2.0186352080744479e-10,-4.49410353870316e-10,1590030.5487668207,1489.617257082478,329912.6266599106
5,4.000047951567274e-05,-2.1723715794515823e-10,-5.641313053922416e-10,1987536.128869728,1865.0844261597435,412389.4398859112
6,4.800041743443521e-05,-8.802950803059571e-11,-6.788631998658733e-10,2384572.236216232,2276.772623003535,494936.9429332173
7,5.6000484150383405e-05,-1.0237447003654792e-10,-7.848450918965526e-10,2776770.4302370823,2188.7976139746133,577647.3222453862
8,6.400053169329926e-05,-1.0367394852781854e-10,-8.723363571112483e-10,3135778.031399897,2065.333585604531,660961.1638106786
9,7.200048411938288e-05,-1.4872597549110767e-10,-9.486982275915307e-10,3448906.204281715,-1147.6391389575847,740312.3319516393
10,8.000007360526379e-05,7.576639034895108e-11,-7.006951459484422e-10,3737078.216443813,2732.9676390792574,814347.8489987624
11,8.800031992239448e-05,2.3122281953851046e-10,-2.7687339056407985e-10,3978756.671939828,1600.99182290156,883446.6472797669
12,9.600031592031273e-05,2.4156856681291204e-10,-2.9457181293080637e-10,4201795.291823093,8079.785770832535,944027.1257045728
13,0.0001040001953353,2.740056481848836e-10,-2.7770309703540365e-10,4378266.295573476,7038.423595438457,995975.1718017234
14,0.0001120002780912,3.07549125421195e-10,-3.3828900074763305e-10,4574725.566739975,10365.125396653126,1052210.184639239
15,0.0001199998011921,2.0870031999302999e-10,1.6471734494807166e-09,4720150.934640144,4684.312269024762,1099027.233390041
16,0.0001279987504328,-1.7712780884254266e-10,3.223668714846014e-09,4733335.4318109,2765.260924255971,1114400.9464948184
17,0.0001359987162795,-2.1443195045671067e-10,3.4034700040811342e-09,4923398.5171547895,10458.25520367828,1164926.9018081208
18,0.0001439985623638,-1.7841860490222847e-10,3.7201212407038446e-09,5015133.778446074,668.2171807585788,1195107.9281492387
19,0.0001519981787764,-9.043755466833916e-11,3.587571702932634e-09,5077122.131436758,-8676.18246454083,1220466.82909382
20,0.0001599981392901,-1.3830138304223401e-10,3.761534677652776e-09,5060440.425434902,-24046.05569068649,1212406.935732011
21,0.0001679956233331,2.1413607515549782e-10,-2.4467694084860393e-09,2350768.486634966,309690.7460809909,410894.1890972628
22,0.0001759948073769,1.926757590699009e-10,-1.1909927053119904e-09,1079746.6443508598,311171.3818662813,143406.83381021846
23,0.000183994572332,1.97147733473364e-10,-1.249928524724084e-09,1128794.844777875,325271.7304156278,149845.441084477
24,0.00019199412929,5.1386562379116755e-11,-1.169112190173459e-09,1082497.9804826186,369902.92806161614,121702.36799020294
25,0.0001999939402009,9.220621553810079e-11,-1.3140542171938946e-09,1039851.6130310614,396633.1472401027,109421.40398115283
26,0.00020799369409,9.548735971262701e-11,-1.3608291856689676e-09,1067608.409738006,409961.0933522681,109305.78441740092
27,0.0002159934515716,9.861335653857959e-11,-1.415521600625738e-09,1089809.5182962588,422350.0603921168,105133.04201283584
28,0.0002239932983375,1.4738726451654334e-11,-1.649830649122088e-09,825082.1960990534,310940.5295520942,-7186.713199061817
29,0.0002319930508247,1.259446342252704e-11,-1.6790750503968904e-09,841237.4653221675,311117.8223637036,-14963.301360661848
30,0.000239992817191,1.27680080434188e-11,-1.7405947414350402e-09,865576.0075375563,318581.57672124176,-23688.31219610484
31,0.0002479925567825,2.2729982147302835e-11,-1.757367766220774e-09,827329.1224278776,302465.3141068984,-39495.368127669855
32,0.0002559922556208,-3.9215132062287917e-10,-1.883695801233743e-09,854017.9120924639,312216.7462158365,-40764.99977662013
33,0.0002639921042889,3.402441600559207e-11,-1.8940335012284867e-09,877587.4100086904,315576.27502762456,-46691.95648767072
34,0.0002719908680508,-5.3355883366546695e-11,-2.667181955975346e-09,454756.2931669847,120187.49090936314,-62068.51991164864
35,0.0002799904442861,-4.73259843999395e-10,-2.8133481262060246e-09,468131.6373021444,123716.38491694104,-63888.2894073033
36,0.0002879902539549,-5.852449134772673e-11,-2.8201834798102715e-09,480504.493812412,127909.96839456016,-65712.9437249369
37,0.0002959899186132,-4.855988077821478e-10,-2.9769749821970572e-09,493852.7231526792,131457.20378430476,-67533.85210615178
38,0.0003039896479851,-4.86741711665735e-10,-3.054357008417968e-09,507200.07069643633,135010.2568162398,-69359.22709617026
39,0.0003119891739616,-4.062901281004667e-11,-2.3761158996295478e-09,488712.06623387313,114856.26325110838,-64889.82872789347
40,0.0003199888285618,-4.623010138159034e-10,-2.523645586670488e-09,501243.9422188816,117795.47694916531,-66548.95857016458
41,0.0003279886212177,-3.7771196340959455e-11,-2.483928907981353e-09,494594.2359130008,123241.73406545838,-73558.175917203
42,0.0003359881896613,-4.620823424430242e-10,-2.6545183034458094e-09,506658.0381251477,126241.46396836148,-75347.540775898
43,0.0003439879140602,-4.6302842836083635e-10,-2.714661499698625e-09,518721.3118138235,129247.357071593,-77141.6576418977
44,0.0003519876364585,-4.641990757021821e-10,-2.774773194083351e-09,530784.5853911233,132253.25287697156,-78935.7602028412
45,0.0003599879169636,-1.0838571004990513e-10,-3.218111931268639e-09,413585.3435840461,39172.78954003375,-9044.9235971017
46,0.0003679872373317,-2.9378570044226426e-10,-2.9880956027579863e-09,409696.3069749838,15940.221466371628,-17849.406007105772
47,0.0003759868688142,-7.455551002688531e-10,-3.164931091637825e-09,418603.8092140917,16280.657328400435,-18233.61997576251
48,0.0003839862720498,-2.5334627552359846e-10,-1.3849329912470579e-09,375456.1282018616,-40965.20867523038,-4980.966150771531
49,0.000391985991693,-2.6497834221705187e-10,-1.4256913078596804e-09,363328.0297758988,-49046.50984129257,-13602.778128021842
50,0.000399985706324,-2.695058729575729e-10,-1.4548539032835276e-09,370621.1083206248,-49947.94974191163,-13907.416411280215
51,0.0004039855009963,1.9996993717632182e-06,5.998491247748611e-06,373507.3907496347,-20963.034256962557,232568.31800699947
52,0.0004079855279149,3.9994332411558905e-06,1.1998550503187492e-05,376501.8988642435,8185.501741665928,479148.7906736341
53,0.0004119850883711,5.999653462587083e-06,1.7998398981185488e-05,348280.38080373546,36000.058955599874,717213.8812119876
54,0.0004159851486954,7.999395423693996e-06,2.399838220985789e-05,350884.7308634533,64127.769382899576,963339.5854857812
55,0.0004199849467514,9.999738777874007e-06,2.9998141491930144e-05,200856.552881809,-103741.0556388506,1133629.7683681413
56,0.0004239845209218,1.1999514801312529e-05,3.599805096317391e-05,199939.88693577703,-87119.47515981895,1372863.2311587003
57,0.0004279844762002,1.399954617101494e-05,4.1997779057424296e-05,198927.4404728601,-73367.65119696739,1605457.9499343175
58,0.0004319842939068,1.5999506335072808e-05,4.799766138685352e-05,197999.20610337175,-57264.10791445807,1843192.3169781456
59,0.0004359841188955,1.799947663562461e-05,5.399754807003244e-05,196916.26944174696,-40448.48017079326,2073660.2297525185
60,0.0004399839427425,1.999944454978086e-05,5.999743655373956e-05,195411.4341441024,-22053.440047691125,2289318.290371708
61,0.0004439837597717,2.1999410657892383e-05,6.599732454082226e-05,194250.37969763373,-5085.748118564511,2482524.2610448957
62,0.0004479835741555,2.3999461000977008e-05,7.199730476917911e-05,181975.08303726357,44571.82637078638,2648806.253119866
63,0.0004519833898448,2.599940327550495e-05,7.799718879373216e-05,182387.0093850681,53721.40128250064,2786396.6834440185
64,0.0004559832228688,2.799935187491011e-05,8.39970381631715e-05,182656.8428464756,63962.88771266608,2947314.3685611635
65,0.0004599830404351,2.9999294212784888e-05,8.999691315927808e-05,182821.13889215255,74133.41296331747,3088542.4629778177
66,0.0004639828884207,3.199920007177348e-05,9.599669892273783e-05,187204.6297641462,42014.6603835026,3214379.927162346
67,0.0004679827295716,3.399913013930211e-05,0.0001019965157181,187822.06458377768,47845.476297433845,3315701.1769444863
68,0.0004719825513798,3.5999077657002565e-05,0.0001079963740253,188652.9795857447,52961.77054297648,3422220.9217192084
69,0.0004759824311464,3.799899554497584e-05,0.000113996072687,188872.53572181292,59770.870765224696,3433722.001766385
70,0.0004799822745282,3.99989339413297e-05,0.0001199958760836,189772.44091617104,63808.9258334039,3557593.891725153
71,0.0004839822398171,4.199866828016672e-05,0.0001259953353096,186993.2791526469,68590.82549915022,2568557.7432402195
72,0.0004879823880353,4.39983997975943e-05,0.0001319942159803,184095.2044614132,91356.77843989812,2322661.8813960725
73,0.0004919822416154,4.599832764271605e-05,0.000137993978811,184605.84545079453,97100.36440985384,2413278.7936766166
74,0.000495982081704,4.799822444815165e-05,0.0001439938171537,185230.65362303445,97005.6457882882,2228048.1499385247
75,0.0004999819384407,4.999814897472701e-05,0.0001499935982339,185704.47652134785,101584.38619458344,2280907.079880048
