t,bbr,C_1111,C_1112,C_1122,C_1222,C_2222,C_1212,eps_1_xx,eps_1_xy,eps_1_yx,eps_1_yy,sig_1_xx,sig_1_xy,sig_1_yx,sig_1_yy,eps_2_xx,eps_2_xy,eps_2_yx,eps_2_yy,sig_2_xx,sig_2_xy,sig_2_yx,sig_2_yy,eps_3_xx,eps_3_xy,eps_3_yx,eps_3_yy,sig_3_xx,sig_3_xy,sig_3_yx,sig_3_yy
0,0.0,49739986794.16196,-44795702.1020082,10261813982.742638,46906135.98157974,49737839732.08755,19143135630.04501,9.999708002986013e-09,-1.950309865175273e-13,-1.0141522058290765e-13,2.380899188853496e-14,497.38882297161234,-0.4268081647402633,-0.4254290585667772,102.595828721005,3.391611617582775e-13,-3.84052687418127e-12,-1.7614930933248617e-13,9.999060231118892e-09,102.64593624989747,0.3809292141386445,0.3795644370526558,497.3318149436736,2.4584396675041206e-14,9.997202689042583e-09,1.0000224936455536e-08,-1.7574468200441898e-12,-0.8678277005814267,382.7979885638752,382.8286363625991,0.7776178836284171
1,0.0,49739986794.16196,-44795702.1020082,10261813982.742638,46906135.98157974,49737839732.08755,19143135630.04501,9.999708002986013e-09,-1.950309865175273e-13,-1.0141522058290765e-13,2.380899188853496e-14,497.38882297161234,-0.4268081647402633,-0.4254290585667772,102.595828721005,3.391611617582775e-13,-3.84052687418127e-12,-1.7614930933248617e-13,9.999060231118892e-09,102.64593624989747,0.3809292141386445,0.3795644370526558,497.3318149436736,2.4584396675041206e-14,9.997202689042583e-09,1.0000224936455536e-08,-1.7574468200441898e-12,-0.8678277005814267,382.7979885638752,382.8286363625991,0.7776178836284171
2,0.0,49739986794.16196,-44795702.1020082,10261813982.742638,46906135.98157974,49737839732.08755,19143135630.04501,9.999708002986013e-09,-1.950309865175273e-13,-1.0141522058290765e-13,2.380899188853496e-14,497.38882297161234,-0.4268081647402633,-0.4254290585667772,102.595828721005,3.391611617582775e-13,-3.84052687418127e-12,-1.7614930933248617e-13,9.999060231118892e-09,102.64593624989747,0.3809292141386445,0.3795644370526558,497.3318149436736,2.4584396675041206e-14,9.997202689042583e-09,1.0000224936455536e-08,-1.7574468200441898e-12,-0.8678277005814267,382.7979885638752,382.8286363625991,0.7776178836284171
3,0.0,49739986794.16196,-44795702.1020082,10261813982.742638,46906135.98157974,49737839732.08755,19143135630.04501,9.999708002986013e-09,-1.950309865175273e-13,-1.0141522058290765e-13,2.380899188853496e-14,497.38882297161234,-0.4268081647402633,-0.4254290585667772,102.595828721005,3.391611617582775e-13,-3.84052687418127e-12,-1.7614930933248617e-13,9.999060231118892e-09,102.64593624989747,0.3809292141386445,0.3795644370526558,497.3318149436736,2.4584396675041206e-14,9.997202689042583e-09,1.0000224936455536e-08,-1.7574468200441898e-12,-0.8678277005814267,382.7979885638752,382.8286363625991,0.7776178836284171
4,0.0,49739986794.16196,-44795702.1020082,10261813982.742638,46906135.98157974,49737839732.08755,19143135630.04501,9.999708002986013e-09,-1.950309865175273e-13,-1.0141522058290765e-13,2.380899188853496e-14,497.38882297161234,-0.4268081647402633,-0.4254290585667772,102.595828721005,3.391611617582775e-13,-3.84052687418127e-12,-1.7614930933248617e-13,9.999060231118892e-09,102.64593624989747,0.3809292141386445,0.3795644370526558,497.3318149436736,2.4584396675041206e-14,9.997202689042583e-09,1.0000224936455536e-08,-1.7574468200441898e-12,-0.8678277005814267,382.7979885638752,382.8286363625991,0.7776178836284171
5,0.0,49739986794.16196,-44795702.1020082,10261813982.742638,46906135.98157974,49737839732.08755,19143135630.04501,9.999708002986013e-09,-1.950309865175273e-13,-1.0141522058290765e-13,2.380899188853496e-14,497.38882297161234,-0.4268081647402633,-0.4254290585667772,102.595828721005,3.391611617582775e-13,-3.84052687418127e-12,-1.7614930933248617e-13,9.999060231118892e-09,102.64593624989747,0.3809292141386445,0.3795644370526558,497.3318149436736,2.4584396675041206e-14,9.997202689042583e-09,1.0000224936455536e-08,-1.7574468200441898e-12,-0.8678277005814267,382.7979885638752,382.8286363625991,0.7776178836284171
6,0.0,49739986794.16196,-44795702.1020082,10261813982.742638,46906135.98157974,49737839732.08755,19143135630.04501,9.999708002986013e-09,-1.950309865175273e-13,-1.0141522058290765e-13,2.380899188853496e-14,497.38882297161234,-0.4268081647402633,-0.4254290585667772,102.595828721005,3.391611617582775e-13,-3.84052687418127e-12,-1.7614930933248617e-13,9.999060231118892e-09,102.64593624989747,0.3809292141386445,0.3795644370526558,497.3318149436736,2.4584396675041206e-14,9.997202689042583e-09,1.0000224936455536e-08,-1.7574468200441898e-12,-0.8678277005814267,382.7979885638752,382.8286363625991,0.7776178836284171
7,0.0008,49726422235.66031,-45140439.3448755,10263344134.975876,46428147.82799728,49738603260.67106,19142701354.682884,9.999683522259536e-09,-2.0645098241777052e-13,3.8797748186802405e-14,2.6594314269185802e-14,497.2514121223914,-0.4285830214507347,-0.427205154942621,102.60990981464576,2.862282561560134e-13,-4.286346893495295e-12,-1.534568580718843e-13,9.998840758796297e-09,102.65746635804456,0.364249356246677,0.3628858032509512,497.3285671349915,2.547362168619949e-13,9.997583602122192e-09,1.0000014147281276e-08,-1.6722396523714765e-12,-0.8659669124437858,382.7925412604816,382.8231842951992,0.7741645610399389
8,0.0031,49686456059.87481,-45150572.31232929,10266773072.652224,46831319.3656386,49736870092.709,19140022612.17612,9.999748173297732e-09,-2.271988796414116e-14,-2.898971129935205e-14,-1.980731752037568e-13,496.85281606475166,-0.4211380718243048,-0.4197517790149778,102.63071949039195,7.547931622989813e-14,-4.469383163850967e-12,4.3325977298608864e-14,9.998286311093177e-09,102.6785232114744,0.3712278147826205,0.3698659199688946,497.2813871997862,1.7690221663352466e-13,9.997548376468496e-09,9.999854620700397e-09,-9.65642048931449e-13,-0.8737574244911742,382.7352434593278,382.7658787927517,0.8065538814608677
9,0.0094,49545947274.12292,-45695445.58165316,10270861968.64492,46023303.71213135,49734099358.72635,19127750233.026405,9.999722456397382e-09,-3.794861437985376e-13,-9.69249950573059e-14,2.3419526099637153e-13,495.4507161639565,-0.4374980156500739,-0.4360477804880576,102.6879027884853,4.85961817903071e-13,-4.7096689190415525e-12,-2.1929766645336842e-13,9.99853476234199e-09,102.74726876981651,0.3463113999929563,0.3449371326535599,497.27045337124366,-1.0455824262391009e-13,9.99808166743904e-09,1.0000259147976396e-08,-1.5665439234462157e-12,-0.8967013004659246,382.5077944151997,382.5383748766552,0.7709848464802025
10,0.0205,49163243880.26812,-35539044.903907925,10264118340.468807,48471855.61385595,49724951483.2793,19079410361.40024,9.999824203992156e-09,1.1703097672756112e-13,1.265341623598372e-13,1.423997142726129e-13,491.6279522088025,-0.3210833808965694,-0.3196866224193638,102.61928635830547,4.041372889351694e-13,-3.649409509694676e-12,-1.1526822314726374e-13,9.999350670064936e-09,102.6817690881557,0.4154522806591302,0.4140745338483103,497.2185651169812,-2.8968865288873773e-13,9.996256792932244e-09,9.999884529169742e-09,-2.439649207715549e-12,-0.7090878514625147,381.4991486067922,381.5296810625919,0.7706207350679343
11,0.0449,48266105317.07411,-15735965.502077824,10214980592.528652,50147544.97504655,49682266720.61343,18935283241.80792,9.999859661962032e-09,-1.747426242569612e-13,-4.613142825390242e-13,-3.417227235419107e-13,482.6541300724392,-0.1607799913718457,-0.1593556259505763,102.11321520917932,-1.4543204653720974e-14,-3.174085320214555e-12,-7.385058842824604e-13,9.999841557324013e-09,102.16615714969242,0.4193648858275028,0.4180451432978703,496.811201989609,7.984525434954947e-14,9.996748491443488e-09,9.999937429964136e-09,-1.966397475430924e-12,-0.3172947588821668,378.6277217204275,378.65777049059295,0.8246813814087538
12,0.0685,47473293852.51407,-12709819.901639575,10159054982.750427,44302428.55135211,49633136710.779816,18824195282.783367,1.0000008470589884e-08,-5.947225952569819e-13,-5.3026439523913305e-14,3.665025753504297e-13,474.7303363730044,-0.1327806410259631,-0.1325596523082289,101.58627931116044,-2.950618057956522e-13,-3.384484300774928e-12,-3.4091309477974215e-13,9.999354629771772e-09,101.59115482696508,0.3679620417321669,0.3664948607124708,496.3029849798051,7.293511714835018e-13,9.996936556678045e-09,9.999393555174168e-09,-1.6035554990376773e-12,-0.2336602563104826,376.4000885127276,376.4292800200423,0.7295743209470986
13,0.0955,46655632928.0852,23279993.18237101,10118589903.29579,61773309.090637006,49591567448.985504,18700025217.983723,1.0000208260122313e-08,-1.6824879043368368e-13,3.741863796832882e-13,1.0046138535751305e-13,466.5694568859332,0.2240408542948835,0.2237292263332298,101.16225156592412,3.3571569268435786e-13,-3.934141821753429e-12,2.225308505352141e-14,9.997296906375725e-09,101.20566888818335,0.5302649858473011,0.5289265275527893,495.7826232518671,5.927239680179432e-13,9.997327560526683e-09,9.999694047607935e-09,-2.737264955420556e-13,0.4417641864879136,373.9299141265725,373.9592724821112,1.1110313244905026
14,0.1265,45477257450.576935,24781068.09525669,10017189817.641409,50494758.79746854,49507172482.18527,18515679539.025032,1.000009932259622e-08,4.874254301555082e-13,-4.168982794323773e-13,4.778337185498221e-13,454.7827132200179,0.2264585511591229,0.2257384155497605,100.1807655436789,5.632980247485895e-13,-3.1619975459099346e-12,2.369650376950144e-13,1.0001851279756334e-08,100.23217563082136,0.4250467691482626,0.4237823409131257,495.1682321028424,-7.985617918935124e-13,9.99954928236386e-09,9.99969779791477e-09,1.3616056729715492e-12,0.4322501922105466,370.2850554009642,370.3139752443097,0.9823391782227852
15,0.1622,44175420448.28967,26530905.86737476,9883558789.920568,51880133.89030463,49397334281.82378,18291108709.05845,1.0000020457339813e-08,5.773845260109997e-13,-3.7496807062706977e-13,1.080038299056607e-12,441.7552246123649,0.2445988811499802,0.2444341487277341,98.86750928188982,1.1418141179874104e-14,-3.24869772588772e-12,9.296295712609408e-14,1.0002626623821449e-08,98.87811865076934,0.4273750796137468,0.4262652123348154,494.11380591577466,1.4135383481354314e-13,9.999146277472232e-09,9.999712282772924e-09,7.096325200088018e-13,0.4999319415079561,365.7873895516343,365.8149083411865,0.9898676272039852
16,0.1892,43341249606.63507,-11504469.005959868,9797212998.10102,42323023.185556345,49313530004.43457,18145759045.19002,9.999948397447288e-09,8.544787382273764e-13,-2.046552492750003e-13,8.502374041393779e-14,433.4097115360756,-0.0973833299526011,-0.0977100644170954,97.95861373892468,-5.5297102178848834e-14,5.400012059568768e-12,-7.877405493524527e-14,1.0002502863351247e-08,98.01062731597553,0.4828402440243386,0.4818323908076241,493.25955413141776,4.710116312048272e-13,1.0002244529331576e-08,1.0000094808833309e-08,-1.2331634960203574e-13,-0.1706372934847715,362.9440892641426,362.9716103410464,0.844904945642091
17,0.2167,42360055644.30443,-40202854.724845126,9669412880.732996,52064582.16462189,49219137362.897575,17953854625.981102,9.999887182858381e-09,8.168814569985267e-13,-1.201878209291071e-13,5.777627100964443e-13,423.60074656544776,-0.3676006893170811,-0.3633858757810673,96.71809286490276,5.13782504240699e-13,4.586512176481788e-12,-4.5185793573486294e-13,1.0002184510869873e-08,96.73994620956668,0.5630146383662632,0.5628839190614353,492.3044870925494,-5.4941534827867047e-14,1.0003201352541392e-08,1.0000050599253082e-08,1.2774347848753854e-13,-0.7388512413891106,359.12415969149464,359.14716375269205,1.0196211295140276
18,0.2474,41091885254.97178,-33060996.777571905,9506298940.6617,82628956.6753683,49027699947.52709,17710103046.47082,9.999362847141578e-09,1.143702885173136e-12,9.08644945851246e-14,2.1652705964217765e-13,410.897324292824,-0.2889979092171154,-0.2853469132891051,95.05201795611724,4.912713104716664e-13,5.038917071751323e-12,-1.5755979014193957e-13,1.0001769820657713e-08,95.1177025343411,0.8556697425133957,0.8556817686937358,490.3658997917527,4.413542996530129e-13,1.0002686094006915e-08,9.999545065601796e-09,9.71363866298968e-13,-0.5836630122465426,354.23094569225447,354.2529147502085,1.6417140643302617
