t,bbr,C_1111,C_1112,C_1122,C_1222,C_2222,C_1212,eps_1_xx,eps_1_xy,eps_1_yx,eps_1_yy,sig_1_xx,sig_1_xy,sig_1_yx,sig_1_yy,eps_2_xx,eps_2_xy,eps_2_yx,eps_2_yy,sig_2_xx,sig_2_xy,sig_2_yx,sig_2_yy,eps_3_xx,eps_3_xy,eps_3_yx,eps_3_yy,sig_3_xx,sig_3_xy,sig_3_yx,sig_3_yy
0,0.0,49734789479.625206,-32616078.71585932,10268698178.298584,32228375.960199025,49735369985.33417,19163042696.331097,1.0000426922929723e-08,-5.77806815874227e-14,-1.0285281518400929e-13,2.2220890471701334e-13,497.3680640899784,-0.3137339339467687,-0.3138377402254201,102.69304357693676,-1.0411981474287901e-13,-4.118057497821258e-14,1.7565266661957221e-13,1.0000156066339725e-08,102.6927865050206,0.3073091654528002,0.3074135989830572,497.3637319341345,-1.7642752686357546e-13,9.999597889764298e-09,9.999931682633532e-09,-3.896772164211195e-13,-0.6188272541020552,383.2561443017513,383.2475518928544,0.5917678494115227
1,0.0,49734789479.625206,-32616078.71585932,10268698178.298584,32228375.960199025,49735369985.33417,19163042696.331097,1.0000426922929723e-08,-5.77806815874227e-14,-1.0285281518400929e-13,2.2220890471701334e-13,497.3680640899784,-0.3137339339467687,-0.3138377402254201,102.69304357693676,-1.0411981474287901e-13,-4.118057497821258e-14,1.7565266661957221e-13,1.0000156066339725e-08,102.6927865050206,0.3073091654528002,0.3074135989830572,497.3637319341345,-1.7642752686357546e-13,9.999597889764298e-09,9.999931682633532e-09,-3.896772164211195e-13,-0.6188272541020552,383.2561443017513,383.2475518928544,0.5917678494115227
2,0.0,49734789479.625206,-32616078.71585932,10268698178.298584,32228375.960199025,49735369985.33417,19163042696.331097,1.0000426922929723e-08,-5.77806815874227e-14,-1.0285281518400929e-13,2.2220890471701334e-13,497.3680640899784,-0.3137339339467687,-0.3138377402254201,102.69304357693676,-1.0411981474287901e-13,-4.118057497821258e-14,1.7565266661957221e-13,1.0000156066339725e-08,102.6927865050206,0.3073091654528002,0.3074135989830572,497.3637319341345,-1.7642752686357546e-13,9.999597889764298e-09,9.999931682633532e-09,-3.896772164211195e-13,-0.6188272541020552,383.2561443017513,383.2475518928544,0.5917678494115227
3,0.0002,49734292673.109024,-33870164.757928915,10268230238.34586,31446890.44566069,49734796760.83045,19161886110.862625,1.0000485429549e-08,3.2490414348792385e-14,4.2998737152535954e-15,3.8903358147688186e-13,497.3680128193474,-0.3197289995532195,-0.3198342869648684,102.69930170241255,9.190860051192553e-14,2.5154482266395245e-14,2.610153530489784e-13,1.0000054735798964e-08,102.6947867093662,0.3054761201105959,0.3055796084537626,497.35466848204686,3.686233167675481e-15,9.999561619414033e-09,1.0000030761415596e-08,-5.432208928841713e-13,-0.6357048217181016,383.2342165645282,383.2256209455725,0.5703838538306379
4,0.0019,49721579001.2899,-46503822.1557761,10260792992.348568,13211689.701326651,49712879695.25791,19143838417.402657,1.0000366641167773e-08,-2.860804598998997e-14,1.2111022033225552e-14,3.93446547567357e-13,497.2329679799678,-0.4430678430726197,-0.4431611176499349,102.63030578335038,-1.0336316173560526e-13,3.14067957984071e-13,1.355100953817125e-16,9.999942291659793e-09,102.60316653363982,0.1328487238399667,0.1329510249171551,497.12995917383233,-1.938356301132331e-13,9.999923346591392e-09,1.0000463809679268e-08,-4.690656209460418e-13,-0.8784749476546125,382.8884756487949,382.879893606708,0.2305157729879615
5,0.0107,49560294067.89199,-161669253.26147804,10204032344.41044,-93105673.47544782,49576083745.27571,19027206271.52421,1.000014287325002e-08,8.410478835832987e-13,1.503393930657608e-13,1.4895915318858769e-13,495.6112379039856,-1.5101948232657765,-1.5105377599622396,102.04407608700204,1.1945293730513966e-13,1.905916555972867e-14,-8.708661753808873e-14,1.0000021844105933e-08,102.05153563908,-0.8782890319135922,-0.8783659919179714,495.7634295006341,1.6100886187312012e-14,9.998493004971496e-09,9.999548576197162e-09,1.2404906363447773e-13,-3.0374123972539846,380.5112442412964,380.5021908779283,-1.746968734682541
6,0.0277,49315403067.78928,-340898653.7873071,10098130898.718128,-288783106.4550303,49269978133.55042,18844697938.367256,9.999994292738972e-09,5.505994694643755e-13,3.027104446157394e-13,-2.832192013440029e-13,493.15469800494753,-3.1974728003323816,-3.1978410401496133,100.96667092911764,1.0099569645558293e-13,-1.6958922529522693e-13,2.874347680548898e-13,9.999993238745308e-09,100.98677131655108,-2.720657656653696,-2.720771115469073,492.69658941285365,2.207807214805598e-13,9.999344823194634e-09,9.999823823675473e-09,-4.420386379329454e-15,-6.414373763763117,376.88254833522,376.8734238439561,-5.4399613853410695
7,0.0522,48861377266.716,-636580664.8741082,9921191032.91051,-620865397.641345,48712870587.3784,18552111604.47654,9.999985868420918e-09,4.937477261089727e-13,1.615599267197351e-13,2.17142373319218e-14,488.6136576354486,-5.99134345071981,-5.991534216138514,99.21579555543356,4.33100436790082e-14,-1.922880038320189e-13,3.137827193096523e-13,1.0000411806719093e-08,99.2152431467764,-5.854011183728346,-5.852878257572577,487.1489423553776,-2.426198014355322e-13,9.998937444638897e-09,1.0000025355496126e-08,6.696219497392754e-14,-12.005893415046442,371.02659557878656,371.0184557835886,-11.698790078068887
8,0.0711,48428717831.46074,-866038143.0625741,9787483478.642435,-843048567.8412309,48326715235.27879,18342353982.00456,1.0000127472567329e-08,4.1651068975087634e-13,1.0795546868759613e-13,2.3108417944741552e-14,484.2933359224159,-8.158303417203141,-8.156963535248577,97.88113259625932,-6.364184087996045e-15,-1.2940657728850264e-13,1.1615182191849146e-13,1.0000249608525478e-08,97.87308554104165,-7.949783827667728,-7.948357186233389,483.2794422405497,-5.699001028928818e-14,9.998377705769203e-09,1.0000104465758328e-08,-1.2081247556160285e-15,-16.326658065974335,366.8222303772099,366.815412716696,-15.89357287519964
9,0.0949,47885888422.20665,-1148359279.3010552,9628486893.532784,-1117958083.533002,47819912066.34572,18083461882.18307,1.0000089556656416e-08,4.0419801265186953e-13,2.3316340363997853e-13,-1.2552999097775637e-13,478.8638334806319,-10.813128128414103,-10.811830476737576,96.2790041410285,4.533373704245768e-14,-6.584645903378405e-14,2.2227684016531738e-13,1.000047662435422e-08,96.2931298146356,-10.538261678759325,-10.53676036595353,478.22125879383486,-2.071176541797163e-13,9.999570778855013e-09,9.999649997358213e-09,-5.260660319335755e-13,-21.65937102950076,361.6576529720213,361.65093050806246,-21.095657930394605
10,0.1134,47475305209.17957,-1386541048.93856,9513755515.241589,-1327842025.454357,47404407504.66452,17870090832.776466,1.0000032871685182e-08,3.2772903846221614e-13,-5.3779785246534103e-14,3.0920196139750164e-13,474.75214227783823,-13.071794592216207,-13.070893538506947,95.1552617377736,-2.635926167675084e-13,-1.151277585774804e-13,-8.563988452457725e-14,9.999765269894942e-09,95.12078187672512,-12.527683004169896,-12.526162245799531,474.0364964783911,-2.8652741455731314e-14,9.999351538099044e-09,9.99982848157161e-09,-4.84785553689647e-13,-26.140325185530344,357.3906024357653,357.3835111123508,-25.05061045416525
11,0.1408,46856476007.185936,-1685584141.3325517,9354047892.31875,-1619979615.0348809,46873824520.79536,17587322974.144196,9.999903585578013e-09,-5.649748356327609e-13,-2.477519521969913e-14,-1.760225554759043e-13,468.5593520913319,-15.906821282497477,-15.90626473472858,93.52764009235705,-9.439227583386552e-14,-3.867056710855712e-13,2.1364496512262485e-13,1.0000163282497456e-08,93.54010047593306,-15.27976811619172,-15.278192060110191,468.7431344678304,4.6802502476275066e-15,1.0000973167405e-08,1.000019403221802e-08,7.319655120746206e-13,-31.783770192691424,351.77188865750617,351.7644893118972,-30.52286111899575
12,0.169,46269184627.90163,-2029312943.0315528,9146183086.891186,-1972259793.421928,46191488287.68099,17266205988.14736,1.000013623141652e-08,1.481515852271457e-12,-1.9801775443543106e-13,-1.663187964012621e-13,462.6990393551321,-19.11190642989876,-19.111453284774534,91.4567956943937,1.1069252793134519e-13,7.522971381067719e-13,-1.3084054259466568e-13,9.99993215293132e-09,91.4655980508354,-18.58362110638344,-18.5821232500445,461.9110131334298,6.407711728363264e-14,9.997985382830257e-09,1.0000167182655365e-08,-4.2212449587728694e-13,-38.25037397718259,345.29249749830245,345.2847255445202,-37.192806363229934
13,0.1887,45827848322.92992,-2246542555.004499,9022038192.488312,-2178196468.2432942,45753325410.799706,17066077982.220549,1.0000261771099008e-08,1.676948321137279e-12,8.141067353477989e-14,-2.307008866269178e-13,458.2917718332672,-21.15759777265928,-21.15088945223165,90.21819294936265,1.651957049295786e-13,5.756608013423556e-13,1.164187430420189e-13,1.0000065143428373e-08,90.22228176252746,-20.52751893768749,-20.526833906360952,457.5341225326629,9.355251105296517e-14,9.997767860067624e-09,9.999799976067348e-09,1.503017758974222e-14,-42.34017754711032,341.2786968054815,341.2711209658741,-41.05403768782924
14,0.2086,45287206888.63205,-2505435882.132648,8861728633.478943,-2401058592.570874,45292769022.622925,16837519989.83568,1.00001130742803e-08,1.3658879681598078e-12,-2.360981687128671e-13,-1.0406731957567493e-13,452.8783507075835,-23.61505201355229,-23.60849830612916,88.62030534017508,4.635658062659719e-14,3.428065031406501e-13,-3.997915880781778e-13,9.999891493736533e-09,88.61174084347701,-22.63595744851167,-22.635056603357683,452.9212099764625,-3.173257095230044e-13,9.997489245566742e-09,1.0000005485065501e-08,2.842417205732514e-13,-47.23579149337359,336.7095436505757,336.7018135087648,-45.25957984265286
15,0.2293,44899875376.67965,-2717646952.6579275,8730804764.700056,-2650168343.744756,44743102298.92116,16630357994.28074,1.000037606375223e-08,1.3129145442163632e-12,1.5402646425484802e-13,2.3106227451886738e-15,449.0146409290985,-25.610313820916453,-25.603061565026746,87.31228889988515,-2.0215728550190082e-13,3.809078736842749e-13,9.973042532803709e-14,1.0000139736920634e-08,87.2992280227751,-24.974327908652025,-24.971367473266337,447.436430225186,-2.990939750277368e-13,9.997502320786288e-09,1.000012349448093e-08,3.461773660544808e-13,-51.23276486403198,332.5641787114184,332.561258510531,-49.95430549096499
16,0.251,44374838530.44387,-2942023142.479686,8583191623.606745,-2895618032.067249,44164078795.032295,16416522391.489525,1.0000381114675689e-08,1.2190506343529793e-12,3.9946532485840993e-13,7.117564939140635e-14,443.76482597859473,-27.716383617059453,-27.71161472579441,85.84133641934744,-8.5135885225214e-14,5.6837482168748524e-14,-4.033990056583533e-13,1.0000154502455886e-08,85.82704305863882,-27.3045138471497,-27.30335331174356,441.6485135034004,-9.352691151095534e-14,9.997979601678892e-09,9.999966671820868e-09,-1.066479537983704e-13,-55.46642812681744,328.29550086003,328.2908801717555,-54.599155283522975
17,0.2753,43781138414.55719,-3219487494.7605934,8403769717.294158,-3157936664.918975,43629461652.310326,16178342597.364388,1.0000167496421548e-08,1.4418198429292465e-12,1.2041097223087822e-13,-7.267068305365859e-13,437.8176170117047,-30.34076329536591,-30.336536776427028,84.00300475185388,-1.7894193020859074e-13,3.057761738385479e-13,-3.908508500186411e-14,1.0000396680786374e-08,84.0357247026662,-29.768318114749373,-29.76745464442946,436.30368036717647,-1.327892534774492e-13,9.997748464297372e-09,9.999123689670346e-09,7.170590888910873e-13,-60.68638556576282,323.51343402237984,323.5079954465486,-59.50976044863236
18,0.2945,43263946459.84493,-3466013025.9573965,8263692606.477314,-3375584130.3518143,43144803436.8965,15965180357.999975,1.0000605823392969e-08,1.9761855037797458e-12,1.538848319160484e-13,-8.539271799020129e-14,432.66604789844257,-32.657181819642126,-32.65340919472643,82.63436254676637,-4.739559021194831e-14,-1.1035839703206254e-12,2.9298132375766724e-14,9.999878824961257e-09,82.63817968820875,-31.827680178631585,-31.826562254282003,431.4417899069689,-2.338232942183557e-13,9.997355314886171e-09,9.999169245186938e-09,9.766416272521277e-14,-65.34215781821533,319.2474417387975,319.2417232129613,-63.653213179812575
19,0.3207,42454161486.41155,-3865367839.095692,7950664410.647015,-3748936909.039828,42152928256.85872,15649545528.778303,1.0000016407640549e-08,1.0162569644985556e-12,9.789241488806241e-15,2.900832528162304e-13,424.53976819127365,-36.43458583752848,-36.430552328857935,79.52315434677766,-1.4944638354048853e-13,-8.203424167098519e-13,5.0576074395594077e-14,9.999826631368154e-09,79.49425511782258,-35.35205868168852,-35.35067474408599,421.5249277140564,3.716812974837486e-13,9.997872830724478e-09,9.999944572981074e-09,-1.8304254339652529e-13,-72.86127509519227,312.9583499471764,312.95312242974734,-70.6994874791217
20,0.3417,41781825821.38667,-4154821247.4597473,7735367959.090477,-3984170744.8779,41560473510.01081,15404905478.602654,1.0000091594292635e-08,1.3685875803338817e-12,-3.9271601558633846e-14,2.344599715790869e-13,417.8226890358096,-39.15667528302997,-39.15321934565608,77.35583362702151,-2.344151476237817e-13,-1.2569291459485696e-12,-1.2591481077987341e-13,9.999733680943064e-09,77.34972087839716,-37.575507805448105,-37.57444198752357,415.5927739191359,-6.168643785327593e-13,9.997271446820973e-09,9.999786642368044e-09,7.206487543725846e-13,-78.35091949907417,308.0557433459205,308.0498128039647,-75.11009358375186
21,0.357,41379757849.00027,-4334522774.94011,7591786644.681058,-4184557186.890439,41116933915.30943,15219052016.548004,9.999980896022129e-09,5.82933884640386e-13,1.4987171731827356e-14,-8.255909390308734e-14,413.79530199850007,-40.86108742648199,-40.85771935584395,75.91007940293358,-2.949531801887096e-13,-1.0557615623394446e-12,5.3434396652794917e-14,9.999735328714669e-09,75.90664758500827,-39.46143422191842,-39.46036315790271,411.1558662002331,-1.84289493142659e-13,9.998028543866785e-09,9.999722204171256e-09,4.978090781922457e-13,-81.72937747799143,304.35134474121,304.3452957497401,-78.89223656411612
22,0.3854,39176203678.32669,-5178561740.70582,6923217319.891442,-4818256304.357262,39553588042.81003,14672315678.971952,1.0000126175307108e-08,4.701973620325518e-13,1.1239360088776193e-13,4.029716598830183e-13,391.7628459564309,-48.817971078876354,-48.824066452140286,69.24713148142567,-4.4618136016023386e-13,-1.2227821785018853e-12,3.3603251709669284e-14,9.999289511052827e-09,69.21268927527103,-45.441613475925294,-45.4356653293403,395.5127562872791,2.1394807854997254e-13,9.997383853350953e-09,1.000001427469104e-08,-4.81794173778926e-13,-97.62807763304276,293.4147784391139,293.40661411318945,-90.8694383235668
23,0.3946,38324428541.98456,-5597123608.834615,6316219946.745987,-5402687873.23954,38014112967.90392,14394373710.504248,1.0000261903167831e-08,7.93587551172465e-13,2.1940202955807759e-16,-1.2598634558183356e-13,383.2572936074901,-52.7589080743222,-52.767535186006704,63.16054021812142,-3.203554801318179e-14,-6.960043349988584e-13,-2.4459223535937343e-14,9.999141285847996e-09,63.161182449153,-50.93883862350879,-50.93435967411404,380.1116257229895,-6.011938527309466e-13,9.997481641739446e-09,1.00000836062345e-08,-7.726048982651356e-13,-105.5477245222353,287.8570672084917,287.8467509112335,-101.89164125602304
24,0.4082,37610600213.49552,-5843239457.670065,6142176936.116616,-5578342785.04073,37519651924.57384,14228102241.178286,1.0000280379394122e-08,3.922372597566777e-13,3.0010751826146965e-14,4.0853681140812934e-13,376.116525870296,-55.0863012544255,-55.09002740029931,61.43288466836362,-1.7567707515993332e-13,-9.097864811934764e-13,5.069903438873539e-13,9.999514563786992e-09,61.41653200821808,-52.60154595923974,-52.59289142817739,375.17828943098095,-1.919239273654477e-13,9.997515651858652e-09,9.999466446369444e-09,4.801747390444769e-13,-110.17528975443166,284.52170306089283,284.51609333810245,-105.16619548929572
25,0.4206,37231817632.852745,-5981077453.603415,6073996118.413046,-5692746611.514267,37247703217.72681,14106414712.37261,9.99989614493998e-09,8.843840828449973e-13,2.0243588988583866e-13,7.868883534421644e-14,372.3146448562132,-56.38039325069411,-56.38281292553133,60.7363925611,8.525628497955035e-14,-1.167992001683452e-12,-7.422580073327938e-15,9.99965568913675e-09,60.74776020942611,-53.68624373252665,-53.6770739355237,372.4656566864685,3.236445719804346e-14,9.99692201377906e-09,9.999813272606624e-09,-1.8097010160663586e-13,-112.76177449709397,282.0840613290016,282.0807823506146,-107.3456561416268
26,0.4345,36491586139.45551,-6269720411.779086,5675346502.784486,-6104142832.438292,35990171218.87098,13881110299.432035,1.0000025951562924e-08,8.955685633282825e-13,3.1253060142164534e-14,4.4648683821151653e-13,364.9202536998266,-59.10443306315159,-59.10636288967788,56.76408760809962,1.6908141363654384e-13,-7.172610890647886e-13,1.599016577988697e-13,9.999435311963337e-09,56.76058716190032,-57.559399848898686,-57.54667017596451,359.8800339061709,-4.203895333054253e-13,9.996968920402996e-09,1.0000644433815285e-08,6.75724323730596e-13,-118.22061381082392,277.5877739955744,277.5858388795772,-115.07874718409788
27,0.4541,33371933999.965782,-7555297746.778388,4174769681.424688,-7565838937.305008,31724907989.2316,13072286531.393211,1.0000066979873316e-08,-6.632412621794236e-13,2.0124914757786616e-14,5.570320418759406e-13,333.724814848031,-71.24126250524137,-71.24777572957042,41.760721150415485,1.1584885888785194e-13,1.292911028360374e-13,-3.8555814570255707e-13,9.999044842696162e-09,41.752428556490536,-71.33049962356421,-71.33545989771459,317.21753837321194,-3.868191755844198e-13,9.996389915498743e-09,1.0000007951637682e-08,4.996622526985718e-13,-142.46272576484452,261.4067799795942,261.4033219902888,-142.63506524637316
28,0.4572,33280639790.189896,-7581029243.402677,4171214461.095229,-7586597759.47602,31683763897.848312,13050099596.901892,9.999922881880788e-09,-5.991421411847632e-13,4.139345080510124e-13,1.830504587500096e-13,332.80606162526936,-71.46551951744037,-71.47202966553135,41.71149504015606,5.790423993285168e-13,-1.6892545565154517e-13,-1.3034712580738548e-13,9.999326657442404e-09,41.737865317786,-71.53449682443129,-71.53944559354753,316.8210198092596,2.582428870349017e-14,9.996277147376428e-09,9.999766541167362e-09,-5.522559740413695e-13,-142.95118509881615,260.9555487558812,260.9521027047882,-143.04279155551637
29,0.4638,32967985557.99455,-7686149273.892674,4109424185.803485,-7694076443.034808,31426240593.86516,12963882277.691591,9.999915353568707e-09,-3.631416846345389e-13,-1.82067990676699e-13,2.957564273988529e-13,329.6793830040144,-72.46752257263115,-72.47374073229382,41.09492429861236,9.78530788179024e-14,-3.5761607920549034e-13,-5.288890720465023e-13,9.99908049865346e-09,41.10606770373944,-72.5545538004664,-72.55845811647002,314.2366175513115,-2.643689701640496e-13,9.995907222536992e-09,1.0000084806973486e-08,-2.608305761593105e-13,-144.92983121940628,259.23726624273206,259.23486859806934,-145.06305940711565
30,0.4731,32398109902.8674,-7822491991.706979,4069445990.7340217,-8000515036.261097,30222455947.340267,12797818694.143658,9.999959750595808e-09,-4.423333549471039e-13,-4.994085990587024e-14,4.722363194679122e-14,323.9786783798086,-73.74958379416822,-73.75562070844613,40.69341356261525,8.495749369991362e-14,1.1525316953264897e-13,-4.547191926117712e-13,9.99892232700883e-09,40.6968930606359,-75.43036313200595,-75.43817033039956,302.19559203100914,1.9826783204906781e-13,9.996454108013707e-09,1.0000042448981165e-08,-4.520466378473209e-13,-147.49224110134972,255.92101808792188,255.91443845598013,-150.84339741689027
31,0.4781,32219717567.162872,-7857790300.992647,4075895612.269204,-8023515561.703834,30082986072.891293,12769472994.517136,9.99984962515788e-09,-1.064055936217828e-12,1.085133970707016e-14,-2.321039857682519e-13,322.1962843241613,-74.08683535524936,-74.09282414500213,40.75574585337306,1.2760624336924953e-13,1.1511545250200857e-13,-2.304136391692942e-13,9.998694847334422e-09,40.75896666671394,-75.63180255166435,-75.63958988271898,300.7925797332392,-4.63454487158642e-13,9.996667020642084e-09,1.00000546283333e-08,-3.8704471848468054e-13,-148.1786394205383,255.3595314700641,255.35301211280552,-151.28177453228986
32,0.4861,32050761117.06925,-7908879546.944414,4061150298.246316,-8085000438.429169,29784956545.76211,12708776479.407396,9.999895706514762e-09,-8.419487673414018e-13,-4.657698797251285e-13,-3.934789179031608e-14,320.50824169714247,-74.56794172011443,-74.57391614706088,40.612856415780826,-1.607208658202213e-13,-1.0285297890096321e-13,-5.165702236651227e-13,9.998904259121962e-09,40.61070193726738,-76.221968289356,-76.22962876454477,297.823664602756,-6.204121645188052e-13,9.996336683968064e-09,1.0000049632018133e-08,-9.045972506596996e-13,-149.14647149193453,254.14729965552849,254.14085428701804,-152.4563551101382
