t,bbr,C_1111,C_1112,C_1122,C_1222,C_2222,C_1212,eps_1_xx,eps_1_xy,eps_1_yx,eps_1_yy,sig_1_xx,sig_1_xy,sig_1_yx,sig_1_yy,eps_2_xx,eps_2_xy,eps_2_yx,eps_2_yy,sig_2_xx,sig_2_xy,sig_2_yx,sig_2_yy,eps_3_xx,eps_3_xy,eps_3_yx,eps_3_yy,sig_3_xx,sig_3_xy,sig_3_yx,sig_3_yy
0,0.0,49679867952.26072,-43486172.09057896,10316458427.399334,34308198.49323616,49692907083.16457,19168491807.933067,9.993772114493042e-09,9.290613758494793e-12,2.099112277043236e-12,-1.4063827969151336e-12,496.4734123831532,-0.3499568941064042,-0.3631105378479174,103.08085768523117,-1.4966274987546469e-12,-2.5277452753366158e-12,1.5454739076489158e-12,1.0003442658118869e-08,103.07574073425732,0.3825367832112143,0.3956819460320999,497.0855135621978,6.840764636696099e-12,9.996090421026577e-09,9.996455534253354e-09,-3.2997831908530418e-12,-0.3328158095240923,383.227143324028,383.2260248569124,0.4893057472159255
1,0.0,49679867952.26072,-43486172.09057896,10316458427.399334,34308198.49323616,49692907083.16457,19168491807.933067,9.993772114493042e-09,9.290613758494793e-12,2.099112277043236e-12,-1.4063827969151336e-12,496.4734123831532,-0.3499568941064042,-0.3631105378479174,103.08085768523117,-1.4966274987546469e-12,-2.5277452753366158e-12,1.5454739076489158e-12,1.0003442658118869e-08,103.07574073425732,0.3825367832112143,0.3956819460320999,497.0855135621978,6.840764636696099e-12,9.996090421026577e-09,9.996455534253354e-09,-3.2997831908530418e-12,-0.3328158095240923,383.227143324028,383.2260248569124,0.4893057472159255
2,0.0,49679867952.26072,-43486172.09057896,10316458427.399334,34308198.49323616,49692907083.16457,19168491807.933067,9.993772114493042e-09,9.290613758494793e-12,2.099112277043236e-12,-1.4063827969151336e-12,496.4734123831532,-0.3499568941064042,-0.3631105378479174,103.08085768523117,-1.4966274987546469e-12,-2.5277452753366158e-12,1.5454739076489158e-12,1.0003442658118869e-08,103.07574073425732,0.3825367832112143,0.3956819460320999,497.0855135621978,6.840764636696099e-12,9.996090421026577e-09,9.996455534253354e-09,-3.2997831908530418e-12,-0.3328158095240923,383.227143324028,383.2260248569124,0.4893057472159255
3,0.0,49679867952.26072,-43486172.09057896,10316458427.399334,34308198.49323616,49692907083.16457,19168491807.933067,9.993772114493042e-09,9.290613758494793e-12,2.099112277043236e-12,-1.4063827969151336e-12,496.4734123831532,-0.3499568941064042,-0.3631105378479174,103.08085768523117,-1.4966274987546469e-12,-2.5277452753366158e-12,1.5454739076489158e-12,1.0003442658118869e-08,103.07574073425732,0.3825367832112143,0.3956819460320999,497.0855135621978,6.840764636696099e-12,9.996090421026577e-09,9.996455534253354e-09,-3.2997831908530418e-12,-0.3328158095240923,383.227143324028,383.2260248569124,0.4893057472159255
4,0.0005,49655620983.15812,-46203643.977404594,10318260327.857506,34225100.294515215,49692951195.65756,19168032007.14885,9.993494691686333e-09,9.553027598781023e-12,1.6827020180450564e-12,-8.700266456042275e-13,496.22667322389503,-0.3754972967863386,-0.3886381945578652,103.1148575225708,-5.925042012336099e-13,-2.2471157557979805e-12,2.135498262829104e-12,1.0003550521477222e-08,103.14763068848544,0.4003947903885751,0.4135379432245566,497.0968253608973,6.076622704792735e-12,9.995356630225804e-09,9.995715478785996e-09,-3.977912580755801e-12,-0.4127530480908698,383.1897044496653,383.1885828287181,0.4639138252470118
5,0.0048,49508832324.46035,-30777665.493769035,10329604320.578346,31142265.952731248,49701675700.31538,19147986736.822086,1.0005018645072984e-08,1.6933616046530696e-11,-1.5139502259439275e-11,-1.1945420667606292e-11,495.3820808398506,-0.1378600814373937,-0.150985729253944,102.94493809483004,4.356996286147128e-12,7.421967105252482e-13,1.8162710626115411e-13,9.999611539963826e-09,103.31953041013652,0.3270000084544386,0.340139901524211,496.8746356155321,-9.179585909241075e-12,9.986012949178993e-09,1.001098027606301e-08,9.459629977936387e-12,-1.028505345242564,382.90269477932304,382.9015594162544,0.9424749220251226
6,0.0245,48359560962.29954,-74905556.75961249,10280983047.10322,32209406.366542976,49624478650.61751,19001769594.14613,1.0014558668819565e-08,-3.134434293887879e-12,8.778736070562015e-12,4.495227657298141e-12,484.2953832523553,-0.3880831711619441,-0.4013465069849377,103.13582018096616,-4.643765329309333e-13,-2.0910292616077704e-12,-1.845379007479724e-12,9.996520732344576e-09,102.7915084375195,0.1539341380849463,0.1670916003782993,496.11832293527016,-9.86045266004322e-12,1.0005271569144861e-08,9.996475244498404e-09,1.870832424759835e-12,-1.984868859489021,380.0685232305346,380.0674697694453,0.7519676308330583
7,0.0516,46874198393.8501,-50456828.438388005,10212075919.81142,43063647.42581949,49517305004.08589,18779116661.401173,9.994918979847836e-09,-9.603922018134029e-12,-3.916559234864431e-12,-3.714082868337927e-12,468.4777107528913,-0.6748443258498944,-0.6869267601255372,102.04390277749086,-2.5286258620452328e-12,1.0583491387340185e-12,-3.9989237504032415e-12,1.0003337137449234e-08,101.8810394106664,0.416971800684703,0.4301540632141323,495.3003037612854,7.626543825240622e-12,1.0005200866948796e-08,1.0008608091459942e-08,-1.5446150530739289e-12,-0.7915723724168828,375.8426746852508,375.841897859085,0.5956583716420041
8,0.0872,44639647681.096085,104797256.82903862,9901324282.042171,104145253.17834044,49262546397.42793,18385105231.78099,9.9966063048987e-09,-1.6831146686054214e-11,1.4040623987268555e-11,-2.3636573282988654e-13,446.1374595033474,0.9976193255386572,0.9853219153083432,98.8296047526288,-1.107057475336444e-11,-2.691442144989876e-12,9.15755140550551e-12,1.0006506471140909e-08,98.67222732381624,0.9968657467072009,1.0100687552999497,492.9429223054625,1.788046243702575e-11,1.0016675156516174e-08,9.977629313175804e-09,-8.401363277161522e-12,2.5965018901061905,367.5965757052985,367.59901552102576,1.7797738395873757
9,0.1184,42845268750.54781,101886183.85213058,9671029794.128405,103552817.39522174,49076663478.06932,18065885870.000805,9.992663954479947e-09,1.1268894819599019e-11,1.3807388720003822e-12,8.322127068048441e-12,428.1054942125992,1.229522368649324,1.230631580369886,96.92150001434904,-3.506961359062865e-12,-7.988827237212991e-12,4.631006468106265e-12,1.000182366923154e-08,96.63026226709113,0.8944059956786876,0.9075226447136064,490.9360385738685,1.005213288254022e-11,1.0003055072048533e-08,9.992730365800678e-09,-7.745367768327807e-12,2.267372041533252,361.2420385843593,361.2428541922845,1.7287305810109583
