t,bbr,C_1111,C_1112,C_1122,C_1222,C_2222,C_1212,eps_1_xx,eps_1_xy,eps_1_yx,eps_1_yy,sig_1_xx,sig_1_xy,sig_1_yx,sig_1_yy,eps_2_xx,eps_2_xy,eps_2_yx,eps_2_yy,sig_2_xx,sig_2_xy,sig_2_yx,sig_2_yy,eps_3_xx,eps_3_xy,eps_3_yx,eps_3_yy,sig_3_xx,sig_3_xy,sig_3_yx,sig_3_yy
0,0.0,49758776598.47845,8734120.782656506,10242045193.155603,-9137703.805630589,49759215076.04746,19182339568.571857,1.0000281033063126e-08,-2.277959259060498e-14,2.014010647581881e-12,-6.359715703766001e-13,497.6038379294968,0.1417665277330533,0.154020556295955,102.40101319917396,2.0466969556881441e-13,-1.406619941169531e-13,3.63839022048174e-13,9.999829244841911e-09,102.41957078508372,-0.0700817829692467,-0.0823346038750518,497.5771373242589,-8.67988906133599e-13,9.999657519053904e-09,9.998458236542049e-09,4.3834819303354573e-13,0.1165198880117547,383.6172902672819,383.6040301604471,-0.1496777256998312
1,0.0,49758776598.47845,8734120.782656506,10242045193.155603,-9137703.805630589,49759215076.04746,19182339568.571857,1.0000281033063126e-08,-2.277959259060498e-14,2.014010647581881e-12,-6.359715703766001e-13,497.6038379294968,0.1417665277330533,0.154020556295955,102.40101319917396,2.0466969556881441e-13,-1.406619941169531e-13,3.63839022048174e-13,9.999829244841911e-09,102.41957078508372,-0.0700817829692467,-0.0823346038750518,497.5771373242589,-8.67988906133599e-13,9.999657519053904e-09,9.998458236542049e-09,4.3834819303354573e-13,0.1165198880117547,383.6172902672819,383.6040301604471,-0.1496777256998312
2,0.0,49758776598.47845,8734120.782656506,10242045193.155603,-9137703.805630589,49759215076.04746,19182339568.571857,1.0000281033063126e-08,-2.277959259060498e-14,2.014010647581881e-12,-6.359715703766001e-13,497.6038379294968,0.1417665277330533,0.154020556295955,102.40101319917396,2.0466969556881441e-13,-1.406619941169531e-13,3.63839022048174e-13,9.999829244841911e-09,102.41957078508372,-0.0700817829692467,-0.0823346038750518,497.5771373242589,-8.67988906133599e-13,9.999657519053904e-09,9.998458236542049e-09,4.3834819303354573e-13,0.1165198880117547,383.6172902672819,383.6040301604471,-0.1496777256998312
3,0.0,49758776598.47845,8734120.782656506,10242045193.155603,-9137703.805630589,49759215076.04746,19182339568.571857,1.0000281033063126e-08,-2.277959259060498e-14,2.014010647581881e-12,-6.359715703766001e-13,497.6038379294968,0.1417665277330533,0.154020556295955,102.40101319917396,2.0466969556881441e-13,-1.406619941169531e-13,3.63839022048174e-13,9.999829244841911e-09,102.41957078508372,-0.0700817829692467,-0.0823346038750518,497.5771373242589,-8.67988906133599e-13,9.999657519053904e-09,9.998458236542049e-09,4.3834819303354573e-13,0.1165198880117547,383.6172902672819,383.6040301604471,-0.1496777256998312
4,0.0,49758776598.47845,8734120.782656506,10242045193.155603,-9137703.805630589,49759215076.04746,19182339568.571857,1.0000281033063126e-08,-2.277959259060498e-14,2.014010647581881e-12,-6.359715703766001e-13,497.6038379294968,0.1417665277330533,0.154020556295955,102.40101319917396,2.0466969556881441e-13,-1.406619941169531e-13,3.63839022048174e-13,9.999829244841911e-09,102.41957078508372,-0.0700817829692467,-0.0823346038750518,497.5771373242589,-8.67988906133599e-13,9.999657519053904e-09,9.998458236542049e-09,4.3834819303354573e-13,0.1165198880117547,383.6172902672819,383.6040301604471,-0.1496777256998312
5,0.006,49515862251.76595,18741907.115980733,10260180006.016842,-11164038.941856978,49751656780.93993,19168971268.94034,1.0000660608161956e-08,-8.752218173497815e-13,-1.001059200181687e-12,5.849863579561567e-13,495.1907214332409,0.1240599581383106,0.1361137510158538,102.653369792509,-5.900502083516688e-14,5.32079061113684e-13,3.525670931835724e-13,1.00002549948426e-08,102.585641016585,-0.0743672796927373,-0.0865824076868928,497.5352640695509,-3.573774570774965e-13,9.999838408240886e-09,9.999856951654596e-09,-9.637304357468248e-13,0.344421928122785,383.38014185220806,383.366942721873,-0.2598399333527287
6,0.0318,48415911337.3517,46551302.95024234,10241366403.529106,-4478742.131499752,49715896222.01515,19031303845.23344,9.999532980304082e-09,1.891953496160076e-13,-2.5706492007040324e-13,8.842433492825124e-13,484.13975303957454,0.428303696578062,0.443158039990051,102.45199399893902,3.177787213402152e-13,-1.082560262225616e-13,8.914421692290223e-15,9.999982010700982e-09,102.42894443094698,-0.0382621281388445,-0.050071982756809,497.1671271936872,-7.999082556926542e-14,9.999603752324706e-09,1.0000987980951092e-08,-7.474066652165889e-13,0.8757116944412887,380.6439649335194,380.6307066706467,-0.1136994925803834
7,0.0617,47026950078.00147,-9961216.987013178,10141362155.642973,-21456634.37283156,49621597977.07444,18807602294.71703,1.000091138027758e-08,-2.059827107366272e-13,1.1625439760633329e-12,-8.449438514102951e-13,470.3091036528192,-0.0845713962729204,-0.0726140884579577,101.38118940893212,-3.203477539413553e-13,-1.6449617991687858e-13,3.2358020950256973e-13,1.0000118164721792e-08,101.40084295133038,-0.199777505717807,-0.2104580928032177,496.2132665437063,7.462289135203801e-13,1.0000279596085778e-08,9.998942435731333e-09,3.9191150512028404e-13,-0.1517845143702541,376.1423420499178,376.132462851222,-0.3782096349375761
8,0.0975,45284436431.16031,19717882.302565444,9967670481.479843,-16855882.40461772,49472918238.5146,18497403584.268173,1.0000921788347869e-08,1.5604800511266606e-12,5.055893663454375e-13,-3.8553956287895494e-13,452.88290974575,0.2246656162771973,0.234686736049743,99.66179083689636,-3.2043917283397453e-13,-1.0256804850755057e-13,5.311440790822004e-13,9.99987691635002e-09,99.66627752658604,-0.1476198115111255,-0.1585742365449161,494.719243610274,-1.7031712735692053e-13,9.999314230114767e-09,9.998608806911241e-09,3.8395685274182884e-13,0.370671005918993,369.9148784313748,369.9044929956028,-0.288549637018164
9,0.133,43728606803.62447,34685079.681247674,9784092856.519836,-14112099.416988667,49271732066.206085,18199954788.80339,9.999685832265857e-09,1.0553371152789025e-12,1.996415723921516e-12,-6.713019035266059e-13,437.2707576382718,0.3836122123899551,0.3940590222092969,97.81277868590004,-1.6309032668650868e-13,-8.538897994089681e-15,-6.037573495298469e-14,9.999796385991344e-09,97.82662296649808,-0.1318857195514288,-0.1427371537549629,492.7007146358861,7.275871795751765e-13,9.999328051625782e-09,9.999593444344988e-09,3.815963623071808e-13,0.6850439726616547,363.9848567641229,363.9742800333569,-0.2347489092012157
