t,bbr,C_1111,C_1112,C_1122,C_1222,C_2222,C_1212,eps_1_xx,eps_1_xy,eps_1_yx,eps_1_yy,sig_1_xx,sig_1_xy,sig_1_yx,sig_1_yy,eps_2_xx,eps_2_xy,eps_2_yx,eps_2_yy,sig_2_xx,sig_2_xy,sig_2_yx,sig_2_yy,eps_3_xx,eps_3_xy,eps_3_yx,eps_3_yy,sig_3_xx,sig_3_xy,sig_3_yx,sig_3_yy
0,0.0,49682260359.42234,61223417.30559154,10311570808.093708,-67029296.97722868,49686704913.01531,19200301636.996803,1.0003061080533376e-08,-8.617901213061592e-12,1.6202715720771949e-12,-3.095459095574554e-12,496.9709258414359,0.3877179252206374,0.3862761956338126,102.9535210596731,-3.820258238216011e-13,7.608838632845941e-13,4.4761899575217047e-14,1.0000182760986778e-08,103.13822623450746,-0.5836680313023239,-0.5822191737776213,496.84437763234905,3.2277980807591228e-12,9.991092198358508e-09,1.0001747364343685e-08,-2.995834837843409e-12,1.299147378182381,383.8692656202677,383.86690562099216,-1.4442248629397445
1,0.0,49682260359.42234,61223417.30559154,10311570808.093708,-67029296.97722868,49686704913.01531,19200301636.996803,1.0003061080533376e-08,-8.617901213061592e-12,1.6202715720771949e-12,-3.095459095574554e-12,496.9709258414359,0.3877179252206374,0.3862761956338126,102.9535210596731,-3.820258238216011e-13,7.608838632845941e-13,4.4761899575217047e-14,1.0000182760986778e-08,103.13822623450746,-0.5836680313023239,-0.5822191737776213,496.84437763234905,3.2277980807591228e-12,9.991092198358508e-09,1.0001747364343685e-08,-2.995834837843409e-12,1.299147378182381,383.8692656202677,383.86690562099216,-1.4442248629397445
2,0.0,49682260359.42234,61223417.30559154,10311570808.093708,-67029296.97722868,49686704913.01531,19200301636.996803,1.0003061080533376e-08,-8.617901213061592e-12,1.6202715720771949e-12,-3.095459095574554e-12,496.9709258414359,0.3877179252206374,0.3862761956338126,102.9535210596731,-3.820258238216011e-13,7.608838632845941e-13,4.4761899575217047e-14,1.0000182760986778e-08,103.13822623450746,-0.5836680313023239,-0.5822191737776213,496.84437763234905,3.2277980807591228e-12,9.991092198358508e-09,1.0001747364343685e-08,-2.995834837843409e-12,1.299147378182381,383.8692656202677,383.86690562099216,-1.4442248629397445
3,0.0,49682260359.42234,61223417.30559154,10311570808.093708,-67029296.97722868,49686704913.01531,19200301636.996803,1.0003061080533376e-08,-8.617901213061592e-12,1.6202715720771949e-12,-3.095459095574554e-12,496.9709258414359,0.3877179252206374,0.3862761956338126,102.9535210596731,-3.820258238216011e-13,7.608838632845941e-13,4.4761899575217047e-14,1.0000182760986778e-08,103.13822623450746,-0.5836680313023239,-0.5822191737776213,496.84437763234905,3.2277980807591228e-12,9.991092198358508e-09,1.0001747364343685e-08,-2.995834837843409e-12,1.299147378182381,383.8692656202677,383.86690562099216,-1.4442248629397445
4,0.0,49682260359.42234,61223417.30559154,10311570808.093708,-67029296.97722868,49686704913.01531,19200301636.996803,1.0003061080533376e-08,-8.617901213061592e-12,1.6202715720771949e-12,-3.095459095574554e-12,496.9709258414359,0.3877179252206374,0.3862761956338126,102.9535210596731,-3.820258238216011e-13,7.608838632845941e-13,4.4761899575217047e-14,1.0000182760986778e-08,103.13822623450746,-0.5836680313023239,-0.5822191737776213,496.84437763234905,3.2277980807591228e-12,9.991092198358508e-09,1.0001747364343685e-08,-2.995834837843409e-12,1.299147378182381,383.8692656202677,383.86690562099216,-1.4442248629397445
5,0.0,49682260359.42234,61223417.30559154,10311570808.093708,-67029296.97722868,49686704913.01531,19200301636.996803,1.0003061080533376e-08,-8.617901213061592e-12,1.6202715720771949e-12,-3.095459095574554e-12,496.9709258414359,0.3877179252206374,0.3862761956338126,102.9535210596731,-3.820258238216011e-13,7.608838632845941e-13,4.4761899575217047e-14,1.0000182760986778e-08,103.13822623450746,-0.5836680313023239,-0.5822191737776213,496.84437763234905,3.2277980807591228e-12,9.991092198358508e-09,1.0001747364343685e-08,-2.995834837843409e-12,1.299147378182381,383.8692656202677,383.86690562099216,-1.4442248629397445
6,0.0002,49680899206.84754,60550794.99984531,10310958163.6352,-67627669.05038984,49686005160.67374,19199686903.57179,1.0003150065017533e-08,-7.005350918235023e-12,1.5463520342121773e-12,-2.942640714711141e-12,496.9609941824534,0.4098999777445629,0.4084560933279908,102.94689866279155,-4.5260421787529893e-13,6.136969194169029e-13,3.481135718473137e-13,1.0000204993733845e-08,103.13783689373852,-0.5788354482525188,-0.5773862393195482,496.8400656353207,3.1481285146855257e-12,9.991952204022382e-09,1.0001417766203833e-08,-3.058633633125275e-12,1.2939479258670672,383.8672400714593,383.8648781775755,-1.4565748440828183
7,0.0002,49680899206.84754,60550794.99984531,10310958163.6352,-67627669.05038984,49686005160.67374,19199686903.57179,1.0003150065017533e-08,-7.005350918235023e-12,1.5463520342121773e-12,-2.942640714711141e-12,496.9609941824534,0.4098999777445629,0.4084560933279908,102.94689866279155,-4.5260421787529893e-13,6.136969194169029e-13,3.481135718473137e-13,1.0000204993733845e-08,103.13783689373852,-0.5788354482525188,-0.5773862393195482,496.8400656353207,3.1481285146855257e-12,9.991952204022382e-09,1.0001417766203833e-08,-3.058633633125275e-12,1.2939479258670672,383.8672400714593,383.8648781775755,-1.4565748440828183
8,0.0014,49664102226.747314,61778952.02974477,10309110013.158688,-67730887.93273918,49684064890.15221,19197054817.09235,1.0002892260915531e-08,-7.944815333843022e-12,1.5573309139097341e-13,-2.458937553614516e-12,496.7823333834479,0.3862670024300418,0.3848229344703177,102.9469607619214,-2.388417154774496e-13,6.976877485480153e-13,2.993628847820753e-13,1.0000154622304732e-08,103.13237417713812,-0.5854011979578948,-0.5839523749185217,496.8231392634083,2.286474709820929e-12,9.990847735481966e-09,1.0000633705810392e-08,-2.8676396567717168e-12,1.261461113638075,383.7782171535844,383.775864936369,-1.456598855662448
9,0.0224,49231380087.85446,-4915568.835561166,10197276673.284702,-124224761.86019447,49288013283.34372,19025417665.06604,1.0000165213652234e-08,-8.605720311150157e-12,-8.582436631601608e-13,-2.090645677659631e-12,492.32320158873154,-0.2763328966554405,-0.277667310714751,101.81758457693168,1.248611354217698e-13,4.3233744499123433e-13,-5.487669967131492e-14,1.0000258761224876e-08,102.035383934198,-1.1141695786660182,-1.1128246760848228,492.87186005405664,1.205583025883227e-12,9.99087797337974e-09,9.998884107710132e-09,-2.825540313047803e-12,-0.0472066871354773,380.31469599996575,380.3124452513473,-2.546094390903828
