t,bbr,C_1111,C_1112,C_1122,C_1222,C_2222,C_1212,eps_1_xx,eps_1_xy,eps_1_yx,eps_1_yy,sig_1_xx,sig_1_xy,sig_1_yx,sig_1_yy,eps_2_xx,eps_2_xy,eps_2_yx,eps_2_yy,sig_2_xx,sig_2_xy,sig_2_yx,sig_2_yy,eps_3_xx,eps_3_xy,eps_3_yx,eps_3_yy,sig_3_xx,sig_3_xy,sig_3_yx,sig_3_yy
0,0.0,49777014144.63218,58111076.25581215,10224651164.42956,-57996857.32624549,49776789114.98248,19197031280.58552,1.0000185891022384e-08,-1.8528685420318321e-13,-4.351729157223637e-14,3.56750480707848e-15,497.7795546002218,0.5452174716404785,0.5458760487454585,102.2513193403584,1.712335513340368e-14,-1.245790396612517e-13,7.707879156729312e-14,9.99995850667877e-09,102.24423928219876,-0.5476638760659789,-0.5483222029292144,497.76584813974216,-2.72632083299905e-13,1.0000151250487202e-08,1.0000001360629661e-08,2.580557438146754e-13,1.08170042311881,383.9241388843913,383.9629519111113,-1.08484909614777
1,0.0,49777014144.63218,58111076.25581215,10224651164.42956,-57996857.32624549,49776789114.98248,19197031280.58552,1.0000185891022384e-08,-1.8528685420318321e-13,-4.351729157223637e-14,3.56750480707848e-15,497.7795546002218,0.5452174716404785,0.5458760487454585,102.2513193403584,1.712335513340368e-14,-1.245790396612517e-13,7.707879156729312e-14,9.99995850667877e-09,102.24423928219876,-0.5476638760659789,-0.5483222029292144,497.76584813974216,-2.72632083299905e-13,1.0000151250487202e-08,1.0000001360629661e-08,2.580557438146754e-13,1.08170042311881,383.9241388843913,383.9629519111113,-1.08484909614777
2,0.0,49777014144.63218,58111076.25581215,10224651164.42956,-57996857.32624549,49776789114.98248,19197031280.58552,1.0000185891022384e-08,-1.8528685420318321e-13,-4.351729157223637e-14,3.56750480707848e-15,497.7795546002218,0.5452174716404785,0.5458760487454585,102.2513193403584,1.712335513340368e-14,-1.245790396612517e-13,7.707879156729312e-14,9.99995850667877e-09,102.24423928219876,-0.5476638760659789,-0.5483222029292144,497.76584813974216,-2.72632083299905e-13,1.0000151250487202e-08,1.0000001360629661e-08,2.580557438146754e-13,1.08170042311881,383.9241388843913,383.9629519111113,-1.08484909614777
3,0.0,49777014144.63218,58111076.25581215,10224651164.42956,-57996857.32624549,49776789114.98248,19197031280.58552,1.0000185891022384e-08,-1.8528685420318321e-13,-4.351729157223637e-14,3.56750480707848e-15,497.7795546002218,0.5452174716404785,0.5458760487454585,102.2513193403584,1.712335513340368e-14,-1.245790396612517e-13,7.707879156729312e-14,9.99995850667877e-09,102.24423928219876,-0.5476638760659789,-0.5483222029292144,497.76584813974216,-2.72632083299905e-13,1.0000151250487202e-08,1.0000001360629661e-08,2.580557438146754e-13,1.08170042311881,383.9241388843913,383.9629519111113,-1.08484909614777
4,0.0,49777014144.63218,58111076.25581215,10224651164.42956,-57996857.32624549,49776789114.98248,19197031280.58552,1.0000185891022384e-08,-1.8528685420318321e-13,-4.351729157223637e-14,3.56750480707848e-15,497.7795546002218,0.5452174716404785,0.5458760487454585,102.2513193403584,1.712335513340368e-14,-1.245790396612517e-13,7.707879156729312e-14,9.99995850667877e-09,102.24423928219876,-0.5476638760659789,-0.5483222029292144,497.76584813974216,-2.72632083299905e-13,1.0000151250487202e-08,1.0000001360629661e-08,2.580557438146754e-13,1.08170042311881,383.9241388843913,383.9629519111113,-1.08484909614777
5,0.0,49777014144.63218,58111076.25581215,10224651164.42956,-57996857.32624549,49776789114.98248,19197031280.58552,1.0000185891022384e-08,-1.8528685420318321e-13,-4.351729157223637e-14,3.56750480707848e-15,497.7795546002218,0.5452174716404785,0.5458760487454585,102.2513193403584,1.712335513340368e-14,-1.245790396612517e-13,7.707879156729312e-14,9.99995850667877e-09,102.24423928219876,-0.5476638760659789,-0.5483222029292144,497.76584813974216,-2.72632083299905e-13,1.0000151250487202e-08,1.0000001360629661e-08,2.580557438146754e-13,1.08170042311881,383.9241388843913,383.9629519111113,-1.08484909614777
6,0.0,49777014144.63218,58111076.25581215,10224651164.42956,-57996857.32624549,49776789114.98248,19197031280.58552,1.0000185891022384e-08,-1.8528685420318321e-13,-4.351729157223637e-14,3.56750480707848e-15,497.7795546002218,0.5452174716404785,0.5458760487454585,102.2513193403584,1.712335513340368e-14,-1.245790396612517e-13,7.707879156729312e-14,9.99995850667877e-09,102.24423928219876,-0.5476638760659789,-0.5483222029292144,497.76584813974216,-2.72632083299905e-13,1.0000151250487202e-08,1.0000001360629661e-08,2.580557438146754e-13,1.08170042311881,383.9241388843913,383.9629519111113,-1.08484909614777
7,0.0,49777014144.63218,58111076.25581215,10224651164.42956,-57996857.32624549,49776789114.98248,19197031280.58552,1.0000185891022384e-08,-1.8528685420318321e-13,-4.351729157223637e-14,3.56750480707848e-15,497.7795546002218,0.5452174716404785,0.5458760487454585,102.2513193403584,1.712335513340368e-14,-1.245790396612517e-13,7.707879156729312e-14,9.99995850667877e-09,102.24423928219876,-0.5476638760659789,-0.5483222029292144,497.76584813974216,-2.72632083299905e-13,1.0000151250487202e-08,1.0000001360629661e-08,2.580557438146754e-13,1.08170042311881,383.9241388843913,383.9629519111113,-1.08484909614777
8,0.0,49777014144.63218,58111076.25581215,10224651164.42956,-57996857.32624549,49776789114.98248,19197031280.58552,1.0000185891022384e-08,-1.8528685420318321e-13,-4.351729157223637e-14,3.56750480707848e-15,497.7795546002218,0.5452174716404785,0.5458760487454585,102.2513193403584,1.712335513340368e-14,-1.245790396612517e-13,7.707879156729312e-14,9.99995850667877e-09,102.24423928219876,-0.5476638760659789,-0.5483222029292144,497.76584813974216,-2.72632083299905e-13,1.0000151250487202e-08,1.0000001360629661e-08,2.580557438146754e-13,1.08170042311881,383.9241388843913,383.9629519111113,-1.08484909614777
9,0.0003,49773765853.636925,55113408.89586495,10223774072.80817,-58750950.096227646,49776470452.103004,19194339155.507305,1.000017575927713e-08,-1.7749705002438425e-13,-7.214507964554445e-14,-1.0400698932059578e-14,497.7461531239888,0.5161027443826447,0.516757859222387,102.24233311950584,-2.3512979809595656e-14,-1.3007968792417673e-13,1.2737318998775265e-13,1.0000005655321132e-08,102.2333422216124,-0.5543194252181024,-0.554978229194338,497.7648655937665,-2.527539906386813e-13,1.0000170185282984e-08,1.0000007596270017e-08,2.548350166365702e-13,1.026508226839363,383.8707791884946,383.90958626296566,-1.0986462642051489
10,0.0013,49768878191.60395,50312311.41980692,10221462456.976624,-61337858.16719366,49774953417.12309,19189858846.71192,1.0000166453894846e-08,-1.394946892641602e-13,-8.090011127538013e-14,1.1157115222255832e-14,497.6962164625713,0.4718718905623481,0.4724975609660922,102.22028091711957,-8.241079252318995e-14,-1.0503778275861393e-13,7.082137680899695e-14,1.0000069660337672e-08,102.2078574611198,-0.5788535255176681,-0.5795245366576377,497.7530989173938,-1.5239777718765938e-13,1.0000135896894688e-08,9.99994574104792e-09,2.881288894967037e-13,0.9393812989288932,383.7793579888779,383.81811225015394,-1.1466365380185133
11,0.0039,49759266617.74992,39717290.63679993,10213287448.602682,-74037607.93826517,49761642726.39598,19177081614.235416,1.00002538040275e-08,-1.8480349771390852e-13,-1.5521241280187945e-13,-6.090158713566726e-14,497.6042512320335,0.3704356722008838,0.3710521020635987,102.13705915519398,-1.01587162536217e-13,-1.289841121846509e-13,1.6168554065643636e-13,9.999923906733436e-09,102.12243798568622,-0.6954228578256596,-0.6961093248844431,497.6120055816471,-1.69582316264137e-13,1.0000192059399441e-08,9.999988637559006e-09,1.8996654443272321e-13,0.7378706139504647,383.5257205168045,383.564444648661,-1.3919704156553976
12,0.0088,49741584820.06271,23999728.44579708,10202523295.166698,-86707470.67395775,49750482291.81156,19161975698.193127,1.0000152712751668e-08,-1.92915773694123e-13,2.3103389798480366e-14,-3.389497292694061e-14,497.4221751143873,0.2249975731228724,0.2256010282372192,102.02825667399516,-1.241067431333205e-13,9.626837221479709e-14,1.6328566844536388e-13,1.0000150277393922e-08,102.01745934878085,-0.8116973910296967,-0.8123934701894164,497.5119233969204,-1.3231130849906722e-13,1.00002872456371e-08,1.0000050236712737e-08,3.6802473875327227e-13,0.4455765835710953,383.2266073768127,383.2653041231746,-1.6207576799727532
13,0.0144,49682175428.20606,-22579768.282312643,10175505659.03319,-136554373.66930938,49691914005.89619,19110543623.17332,1.0000184290745617e-08,-1.9626682980241812e-13,1.328688452391452e-14,1.1566007179990487e-14,496.8312558776496,-0.2153856533798552,-0.2149122188013888,101.76064324351628,3.425611832529804e-14,4.1298687839543055e-14,1.298704658606559e-13,9.999965975809432e-09,101.75325598912168,-1.283741257744334,-1.2844008168505991,496.91755655410736,1.400314428841487e-13,1.0000239961367958e-08,1.0000132963316636e-08,8.126244184885406e-14,-0.4218463459147633,382.1986825930339,382.2372796617981,-2.571857752504413
14,0.0209,49641437247.043495,-57475477.70506233,10149851130.156277,-173385180.63693723,49643702725.11805,19074793070.17017,1.0000234348899388e-08,-2.0657715711219025e-13,-5.3288014180235125e-14,-4.749559919256156e-14,496.4245832336421,-0.5464683364915074,-0.5459187813636833,101.5026634499541,-1.403946054615721e-13,-1.0633519740910704e-13,9.989831283281561e-14,9.999898344478813e-09,101.48637448216478,-1.634186314913766,-1.6347557427448232,496.4314649142838,-4.5162130015292903e-14,1.0000275247721021e-08,1.0000061402746637e-08,2.06636595808451e-13,-1.0876526776361666,381.48288743770496,381.521708770756,-3.263186900154885
15,0.0291,49553386918.702194,-112686292.6308485,10120255353.943151,-220572192.0387661,49587482569.18815,19023264374.7644,1.00001481668672e-08,-1.741694039242999e-13,2.3524086323438563e-14,-7.184966296980347e-14,495.5395137387746,-1.0628364672716175,-1.0623683081809718,101.20391629635274,-1.6950006726050525e-13,-2.4570032481550573e-14,8.594354988086961e-14,1.0000038129188465e-08,101.19115036356392,-2.074054111936677,-2.074664455445155,495.875998695772,-1.6845719674972305e-13,1.0000179450207118e-08,1.0000061328988788e-08,-4.5192141723328684e-14,-2.1344521204522526,380.450525605216,380.4892167028556,-4.165349968345345
16,0.0393,49471053636.94171,-168468646.50708753,10090142128.37544,-263624196.2623421,49538659873.80959,18973979829.878,1.000019683272417e-08,-2.236183952861361e-13,-1.822065918129565e-13,-1.8973775796779054e-13,494.7198390257884,-1.5944983045494463,-1.5940707313167846,100.8954073660811,-4.630255360414754e-14,-8.516498071990241e-15,1.325785546145212e-13,9.999977559913436e-09,100.89756421377956,-2.480624321695544,-2.481268268746237,495.383571227358,-2.041186647831465e-13,1.0000022222640396e-08,1.0000019124549597e-08,5.827161077929337e-15,-3.187929473206584,379.46110973891007,379.4997198418301,-4.974158888289991
17,0.0536,49339603031.12415,-255057618.73764944,10039751227.893791,-343816576.52763003,49422655385.30048,18894054831.80269,9.999936020909182e-09,-1.254801750256553e-13,-2.2633768785288285e-13,-1.4808954506233637e-13,493.3908037407804,-2.408731301387551,-2.4083471678409296,100.3917071599844,-2.1012881469097802e-13,-2.176022289830504e-14,7.684805299034651e-14,9.999844385944478e-09,100.38347446233804,-3.2385275384001715,-3.239183281396558,494.21737599197934,-1.6598232392907605e-13,1.0000062269161926e-08,1.0000002813436548e-08,8.163530645560325e-16,-4.820095248027303,377.86314388711935,377.9016423672758,-6.485958100490949
18,0.0693,49175784558.43815,-342734482.9982016,9989354692.980465,-435530405.6978029,49286992156.468185,18807548355.46172,1.0000020366630709e-08,-1.8326388652032002e-13,-1.1836118727020865e-13,-5.81368295927068e-14,491.75766164752383,-3.236070164608042,-3.2356421350193805,99.8938350865257,-1.1930374584337145e-13,2.5101223837206223e-14,7.827019968444673e-14,9.999965346532153e-09,99.88435421095768,-4.101627162604004,-4.102256568285125,492.8675937083229,-1.9596445615516104e-14,1.0000138881778066e-08,9.999959101280868e-09,9.544867869968881e-14,-6.46570702492769,376.1335933995714,376.17213653656336,-8.212041033077252
19,0.0851,49068634270.64792,-412649478.0432846,9949085584.02002,-542279838.117303,49082603744.28131,18722947603.424644,1.000006432389534e-08,-2.3825124533965613e-13,-2.945900424667824e-14,-1.237451615019206e-14,490.6884288796557,-3.894644935186449,-3.8942570316448752,99.49619040959068,-1.1095544825078449e-13,-1.350515670962476e-13,1.710154306894835e-13,1.0000110370744113e-08,99.4811547958678,-5.11153980161889,-5.112200037326446,490.8312055899242,-8.705607212288515e-14,1.0000159611693434e-08,1.000007722971436e-08,2.4656328525168295e-13,-7.7866704902058546,374.4442712725975,374.4826731955904,-10.217500170356685
20,0.0998,48898526254.799736,-509916422.6335169,9894111253.395264,-626035630.4345844,48951350295.72269,18634725412.578365,9.999938478495209e-09,-4.93687191640817e-14,-1.0932715508959945e-13,-1.5076050546337064e-13,488.9808182590538,-4.809239441643763,-4.80838786521551,98.93522489037672,-1.4386087912172356e-13,6.85151662621832e-14,7.334989006833574e-14,9.999971886838864e-09,98.93160923126878,-5.898423671830107,-5.8986407670235135,489.5105436782861,2.6169969503557806e-14,1.0000458757845606e-08,9.999982170794338e-09,1.5503616058637657e-13,-9.615880526022552,372.6830643503225,372.7223704561715,-11.79991598977305
21,0.1207,48686303267.94681,-627652808.4284744,9825743730.878536,-759408502.972425,48730991744.3477,18517582726.766125,1.0000095724041021e-08,-2.114586676012777e-13,8.5984768428594e-14,-3.9386777325696664e-14,486.8658221391589,-5.917090850671235,-5.916461820803173,98.2583899662064,-1.942697722269827e-13,-1.5528279911611192e-13,1.0853797333953333e-13,9.999888578327282e-09,98.2449638086536,-7.157622592537905,-7.158036407166071,487.3040670435552,-6.414631933728058e-14,1.00001093785535e-08,1.0000053343629061e-08,4.712490251323968e-14,-11.8414688916242,370.3352288394212,370.3743221799836,-14.321348678782815
22,0.1364,48522756874.17692,-726798383.7282375,9758830195.662586,-866115467.8826869,48551957964.90507,18422526109.1184,1.0000123910208913e-08,-2.239013020097491e-13,-2.208623119833952e-15,-9.097736217037722e-14,485.23441633917525,-6.853267610246703,-6.852808707161404,97.58883149809483,6.735504706843129e-14,-2.232490311531338e-16,3.0515204092927964e-14,9.999953013215335e-09,97.58755038319318,-8.159633018078226,-8.160130746367336,485.5163626441641,-2.596353613299921e-13,9.999956108102277e-09,1.0000176045707149e-08,5.873106802571745e-14,-13.719153834598572,368.4336748058675,368.4724992629797,-16.33561927409508
23,0.1567,48299382036.63799,-844793947.3198996,9685926333.8441,-992572439.5081412,48336395917.08589,18303779290.47085,1.0000324354575212e-08,-2.264675257775366e-13,6.410246599309837e-14,4.6627519214976737e-14,483.00980319261146,-7.964947009120684,-7.964522918781514,96.86776405707816,1.1852398030238367e-14,5.1266544240397096e-14,4.7582993023087076e-14,9.999953774354857e-09,96.85629378251716,-9.355070982857969,-9.355670486781,483.36191219782575,-2.535947685424882e-13,1.000016195945338e-08,1.0000153671289173e-08,2.823504440694911e-13,-15.943036607860297,366.0619955731993,366.1008041959989,-18.707013908697604
24,0.1816,47994485599.96501,-1021302018.0853091,9588560267.867315,-1159496304.5070455,48052056645.896,18139824006.15851,1.0000143715349052e-08,-1.246179185690667e-13,2.9434310464224594e-14,-9.580703661393828e-14,479.9512845470871,-9.628445485329385,-9.628245961278465,95.88359362013644,-6.055515584672825e-14,-3.9945183327005033e-14,9.170978619851078e-14,1.0000029652852195e-08,95.88166608969053,-10.928027486516806,-10.929180199634535,480.5208152898915,-1.1599194360951092e-13,1.0000185264752524e-08,1.0000201702168168e-08,2.3553671632940644e-13,-19.265012335204275,362.7844560801674,362.8226133295776,-21.857663352665355
25,0.2002,47796899292.2972,-1117316998.9950316,9529998224.82758,-1266165271.5431333,47838864549.61892,18044662120.46408,1.0000172686025684e-08,-2.044346432123232e-13,9.335480861709826e-14,-2.2051679747126543e-14,477.976630572882,-10.533152399593815,-10.533508635909214,95.3017984750185,-6.894283369370365e-14,2.918334555629596e-14,1.0339582981398857e-13,1.0000100292351889e-08,95.29614039026424,-11.932487306223363,-11.933995084630686,478.3928691484024,-3.877391453646626e-14,1.0000091979521228e-08,9.999993723337437e-09,3.050248074737233e-13,-21.07283314275646,360.8760385647788,360.9134567152464,-23.865914860602068
