t,bbr,C_1111,C_1112,C_1122,C_1222,C_2222,C_1212,eps_1_xx,eps_1_xy,eps_1_yx,eps_1_yy,sig_1_xx,sig_1_xy,sig_1_yx,sig_1_yy,eps_2_xx,eps_2_xy,eps_2_yx,eps_2_yy,sig_2_xx,sig_2_xy,sig_2_yx,sig_2_yy,eps_3_xx,eps_3_xy,eps_3_yx,eps_3_yy,sig_3_xx,sig_3_xy,sig_3_yx,sig_3_yy
0,0.0,49743572527.53906,1705722.3962211714,10254000788.037298,-442958.2135261467,49744077968.23616,19220881066.94096,9.999451359324651e-09,1.5237589706174638e-13,-6.068921244192933e-13,-3.7757101304947573e-13,497.40835990055257,-0.0009420393521659,-0.0039104520796208,102.50321237357244,-7.246672815432612e-15,-1.143613340195195e-13,5.4362131451365816e-14,9.999833298043767e-09,102.55032498036208,-0.0107521355455995,-0.0077854447347206,497.4286151908094,2.91721097999898e-13,1.0000524542326528e-08,1.0000396707590485e-08,-3.170068444814834e-13,0.050271721492856,384.4297313615423,384.4409240534487,-0.0192708472802663
1,0.0,49743572527.53906,1705722.3962211714,10254000788.037298,-442958.2135261467,49744077968.23616,19220881066.94096,9.999451359324651e-09,1.5237589706174638e-13,-6.068921244192933e-13,-3.7757101304947573e-13,497.40835990055257,-0.0009420393521659,-0.0039104520796208,102.50321237357244,-7.246672815432612e-15,-1.143613340195195e-13,5.4362131451365816e-14,9.999833298043767e-09,102.55032498036208,-0.0107521355455995,-0.0077854447347206,497.4286151908094,2.91721097999898e-13,1.0000524542326528e-08,1.0000396707590485e-08,-3.170068444814834e-13,0.050271721492856,384.4297313615423,384.4409240534487,-0.0192708472802663
2,0.0,49743572527.53906,1705722.3962211714,10254000788.037298,-442958.2135261467,49744077968.23616,19220881066.94096,9.999451359324651e-09,1.5237589706174638e-13,-6.068921244192933e-13,-3.7757101304947573e-13,497.40835990055257,-0.0009420393521659,-0.0039104520796208,102.50321237357244,-7.246672815432612e-15,-1.143613340195195e-13,5.4362131451365816e-14,9.999833298043767e-09,102.55032498036208,-0.0107521355455995,-0.0077854447347206,497.4286151908094,2.91721097999898e-13,1.0000524542326528e-08,1.0000396707590485e-08,-3.170068444814834e-13,0.050271721492856,384.4297313615423,384.4409240534487,-0.0192708472802663
3,0.0,49743572527.53906,1705722.3962211714,10254000788.037298,-442958.2135261467,49744077968.23616,19220881066.94096,9.999451359324651e-09,1.5237589706174638e-13,-6.068921244192933e-13,-3.7757101304947573e-13,497.40835990055257,-0.0009420393521659,-0.0039104520796208,102.50321237357244,-7.246672815432612e-15,-1.143613340195195e-13,5.4362131451365816e-14,9.999833298043767e-09,102.55032498036208,-0.0107521355455995,-0.0077854447347206,497.4286151908094,2.91721097999898e-13,1.0000524542326528e-08,1.0000396707590485e-08,-3.170068444814834e-13,0.050271721492856,384.4297313615423,384.4409240534487,-0.0192708472802663
4,0.0003,49742401388.0084,155420.97453486294,10252794123.382248,-2543824.3136029528,49741870994.29867,19219189122.34036,9.99935457548605e-09,6.459900811560413e-14,-7.037989691462034e-13,-3.933880446903474e-13,497.39096582770895,-0.0203103490516352,-0.0232868892475576,102.4889471270053,-9.199633246171233e-14,6.372985262201845e-14,1.725960250487082e-13,9.999867657317582e-09,102.53481607341617,-0.0212829937655514,-0.0183260947845914,497.40809352949015,4.7685922864645377e-14,1.0000745843681732e-08,1.000053115527316e-08,-2.66302617345399e-13,0.0133404329332158,384.4027382845696,384.4139104713959,-0.0597828654363644
5,0.0038,49737581412.489975,-8097699.081357657,10247007663.542328,-11805223.296055682,49733480716.01523,19210042532.00631,9.99943584843794e-09,-8.442209563808823e-14,-8.58538328399641e-13,-3.4564837022384856e-14,497.3469373774021,-0.0960730733545589,-0.099049966849783,102.45436317089528,-8.012968327640952e-14,1.3341147959775424e-13,-3.379501561929703e-13,9.999695842148569e-09,102.47119781348265,-0.1158144306936237,-0.1128579843810827,497.3193324732513,-5.185964017243095e-13,1.0000579156459785e-08,9.999491601448253e-09,-6.09618212191003e-13,-0.1758882642132297,384.1966333462621,384.2078058604444,-0.2528983488179896
6,0.0147,49680678331.88024,-57152611.71271141,10214157114.790672,-67543637.25593245,49669480864.44988,19155233682.036728,1.0000708597442306e-08,1.9041477713095926e-14,-1.1804944492446178e-12,-2.3410588264508044e-13,496.8393997654148,-0.5568886908819436,-0.5598955211670266,102.12972804200372,-2.5345864349924733e-13,3.9639879530304604e-14,-1.6275804341190301e-13,9.999823964688042e-09,102.13466365826314,-0.63810480121386,-0.6350474579693661,496.6837065224073,-3.3103669893293733e-14,1.0000220472740408e-08,9.999594025837817e-09,-5.197360397959251e-13,-1.0889153997570205,383.0955763318303,383.10680641736906,-1.3026930421973475
7,0.0291,49526429992.19604,-158901320.86933416,10159375988.640709,-152750905.72104576,49557294765.80927,19061614809.128624,9.999942442363392e-09,2.4599230656543654e-13,1.706469820773495e-12,-3.850443736073086e-14,495.260978970862,-1.4577294828546323,-1.460765047714698,101.60425772033456,-1.7858170360211276e-14,1.870217154634302e-13,-6.6246489021203756e-15,9.999741723760385e-09,101.57701303910626,-1.4461299865078523,-1.4430946889059064,495.5597873774326,1.915139187527305e-12,1.0000851389802432e-08,1.0001159764584888e-08,-2.077961595870785e-13,-2.913013149352913,381.26472515504105,381.2759042739409,-2.8694324371174624
8,0.0496,49328149662.8577,-291721503.7041393,10073663832.68737,-308938655.3533387,49302148396.786,18926079691.46336,9.999886998448794e-09,-4.432101426366031e-13,-8.560743898552823e-13,2.601829198524309e-14,493.274225927308,-2.7885262352944458,-2.791602875104118,100.7471454667696,-1.5774281762517745e-13,-2.798329699445025e-13,-1.8587465323815139e-13,9.999927636137938e-09,100.71773800180112,-2.930749314924229,-2.9277781088956725,493.01826403557527,3.895122647203484e-13,1.0000017171712072e-08,9.999393715950005e-09,-2.94325503893626e-13,-5.480478091487062,378.50537471329454,378.5164991343757,-5.83789207879931
9,0.0822,48909106660.91478,-548508155.769565,9946185888.57487,-553968242.3615898,48871357780.05366,18691039550.41007,9.998697198291422e-09,-4.920406300052801e-13,1.1814440405528146e-12,4.154779219687225e-13,489.03051849960485,-5.16311860494574,-5.166468404672463,99.46552674417312,4.375237804829378e-13,-2.453287894966324e-13,9.774744632148941e-14,9.999886496722484e-09,99.4843462213818,-5.24769638370572,-5.245550391671399,488.7118964581184,2.278223906555932e-12,9.999542629474392e-09,1.0001512786985393e-08,5.095866806465534e-13,-10.247453120121463,373.8351112886736,373.8453658091952,-10.403680370450328
10,0.1229,48470682952.97666,-833778511.5019335,9751383533.665218,-878022192.891446,48346100418.60787,18407630080.960083,9.998937051445236e-09,-1.7292042342745814e-13,2.027289998608261e-13,-5.547904593751958e-13,484.6550266316249,-7.867066839736461,-7.870177944211281,97.4823813936268,4.554111346044548e-15,2.0104037064679923e-14,-4.97648042180805e-14,9.999792747616072e-09,97.50599775553484,-8.274049035505072,-8.27154747844615,483.44568769901815,4.136159629578018e-13,1.000074286545302e-08,1.0000440293629108e-08,-1.3718891693381518e-13,-15.697192714984013,368.169058186587,368.17970564538194,-16.566316178928204
11,0.1581,48008543264.097984,-1070855738.749582,9617016201.039097,-1127860955.373008,47906995085.55702,18177615995.11854,1.0000089417945606e-08,2.5069491217071064e-14,-3.576936691910391e-14,-2.920136674145468e-13,480.08813172901233,-10.10239069338206,-10.105233729939227,96.15760778740504,-2.6977659115214386e-13,-1.781107272907861e-13,8.287870635138601e-14,9.999847313657637e-09,96.1565402881876,-10.643676667665924,-10.6411948455356,479.060166934304,-9.905629389200509e-13,9.999684143345562e-09,1.0000243282443224e-08,-3.186484800724287e-13,-20.22085916472925,363.54571573809926,363.5565096811457,-21.271253896363547
12,0.2003,47516402813.59329,-1369688079.3733015,9406188644.346584,-1433333669.6375303,47333324008.42509,17905499129.355087,9.999076103690648e-09,3.0743086952372546e-13,-7.97292736227283e-13,-3.483833382545876e-13,475.1179310472534,-12.922676006602345,-12.925421665225242,94.05400093112422,-1.3925360890249229e-13,-1.1479632079805428e-13,-1.4620131846646199e-13,9.999882772120836e-09,94.03666230955902,-13.532771691366742,-13.530099547059727,473.3252073217358,6.868906723515346e-13,9.999917337350529e-09,9.999380724662984e-09,-5.86144229967983e-13,-25.801632219731992,358.09290418703205,358.1038942979767,-27.03714249120664
13,0.241,46988104139.182175,-1645275664.1191216,9251290507.826366,-1707880095.4272015,46788141502.75893,17649267299.73632,9.998979698901229e-09,2.432822769429836e-13,-5.369213702416712e-13,-1.4927798900334282e-14,469.8332385823341,-15.509133253175206,-15.512060524337638,92.51360087336262,-4.6189428718261154e-14,9.798600385080944e-15,4.377757490163481e-13,9.999841392054377e-09,92.49963212719774,-16.10417580481332,-16.101491999373383,467.8744824811367,-3.653438729747299e-13,9.999550534700467e-09,9.99927341148002e-09,-3.888330608600146e-13,-31.03832437739224,352.9588961041632,352.9697531467432,-32.20641845231852
14,0.2842,46450392460.831726,-1973846232.6297293,9008770661.614449,-2063457952.7600093,46093337964.63109,17338296489.5522,9.998701228497187e-09,1.4662183066360277e-13,1.2799079696362109e-13,-1.259807304002441e-13,464.4449804291559,-18.58921671956285,-18.590811495946777,90.07558290546064,2.4669443588716474e-14,7.627897079629884e-14,8.050294019691215e-13,9.999878255092773e-09,90.08388806394524,-19.44571921098601,-19.44262213487512,460.9270036427429,-6.247550802244899e-13,9.99974349890824e-09,1.0000736609520316e-08,-1.904042955197029e-13,-37.245812349935534,346.76581078168584,346.77824684593804,-38.90381277770141
15,0.3274,45788786306.3462,-2273970274.7316923,8824410665.060131,-2364092614.290219,45480370340.99179,17068563421.939388,9.998996304595411e-09,9.516648863530167e-15,3.8721272685227633e-13,-2.395545691414468e-13,457.842727230236,-21.42438239021941,-21.42611559656551,88.22341849424961,-4.2296825967432964e-13,6.154597964424629e-14,5.857857002165979e-13,9.999928657882292e-09,88.23033755378928,-22.275246211679708,-22.27250873351192,454.79886493213,-2.12457182103103e-12,1.0000403528398076e-08,1.0000840761021226e-08,-2.3345447030165773e-13,-42.94807522116905,341.38419507805366,341.3962313666285,-44.58429908277717
16,0.3715,45032177529.23195,-2638184077.1820054,8584073686.9713,-2705933405.906109,44862761828.70413,16737569509.663263,9.999981260305454e-09,1.8893181229491885e-13,-5.949921648477343e-14,1.2355981927463878e-14,450.32005888192674,-24.868418296656177,-24.888656678400608,85.84852804317957,-6.823615455814464e-14,4.523895451318856e-14,4.880639760702887e-13,9.999998324627056e-09,85.830540451552,-25.506323414563926,-25.510918375479623,448.628232664188,1.1523083080852345e-13,9.999882561394777e-09,1.0000538412341745e-08,-2.286319893482831e-13,-49.73159818480985,334.75349674402304,334.7600114205362,-51.022458897274326
17,0.408,44442573903.23941,-2878831289.636017,8415314900.859922,-2975276868.581948,44248466345.52084,16506878204.984829,1.0000720373536887e-08,5.4412923344661214e-14,1.20646776457799e-12,1.3757513673510474e-13,444.453827675988,-27.129148747620224,-27.14913521834537,84.15932563826229,1.4844251502341198e-13,-2.4401211137250465e-14,4.613198533378127e-13,9.999859558295458e-09,84.16028189791342,-28.05429542407024,-28.05894053714874,442.4807376461256,1.9050793560844835e-12,1.0000075021372492e-08,1.0000336817889553e-08,-4.02830124849021e-13,-54.19905296427146,330.1363903920057,330.1430426320542,-56.09578395671919
18,0.4403,44010159527.28118,-3056713090.800903,8291609214.111139,-3182494926.795773,43812921553.8629,16314845257.889145,9.998075411242517e-09,-1.1154328542334905e-13,5.463810842481298e-15,-2.485419026414193e-13,440.0156889043696,-28.803773706117067,-28.823767419022754,82.89629828663132,-6.215366774987132e-13,1.172445107207382e-13,5.671515167719645e-13,1.0000085890064186e-08,82.88555823571978,-29.988076357673787,-29.99197853286616,438.1298536435638,-1.3702385501225905e-12,9.999659649338201e-09,1.0001074514657568e-08,3.54613870756754e-13,-57.67357302468623,326.30245862087617,326.31181158601,-59.998582624426255
19,0.4842,43335152906.445145,-3377046924.2567816,8066971559.664963,-3502066198.3378725,43015933963.41285,16005143387.037216,9.999284797291277e-09,-3.724357799348211e-15,-1.7209246733943392e-13,1.6670978716179345e-13,433.3208648702024,-31.835236120901715,-31.855279138945026,80.68533289829315,-3.1692811261373814e-14,1.3872690067588934e-13,-7.177774646123912e-13,9.999924649747e-09,80.65450197217321,-33.02945507175083,-33.03391436793058,430.1577674654399,-1.8370467006582681e-13,1.0000619000982905e-08,9.998776707178616e-09,-9.824326737435849e-14,-63.678353870602265,320.0911466342144,320.10018854022616,-66.03757995805273
20,0.5274,42716704783.57222,-3678362933.910461,7760987906.130789,-3914236705.7877617,41788780365.38678,15689009452.476383,1.0001089946403186e-08,1.2818042593426638e-13,1.7045038095557096e-12,-3.222588503253357e-13,427.21372146675054,-34.663195039479234,-34.68295715662882,77.6154000180002,-1.5896824394996442e-14,-1.3955539870888638e-13,9.126084094468557e-14,1.0000414891202933e-08,77.59834214149471,-36.90964276044957,-36.91433999621362,417.89890075878736,-6.859905954157369e-14,9.999948161448866e-09,1.0000285973088642e-08,1.013140178610578e-12,-69.33778116426677,313.7730847673514,313.782290724917,-73.76270982021575
21,0.6544,37682190137.26641,-5522102715.4135065,6038497762.858771,-5999753633.488618,35170039337.48569,14240364323.52366,9.999493983619357e-09,4.391672261687668e-13,-6.43603576152503e-13,-2.375915907085516e-13,376.8051140448594,-52.06902744756445,-52.08781025621666,60.38690492270589,1.62271168159575e-13,-1.2679872921054437e-13,-2.2338839515628253e-14,1.0000206391679246e-08,60.3795771529813,-56.58656621282253,-56.58274184136757,351.7064005790119,-2.4974999010654483e-13,1.0000708744129897e-08,1.0000845067972164e-08,-3.232267770956225e-14,-104.12225985037104,284.82520784984865,284.8374344228273,-113.12242193786018
22,0.7296,31228695844.59304,-8038771244.307966,3950951375.6892633,-8165831049.135029,27756869533.446167,12651283307.549627,9.999089614189954e-09,4.4158369104787174e-13,3.722827024445562e-13,-4.0524042627714934e-13,312.26124014797585,-75.77510938173806,-75.7793667979089,39.50454715627473,2.38236389216228e-13,-3.53921824349129e-14,5.365506020240716e-15,9.999953361582732e-09,39.505408271837965,-76.98405563147737,-76.97297332854687,277.56473618020544,-2.3363736427628175e-13,1.0000837462712668e-08,1.0003051313287704e-08,1.3823135842896724e-13,-151.59141265787653,253.05682526439992,253.08102760259248,-153.98948101245793
23,0.7712,28929966390.769848,-8672447419.561493,3805034331.0690327,-9046128933.075712,23441108727.48576,11996040903.167528,1.0000176595402171e-08,4.851496789366382e-13,9.371647969326125e-13,-4.358710858809278e-13,289.3104368766062,-81.76411172842967,-81.76752605861299,38.045632180138085,4.274653074115046e-13,-8.696198633841481e-15,-2.722632785609988e-13,9.999887912452504e-09,38.05827257515456,-85.29143512039585,-85.28208760870595,234.40821181069225,-4.93673762207602e-13,1.0000463261976553e-08,1.0001030824610664e-08,-1.6536069390862133e-13,-163.5361301673114,239.91968021244028,239.93933801502607,-170.57828962069286
24,0.7725,28864702097.72773,-8698084168.587835,3782988456.87074,-9073396314.655075,23313819928.16678,11978402522.623528,1.000022877659391e-08,4.785399544086823e-13,3.775720875806113e-13,-4.822284710981838e-13,288.6669453358545,-82.00606704107976,-82.00963094961966,37.830234026177614,4.2207115317822163e-13,6.194299533691118e-14,2.5482090185044017e-13,9.999973645712186e-09,37.8373071543162,-85.53542979019932,-85.52625711109529,233.13457255306696,-1.429506796797413e-12,1.0000412325894248e-08,1.0002119724933747e-08,1.389988964271226e-13,-164.05377114565897,239.5789235719514,239.5983760937631,-171.09738574264588
25,0.7789,28751782075.67537,-8775960025.126701,3793368434.114053,-8995868822.83753,22134995710.826134,11889758270.998833,1.0001055391672142e-08,4.782172076438545e-13,-1.0854378522655049e-13,-3.3160376358418293e-13,287.55292194950306,-82.75732661004862,-82.7613902784773,37.94628692844697,4.011797261758573e-13,-7.315192006655198e-14,-1.5995329287560708e-13,9.999764358562878e-09,37.92441587063611,-84.8241310446334,-84.81431307234332,221.34099149346585,-3.907557252802155e-13,1.0000703496406914e-08,9.999929516271729e-09,2.938927980333804e-13,-165.49358244368335,237.7924395748373,237.81078147557824,-169.61046302053052
26,0.7795,28751987347.02621,-8778515813.81302,3787015345.91024,-9001247276.253046,22111735094.44064,11885259952.308706,9.999930606033384e-09,4.20599768120698e-13,-2.719877141663976e-13,-5.793625963392331e-13,287.510920635362,-82.77218677152403,-82.77626277817816,37.86070349036191,-2.0458847343930602e-13,-1.4463614005602573e-13,3.71101551700493e-15,9.999921139602e-09,37.85091326803743,-84.86669920684876,-84.85691036116484,221.11278957682987,7.469559830215195e-13,1.000054557941721e-08,1.0000538605501866e-08,7.354141146922912e-14,-165.49993829700318,237.70889834456244,237.7272035578025,-169.72511501025036
27,0.7974,28473510927.67461,-8650313483.778503,3914153602.915832,-9055429656.465878,21822614351.84868,11705243202.13906,1.000075687115264e-08,4.559919600071501e-13,-4.723367367323059e-13,-6.70817818134124e-13,284.767814843159,-81.57295249342754,-81.57719591161634,39.14063699351558,1.326770595442499e-13,-2.0294473064987362e-13,-1.2862643458028732e-13,9.999811833850092e-09,39.136372430019065,-85.38363059344653,-85.37365701314837,218.21605131891832,-1.3038219124265109e-12,1.0000506143788686e-08,1.0000710255919588e-08,3.93783760789533e-13,-163.14371487411927,234.1129544833913,234.1311784827379,-170.73305422651197
28,0.799,28426256652.62229,-8659467416.562578,3915172959.838149,-9071103117.52716,21800392828.02155,11688757856.97524,1.0000065765696348e-08,3.641888365301034e-13,9.995010397277732e-13,-5.357229287920605e-13,284.270275281532,-81.63998254336782,-81.64431048844436,39.141998268153024,6.028407086777116e-13,-1.374376117701653e-13,1.0211390123023377e-13,9.999830717333044e-09,39.16187802389573,-85.54128846137766,-85.53131545790617,217.997371061932,-4.260338416189558e-13,1.000070356316989e-08,1.00016714449564e-08,8.999476604057802e-14,-163.2963062514621,233.782996127889,233.8011784803409,-171.02736533290832
29,0.8013,28414816709.04964,-8657889931.242846,3917428515.591378,-9062871303.219963,21764314301.085167,11684526575.279324,1.0000007124556283e-08,4.079918448428873e-13,1.268751583744015e-12,-2.151308775066123e-13,284.1466428591385,-81.61650125279117,-81.62082625659951,39.172757472774926,5.187787807822676e-13,1.5659010709238234e-14,4.606316317618082e-13,9.999930323422224e-09,39.1757593194232,-85.45477776952,-85.44477496971915,217.63968330600684,4.605042270977501e-13,1.000058025838314e-08,1.0001836524321494e-08,1.288046844536702e-13,-163.2467728903011,233.69193004437665,233.7100990231882,-170.88107974997
