t,bbr,C_1111,C_1112,C_1122,C_1222,C_2222,C_1212,eps_1_xx,eps_1_xy,eps_1_yx,eps_1_yy,sig_1_xx,sig_1_xy,sig_1_yx,sig_1_yy,eps_2_xx,eps_2_xy,eps_2_yx,eps_2_yy,sig_2_xx,sig_2_xy,sig_2_yx,sig_2_yy,eps_3_xx,eps_3_xy,eps_3_yx,eps_3_yy,sig_3_xx,sig_3_xy,sig_3_yx,sig_3_yy
0,0.0,49760192962.47403,74676455.60734317,10242493523.826277,-73173474.57396866,49760099169.9025,19067916455.7519,9.999664584520949e-09,-3.555175410646033e-13,-3.176394624067552e-13,3.115677083264572e-13,497.5837277818581,0.6867240290071829,0.6960598511912748,102.44061658230174,-1.5105374499567176e-13,7.660573407807254e-13,3.8380387479372776e-14,1.0000363509990722e-08,102.41748358247132,-0.672829084017531,-0.6821676341205207,497.62228112841854,5.057999379076549e-13,1.0000063706809322e-08,9.999755616664169e-09,-1.4113553399748913e-13,1.4274048461578832,381.3590109669917,381.3505515657845,-1.380975297268077
1,0.0,49760192962.47403,74676455.60734317,10242493523.826277,-73173474.57396866,49760099169.9025,19067916455.7519,9.999664584520949e-09,-3.555175410646033e-13,-3.176394624067552e-13,3.115677083264572e-13,497.5837277818581,0.6867240290071829,0.6960598511912748,102.44061658230174,-1.5105374499567176e-13,7.660573407807254e-13,3.8380387479372776e-14,1.0000363509990722e-08,102.41748358247132,-0.672829084017531,-0.6821676341205207,497.62228112841854,5.057999379076549e-13,1.0000063706809322e-08,9.999755616664169e-09,-1.4113553399748913e-13,1.4274048461578832,381.3590109669917,381.3505515657845,-1.380975297268077
2,0.0,49760192962.47403,74676455.60734317,10242493523.826277,-73173474.57396866,49760099169.9025,19067916455.7519,9.999664584520949e-09,-3.555175410646033e-13,-3.176394624067552e-13,3.115677083264572e-13,497.5837277818581,0.6867240290071829,0.6960598511912748,102.44061658230174,-1.5105374499567176e-13,7.660573407807254e-13,3.8380387479372776e-14,1.0000363509990722e-08,102.41748358247132,-0.672829084017531,-0.6821676341205207,497.62228112841854,5.057999379076549e-13,1.0000063706809322e-08,9.999755616664169e-09,-1.4113553399748913e-13,1.4274048461578832,381.3590109669917,381.3505515657845,-1.380975297268077
3,0.0008,49758918453.69318,74178136.80953683,10242877942.527369,-77741630.57282192,49745182736.99033,19065995173.648727,9.999737527248278e-09,-2.99399346745319e-13,-2.111051352443337e-13,2.2277523600285745e-13,497.5745557374818,0.6838624393505469,0.6931984016174952,102.44050537566856,-1.5639668366001502e-13,7.131796755278754e-13,7.041443469745526e-14,1.0000437307587009e-08,102.42210189478024,-0.716419199212706,-0.7257582204196189,497.4758757387964,4.79803601357152e-13,1.0000037936502573e-08,9.9997821239386e-09,-1.69088957753283e-13,1.4191316985164748,381.3206092449439,381.3121502586355,-1.4673749932076576
4,0.0046,49725535417.21833,55318207.015371926,10221875935.514816,-100711876.9336342,49571086701.25927,19035450724.449787,9.999707865157164e-09,-3.212296353980847e-13,-2.0700183617556815e-13,2.763712154625049e-13,497.2389299535368,0.5062632070574681,0.5146412133912643,102.2329030552251,-1.88028856316292e-13,6.601699288144716e-13,5.2209054412037404e-14,1.0000451492906017e-08,102.21061878914598,-0.9375662194367724,-0.9429991069129487,495.7360783213926,4.66801702289059e-13,1.0000003228412893e-08,9.99984890569486e-09,-5.4081862744579625e-14,1.0624632386752402,380.71007333058486,380.7021362001449,-1.8954310437603257
5,0.0093,49713964775.60259,49904183.29604309,10204479441.632812,-100988049.23333326,49431420714.58425,19007924396.404167,9.999638051106857e-09,-3.9228119527061283e-13,-2.5169989099398593e-13,7.034560145918008e-14,497.1194923452411,0.4544966831772513,0.4628825929246896,102.04936888801404,-2.1336341624628695e-13,6.819697003360551e-13,3.785185317352449e-13,1.000034089631265e-08,102.0329081208125,-0.9324278744865176,-0.937871929439424,494.3318067041309,3.348752126867873e-13,1.000010003015207e-08,9.999664831973837e-09,-3.2055792221592045e-13,0.9549485781078346,380.1578347563793,380.1499401461389,-1.910531679290261
6,0.02,49638771195.48524,-5662653.331789787,10160769219.504494,-174595994.16329476,49257362330.382576,18937021079.385868,9.999587690101711e-09,-6.830939560027505e-14,-1.533076983503232e-13,2.4058736570606146e-13,496.3641203083356,-0.0693935356211344,-0.0593727768495516,101.61884892808,-3.074746253783676e-13,2.787656705850305e-13,4.582578619095436e-13,9.999904439247936e-09,101.58814919898546,-1.6333262164246185,-1.6385301601943352,492.5713848830613,1.445734168185202e-13,1.0000027943998826e-08,9.999640089363857e-09,-1.4580657553823558e-13,-0.0919552403481052,378.7365414247448,378.7314888566325,-3.290832049058971
7,0.0325,49563111305.905525,-71437731.70206575,10115813422.786942,-283060438.6055896,49048227641.341576,18845260436.638824,9.999515750991433e-09,-2.029056801297334e-13,-3.2539135148028097e-13,1.2109540146766312e-14,495.6041494397783,-0.6887079154767874,-0.6798522591885735,101.15729632050687,-2.9177491802631697e-13,8.093187054812487e-13,4.370020319169689e-13,1.000040237978478e-08,101.14439744870832,-2.6423460736428748,-2.6492897079894804,490.50217295226906,1.6755868930363768e-13,1.0000126819171511e-08,9.999567626129e-09,-1.4219362375656937e-13,-1.3365263366674334,376.90346085474624,376.8948464596952,-5.337982339900422
8,0.0511,49403049701.34411,-187714935.0585402,10041935133.80352,-413016972.7483786,48742738038.37378,18719517238.63401,9.999556897455681e-09,-7.239042143076439e-14,-3.131020673042522e-13,3.959379735351625e-13,494.0069739587034,-1.774139577171292,-1.7654344580296208,100.4387047460872,-1.5800180246164577e-13,2.1542947678685386e-13,4.88647592502289e-13,1.0000367754235472e-08,100.41099556979682,-3.87554276685483,-3.8825722362747697,487.4492746711872,2.5997798626631976e-13,1.0000253495727017e-08,9.999518135700561e-09,1.8484959152913168e-14,-3.535546749789168,374.39026225031046,374.3814657707464,-7.787293130622358
9,0.073,49157166272.85674,-318699534.64837325,9917866116.71352,-562014597.9733257,48146762967.19841,18532603830.108505,9.999588445330793e-09,-9.436225790905116e-14,-3.8548343209784397e-13,2.641234935653612e-13,491.5484609113653,-3.019251333698408,-3.010321508330649,99.19320906775124,-2.919768026007189e-13,4.711821688813829e-14,4.76299468634936e-13,1.0000235100852788e-08,99.16125288620806,-5.29129699217143,-5.297967363183171,481.4817391046199,2.501822754789419e-13,1.0000275263332492e-08,9.999778080826614e-09,-3.214486608985044e-13,-5.998774449163848,370.6569172870449,370.64894708073047,-10.603656681199109
