t,bbr,C_1111,C_1112,C_1122,C_1222,C_2222,C_1212,eps_1_xx,eps_1_xy,eps_1_yx,eps_1_yy,sig_1_xx,sig_1_xy,sig_1_yx,sig_1_yy,eps_2_xx,eps_2_xy,eps_2_yx,eps_2_yy,sig_2_xx,sig_2_xy,sig_2_yx,sig_2_yy,eps_3_xx,eps_3_xy,eps_3_yx,eps_3_yy,sig_3_xx,sig_3_xy,sig_3_yx,sig_3_yy
0,0.0,49777014144.63218,58111076.25581215,10224651164.42956,-57996857.32624549,49776789114.98248,19197031280.58552,1.0000185891022384e-08,-1.8528685420318321e-13,-4.351729157223637e-14,3.56750480707848e-15,497.7795546002218,0.5452174716404785,0.5458760487454585,102.2513193403584,1.712335513340368e-14,-1.245790396612517e-13,7.707879156729312e-14,9.99995850667877e-09,102.24423928219876,-0.5476638760659789,-0.5483222029292144,497.76584813974216,-2.72632083299905e-13,1.0000151250487202e-08,1.0000001360629661e-08,2.580557438146754e-13,1.08170042311881,383.9241388843913,383.9629519111113,-1.08484909614777
1,0.0,49777014144.63218,58111076.25581215,10224651164.42956,-57996857.32624549,49776789114.98248,19197031280.58552,1.0000185891022384e-08,-1.8528685420318321e-13,-4.351729157223637e-14,3.56750480707848e-15,497.7795546002218,0.5452174716404785,0.5458760487454585,102.2513193403584,1.712335513340368e-14,-1.245790396612517e-13,7.707879156729312e-14,9.99995850667877e-09,102.24423928219876,-0.5476638760659789,-0.5483222029292144,497.76584813974216,-2.72632083299905e-13,1.0000151250487202e-08,1.0000001360629661e-08,2.580557438146754e-13,1.08170042311881,383.9241388843913,383.9629519111113,-1.08484909614777
2,0.0,49777014144.63218,58111076.25581215,10224651164.42956,-57996857.32624549,49776789114.98248,19197031280.58552,1.0000185891022384e-08,-1.8528685420318321e-13,-4.351729157223637e-14,3.56750480707848e-15,497.7795546002218,0.5452174716404785,0.5458760487454585,102.2513193403584,1.712335513340368e-14,-1.245790396612517e-13,7.707879156729312e-14,9.99995850667877e-09,102.24423928219876,-0.5476638760659789,-0.5483222029292144,497.76584813974216,-2.72632083299905e-13,1.0000151250487202e-08,1.0000001360629661e-08,2.580557438146754e-13,1.08170042311881,383.9241388843913,383.9629519111113,-1.08484909614777
3,0.0,49777014144.63218,58111076.25581215,10224651164.42956,-57996857.32624549,49776789114.98248,19197031280.58552,1.0000185891022384e-08,-1.8528685420318321e-13,-4.351729157223637e-14,3.56750480707848e-15,497.7795546002218,0.5452174716404785,0.5458760487454585,102.2513193403584,1.712335513340368e-14,-1.245790396612517e-13,7.707879156729312e-14,9.99995850667877e-09,102.24423928219876,-0.5476638760659789,-0.5483222029292144,497.76584813974216,-2.72632083299905e-13,1.0000151250487202e-08,1.0000001360629661e-08,2.580557438146754e-13,1.08170042311881,383.9241388843913,383.9629519111113,-1.08484909614777
4,0.0,49777014144.63218,58111076.25581215,10224651164.42956,-57996857.32624549,49776789114.98248,19197031280.58552,1.0000185891022384e-08,-1.8528685420318321e-13,-4.351729157223637e-14,3.56750480707848e-15,497.7795546002218,0.5452174716404785,0.5458760487454585,102.2513193403584,1.712335513340368e-14,-1.245790396612517e-13,7.707879156729312e-14,9.99995850667877e-09,102.24423928219876,-0.5476638760659789,-0.5483222029292144,497.76584813974216,-2.72632083299905e-13,1.0000151250487202e-08,1.0000001360629661e-08,2.580557438146754e-13,1.08170042311881,383.9241388843913,383.9629519111113,-1.08484909614777
5,0.0,49777014144.63218,58111076.25581215,10224651164.42956,-57996857.32624549,49776789114.98248,19197031280.58552,1.0000185891022384e-08,-1.8528685420318321e-13,-4.351729157223637e-14,3.56750480707848e-15,497.7795546002218,0.5452174716404785,0.5458760487454585,102.2513193403584,1.712335513340368e-14,-1.245790396612517e-13,7.707879156729312e-14,9.99995850667877e-09,102.24423928219876,-0.5476638760659789,-0.5483222029292144,497.76584813974216,-2.72632083299905e-13,1.0000151250487202e-08,1.0000001360629661e-08,2.580557438146754e-13,1.08170042311881,383.9241388843913,383.9629519111113,-1.08484909614777
6,0.0,49777014144.63218,58111076.25581215,10224651164.42956,-57996857.32624549,49776789114.98248,19197031280.58552,1.0000185891022384e-08,-1.8528685420318321e-13,-4.351729157223637e-14,3.56750480707848e-15,497.7795546002218,0.5452174716404785,0.5458760487454585,102.2513193403584,1.712335513340368e-14,-1.245790396612517e-13,7.707879156729312e-14,9.99995850667877e-09,102.24423928219876,-0.5476638760659789,-0.5483222029292144,497.76584813974216,-2.72632083299905e-13,1.0000151250487202e-08,1.0000001360629661e-08,2.580557438146754e-13,1.08170042311881,383.9241388843913,383.9629519111113,-1.08484909614777
7,0.0,49777014144.63218,58111076.25581215,10224651164.42956,-57996857.32624549,49776789114.98248,19197031280.58552,1.0000185891022384e-08,-1.8528685420318321e-13,-4.351729157223637e-14,3.56750480707848e-15,497.7795546002218,0.5452174716404785,0.5458760487454585,102.2513193403584,1.712335513340368e-14,-1.245790396612517e-13,7.707879156729312e-14,9.99995850667877e-09,102.24423928219876,-0.5476638760659789,-0.5483222029292144,497.76584813974216,-2.72632083299905e-13,1.0000151250487202e-08,1.0000001360629661e-08,2.580557438146754e-13,1.08170042311881,383.9241388843913,383.9629519111113,-1.08484909614777
8,0.0004,49772669282.64138,58516107.14771745,10225075626.677307,-57874548.82924198,49776961748.64092,19197013468.47106,1.0000185202062085e-08,-1.3194377548233634e-13,-5.766024905199554e-14,-5.0047100460900084e-14,497.735905382635,0.5494207832010087,0.5500788804708494,102.25217334178863,2.3996725853710176e-16,-1.4428278466058232e-13,1.227081479553953e-13,9.999998109914236e-09,102.24875818316514,-0.545741347329024,-0.5463990391765461,497.7689960133357,-1.424255664608114e-13,1.000022322074104e-08,9.999968438858098e-09,2.878392204596601e-13,1.0950641394337233,383.9245327629807,383.9633460502938,-1.0813347377406772
9,0.0021,49760470293.536026,57398175.86229705,10226742325.752094,-57826510.411680624,49776552242.94259,19196893459.50112,1.0000192104757038e-08,-1.3352730483420442e-13,-6.319584464924063e-14,-3.935490036842247e-14,497.6145005397127,0.5388208870977418,0.5394667308837561,102.27012692515169,2.3997236959614043e-14,-1.5037461482747877e-13,1.2171269197795336e-13,1.00000619197727e-08,102.26657303295228,-0.5458200938404925,-0.5464764573300109,497.7681896945225,-1.2940421142919697e-13,1.0000263123266094e-08,9.999968190987751e-09,2.283351455613306e-13,1.07433677441645,383.9228965380656,383.9617047675477,-1.082402304678389
10,0.0082,49649534399.78449,51034445.42233211,10232909421.04002,-58676340.56970544,49773796038.40868,19187294526.29152,1.0000220627662516e-08,-2.321698672791516e-13,-1.3425756495156897e-13,-2.029612377021641e-13,496.50518334172864,0.4732591983646834,0.473942791235197,102.32430511888418,-1.0866061564763385e-13,-1.2645325318967048e-13,7.612993082424842e-14,1.000007147695264e-08,102.32140169193674,-0.5548834748548779,-0.5555364291166458,497.73942799672506,-5.700859660523134e-14,1.0000188280834846e-08,1.000012968418095e-08,2.404551258268542e-13,0.9583703613730176,383.7325809451253,383.7713722606123,-1.098343519669523
11,0.0218,49329383278.7632,52036497.914873175,10243692092.53332,-57327034.6240902,49766100587.44006,19162962484.116352,1.0000161511677013e-08,-2.769849704086144e-13,-1.6939151269646737e-13,-1.4963575064912294e-13,493.3007477163432,0.481589454167481,0.4823239423125972,102.4333280449602,-1.0223587640770621e-13,-1.3942890557191957e-13,1.9634575506550505e-13,1.0000172718058416e-08,102.43148538514868,-0.5379763977133188,-0.5386415318748372,497.6680558855247,-1.024901940101871e-13,1.0000195973528978e-08,1.0000162034122197e-08,2.3632183447918184e-13,0.9752471947245532,383.2467072981178,383.28546316411126,-1.0750001362222172
12,0.0411,48945018407.64907,53607228.00632459,10250265943.880615,-56311334.44981606,49754944324.00165,19127299102.259304,1.000013498536271e-08,-1.4320171387565158e-13,4.155462746916975e-14,-1.152921453803117e-13,489.4570337049675,0.5058719891044069,0.5069194997758852,102.50169738923393,2.34833449921044e-14,5.794034634645802e-14,1.1622563716690138e-13,1.0000103121005788e-08,102.5015913531942,-0.5238227603500116,-0.5244916664217172,497.5533861384924,4.032353566419137e-14,1.0000151177191582e-08,9.999959628026473e-09,1.1644660112567597e-13,1.009807213965726,382.5287800315124,382.567394074874,-1.060326882943352
13,0.0613,48429066039.68575,83918782.50363599,10230527257.753803,-50514522.21326719,49728149652.26017,19060157315.627552,1.0000236478311721e-08,-2.2109735705189842e-13,8.594866142847747e-14,-7.067894993158461e-14,484.3009580834462,0.7902422411097688,0.7918296305933054,102.30867769866316,-1.1245072156262253e-13,8.98293358376437e-14,1.1186625030357846e-14,1.0000106082792958e-08,102.2963724570843,-0.4694553670240113,-0.4699740752124652,497.2860411441704,-5.344720393872223e-14,1.0000090956162736e-08,9.99996973595862e-09,1.6196105185991674e-13,1.5778029683162222,381.1849213974792,381.2236538101192,-0.9510800862388268
14,0.0975,47297030828.86536,70327676.34563631,10136421950.600613,-64052464.85368697,49664143078.38498,18915426344.07654,1.0000138207150872e-08,-2.9040003424623576e-13,8.900857824027093e-14,-5.4184548109650427e-14,472.9766668753846,0.6605944079398435,0.6621814885947305,101.36489705294645,-1.807353909248335e-14,-1.570158021690265e-13,-1.4119557876055367e-14,9.999974024451494e-09,101.36121910895596,-0.6062883064139508,-0.6068067121984945,496.6395874840765,7.505408288422033e-14,1.0000075673679397e-08,1.0000100322529962e-08,6.699020457830104e-14,1.3250148269847528,378.2927104798866,378.3309954570888,-1.2078750998008951
15,0.1283,46798388689.51662,95533091.2227924,10101645557.834455,-55777991.71838845,49638410789.94635,18838932340.280266,1.0000048293454557e-08,-2.0264023953271865e-13,-9.887669888507849e-14,-1.106139548726942e-13,467.98469730547015,0.8956804634445751,0.8977395603705386,101.0132162981785,-1.4375506036889538e-13,-8.416309474092815e-14,1.1471068367416546e-13,9.999952640298582e-09,101.00740116322277,-0.5243111835946208,-0.5247980414095715,496.3806334792402,2.8239425800484667e-14,1.00001767396143e-08,1.0000286091736408e-08,1.1843851145790497e-13,1.7995816411402057,376.76830419006313,376.8063704712203,-1.0494144540022112
16,0.1645,45964496247.0855,86917015.80970258,10008062436.714577,-56524596.81702141,49568329085.08188,18679860975.875435,1.0000168371696837e-08,-1.218354489865697e-13,-8.013677227282098e-14,-9.71277268642957e-14,459.6522934886371,0.8156482300822347,0.8179903421902165,100.08034838942676,-4.0687571383219367e-14,9.040824411872416e-14,3.873163326335028e-14,1.0000016949169515e-08,100.07628961875182,-0.5290764705140917,-0.5295459066010209,495.6831490626872,-1.0750395839693808e-14,1.0000078200290442e-08,1.0000088212588113e-08,1.8642962883633626e-13,1.6372067475981051,373.5814603649521,373.6191489518556,-1.0603130284928155
17,0.2024,45039192245.87993,17021877.55148146,9923494268.904942,-84115734.26948018,49490337124.53442,18525433250.65715,1.0000172308586226e-08,-2.42178229039858e-13,-8.036107232743977e-14,-1.0683523345765604e-14,450.39930681469656,0.1535635013391766,0.1557938066468957,99.2390631514435,-3.81728740486866e-14,-2.4401076474148737e-13,4.375061741525321e-14,9.999984771093808e-09,99.23000198751184,-0.7952192471106274,-0.7957380479173555,494.902493400136,1.5606259735544204e-13,1.00001000114047e-08,1.0000187269164206e-08,2.300473018373661e-13,0.3243117588341207,370.49528399280433,370.5327116002164,-1.5817151483178271
18,0.2324,44340861978.99448,-6763710.376408028,9870621078.910416,-104455135.28784344,49428069922.869225,18421740405.633785,9.99993028322269e-09,-1.3039638067374517e-13,5.166878266176809e-14,-1.0537451586570917e-13,443.4046559347968,-0.064257973741622,-0.0613982876237125,98.70178115124632,-8.835261863163438e-14,5.6075628479359335e-14,1.2493020814918757e-13,9.999865336164514e-09,98.69957598580577,-0.9787961087023734,-0.9790173593258727,494.2729945801418,7.164752221489527e-14,1.0000216212771232e-08,1.0000172247103848e-08,8.524884428398636e-14,-0.1266737183354803,368.4226334084033,368.46126036443457,-1.968296116817204
19,0.2735,43117007833.53695,33428627.37550452,9694901772.399384,-67889042.91236636,49294245340.26197,18206843651.40732,9.999751663401608e-09,-2.941522826029061e-13,7.744759627082182e-14,-1.049089060423316e-13,431.158352233948,0.3144804697556711,0.3169586624305514,96.94419661078965,-1.052956312195915e-13,1.428604168789877e-13,5.900066125469277e-14,9.999890856370882e-09,96.94065785469256,-0.6309713615869132,-0.6312394979009667,492.9360500541507,7.101887640533667e-14,1.0000363132858197e-08,9.999828921999865e-09,9.640646740242796e-14,0.6286785989085447,364.1213537838501,364.1593461876879,-1.281649961599212
20,0.3118,42127149649.80466,103319905.31590398,9571017723.961191,-53753266.821264766,49184617772.31065,18016646198.137222,1.0000039665658781e-08,-2.7619411044242216e-13,3.573317845784038e-13,-6.575717649637181e-14,421.2722665158024,0.9774283321765496,0.9783142270783216,95.70983176557368,-9.593449368812517e-14,-1.0379418909695392e-13,2.9048555118228725e-14,1.0000005544146754e-08,95.70346067784752,-0.5055640343067201,-0.5058240908418488,491.8458196013497,1.7644351295881573e-13,1.000021196957234e-08,9.99976944176208e-09,2.8973447917462846e-14,1.952182691735573,360.3139855477371,360.35121594986657,-1.0150966899591505
21,0.3488,41368269462.85485,136624613.0974765,9454315601.226944,-22769454.524531152,49050067550.51978,17847145622.05679,1.0000072821955084e-08,-6.054509274366795e-14,-1.9476870705062923e-14,-6.477998935820135e-14,413.6838056569882,1.2885405766501872,1.2889022153747876,94.54248108324632,-2.0014444950014455e-13,-9.850483766082957e-14,5.5437467503090883e-14,1.0000013737538003e-08,94.53215967860898,-0.2143749915526538,-0.2147080210347999,490.5007359363892,-7.146934940138132e-14,1.0000156022309023e-08,1.0000005564733396e-08,4.4936498233344717e-14,2.5712341908328806,356.9267771692876,356.9647967080469,-0.4293254293775352
22,0.3805,40793804848.8058,128097625.10505731,9387339664.56244,-22942888.773877107,48953287976.70847,17732062585.542736,1.0000206807774748e-08,-1.847397569261865e-13,1.3456344123771862e-14,5.411726665450828e-14,407.94575679332456,1.2060389520538528,1.206566802246683,93.87949946199574,-7.847416399427899e-14,-5.825362530321602e-14,7.836422661070466e-14,9.999910466587042e-09,93.866781435059,-0.2140564094125162,-0.2143865065003127,489.52900086428815,7.051266006828893e-14,1.0000178253121965e-08,9.999935917798217e-09,1.8416767576300533e-13,2.4160067449025715,354.62403473300304,354.6624754472282,-0.428466018539572
23,0.4142,40201804179.37467,132127995.12155406,9305512200.410109,-14778722.917001115,48871688371.80593,17615045491.93471,1.0000142452649623e-08,-2.0904118032038946e-13,-8.977686646710296e-14,-6.49428088731466e-14,402.0224330037416,1.241524165693755,1.2422018121537084,93.05682138312991,-1.418885733213982e-13,2.9636403416459505e-14,1.930779557977288e-13,1.0000223285862974e-08,93.04731713321615,-0.1337814944065162,-0.1340824681088196,488.7271879376912,-1.2244281015127794e-13,1.0000055565553428e-08,1.0000050036414937e-08,2.772551139930679e-13,2.4860431726961387,352.2837053449249,352.32175404774176,-0.2702769386855702
24,0.4513,39342944579.98528,104015061.35164867,9176588017.457752,-21255694.84065517,48739902242.92832,17442650334.084538,1.0000151882537564e-08,-2.820578660107259e-13,-4.2904026470891856e-14,-4.590730527309057e-14,393.4343986419534,0.9746325337897306,0.9751376010106136,91.76537771506716,-1.118657056519884e-13,-2.993356194210946e-13,1.6852033172082653e-13,1.0000153145462124e-08,91.7619411623988,-0.2014494703105082,-0.2019185675366334,487.4060617106745,3.951594529828463e-14,1.0000126891703884e-08,9.99983339805258e-09,1.89866941208338e-13,1.961523312940282,348.833380342581,348.8711893084007,-0.3975880362654417
25,0.4928,38374463464.66292,44680963.66500064,9038533103.707394,-46148752.45509228,48564697419.46486,17247406828.384987,1.0000168306141354e-08,-3.088592209804598e-13,-1.5313915895073709e-13,-9.665661952445749e-14,383.75036242810927,0.4140583954247893,0.4140215262328595,90.38214119131034,-8.135560778260801e-14,-1.009729391120934e-13,-4.009565446758132e-14,1.0000131546396138e-08,90.38358108773248,-0.4370266722831842,-0.4378554942635777,485.6524741011364,1.0514715730939185e-13,1.0000141983995442e-08,9.999987528701996e-09,3.4644373016997815e-13,0.8438775644676554,344.931758606826,344.96895554683266,-0.8614280304810149
