t,bbr,C_1111,C_1112,C_1122,C_1222,C_2222,C_1212,eps_1_xx,eps_1_xy,eps_1_yx,eps_1_yy,sig_1_xx,sig_1_xy,sig_1_yx,sig_1_yy,eps_2_xx,eps_2_xy,eps_2_yx,eps_2_yy,sig_2_xx,sig_2_xy,sig_2_yx,sig_2_yy,eps_3_xx,eps_3_xy,eps_3_yx,eps_3_yy,sig_3_xx,sig_3_xy,sig_3_yx,sig_3_yy
0,0.0,49862910376.12234,84509015.82402645,10138034122.11736,-84899406.28417659,49861305454.90824,19105700177.245327,1.0000056717416031e-08,1.2287494999792868e-13,-2.7311640579238933e-13,3.6043813790522655e-14,498.6326036556705,0.8019609592268213,0.7928007649397802,101.38467466448544,6.959967032857716e-14,-1.9099771511495082e-13,9.7235676713358e-14,1.0000476434938714e-08,101.38670214911328,-0.801058189364467,-0.7918956641268802,498.63718719086296,-4.21514665730128e-13,9.999883477574582e-09,9.999974624570317e-09,-1.45605920961262e-13,1.5725595219222916,382.1157811643016,382.1067950176967,-1.6135691104258931
1,0.0,49862910376.12234,84509015.82402645,10138034122.11736,-84899406.28417659,49861305454.90824,19105700177.245327,1.0000056717416031e-08,1.2287494999792868e-13,-2.7311640579238933e-13,3.6043813790522655e-14,498.6326036556705,0.8019609592268213,0.7928007649397802,101.38467466448544,6.959967032857716e-14,-1.9099771511495082e-13,9.7235676713358e-14,1.0000476434938714e-08,101.38670214911328,-0.801058189364467,-0.7918956641268802,498.63718719086296,-4.21514665730128e-13,9.999883477574582e-09,9.999974624570317e-09,-1.45605920961262e-13,1.5725595219222916,382.1157811643016,382.1067950176967,-1.6135691104258931
2,0.0012,49857151527.106926,76025686.83836755,10131973654.601303,-94683563.40441322,49854196393.53829,19093872812.081223,1.0000127400347347e-08,-2.5626298263377973e-13,-9.69380466395017e-14,2.2753330277464804e-13,498.5783111772703,0.7199688937199684,0.7108045739517458,101.33480088297848,4.5299625137263935e-14,-3.0545706606469564e-13,1.0644902534249197e-15,1.0000134911889112e-08,101.32092693931136,-0.8978854684216214,-0.8887284738560314,498.5510240277718,-2.052751809451529e-13,1.0000045850539705e-08,9.999837325810257e-09,-3.265083837908643e-13,1.416764317411909,381.8797278125496,381.8707277337783,-1.8065807587329
3,0.008,49761920305.25401,-1395181.1596741667,10083089842.371037,-171330228.6637906,49761792105.76457,19011825428.632576,1.0000111772649713e-08,-4.445537916096781e-14,-1.9865393021309125e-13,1.2412779164194554e-13,497.6257922967722,-0.0087015058403583,-0.0178227635031342,100.8423933931832,1.0184688171163825e-13,-4.894897248152987e-13,9.33399150530364e-14,1.0000292906956426e-08,100.83481124785736,-1.6233350983932628,-1.6144398606428318,497.6337625457455,-5.122693960884072e-13,1.0000044493990721e-08,9.999996565600611e-09,-8.92566619686934e-14,-0.0537573203023083,380.2419765876461,380.23273090496224,-3.241637798543449
4,0.0292,49351146124.103874,-282893830.64778787,9921735718.526709,-420839036.98070216,49425232111.63309,18751900241.226776,1.0000054074172962e-08,-1.166395604192967e-13,-1.379204149568288e-13,2.4458065040589413e-13,493.5144608573227,-2.659899653905072,-2.669059919224454,99.23037548493242,2.3136327881983337e-14,-4.128896382519241e-13,-7.629660633202843e-14,1.0000108737281654e-08,99.2193063588292,-3.978280676902993,-3.969423512623041,494.2601027177304,-3.8196798935142114e-13,1.0000382905047744e-08,9.99968785833858e-09,4.9063278182059856e-14,-5.360056182909448,375.0442497145352,375.034938453157,-7.941016355116077
5,0.0589,48690266640.81659,-685530708.4584464,9696192612.907171,-818262869.0877261,48724872398.76686,18371690955.54352,1.000019534582694e-08,-5.837142421284058e-15,-3.6128188598210114e-13,-2.7055655679689825e-13,486.91254780413936,-6.462446144938868,-6.471609432277158,96.9450645690503,1.6537658081637486e-14,-4.282467624101676e-13,-1.9386340106416903e-14,1.0000395808506792e-08,96.97222727705676,-7.725632802296568,-7.71655585277425,487.2651774061557,-3.246866445888373e-13,1.000008912179704e-08,9.999881912164256e-09,2.7078588033473853e-13,-12.946015202006132,367.4383149316432,367.4294247508005,-15.425860276095884
6,0.0853,48014759226.030426,-1083718240.5609715,9448889654.508087,-1261918353.7431831,47897349595.23157,17973394662.73425,9.99992193720842e-09,-1.0248691348669973e-13,-1.4007303647969966e-13,-5.4855541445804584e-14,480.1451919930361,-10.211794682602044,-10.221068789459824,94.47799754756866,1.2869463573879013e-13,-1.0110049032016257e-13,1.7507716113227077e-13,1.0000222785134946e-08,94.50464818892924,-11.896883328981078,-11.888203357678222,478.98341715819936,-1.2928052363878936e-13,9.999848934557052e-09,1.0000065664310711e-08,1.9442326090387722e-13,-20.445973035392093,359.4709539130891,359.46208246219413,-23.79265051067899
7,0.1156,47104136904.763885,-1583162148.7122986,9177464633.285069,-1725441031.6716368,46980881396.95,17514493315.48806,9.999970171617636e-09,-1.3294923260496369e-13,-5.743027342264806e-13,-9.684442116925865e-14,471.0396413271332,-14.936153023403378,-14.941391342856496,91.76292510896248,-1.272873832132383e-13,-6.610512552753477e-14,2.575157211525977e-14,1.0000222652630334e-08,91.77850123184724,-16.26902158209928,-16.261561734057132,469.8183690221888,-5.665303922379873e-13,9.999846655784755e-09,1.0000022282325909e-08,1.0140025894849686e-14,-29.875901788417607,350.29190255119937,350.28548203130833,-32.541717788777554
8,0.147,46328195157.975655,-2003287987.0495667,8922731223.529308,-2188377520.211676,46018557878.2958,17095930767.969969,9.999982793706345e-09,1.6263777743743675e-14,-4.0960797869421593e-13,-3.16150084928829e-13,463.28118973199327,-18.88818684593255,-18.893288643855094,89.20840139128272,-6.353047446934072e-14,-1.6212151320809749e-13,1.912484037129141e-13,1.000020249383827e-08,89.23193052723927,-20.633424811874185,-20.62626511605726,460.19313231687926,-3.188925836219715e-13,1.00004619310824e-08,1.0000062796757052e-08,-5.120191107997331e-13,-37.790856316572274,341.9316522779544,341.9248857257324,-41.28559254477986
9,0.1741,45709927445.251976,-2323352269.630266,8723150468.733414,-2535569331.5488696,45273431877.999405,16794211677.614187,9.9999001069906e-09,-4.2917875973470967e-14,-2.8985737265873923e-13,-6.195357552254907e-14,457.0953112788599,-21.900437884632883,-21.90479721004709,87.22309277941326,-2.2658632429221915e-14,-7.350587693311455e-14,2.9697168640304993e-14,1.0000259951683413e-08,87.23864657279312,-23.90444139008994,-23.897694688876967,452.745894253537,-3.656361097678269e-13,9.999942077878249e-09,9.999783219934866e-09,-1.4521542448015997e-13,-43.830939210412296,335.8837918402237,335.87711612915666,-47.823626804185366
