t,bbr,C_1111,C_1112,C_1122,C_1222,C_2222,C_1212,eps_1_xx,eps_1_xy,eps_1_yx,eps_1_yy,sig_1_xx,sig_1_xy,sig_1_yx,sig_1_yy,eps_2_xx,eps_2_xy,eps_2_yx,eps_2_yy,sig_2_xx,sig_2_xy,sig_2_yx,sig_2_yy,eps_3_xx,eps_3_xy,eps_3_yx,eps_3_yy,sig_3_xx,sig_3_xy,sig_3_yx,sig_3_yy
0,0.0,49727465372.50466,18964170.518590365,10272016939.929218,-18084098.88706364,49728551460.168976,19246207816.13256,9.999329862125641e-09,-4.96146183720087e-13,-2.5825968105520893e-13,3.843811655809603e-13,497.248481969802,0.1578689080804274,0.1484545601569366,102.74360989840412,6.941173598963247e-13,2.3617892921696893e-13,7.694088650810512e-13,1.0000625604717761e-08,102.74991745606977,-0.1675715060701743,-0.158163209842184,497.32052984647646,1.359452159710385e-12,1.0001508205086317e-08,1.0001627873159436e-08,2.371278109415276e-12,0.4219404975303099,384.97230526250127,384.9966617868981,-0.2362586091628094
1,0.0,49727465372.50466,18964170.518590365,10272016939.929218,-18084098.88706364,49728551460.168976,19246207816.13256,9.999329862125641e-09,-4.96146183720087e-13,-2.5825968105520893e-13,3.843811655809603e-13,497.248481969802,0.1578689080804274,0.1484545601569366,102.74360989840412,6.941173598963247e-13,2.3617892921696893e-13,7.694088650810512e-13,1.0000625604717761e-08,102.74991745606977,-0.1675715060701743,-0.158163209842184,497.32052984647646,1.359452159710385e-12,1.0001508205086317e-08,1.0001627873159436e-08,2.371278109415276e-12,0.4219404975303099,384.97230526250127,384.9966617868981,-0.2362586091628094
2,0.0,49727465372.50466,18964170.518590365,10272016939.929218,-18084098.88706364,49728551460.168976,19246207816.13256,9.999329862125641e-09,-4.96146183720087e-13,-2.5825968105520893e-13,3.843811655809603e-13,497.248481969802,0.1578689080804274,0.1484545601569366,102.74360989840412,6.941173598963247e-13,2.3617892921696893e-13,7.694088650810512e-13,1.0000625604717761e-08,102.74991745606977,-0.1675715060701743,-0.158163209842184,497.32052984647646,1.359452159710385e-12,1.0001508205086317e-08,1.0001627873159436e-08,2.371278109415276e-12,0.4219404975303099,384.97230526250127,384.9966617868981,-0.2362586091628094
3,0.0,49727465372.50466,18964170.518590365,10272016939.929218,-18084098.88706364,49728551460.168976,19246207816.13256,9.999329862125641e-09,-4.96146183720087e-13,-2.5825968105520893e-13,3.843811655809603e-13,497.248481969802,0.1578689080804274,0.1484545601569366,102.74360989840412,6.941173598963247e-13,2.3617892921696893e-13,7.694088650810512e-13,1.0000625604717761e-08,102.74991745606977,-0.1675715060701743,-0.158163209842184,497.32052984647646,1.359452159710385e-12,1.0001508205086317e-08,1.0001627873159436e-08,2.371278109415276e-12,0.4219404975303099,384.97230526250127,384.9966617868981,-0.2362586091628094
4,0.0035,49711247963.09644,-1273205.4871815215,10257938405.82502,-46520368.29846471,49693561340.76829,19220618103.60266,9.99977667080268e-09,-5.04579841076275e-13,-1.2937483050593304e-14,5.647628251982285e-13,497.0937194237202,-0.0128286900896501,-0.02225605319134,102.61495526693383,-7.465857399854235e-13,-9.180788086807857e-13,8.297038090530098e-14,1.0000868469347245e-08,102.54150169620512,-0.4491067170966146,-0.439712684353262,496.9844898975402,-2.2968679514073688e-12,9.999052531977678e-09,1.0000382210259989e-08,1.7630375608219134e-12,-0.1238425542280579,384.3893741059133,384.4136973978093,-0.8270836152809659
5,0.0112,49595559846.193886,-81836076.52806802,10218827446.5408,-108933194.06289633,49628543176.12411,19141903256.91912,1.0000313102270109e-08,7.942857826599357e-13,4.027103202134682e-13,-9.97464354314414e-13,495.9669797268567,-0.746366038385693,-0.7558312098717394,102.15422698749887,-4.073175016911716e-13,-2.573703211179184e-13,1.110987685068992e-12,1.0000428775072632e-08,102.16017452233622,-1.029720709614246,-1.0203849427852714,496.2964321524916,-1.9798464211738699e-13,9.99988991169481e-09,1.000330608604852e-08,8.29538692254409e-13,-1.5372006621928271,382.8869479349604,382.9111810101904,-1.9970906625872864
6,0.0266,49315182749.858215,-269304257.19377935,10102195482.9409,-279662608.2271399,49406141585.6698,18967992879.091297,9.999236614521028e-09,-4.6471322303425166e-14,6.229779283731841e-13,-4.4008324830195334e-13,493.12627374132734,-2.5313123420143584,-2.540871612959084,100.99939909872964,1.2783735464327642e-12,-1.7887438411189154e-13,5.079403472349744e-13,9.999112431380352e-09,101.06885757476262,-2.63209433202174,-2.62246340697419,494.0135523424218,3.223514832694285e-12,9.999550423771885e-09,1.0000574302240228e-08,-1.6423244446431448e-12,-4.943121110355251,379.3498145167813,379.3741667681672,-5.333362328702807
7,0.0428,49024928795.14735,-451424333.5653424,9992997730.206078,-469910856.7647329,49117955418.33628,18791860574.77268,9.999603150627834e-09,-8.157996893023197e-13,-3.123644215442576e-13,-1.5030853618939624e-13,490.2403181806234,-4.28086443402882,-4.290853284250879,99.91147107415183,1.1686033793938592e-12,3.8170771788480133e-13,1.1886729221534626e-13,9.999995287507523e-09,99.99301612251676,-4.42778903803065,-4.418339845707141,491.1775640980313,2.795012128462258e-12,1.0000760788055141e-08,9.999743505613743e-09,5.788806483706161e-13,-8.403261075104815,375.8349720045614,375.85892043360633,-8.839588714558746
8,0.0691,48446391408.94189,-809463736.4514979,9777004695.69693,-827530514.8591844,48523507885.98587,18449931855.88444,1.0001682349894422e-08,-2.407312971821312e-13,-9.790490211385016e-13,1.0432451278680277e-12,484.544586541465,-7.665402648719289,-7.675413779330868,97.8387361343633,3.2684135817085155e-14,1.3566365543581561e-13,-2.8126054699635893e-13,9.999551218203192e-09,97.76475967692296,-7.834398464436311,-7.825017584444232,485.22390592925245,1.5063350905424309e-12,9.999829765128629e-09,9.998567485133766e-09,-5.191688054844473e-13,-15.20136394221344,368.9581189960476,368.9821016021231,-15.605305986271992
9,0.0948,47917736306.93976,-1128550943.2064006,9579321917.709211,-1188566426.1617694,47867411411.32404,18125521718.719406,1.0000306459977847e-08,-2.563915600708239e-13,-1.250881300310072e-12,-3.428497869886949e-13,479.1855659901058,-10.6543218352396,-10.66454540632467,95.79220138917536,-8.026894327702205e-13,-1.6696673888192629e-13,4.639201796221706e-13,9.999482031221642e-09,95.73945871001575,-11.223329558021195,-11.21466824094043,478.6469070618266,-1.1377654234870454e-12,9.999653150286351e-09,1.0000423229558657e-08,-7.758119468784006e-13,-21.33563777585644,362.5015669055435,362.5246153682055,-22.425123477759048
