t,bbr,C_1111,C_1112,C_1122,C_1222,C_2222,C_1212,eps_1_xx,eps_1_xy,eps_1_yx,eps_1_yy,sig_1_xx,sig_1_xy,sig_1_yx,sig_1_yy,eps_2_xx,eps_2_xy,eps_2_yx,eps_2_yy,sig_2_xx,sig_2_xy,sig_2_yx,sig_2_yy,eps_3_xx,eps_3_xy,eps_3_yx,eps_3_yy,sig_3_xx,sig_3_xy,sig_3_yx,sig_3_yy
0,0.0,49727748840.817696,40267949.53922068,10272479861.49624,-40051943.89135964,49727225586.05823,19162829206.970142,9.999799746028612e-09,-2.42628794071047e-13,-3.9296042129601786e-13,2.4662938450902102e-14,497.2672865610245,0.3596280353072243,0.3687374842833827,102.72742041799468,-2.3329761664648403e-14,1.35421352530492e-13,-1.0293811346692853e-13,9.999958602487642e-09,102.7197607415781,-0.3775215791133488,-0.3866315108680741,497.2704546745724,-1.0554935077580782e-13,9.999210152786149e-09,9.999647906361372e-09,-1.0674250908632626e-13,0.7550501013790966,383.2256534983924,383.2436984506029,-0.7572846403625983
1,0.0,49727748840.817696,40267949.53922068,10272479861.49624,-40051943.89135964,49727225586.05823,19162829206.970142,9.999799746028612e-09,-2.42628794071047e-13,-3.9296042129601786e-13,2.4662938450902102e-14,497.2672865610245,0.3596280353072243,0.3687374842833827,102.72742041799468,-2.3329761664648403e-14,1.35421352530492e-13,-1.0293811346692853e-13,9.999958602487642e-09,102.7197607415781,-0.3775215791133488,-0.3866315108680741,497.2704546745724,-1.0554935077580782e-13,9.999210152786149e-09,9.999647906361372e-09,-1.0674250908632626e-13,0.7550501013790966,383.2256534983924,383.2436984506029,-0.7572846403625983
2,0.0,49727748840.817696,40267949.53922068,10272479861.49624,-40051943.89135964,49727225586.05823,19162829206.970142,9.999799746028612e-09,-2.42628794071047e-13,-3.9296042129601786e-13,2.4662938450902102e-14,497.2672865610245,0.3596280353072243,0.3687374842833827,102.72742041799468,-2.3329761664648403e-14,1.35421352530492e-13,-1.0293811346692853e-13,9.999958602487642e-09,102.7197607415781,-0.3775215791133488,-0.3866315108680741,497.2704546745724,-1.0554935077580782e-13,9.999210152786149e-09,9.999647906361372e-09,-1.0674250908632626e-13,0.7550501013790966,383.2256534983924,383.2436984506029,-0.7572846403625983
3,0.0,49727748840.817696,40267949.53922068,10272479861.49624,-40051943.89135964,49727225586.05823,19162829206.970142,9.999799746028612e-09,-2.42628794071047e-13,-3.9296042129601786e-13,2.4662938450902102e-14,497.2672865610245,0.3596280353072243,0.3687374842833827,102.72742041799468,-2.3329761664648403e-14,1.35421352530492e-13,-1.0293811346692853e-13,9.999958602487642e-09,102.7197607415781,-0.3775215791133488,-0.3866315108680741,497.2704546745724,-1.0554935077580782e-13,9.999210152786149e-09,9.999647906361372e-09,-1.0674250908632626e-13,0.7550501013790966,383.2256534983924,383.2436984506029,-0.7572846403625983
4,0.0003,49719710385.85863,40509998.62863849,10273931551.437828,-39974635.8051805,49727069083.84914,19162734932.35076,9.999790597451236e-09,-2.4854846406393697e-13,-3.327664288744115e-13,5.773045545084039e-14,497.1860115992358,0.3625765956309921,0.3716791570328858,102.74391254340894,-6.599918799590218e-14,9.496684859558614e-14,-1.5481732911639882e-13,9.999903577537533e-09,102.73116479272294,-0.3788637307560625,-0.3879726738071695,497.266491922005,-7.164527116109282e-14,9.999245747803082e-09,9.999721956405182e-09,-7.354062958656135e-14,0.7611324653974668,383.2258744429668,383.2439197226811,-0.7544967110989282
5,0.0051,49477763773.4701,31950700.39906917,10281595798.161757,-40218773.97098771,49722521161.32432,19141815506.902924,9.999851622299741e-09,2.6324616256553293e-13,-6.133627841331738e-14,-4.728831248635309e-13,494.7739514941071,0.2913624795267909,0.3002715364644533,102.78052816919784,3.542431319012817e-13,3.611135662822855e-13,1.8386581237573026e-13,9.999395655211933e-09,102.83781138955928,-0.3580459061799432,-0.3671506126643969,497.1903481057232,4.574829527890552e-13,1.0000131579528568e-08,1.0000013963280245e-08,-1.280695544471485e-12,0.633161898019851,382.8300724030015,382.8480907726309,-0.8093891243660329
6,0.0228,48533882664.94274,51083331.59548907,10252509992.894062,-46603294.352093,49685423892.95648,19016043766.277264,9.999841958844703e-09,-5.5819769283644127e-14,-4.556780718570026e-13,1.24420799056164e-13,485.33654549143967,0.461220958378927,0.4699553376063276,102.5328110034823,5.22720019801801e-13,-3.0643288310631904e-13,3.287903314723525e-13,1.000088593167361e-08,102.55688442477162,-0.4545089286822676,-0.4636282197666898,496.8994823166869,6.359198950631854e-13,9.999221807750094e-09,1.0000103273723637e-08,1.098907434767581e-12,0.9910777120188456,380.2990123674708,380.3170183384809,-0.8193935763213029
7,0.0527,46544342515.30392,69779288.30921426,10122961112.560877,-43417578.444662936,49554445279.66927,18717489875.675472,9.999958260272069e-09,3.2083458496834253e-13,-3.9147803546942345e-13,-4.3646803401862416e-14,465.4433599038636,0.6419811745631329,0.6514550001609131,101.225887961596,1.8270046667295533e-13,2.985642717761007e-13,-7.69586324571674e-14,1.0000398346754364e-08,101.24397132396015,-0.4065360552260364,-0.4154385714025062,495.56373577860535,4.3468640920451833e-13,1.0000366404949747e-08,9.999893586519081e-09,3.6073073509021753e-13,1.342676313509069,374.3452579905359,374.3640424489424,-0.7984536543313765
8,0.0799,44867110389.554375,119435994.33555897,9992102785.411575,-14429522.434260424,49422506919.83486,18427868291.293926,9.999983383082571e-09,8.040970364710538e-14,-1.4271978717588677e-13,1.2891375349789414e-13,448.6751750237216,1.1124455461001042,1.1217521548692655,99.92791390849968,4.7329189691623e-13,4.188091614104474e-13,8.489757795853703e-14,1.0000220215823668e-08,99.9453341702222,-0.1346880363651991,-0.1436476832144702,494.2372416786248,7.84524523794847e-13,9.999877386752993e-09,1.000005125076237e-08,-4.8157383734140815e-14,2.29107422344558,368.5468418880284,368.5652326147474,-0.2585755786843611
9,0.1115,43177921744.19833,101190809.39752346,9776747216.893105,-26440941.968481224,49246903305.26844,18102090675.003326,1.0000041528419966e-08,2.085581866211809e-13,-3.665440681745128e-14,4.1548423517044213e-13,431.78366082972144,0.9512587316192972,0.9594030751700272,97.78244047989124,2.676341811505509e-13,4.378190534642731e-13,2.3246900937069163e-13,1.0000153366364296e-08,97.78554194037584,-0.2347417587236554,-0.2440825303829516,492.4806422000031,3.564736634769123e-13,9.9998705314513e-09,1.0000461911918444e-08,2.314363978095946e-13,1.9266814935083143,362.0390619904031,362.0566008298943,-0.4826587757658315
