t,bbr,C_1111,C_1112,C_1122,C_1222,C_2222,C_1212,eps_1_xx,eps_1_xy,eps_1_yx,eps_1_yy,sig_1_xx,sig_1_xy,sig_1_yx,sig_1_yy,eps_2_xx,eps_2_xy,eps_2_yx,eps_2_yy,sig_2_xx,sig_2_xy,sig_2_yx,sig_2_yy,eps_3_xx,eps_3_xy,eps_3_yx,eps_3_yy,sig_3_xx,sig_3_xy,sig_3_yx,sig_3_yy
0,0.0,49687857681.190674,49268018.6674028,10309812264.64012,-49564559.03169949,49687944133.95242,19263864823.191715,1.0000246565433452e-08,9.748671891928377e-14,-4.945611221141298e-13,-1.357129196539024e-13,496.8922646188149,0.4554637518826783,0.4525725166018531,103.10275249929646,1.401646246280597e-13,4.365459591809966e-13,1.8247758389308082e-13,1.0000110350418016e-08,103.09739318027783,-0.4579163215829765,-0.4550271804166621,496.883534878412,-1.891883187524155e-13,9.999819914764948e-09,1.0000021174474e-08,-2.0197988493289765e-13,0.9255355852119116,385.28055144690654,385.2678242716984,-0.9398943938552644
2,0.0,49687857681.190674,49268018.6674028,10309812264.64012,-49564559.03169949,49687944133.95242,19263864823.191715,1.0000246565433452e-08,9.748671891928377e-14,-4.945611221141298e-13,-1.357129196539024e-13,496.8922646188149,0.4554637518826783,0.4525725166018531,103.10275249929646,1.401646246280597e-13,4.365459591809966e-13,1.8247758389308082e-13,1.0000110350418016e-08,103.09739318027783,-0.4579163215829765,-0.4550271804166621,496.883534878412,-1.891883187524155e-13,9.999819914764948e-09,1.0000021174474e-08,-2.0197988493289765e-13,0.9255355852119116,385.28055144690654,385.2678242716984,-0.9398943938552644
4,0.0,49687857681.190674,49268018.6674028,10309812264.64012,-49564559.03169949,49687944133.95242,19263864823.191715,1.0000246565433452e-08,9.748671891928377e-14,-4.945611221141298e-13,-1.357129196539024e-13,496.8922646188149,0.4554637518826783,0.4525725166018531,103.10275249929646,1.401646246280597e-13,4.365459591809966e-13,1.8247758389308082e-13,1.0000110350418016e-08,103.09739318027783,-0.4579163215829765,-0.4550271804166621,496.883534878412,-1.891883187524155e-13,9.999819914764948e-09,1.0000021174474e-08,-2.0197988493289765e-13,0.9255355852119116,385.28055144690654,385.2678242716984,-0.9398943938552644
6,0.0,49687857681.190674,49268018.6674028,10309812264.64012,-49564559.03169949,49687944133.95242,19263864823.191715,1.0000246565433452e-08,9.748671891928377e-14,-4.945611221141298e-13,-1.357129196539024e-13,496.8922646188149,0.4554637518826783,0.4525725166018531,103.10275249929646,1.401646246280597e-13,4.365459591809966e-13,1.8247758389308082e-13,1.0000110350418016e-08,103.09739318027783,-0.4579163215829765,-0.4550271804166621,496.883534878412,-1.891883187524155e-13,9.999819914764948e-09,1.0000021174474e-08,-2.0197988493289765e-13,0.9255355852119116,385.28055144690654,385.2678242716984,-0.9398943938552644
8,0.0,49687857681.190674,49268018.6674028,10309812264.64012,-49564559.03169949,49687944133.95242,19263864823.191715,1.0000246565433452e-08,9.748671891928377e-14,-4.945611221141298e-13,-1.357129196539024e-13,496.8922646188149,0.4554637518826783,0.4525725166018531,103.10275249929646,1.401646246280597e-13,4.365459591809966e-13,1.8247758389308082e-13,1.0000110350418016e-08,103.09739318027783,-0.4579163215829765,-0.4550271804166621,496.883534878412,-1.891883187524155e-13,9.999819914764948e-09,1.0000021174474e-08,-2.0197988493289765e-13,0.9255355852119116,385.28055144690654,385.2678242716984,-0.9398943938552644
10,0.0,49687857681.190674,49268018.6674028,10309812264.64012,-49564559.03169949,49687944133.95242,19263864823.191715,1.0000246565433452e-08,9.748671891928377e-14,-4.945611221141298e-13,-1.357129196539024e-13,496.8922646188149,0.4554637518826783,0.4525725166018531,103.10275249929646,1.401646246280597e-13,4.365459591809966e-13,1.8247758389308082e-13,1.0000110350418016e-08,103.09739318027783,-0.4579163215829765,-0.4550271804166621,496.883534878412,-1.891883187524155e-13,9.999819914764948e-09,1.0000021174474e-08,-2.0197988493289765e-13,0.9255355852119116,385.28055144690654,385.2678242716984,-0.9398943938552644
12,0.0005,49658708541.39126,45163582.52926007,10311453399.99033,-49986389.80237168,49687637654.55787,19261341781.62179,1.000034701563341e-08,2.2682278173894773e-13,-5.48840513225105e-13,-1.0538594483312109e-13,496.6058988226516,0.4203935487803247,0.4174955847366081,103.12131757807074,1.5429990636305385e-13,5.58753096189724e-13,2.807059241490545e-13,1.0000062803621948e-08,103.11440952698332,-0.4572948951968154,-0.4544057151701265,496.8784232541653,-2.406742658525876e-13,9.999739196724128e-09,9.999901247050237e-09,-2.6749160480225e-13,0.8455436198873739,385.2262231427326,385.21349071909685,-0.9490938452793912
14,0.0077,49349274181.27305,33541733.17284781,10325879038.47582,-50362432.94775564,49679434748.50192,19237178586.34763,1.0000270517211032e-08,3.97478943614771e-14,-4.692778920775843e-13,-2.3759210763578224e-14,493.5079675428447,0.3015161378869136,0.2986276003113475,103.26562925957462,1.8240792217428185e-13,2.7016421711387844e-13,4.510710232971851e-13,1.0000137646594774e-08,103.26405791383112,-0.4662653026175693,-0.4633714157614255,496.8009555538633,-2.5216774435007105e-13,9.999520820263445e-09,9.99989082952598e-09,-3.159608779425054e-13,0.6320461657265485,384.7385504088461,384.7258610040346,-0.956105344461796
16,0.0226,48451974937.69627,26321122.734436978,10316282521.9411,-51987462.41819351,49642948591.507935,19141961796.622776,1.0000479880330849e-08,1.4026926882082244e-13,-3.9640371777271537e-13,-8.199996185011583e-14,484.543989640887,0.2393413410553796,0.2369993468496315,103.16128742044532,9.573130740036757e-14,-4.471622253999661e-13,3.348426514773612e-13,9.99976090963548e-09,103.16761731308172,-0.4933192181978487,-0.490245704690383,496.41678240813656,6.02536996753292e-14,9.999725634713034e-09,9.999976470769552e-09,-2.3659461094437704e-13,0.5018365955024833,382.8399979229232,382.8270676149076,-0.9917851849263284
18,0.0412,47451206041.0679,7374970.757400694,10234092739.708748,-59883301.92960049,49575689319.18582,18977771114.3726,1.0000319305830728e-08,1.721001721282696e-13,-5.306258995221358e-13,-1.1517722613909534e-13,474.52656761021024,0.0568081278741815,0.0614119623562172,102.33500483231192,-6.300883246362322e-14,1.8469242444759848e-14,3.3094948745470537e-13,9.999977250889185e-09,102.34128925883576,-0.5634802233674531,-0.5587965059071017,495.75460052576415,8.95647012940459e-14,9.999806462551484e-09,9.999894379091236e-09,-2.442672763634416e-13,0.1461775212665524,379.5592562587431,379.5401891430254,-1.1350523344124073
