t,bbr,C_1111,C_1112,C_1122,C_1222,C_2222,C_1212,eps_1_xx,eps_1_xy,eps_1_yx,eps_1_yy,sig_1_xx,sig_1_xy,sig_1_yx,sig_1_yy,eps_2_xx,eps_2_xy,eps_2_yx,eps_2_yy,sig_2_xx,sig_2_xy,sig_2_yx,sig_2_yy,eps_3_xx,eps_3_xy,eps_3_yx,eps_3_yy,sig_3_xx,sig_3_xy,sig_3_yx,sig_3_yy
0,0.0,49869186239.79509,-33728068.683691785,10148027793.529749,41383331.40540288,49852324839.336914,19088147697.18011,1.0001344797496896e-08,-1.541616158434687e-12,1.2423179662835269e-12,-2.3528589843898425e-12,498.7511088230039,-0.3620817224272684,-0.3375808912425783,101.35594506591217,-7.686831598290356e-13,5.669075903434368e-13,-5.095987101112479e-13,1.0001409536950396e-08,101.4768534380794,0.4211532647702212,0.3966604259362964,498.5697242835437,5.412155468230049e-13,1.0001625398943416e-08,9.998460897236629e-09,2.177734024607505e-12,-0.5907953087949354,381.7512101011808,381.7780149151482,0.8448908076149462
1,0.0,49869186239.79509,-33728068.683691785,10148027793.529749,41383331.40540288,49852324839.336914,19088147697.18011,1.0001344797496896e-08,-1.541616158434687e-12,1.2423179662835269e-12,-2.3528589843898425e-12,498.7511088230039,-0.3620817224272684,-0.3375808912425783,101.35594506591217,-7.686831598290356e-13,5.669075903434368e-13,-5.095987101112479e-13,1.0001409536950396e-08,101.4768534380794,0.4211532647702212,0.3966604259362964,498.5697242835437,5.412155468230049e-13,1.0001625398943416e-08,9.998460897236629e-09,2.177734024607505e-12,-0.5907953087949354,381.7512101011808,381.7780149151482,0.8448908076149462
2,0.0,49869186239.79509,-33728068.683691785,10148027793.529749,41383331.40540288,49852324839.336914,19088147697.18011,1.0001344797496896e-08,-1.541616158434687e-12,1.2423179662835269e-12,-2.3528589843898425e-12,498.7511088230039,-0.3620817224272684,-0.3375808912425783,101.35594506591217,-7.686831598290356e-13,5.669075903434368e-13,-5.095987101112479e-13,1.0001409536950396e-08,101.4768534380794,0.4211532647702212,0.3966604259362964,498.5697242835437,5.412155468230049e-13,1.0001625398943416e-08,9.998460897236629e-09,2.177734024607505e-12,-0.5907953087949354,381.7512101011808,381.7780149151482,0.8448908076149462
3,0.0002,49865544208.2049,-35032401.48866277,10145436722.050056,42949930.057638,49852613094.30672,19086866788.93047,1.0003075481379974e-08,-6.871353254084997e-13,8.359834253633559e-13,-3.7238103233717364e-12,498.8073278849463,-0.3577355848285017,-0.3332355182373727,101.27055142664445,-1.4076265354801376e-13,-6.035652116670917e-13,-9.667525971739493e-13,9.99937045309814e-09,101.4702507966786,0.3496648230243799,0.3252087778059598,498.4570669917556,1.363723009328278e-12,9.999652139663363e-09,1.0000637647587625e-08,2.5858087617919124e-12,-0.5977937853300099,381.7293852058829,381.7562071949523,0.9378879663326578
4,0.0021,49831166781.07804,-56283304.614812665,10129349760.697014,23556380.81509666,49832948657.30904,19065762503.40052,1.0001209443252475e-08,-1.079725290371502e-12,1.1744835621947538e-13,-1.820358226016063e-12,498.3711942552321,-0.6092027043597992,-0.5847813013208248,101.16961900433292,-7.011116195653477e-14,4.535995187361349e-13,2.765235105898128e-13,9.999877403735783e-09,101.33408832316266,0.2221526313238215,0.1976580585220108,498.30496905289374,5.473155746689148e-13,9.998397093785224e-09,1.0000221444501896e-08,1.8641987452827664e-12,-0.9944355261166546,381.27562815468747,381.3023267197709,0.5409368627960212
5,0.0151,49704928409.73042,-164043881.14760572,10069687660.171598,-92203296.74391536,49684562472.4297,18946589660.044945,9.998322750891844e-09,7.081604445089747e-14,2.724496442780857e-13,-7.744693331905495e-13,496.9735741162663,-1.5507329522486502,-1.526295245395154,100.6296684262598,7.698689719976619e-13,-8.537561803725384e-13,-5.972891330786139e-13,1.0001361628394656e-08,100.7603963992577,-0.8510363110100079,-0.8752022920483101,496.9053650325965,5.94353728206462e-13,9.999351338610316e-09,9.998655322243474e-09,1.3230932413882572e-12,-3.07706084812074,378.88049450350974,378.9077096731628,-1.7288853472932777
6,0.0383,49461097119.28814,-338274009.58022326,9966407518.800262,-264195337.0166942,49441777048.70227,18768066110.09157,1.0001117446622416e-08,2.249698079620125e-12,-2.0746180044515217e-12,-8.289859841593748e-13,494.6593016306648,-3.172966530790129,-3.1489727017616107,99.61454488125248,-6.734893049841639e-13,1.1429869254067069e-12,-7.881845379439097e-13,9.999286433348783e-09,99.64291849709122,-2.4774951081390766,-2.502415051466269,494.3740454088023,7.184755997328003e-13,1.0000487569870008e-08,1.0002769212161043e-08,7.320951973902752e-13,-6.374693569330347,375.409319016868,375.43528385728735,-4.94501539717103
7,0.066,49169732524.12926,-557934756.3110007,9817734639.725945,-513301818.6017463,49074797764.81619,18536910828.718803,1.00001282708931e-08,2.236300171873324e-12,-9.988800701370762e-13,3.0379508031066097e-12,491.707499168844,-5.213026622207776,-5.189563776613569,98.34211427246692,3.253037856085937e-13,-9.42978366303308e-13,-3.724510783255411e-13,9.999547900637004e-09,98.17525056124852,-4.858879718686229,-4.883655908375525,490.7555081993812,-1.28697581083702e-12,9.99932762796368e-09,1.0000406503667344e-08,2.115533672605509e-13,-10.603613278107902,370.7206108702465,370.7459318158381,-9.66816604250842
8,0.0934,48626663571.10768,-854404838.0362054,9654128005.319666,-775693531.5945513,48658550254.13649,18273367846.8143,1.0000338250875286e-08,-3.190273529415517e-12,1.0299652728548581e-12,1.0529443915550893e-13,486.2935468057639,-8.108980771800445,-8.085774242189807,96.54580677754284,1.1413085365490566e-12,1.817597844064217e-12,4.612869266344589e-12,1.0000016120600624e-08,96.59913250395138,-7.223318761085005,-7.247364191843675,486.5862167725139,6.877896343267196e-13,1.0001577366063245e-08,1.0003675628022056e-08,1.4726017526068393e-12,-16.069514799858844,365.5473677719232,365.5734392681949,-14.506876404628152
9,0.1285,48059367842.1518,-1173451664.9386914,9490649152.854095,-1100764223.817001,48029972095.440445,17966051504.033764,1.0001626673367847e-08,8.032458567268265e-14,-3.5736319951320985e-13,4.668844744584402e-12,480.6714686447137,-11.117792994065857,-11.097363415666068,95.10132093866731,-5.767152138691967e-14,-1.1114320951805697e-12,-6.348116353663526e-13,9.998921743278704e-09,94.93798857620745,-10.39659825971812,-10.426530111897986,480.29164826852775,-1.4472978466281817e-13,9.998318651617718e-09,9.99938486877674e-09,5.816406094654195e-13,-22.104990188587585,359.2721337282728,359.29164728650613,-20.75198782468384
