t,bbr,C_1111,C_1112,C_1122,C_1222,C_2222,C_1212,eps_1_xx,eps_1_xy,eps_1_yx,eps_1_yy,sig_1_xx,sig_1_xy,sig_1_yx,sig_1_yy,eps_2_xx,eps_2_xy,eps_2_yx,eps_2_yy,sig_2_xx,sig_2_xy,sig_2_yx,sig_2_yy,eps_3_xx,eps_3_xy,eps_3_yx,eps_3_yy,sig_3_xx,sig_3_xy,sig_3_yx,sig_3_yy
0,0.0,49679867952.26072,-43486172.09057896,10316458427.399334,34308198.49323616,49692907083.16457,19168491807.933067,9.993772114493042e-09,9.290613758494793e-12,2.099112277043236e-12,-1.4063827969151336e-12,496.4734123831532,-0.3499568941064042,-0.3631105378479174,103.08085768523117,-1.4966274987546469e-12,-2.5277452753366158e-12,1.5454739076489158e-12,1.0003442658118869e-08,103.07574073425732,0.3825367832112143,0.3956819460320999,497.0855135621978,6.840764636696099e-12,9.996090421026577e-09,9.996455534253354e-09,-3.2997831908530418e-12,-0.3328158095240923,383.227143324028,383.2260248569124,0.4893057472159255
1,0.0,49679867952.26072,-43486172.09057896,10316458427.399334,34308198.49323616,49692907083.16457,19168491807.933067,9.993772114493042e-09,9.290613758494793e-12,2.099112277043236e-12,-1.4063827969151336e-12,496.4734123831532,-0.3499568941064042,-0.3631105378479174,103.08085768523117,-1.4966274987546469e-12,-2.5277452753366158e-12,1.5454739076489158e-12,1.0003442658118869e-08,103.07574073425732,0.3825367832112143,0.3956819460320999,497.0855135621978,6.840764636696099e-12,9.996090421026577e-09,9.996455534253354e-09,-3.2997831908530418e-12,-0.3328158095240923,383.227143324028,383.2260248569124,0.4893057472159255
2,0.0,49679867952.26072,-43486172.09057896,10316458427.399334,34308198.49323616,49692907083.16457,19168491807.933067,9.993772114493042e-09,9.290613758494793e-12,2.099112277043236e-12,-1.4063827969151336e-12,496.4734123831532,-0.3499568941064042,-0.3631105378479174,103.08085768523117,-1.4966274987546469e-12,-2.5277452753366158e-12,1.5454739076489158e-12,1.0003442658118869e-08,103.07574073425732,0.3825367832112143,0.3956819460320999,497.0855135621978,6.840764636696099e-12,9.996090421026577e-09,9.996455534253354e-09,-3.2997831908530418e-12,-0.3328158095240923,383.227143324028,383.2260248569124,0.4893057472159255
3,0.0,49679867952.26072,-43486172.09057896,10316458427.399334,34308198.49323616,49692907083.16457,19168491807.933067,9.993772114493042e-09,9.290613758494793e-12,2.099112277043236e-12,-1.4063827969151336e-12,496.4734123831532,-0.3499568941064042,-0.3631105378479174,103.08085768523117,-1.4966274987546469e-12,-2.5277452753366158e-12,1.5454739076489158e-12,1.0003442658118869e-08,103.07574073425732,0.3825367832112143,0.3956819460320999,497.0855135621978,6.840764636696099e-12,9.996090421026577e-09,9.996455534253354e-09,-3.2997831908530418e-12,-0.3328158095240923,383.227143324028,383.2260248569124,0.4893057472159255
4,0.0007,49637928224.710526,-14563082.578160243,10318489324.75755,45700909.773317724,49685841085.7739,19153888503.729214,9.984817856223151e-09,-2.598080315053645e-12,-3.208012685244955e-12,3.033314966522644e-12,495.6361343013804,-0.2797954755589012,-0.2929549282016416,103.21022524536234,1.0228193756164977e-12,-9.117772411785177e-12,-2.483026984757865e-12,9.997014105881876e-09,103.1738473059963,0.176034369233695,0.1891977692666731,496.74148846454233,9.96079281888005e-12,1.001405081326458e-08,1.0005373468312988e-08,2.1265573943064055e-12,0.0526483329356542,383.4500267899005,383.44888658339937,0.8734337219739531
5,0.0079,49479063355.86683,-38923622.86358363,10314378253.524616,44557054.92769707,49692121171.70872,19153837569.66756,1.0013245105479624e-08,4.989876616543812e-12,2.282959438756512e-12,-6.9169711643427795e-12,495.4789014759809,-0.2247516574316711,-0.2378426898199021,102.8462599953652,3.137019570885968e-12,-3.0538922091031918e-12,-3.268885356622975e-12,9.994893585018376e-09,103.33777859785384,0.2114374637981895,0.2245935576112574,496.59660011828703,-1.387989405414129e-11,1.000063245755029e-08,1.000270130644336e-08,1.2249676921830832e-11,-1.2547782401245655,383.1406432338292,383.1394595178634,1.3919654322198596
6,0.0365,48352410594.95287,-75688623.30267547,10298635570.977127,32116962.50858509,49633154327.86056,19000570371.086903,9.992993054874895e-09,-7.324533685547618e-12,-4.3333447776846723e-13,6.389067572685979e-13,483.1852841131428,-0.7114032463843213,-0.7247047874816397,102.9142400784814,2.5032358190124847e-14,-7.028019241713153e-12,-1.930160425124433e-13,1.0001923305079792e-08,103.03848645925724,0.1380647055761508,0.1512270825931067,496.4334872132834,5.611561816690868e-12,1.0014603171506086e-08,1.0000685221211303e-08,-2.8464050183799065e-12,-1.4334134848071731,380.302852229444,380.3018238997612,0.4366729803200499
7,0.0774,46846993751.52593,-25867358.00094777,10184561654.10202,37105589.54185047,49548211366.77696,18781651109.30865,9.997296057618048e-09,4.907879338677699e-12,-1.1341557392123388e-12,-4.4974388885489095e-12,468.4298079906605,-0.1522899005159238,-0.1644358474326509,101.68679366065096,8.47183483380065e-12,-9.006352698905586e-13,-5.189506465535193e-12,9.997864062152913e-09,102.16371914720946,0.2606780414028306,0.2738824809924822,495.3307688657413,-9.163450051867842e-12,9.997587620336233e-09,1.000802400349011e-08,6.477745168059499e-12,-0.8594970780179638,375.7384998693805,375.7377446467397,0.8940799109870489
8,0.1292,44726156621.26449,77142160.12004046,9942965676.930004,97375977.70085056,49299479589.16061,18408087502.17175,9.996410215619282e-09,-4.0487864253807984e-12,2.536103506336029e-12,-3.6474153178336375e-12,447.0074602010378,0.8585189675769042,0.8600265920557396,99.11585679231736,-9.570576843820784e-12,6.986916793880633e-13,5.674765165522716e-13,1.000687934954197e-08,99.14193174346129,0.9697381417588292,0.9824616582893068,493.2970067011984,1.5810825151386198e-11,1.0001802917317138e-08,9.997623543233756e-09,-6.213119739052801e-12,1.8749690539943933,368.1511893326983,368.15122745580993,1.5737790994051752
9,0.1774,42704507574.62003,99952238.8847255,9641653555.734272,102987740.88469268,49084532409.84498,18045228354.02878,1.0006873063042014e-08,-7.1689007302719176e-12,-5.376081168767054e-12,-5.491717085234241e-12,427.3609658496,0.7833336389052806,0.7842358740669436,96.1514805489624,2.4110349905988065e-12,3.3237084985918334e-12,-7.65459145815993e-12,1.00046907044367e-08,96.67581275744384,0.9140185077194326,0.9265086300343662,491.0223198343375,-7.920264414313405e-12,1.0000291245797576e-08,1.0014320617393106e-08,-2.34392265346342e-12,1.471149660000791,361.1661273700636,361.16736242484416,1.7419486535632354
