t,bbr,C_1111,C_1112,C_1122,C_1222,C_2222,C_1212,eps_1_xx,eps_1_xy,eps_1_yx,eps_1_yy,sig_1_xx,sig_1_xy,sig_1_yx,sig_1_yy,eps_2_xx,eps_2_xy,eps_2_yx,eps_2_yy,sig_2_xx,sig_2_xy,sig_2_yx,sig_2_yy,eps_3_xx,eps_3_xy,eps_3_yx,eps_3_yy,sig_3_xx,sig_3_xy,sig_3_yx,sig_3_yy
0,0.0,49743572527.53906,1705722.3962211714,10254000788.037298,-442958.2135261467,49744077968.23616,19220881066.94096,9.999451359324651e-09,1.5237589706174638e-13,-6.068921244192933e-13,-3.7757101304947573e-13,497.40835990055257,-0.0009420393521659,-0.0039104520796208,102.50321237357244,-7.246672815432612e-15,-1.143613340195195e-13,5.4362131451365816e-14,9.999833298043767e-09,102.55032498036208,-0.0107521355455995,-0.0077854447347206,497.4286151908094,2.91721097999898e-13,1.0000524542326528e-08,1.0000396707590485e-08,-3.170068444814834e-13,0.050271721492856,384.4297313615423,384.4409240534487,-0.0192708472802663
1,0.0,49743572527.53906,1705722.3962211714,10254000788.037298,-442958.2135261467,49744077968.23616,19220881066.94096,9.999451359324651e-09,1.5237589706174638e-13,-6.068921244192933e-13,-3.7757101304947573e-13,497.40835990055257,-0.0009420393521659,-0.0039104520796208,102.50321237357244,-7.246672815432612e-15,-1.143613340195195e-13,5.4362131451365816e-14,9.999833298043767e-09,102.55032498036208,-0.0107521355455995,-0.0077854447347206,497.4286151908094,2.91721097999898e-13,1.0000524542326528e-08,1.0000396707590485e-08,-3.170068444814834e-13,0.050271721492856,384.4297313615423,384.4409240534487,-0.0192708472802663
2,0.0,49743572527.53906,1705722.3962211714,10254000788.037298,-442958.2135261467,49744077968.23616,19220881066.94096,9.999451359324651e-09,1.5237589706174638e-13,-6.068921244192933e-13,-3.7757101304947573e-13,497.40835990055257,-0.0009420393521659,-0.0039104520796208,102.50321237357244,-7.246672815432612e-15,-1.143613340195195e-13,5.4362131451365816e-14,9.999833298043767e-09,102.55032498036208,-0.0107521355455995,-0.0077854447347206,497.4286151908094,2.91721097999898e-13,1.0000524542326528e-08,1.0000396707590485e-08,-3.170068444814834e-13,0.050271721492856,384.4297313615423,384.4409240534487,-0.0192708472802663
3,0.0,49743572527.53906,1705722.3962211714,10254000788.037298,-442958.2135261467,49744077968.23616,19220881066.94096,9.999451359324651e-09,1.5237589706174638e-13,-6.068921244192933e-13,-3.7757101304947573e-13,497.40835990055257,-0.0009420393521659,-0.0039104520796208,102.50321237357244,-7.246672815432612e-15,-1.143613340195195e-13,5.4362131451365816e-14,9.999833298043767e-09,102.55032498036208,-0.0107521355455995,-0.0077854447347206,497.4286151908094,2.91721097999898e-13,1.0000524542326528e-08,1.0000396707590485e-08,-3.170068444814834e-13,0.050271721492856,384.4297313615423,384.4409240534487,-0.0192708472802663
4,0.0,49743572527.53906,1705722.3962211714,10254000788.037298,-442958.2135261467,49744077968.23616,19220881066.94096,9.999451359324651e-09,1.5237589706174638e-13,-6.068921244192933e-13,-3.7757101304947573e-13,497.40835990055257,-0.0009420393521659,-0.0039104520796208,102.50321237357244,-7.246672815432612e-15,-1.143613340195195e-13,5.4362131451365816e-14,9.999833298043767e-09,102.55032498036208,-0.0107521355455995,-0.0077854447347206,497.4286151908094,2.91721097999898e-13,1.0000524542326528e-08,1.0000396707590485e-08,-3.170068444814834e-13,0.050271721492856,384.4297313615423,384.4409240534487,-0.0192708472802663
5,0.0,49743572527.53906,1705722.3962211714,10254000788.037298,-442958.2135261467,49744077968.23616,19220881066.94096,9.999451359324651e-09,1.5237589706174638e-13,-6.068921244192933e-13,-3.7757101304947573e-13,497.40835990055257,-0.0009420393521659,-0.0039104520796208,102.50321237357244,-7.246672815432612e-15,-1.143613340195195e-13,5.4362131451365816e-14,9.999833298043767e-09,102.55032498036208,-0.0107521355455995,-0.0077854447347206,497.4286151908094,2.91721097999898e-13,1.0000524542326528e-08,1.0000396707590485e-08,-3.170068444814834e-13,0.050271721492856,384.4297313615423,384.4409240534487,-0.0192708472802663
6,0.0,49743572527.53906,1705722.3962211714,10254000788.037298,-442958.2135261467,49744077968.23616,19220881066.94096,9.999451359324651e-09,1.5237589706174638e-13,-6.068921244192933e-13,-3.7757101304947573e-13,497.40835990055257,-0.0009420393521659,-0.0039104520796208,102.50321237357244,-7.246672815432612e-15,-1.143613340195195e-13,5.4362131451365816e-14,9.999833298043767e-09,102.55032498036208,-0.0107521355455995,-0.0077854447347206,497.4286151908094,2.91721097999898e-13,1.0000524542326528e-08,1.0000396707590485e-08,-3.170068444814834e-13,0.050271721492856,384.4297313615423,384.4409240534487,-0.0192708472802663
7,0.0,49743572527.53906,1705722.3962211714,10254000788.037298,-442958.2135261467,49744077968.23616,19220881066.94096,9.999451359324651e-09,1.5237589706174638e-13,-6.068921244192933e-13,-3.7757101304947573e-13,497.40835990055257,-0.0009420393521659,-0.0039104520796208,102.50321237357244,-7.246672815432612e-15,-1.143613340195195e-13,5.4362131451365816e-14,9.999833298043767e-09,102.55032498036208,-0.0107521355455995,-0.0077854447347206,497.4286151908094,2.91721097999898e-13,1.0000524542326528e-08,1.0000396707590485e-08,-3.170068444814834e-13,0.050271721492856,384.4297313615423,384.4409240534487,-0.0192708472802663
8,0.0007,49729839587.10626,-2533458.3291795976,10255903813.263391,-846434.0405037802,49743155329.69592,19220075173.768703,9.99976541323637e-09,2.580933908458286e-13,-4.136983761252082e-13,-2.455258723287945e-13,497.2851698005802,-0.0158466594595354,-0.0188092442028831,102.54094825212366,-1.5218376774924764e-13,4.6933313462248804e-14,-3.514096845081693e-14,9.999835063169862e-09,102.55325115131942,-0.0041910568506639,-0.0012240293081263,497.4208307248497,-4.512212167625654e-13,1.0000832158219364e-08,1.0000610790888124e-08,-4.486887960599345e-13,-0.0754820001673187,384.42364034524985,384.4348346651665,-0.0389839378670769
9,0.0082,49443483182.75993,7853935.388581467,10261228911.20935,-2739239.007077654,49736313262.074,19192344754.985447,9.999891326173044e-09,5.513526680049007e-13,8.678504668136301e-13,-4.92757958324998e-13,494.4248633441604,0.1111005629227505,0.1085416902012854,102.599634756796,-4.4664997130397654e-13,2.406614867014017e-14,-1.7061754937481466e-13,1.0000019320580708e-08,102.57745134453536,-0.0139703366409563,-0.0110341012464165,497.35903770875694,-1.533879518309473e-12,1.0000207938306344e-08,9.999364613205672e-09,6.903862667447777e-14,0.087776945919476,383.83298388688974,383.84442054704346,-0.0586960297965084
10,0.0197,48998882523.87774,45406760.45050376,10254764715.299812,5698920.391092686,49722032804.72087,19132630696.087563,1.0000070665528477e-08,1.1703906063285362e-13,3.043043896722356e-13,-2.9881904554067133e-13,489.9874993019645,0.446740098956125,0.4449846392283705,102.55595426308312,-4.576580610899077e-13,1.4749549592916416e-14,-1.891221198826173e-13,9.999739775615556e-09,102.49997729524338,0.0597225656570413,0.0627535107179401,497.2043246126243,-2.1566380798241303e-12,1.0000114585247108e-08,1.0000471594329262e-08,-1.5705736582796334e-13,0.7653531286746258,382.65824515113246,382.66944702679257,0.0917406785563289
11,0.0388,48164337074.29108,66621551.713671975,10209661335.824894,19619332.8591146,49680414468.01694,19012452989.121567,1.0000565045489865e-08,1.6376179991054628e-14,4.3575413754378054e-14,-6.666347449203318e-14,481.6711269990333,0.6354934027601039,0.6332450309784363,102.09767730221616,4.8023258192691204e-14,-3.1913126497381286e-14,1.7768651478275212e-14,9.999777872875089e-09,102.09822359583144,0.1658141453853921,0.1687500968538147,496.7924248203033,8.038546988599953e-13,9.9997831294621e-09,1.0000933117665214e-08,-2.3454570533604185e-13,1.282006114292495,380.25686359231264,380.2684981561325,0.3786615447013828
12,0.0609,47097837807.96178,94932528.63041437,10134402426.078808,24968893.983127754,49599041682.84004,18840992618.804863,9.999001519853777e-09,-1.8919496152394145e-13,2.727426288671856e-13,-3.215383596602786e-14,470.93068691421865,0.8801401144156608,0.8780004098430803,101.34375669179376,-7.807167006498053e-14,1.385882119793004e-13,1.8198107543599912e-13,1.0000135538259074e-08,101.33023465863182,0.2372313644519658,0.2401799731034772,495.9968245003975,1.4425696236593421e-12,9.999671414512104e-09,9.9995158996468e-09,4.760184569591029e-13,1.863757884231965,376.7988446558432,376.8102668545513,0.4938232119164453
13,0.0853,46006620167.89017,139291769.32849503,10013269027.783484,44418676.18429537,49492747516.928665,18642034244.23228,9.998939798111393e-09,1.0959686254682413e-13,-3.431423707201399e-13,-1.8430173779197179e-13,460.0149682120639,1.2977171213632963,1.2938784442482638,100.10834461432331,-2.4526506847735453e-13,3.8459478856326505e-14,1.7181597468004245e-13,1.0000019982885162e-08,100.12599700637264,0.4170505765962919,0.4195431989575824,494.9266175454592,-1.2691337704367176e-14,1.0000168119900246e-08,9.998600292636288e-09,-2.106683578843492e-14,2.6387949366800774,372.8109026736858,372.8245045648165,0.8412291542649056
14,0.1096,45175907131.30577,84702855.36107165,9919574720.141056,24685771.30487791,49406053132.06469,18467086826.08932,1.0000258805217644e-08,-1.1538440954863856e-13,-1.1894569285459274e-13,-1.2839533937320714e-13,451.7667691844325,0.8075065652699112,0.8047672112432861,99.19690398909904,-3.928584834209272e-13,2.294126788967924e-13,3.59456304615926e-13,1.00001925352762e-08,99.17383294753289,0.2497311117231858,0.2525129127017937,494.0687713010794,-1.1960488544770146e-12,1.000052443382121e-08,9.999423792065894e-09,4.773135091501658e-14,1.5430952434859466,369.3334296101664,369.3481211216507,0.462232506020852
15,0.136,43938824933.562126,45976181.550351046,9723862679.288202,2199207.498874902,49216408036.83787,18230893418.867725,9.997691329391114e-09,1.2601280868840202e-14,8.507632133146214e-13,-9.972267169711852e-14,439.277832323357,0.4594221053784216,0.4337806231570629,97.22056490606866,-9.043754785258828e-13,4.54490547701878e-14,5.322256673880435e-13,9.999918673858384e-09,97.18451715569734,0.0552810582676784,0.0544789968508696,492.1591061618113,-4.329015215926493e-12,1.000026808131588e-08,1.000280279305372e-08,-4.959048093976399e-13,0.7175943836312262,364.66933804540616,364.6784453629026,0.0076517470556519
16,0.1652,42662078560.919,92973121.28195076,9584358288.285114,46688696.74286685,49065148411.53175,18023298705.086708,9.99899728893721e-09,2.716213948858864e-13,5.033688460757295e-13,-3.101062582286351e-13,426.57738488568,0.8967735876683964,0.8719692609590384,95.81916803463076,-8.988015787328951e-14,-1.8179383564514842e-13,1.8909027023454685e-13,1.0000102071385773e-08,95.84187649453364,0.4331718568220625,0.4324629223654055,490.6535365786744,2.746724286859044e-12,1.0000160482504516e-08,1.0000972985659338e-08,3.9317813942732793e-13,1.8607464246525849,360.4820577830914,360.490885288709,0.9057832425999044
17,0.1957,41302816298.88554,127577747.90126178,9395639230.904308,66182754.90544733,48880247039.41777,17759684843.038074,1.000082383994091e-08,-7.18084738437772e-14,3.2679189060789685e-14,3.7570015678497663e-14,413.0604097406864,1.2132387432928615,1.1899141726763975,93.97273961389575,-2.1276488667587402e-13,3.122131176571974e-13,2.502396634328088e-13,9.999985767689454e-09,93.93892071422596,0.6315908218146041,0.6309397152874817,488.80213051782704,1.8273657258513547e-12,1.0000928323438072e-08,1.0000437750788652e-08,4.6372728420297596e-14,2.4738623941105886,355.2138685975168,355.22210834088014,1.255924928692225
18,0.221,40336865881.35926,51578801.38648582,9255211625.116411,-1547764.4707924938,48711646100.73034,17575890717.78257,9.999920930366258e-09,-1.7700019080537017e-13,7.454864404177718e-13,-4.172711423906153e-13,403.3590388107246,0.5012206478999819,0.4787731673010405,92.52948483551276,-6.872239927563204e-13,1.953883363411777e-13,-1.3153178430438187e-14,1.0000215460298228e-08,92.52571195683043,-0.0175648823382276,-0.0180591087571771,487.1230938762442,-1.4803441849475568e-12,1.0000353544454278e-08,9.999677394789068e-09,1.200367888158576e-13,0.9291381637825208,351.5138682935729,351.5229034217094,-0.0147178358636934
19,0.2498,39048901176.014046,4057873.964981724,9047929113.77924,-18178898.21952969,48480665689.05615,17313503959.921078,9.999599814345984e-09,2.866492740748448e-13,-1.5487891739022276e-13,1.3846940337197907e-14,390.4718772357289,0.0538059523459341,0.0296791221928534,90.47961660457318,-1.6722036025861226e-13,1.0440891361444415e-14,9.228261426329696e-14,9.999935308710276e-09,90.46716660970226,-0.1862056756217297,-0.182540327298614,484.8036509050812,1.3667195905569657e-12,1.0000739378188357e-08,9.999571482971641e-09,-2.670323750052868e-13,0.1233973647796305,346.2709636796618,346.2799565552125,-0.3359649396923385
20,0.2721,38185942227.69828,-8045866.951297732,8921419306.600529,-13408652.635157686,48337894225.30209,17150313338.831097,9.999951713953116e-09,-1.5583654278786916e-13,-5.31721689766313e-13,-5.924637705218496e-13,381.8545764495172,-0.0734937706702462,-0.0954363004697726,89.18527972420334,-3.364726910903156e-13,-3.2088746751590793e-13,2.5244430247739592e-14,1.0000100843121255e-08,89.20468649217938,-0.1491876989047169,-0.1444040407047088,483.37853128188834,5.81585407475654e-14,1.0000110165533074e-08,1.0000315768733933e-08,-3.8688332049542504e-14,-0.1555503393232616,343.009324341932,343.01783703083515,-0.2439937795566805
21,0.2978,37360669606.95976,-27200331.84832265,8810040346.652004,-4104841.4166595913,48201580714.6208,16964611043.990225,1.0000724757883113e-08,-3.65334195498688e-14,1.9361998960415957e-13,-3.40398731720946e-13,373.63206219146366,-0.2562179488756694,-0.2765036070905904,88.07337306624265,-1.964990483446411e-13,-3.541439310700432e-13,-8.59623149870685e-14,1.0000035737195e-08,88.11195739332382,-0.0462993634066411,-0.0408340971849051,482.0145314627943,-7.316073875551493e-13,9.999998909239511e-09,1.0001067431445606e-08,-3.4237416870330294e-13,-0.5268565971567392,339.3066891734783,339.31392843910663,-0.0940520316712753
22,0.3266,36186055418.5211,78465962.12989934,8586273924.179354,66178488.22652833,47919445628.55548,16734508592.270908,9.99806947316914e-09,-7.054133877705747e-14,6.932710370833396e-13,-2.846307612669817e-14,361.79105667324,0.7677957609700492,0.7485035854518864,85.85307665316792,3.547955016387375e-14,-1.018248150637433e-13,-1.1564163834000329e-13,9.999969433402993e-09,85.8563024113709,0.6036465136796888,0.6093864941232195,479.1927673604964,7.492699144148593e-13,1.0000135644946765e-08,9.999880989767918e-09,3.3207287032567643e-13,1.4963347727216223,334.6870163500844,334.693948264544,1.273863708083486
23,0.3638,33670570841.478325,101955892.42155214,8017135594.543564,127773451.05629444,47414209951.02799,16274291444.6832,9.997510933243012e-09,-2.1038219986721877e-13,1.2915015033104584e-13,-3.403534331803429e-13,336.6221316653923,0.9804058168223456,0.9561441328579628,80.1494800526551,2.278602207389796e-14,-3.363524244061924e-13,2.1926347416698736e-15,9.999994890685172e-09,80.16292635777398,1.1802025789620898,1.1769949649577,474.1391441289674,5.035551793020227e-13,9.999834388720996e-09,1.0000195831449377e-08,1.338506968592218e-13,1.928687152812819,325.4771048450085,325.4954399231656,2.431424650387102
24,0.3791,33152502247.685665,2058414.715584146,7862860003.8317795,34566045.105679005,47213800293.5677,16115534053.651846,9.999740914002522e-09,-1.774991739769963e-13,-7.730728085711422e-14,2.362713716817677e-14,331.51472878900404,0.0225136291608536,-0.0013161519226719,78.62429727113066,-2.167111273816619e-13,-1.880239616269066e-13,6.39102310222672e-14,9.999880174075493e-09,78.62046548225076,0.3070827874115957,0.3043222586596231,472.1325274720778,-3.000073040880363e-13,1.0000356026776484e-08,1.0001396150635104e-08,-1.2315581332829098e-13,0.0332265628169946,322.3293585937786,322.3484687167219,0.6640909028299029
25,0.3992,32507753613.61726,21042163.81330654,7734016633.548725,43925558.8424384,47038351145.986336,15934250940.371449,9.999825100039298e-09,2.465770477661288e-13,-9.087224435268329e-13,-5.619210587639985e-13,325.0710495408693,0.1921602722631237,0.1686855348659342,77.31993127813661,-1.0536052875440721e-13,-2.397374267960977e-13,2.8160145582163463e-14,9.99990000981534e-09,77.33507551682972,0.3993721273185979,0.3967415702260048,470.374448683369,7.217582476167154e-13,1.0000171865961346e-08,1.0001163778787574e-08,-3.3112878058899134e-13,0.4261570843619678,318.6968617392216,318.7156964714593,0.8262523717643888
26,0.434,30403914932.93312,64418184.522859424,7301117721.566668,34541466.27242663,46613816638.047455,15558885844.765038,1.0000122569514468e-08,3.21684331816978e-13,-3.554126702074384e-13,-3.8892767835276513e-13,304.0411050959273,0.6224209141239168,0.6024205381924798,73.00081429356902,-2.4998267182023613e-13,-1.51399038321136e-13,1.7030735915162587e-13,9.99979838124475e-09,72.9974749812392,0.3160049812869021,0.3140869802422433,466.1259090121336,8.876945397648606e-13,1.0000263775825597e-08,1.0000808475589685e-08,-6.246193760706983e-13,1.236811167044838,311.1857596677794,311.2030373713989,0.6427715208374891
27,0.4444,29790761968.04464,-41839444.428795695,7156828131.248147,-71131813.3871393,46419123236.53501,15390994566.315998,1.0000083740418874e-08,3.732092906328245e-13,-5.901522152745375e-13,-4.0243509817110265e-13,297.90930555721144,-0.3842415469741767,-0.4041576846575125,71.55761329044643,-1.0731710024944513e-13,-1.4128096962524093e-13,-1.6543687595208282e-14,9.999655618195505e-09,71.56008268958745,-0.6827198387655136,-0.6844696820411098,464.1724362830262,1.043152597131547e-12,1.0000358920807742e-08,1.0000204137096551e-08,-1.028176465118914e-12,-0.760887834770047,307.81947651761686,307.83767641549235,-1.3643466805946007
28,0.467,28213298362.274136,68178733.52887923,6795493205.405932,-11238226.676709268,46072337956.35832,15103755805.568665,1.0000020223554755e-08,2.6867554432161283e-13,-2.5463741389280174e-13,-3.3867817132871883e-13,282.1325981442994,0.6584885716187542,0.6382372955866895,67.94939275812982,-1.517197830184267e-13,-4.183554576309875e-13,-1.2615615661605614e-13,1.0000126649906853e-08,67.94488464448821,-0.1296086002381616,-0.1315073164534529,460.7269179439954,1.1539612817854185e-12,9.999945546136216e-09,1.0000543366607944e-08,-3.98153794783799e-13,1.3132504959860578,302.07333577937845,302.0916779550346,-0.2118788072127109
29,0.4905,25776451422.676617,323837408.3349197,6050746856.581793,223023628.00977355,45334450646.905846,14612492678.299145,9.99994366132348e-09,3.822441979418722e-13,-4.646326651155311e-13,-4.1556016782480363e-13,257.76312526369514,3.0658122056679584,3.044364158060603,60.49819203014199,-5.957909873091995e-14,-4.2156061104871556e-14,3.680475368499714e-15,1.0000218189031984e-08,60.50453926448423,2.088255639801486,2.086889894648206,453.3518410670771,1.3865563730608437e-12,1.0000377375826778e-08,1.0000631835189962e-08,-2.031987400767652e-13,6.1438554489021895,292.2551863323446,292.27394845722284,4.213371974766005
