t,bbr,C_1111,C_1112,C_1122,C_1222,C_2222,C_1212,eps_1_xx,eps_1_xy,eps_1_yx,eps_1_yy,sig_1_xx,sig_1_xy,sig_1_yx,sig_1_yy,eps_2_xx,eps_2_xy,eps_2_yx,eps_2_yy,sig_2_xx,sig_2_xy,sig_2_yx,sig_2_yy,eps_3_xx,eps_3_xy,eps_3_yx,eps_3_yy,sig_3_xx,sig_3_xy,sig_3_yx,sig_3_yy
0,0.0,49715104679.45993,9952228.837961042,10321339138.305187,-50533580.65388023,49741742709.98506,19165139769.729504,1.0007394224901809e-08,9.686836565413372e-13,-4.9677635782956514e-12,-9.032374335487173e-13,497.44960910383446,0.0953940054211932,0.1008442033536495,103.31637058365966,-6.7041837643906776e-12,-4.774535436403544e-13,5.54644504988319e-13,1.0003453241771503e-08,102.84374058606842,-0.0775409336961658,-0.0829830652077876,497.5799266859611,1.1623690384493047e-11,1.0000624245019913e-08,1.0001470627708516e-08,-6.789420832896831e-12,0.5309031927676194,383.34619208653424,383.339651456117,-1.6284659482816275
1,0.0,49715104679.45993,9952228.837961042,10321339138.305187,-50533580.65388023,49741742709.98506,19165139769.729504,1.0007394224901809e-08,9.686836565413372e-13,-4.9677635782956514e-12,-9.032374335487173e-13,497.44960910383446,0.0953940054211932,0.1008442033536495,103.31637058365966,-6.7041837643906776e-12,-4.774535436403544e-13,5.54644504988319e-13,1.0003453241771503e-08,102.84374058606842,-0.0775409336961658,-0.0829830652077876,497.5799266859611,1.1623690384493047e-11,1.0000624245019913e-08,1.0001470627708516e-08,-6.789420832896831e-12,0.5309031927676194,383.34619208653424,383.339651456117,-1.6284659482816275
2,0.0,49715104679.45993,9952228.837961042,10321339138.305187,-50533580.65388023,49741742709.98506,19165139769.729504,1.0007394224901809e-08,9.686836565413372e-13,-4.9677635782956514e-12,-9.032374335487173e-13,497.44960910383446,0.0953940054211932,0.1008442033536495,103.31637058365966,-6.7041837643906776e-12,-4.774535436403544e-13,5.54644504988319e-13,1.0003453241771503e-08,102.84374058606842,-0.0775409336961658,-0.0829830652077876,497.5799266859611,1.1623690384493047e-11,1.0000624245019913e-08,1.0001470627708516e-08,-6.789420832896831e-12,0.5309031927676194,383.34619208653424,383.339651456117,-1.6284659482816275
3,0.0,49715104679.45993,9952228.837961042,10321339138.305187,-50533580.65388023,49741742709.98506,19165139769.729504,1.0007394224901809e-08,9.686836565413372e-13,-4.9677635782956514e-12,-9.032374335487173e-13,497.44960910383446,0.0953940054211932,0.1008442033536495,103.31637058365966,-6.7041837643906776e-12,-4.774535436403544e-13,5.54644504988319e-13,1.0003453241771503e-08,102.84374058606842,-0.0775409336961658,-0.0829830652077876,497.5799266859611,1.1623690384493047e-11,1.0000624245019913e-08,1.0001470627708516e-08,-6.789420832896831e-12,0.5309031927676194,383.34619208653424,383.339651456117,-1.6284659482816275
4,0.0,49715104679.45993,9952228.837961042,10321339138.305187,-50533580.65388023,49741742709.98506,19165139769.729504,1.0007394224901809e-08,9.686836565413372e-13,-4.9677635782956514e-12,-9.032374335487173e-13,497.44960910383446,0.0953940054211932,0.1008442033536495,103.31637058365966,-6.7041837643906776e-12,-4.774535436403544e-13,5.54644504988319e-13,1.0003453241771503e-08,102.84374058606842,-0.0775409336961658,-0.0829830652077876,497.5799266859611,1.1623690384493047e-11,1.0000624245019913e-08,1.0001470627708516e-08,-6.789420832896831e-12,0.5309031927676194,383.34619208653424,383.339651456117,-1.6284659482816275
5,0.0,49715104679.45993,9952228.837961042,10321339138.305187,-50533580.65388023,49741742709.98506,19165139769.729504,1.0007394224901809e-08,9.686836565413372e-13,-4.9677635782956514e-12,-9.032374335487173e-13,497.44960910383446,0.0953940054211932,0.1008442033536495,103.31637058365966,-6.7041837643906776e-12,-4.774535436403544e-13,5.54644504988319e-13,1.0003453241771503e-08,102.84374058606842,-0.0775409336961658,-0.0829830652077876,497.5799266859611,1.1623690384493047e-11,1.0000624245019913e-08,1.0001470627708516e-08,-6.789420832896831e-12,0.5309031927676194,383.34619208653424,383.339651456117,-1.6284659482816275
6,0.0024,49648375672.89108,16330997.347211776,10325988407.282455,-52624922.72606893,49739479347.218414,19162211872.691376,1.0006397976636874e-08,2.1953713320481982e-14,-4.255052633817239e-12,-4.160375801224256e-13,496.7319698846013,0.1670437296767025,0.1724806179031133,103.3648909631049,-6.750317312682905e-12,-4.482173535409928e-13,5.146029348197439e-13,1.0003840436769997e-08,102.90385494326458,-0.0895930203157003,-0.0950332877838078,497.58158109551295,1.1873832349436214e-11,1.0001833687541476e-08,1.0001096763121017e-08,-8.141156199859474e-12,0.64358197819052,383.3036157012103,383.2970782882616,-1.7288980859532597
7,0.0156,49219198186.685234,9239642.332155555,10336628087.036177,-53313503.69200295,49724332636.15917,19119432270.407063,1.0006970803261865e-08,1.5438714629768072e-13,-3.085626528626419e-12,-4.216330563859962e-15,492.46776740039206,0.1402255420863758,0.1455646190776757,103.50951364293752,-6.525153990062508e-12,-2.854299017404411e-13,4.611560681903996e-13,1.0003558293187969e-08,103.00694123665112,-0.1117630866390448,-0.1171620968413602,497.42028418327953,9.6182278927114e-12,1.0000419451451823e-08,1.0000394737954369e-08,-6.519723418558709e-12,0.4159620257310404,382.4073749143095,382.4010110621065,-1.6540467248985349
8,0.0384,48283975617.30162,53455723.22947842,10284695467.527697,-50792564.19434631,49674568475.35609,18985662234.92253,1.0006880899127745e-08,1.7353023981236133e-12,-4.6053627752323215e-12,-5.023059942819387e-13,483.09916845563146,0.5238048122403433,0.5255229236583772,102.9803433979127,-7.1448137490453365e-12,-6.144814935020144e-13,-7.939525730985557e-14,1.0003822826779752e-08,102.44385966839096,-0.1089424238310907,-0.1139803214421291,496.9304866986016,1.2423511318237992e-11,1.0001622922490596e-08,1.0001845674351617e-08,-8.150422067284926e-12,1.3878708058239864,379.7819437229783,379.7760845831991,-1.6672059691548708
9,0.0676,47155699411.439896,79114952.60853401,10188009700.405472,-41720670.17395978,49586174991.31686,18790755953.90619,1.0009549499340832e-08,9.238729038468192e-13,-4.853096527934111e-12,-2.287110493288258e-13,471.93875176022914,0.7548208501078194,0.7565884441733326,102.06877007892764,-6.808862126246734e-12,-8.23437984778524e-13,-8.67130543967524e-13,1.0003658393872989e-08,101.4769887425451,-0.0441406595520383,-0.0492595282620141,496.0408202819538,1.078258452345057e-11,1.0001095057992556e-08,1.0003753108329436e-08,-5.922814707827305e-12,1.7883020419252644,375.9091715860041,375.9029274492739,-1.4182900995056231
10,0.1062,45495840167.16162,75927881.0519522,9988380825.579165,-55509669.88432661,49452937765.828514,18533211026.08844,9.986759851093929e-09,4.311720507631489e-12,-1.0642523751585697e-12,-3.595172251294384e-12,454.4419468259653,1.189454668759425,1.1912225832139438,99.25769669453685,8.785811304290402e-12,-1.6847688388754237e-12,-2.175824786803599e-13,1.0001527633442681e-08,100.66329213682792,-0.3732230742032315,-0.3783220746899707,494.5689300895707,-1.2609564880792328e-11,1.0000776189040558e-08,9.999708075057009e-09,-2.552557472454941e-12,0.5518508237072254,370.6764615191053,370.6704942898567,-1.3201973921665475
11,0.1431,44339803407.77397,80277659.72752275,9854293856.33764,-59016220.90052441,49331442127.16795,18303455261.20752,9.984590269905636e-09,4.163392494041749e-12,1.577850703646086e-13,-4.8483969548493836e-12,442.79899067188,1.2519088765746116,1.2545971674037688,97.80031276345898,8.744912050944518e-12,-1.1221365662423462e-12,-6.189944751609046e-14,1.0001723719537858e-08,99.36641942029772,-0.3743497288547137,-0.3792401358950171,493.351488710929,-1.2704305801248949e-11,9.999338874678678e-09,9.999132434787226e-09,-2.04042079994505e-12,0.6393428999371776,366.0440018014721,366.03888042113095,-1.3756585447067124
