t,eps_xx,eps_xy,eps_yy,sig_xx,sig_xy,sig_yy
0,0.0,0.0,0.0,0.0,0.0,0.0
1,6.053268679033351e-06,-2.7368161478849203e-09,6.057153335021694e-06,361232.749516886,1811.6294958677784,352804.7338938871
2,1.2106537358066703e-05,-5.473632295888931e-09,1.2114306670043365e-05,722465.4990337426,3623.258992218887,705609.4677888417
3,1.815980603710005e-05,-8.21044844485129e-09,1.817146000506508e-05,1083698.2485513366,5434.888488221729,1058414.2016826195
4,2.42130747161334e-05,-1.0947264591520128e-08,2.4228613340086784e-05,1444930.998067829,7246.517982888245,1411218.9355735923
5,3.0266343395166748e-05,-1.3684080736747976e-08,3.0285766675108475e-05,1806163.7475860068,9058.147479907657,1764023.6694691335
6,3.631961207420012e-05,-1.642089688814263e-08,3.634292001013016e-05,2167396.4971029432,10869.776975911176,2116828.403362638
7,4.23728807532335e-05,-1.9157713040437425e-08,4.240007334515182e-05,2528629.2466192152,12681.406471401204,2469633.1372560747
8,4.842614943226681e-05,-2.18945291824776e-08,4.845722668017356e-05,2889861.996135692,14493.03596681358,2822437.8711509714
9,5.447784537682863e-05,-2.2852736901180112e-08,5.450839179692296e-05,3250169.235625183,16905.993042810755,3173504.634560468
10,6.053675279102788e-05,-3.846816339704541e-09,6.055873494187024e-05,3586008.5499243503,18095.770234314,3490534.2811578065
11,6.658833552690908e-05,-1.6450716070281508e-08,6.661341270854167e-05,3775725.916257742,28226.76308605088,3681308.787335921
12,7.265529842465527e-05,5.555573375665011e-07,7.26674861768026e-05,3908288.188449762,44471.70207133189,3837779.605009493
13,7.87059773580426e-05,1.1799817745293095e-06,7.873146456927633e-05,4051158.603104159,55059.88456641839,3956288.171718589
14,8.47138479207865e-05,1.4818888744808968e-06,8.482653413577789e-05,4172887.100711031,61067.72103812586,4057169.900437224
15,9.076820068006586e-05,1.6619605118080628e-06,9.089214787072566e-05,4279545.956204057,51696.00240566805,4137088.781677156
16,9.68844237767714e-05,2.195345928199676e-06,9.693840728971464e-05,4307645.1414589975,68470.873599005,4197075.354359754
17,0.0001029188946822,2.857149422791785e-06,0.0001030193706313,4353417.10969022,83441.54864600895,4290559.647431495
18,0.0001089843245356,5.596955110014812e-06,0.0001091050462734,4193400.18491858,47224.65723033797,4210867.927573391
19,0.0001150214042612,1.5643725198030475e-05,0.0001154278185429,3828448.6724040303,42265.79454927523,3617523.8738640686
20,0.0001210794194619,1.6863730587056836e-05,0.0001215209514317,3928293.672233442,43258.924005058,3717658.816496545
21,0.0001271460238849,2.154411730074794e-05,0.0001276475581411,3488051.3411172447,-89406.80391824766,3342187.7821946573
