t,eps_xx,eps_xy,eps_yy,sig_xx,sig_xy,sig_yy
0,0.0,0.0,0.0,0.0,0.0,0.0
1,4.019650399224171e-09,4.040412845112385e-06,-1.7233685462525646e-08,-4262.267676676937,151417.22846313132,2389.9199389906626
2,8.039300796626389e-09,8.080825690224767e-06,-3.4467370925409196e-08,-8524.53535318169,302834.4569261909,4779.839878054162
3,1.2058951195952714e-08,1.2121238535337153e-05,-5.1701056389796183e-08,-12786.803030410418,454251.6853889382,7169.759817372192
4,1.6078601596890946e-08,1.6161651380449528e-05,-6.893474184946752e-08,-17049.070708383035,605668.9138512386,9559.679755761266
5,2.009825201657956e-08,2.020206422556191e-05,-8.616842732228753e-08,-21311.33838417637,757086.1423150019,11949.59969506596
6,2.4117902383650027e-08,2.424247707067432e-05,-1.0340211278291407e-07,-25573.606060002287,908503.3707775964,14339.51963468658
7,2.8137552784372944e-08,2.8282889915786645e-05,-1.2063579824268458e-07,-29835.873736105303,1059920.5992418632,16729.439573792442
8,3.2157203177605613e-08,3.232330276089903e-05,-1.3786948370021597e-07,-34098.14141549851,1211337.8277031784,19119.35951070398
9,3.6176853564556436e-08,3.636371560601144e-05,-1.5510316914865813e-07,-38360.40908952577,1362755.0561678563,21509.27945065646
10,4.356814502692331e-08,4.04043058953871e-05,-1.6653581776145824e-07,-42586.13016631117,1513873.3004336776,23935.118747449054
11,4.998290897899469e-08,4.444474240398067e-05,-1.8530101880087197e-07,-46930.11018749108,1664967.5863004392,25983.989076996888
12,6.953426866540068e-08,4.848451660673109e-05,-1.8820959478738947e-07,-51823.261415497545,1814920.717565089,28462.13882281136
13,1.139066629214293e-07,5.2524758701479816e-05,-1.784818677111187e-07,-58292.37603860666,1962749.5646042952,31199.684852472397
14,1.6365084505105153e-07,5.656484875397874e-05,-1.7500570015972616e-07,-61435.69580836626,2113615.0857433057,31624.70579861521
15,2.308660857631046e-07,6.060514437855137e-05,-1.2073243371556637e-07,-66737.34980947479,2259642.7475226102,31751.41885436718
16,3.262195216401146e-07,6.464557864035367e-05,-8.514138497929981e-08,-72670.19954262896,2403446.901155388,31551.357328072776
17,4.257067087697361e-07,6.868672998355395e-05,-8.787455377173293e-09,-80968.30609383745,2544718.307376532,28541.493948590243
