t,eps_xx,eps_xy,eps_yy,sig_xx,sig_xy,sig_yy
0,0.0,0.0,0.0,0.0,0.0,0.0
1,1.183661057003398e-11,8.082435318318114e-06,-9.613168875023489e-09,12426.530271506608,307172.7141229769,376.2566767941513
2,2.3673308864618575e-11,1.6164870636636214e-05,-1.922633778657697e-08,24853.060539151484,614345.4282348773,752.5133431379385
3,3.5510036895812386e-11,2.4247305954954185e-05,-2.8839506710054273e-08,37279.59080387162,921518.142350954,1128.7700151903762
4,4.7346576176776657e-11,3.2329741273272496e-05,-3.8452675561402644e-08,49706.12108007976,1228690.856468982,1505.0266853506168
5,5.096399049168337e-10,4.041215964832479e-05,-4.89051150850237e-08,62038.73829858941,1535653.8655427229,1658.2932332616294
6,1.489574355339536e-08,4.849451599166746e-05,-3.633681555845137e-08,73579.02858007466,1840739.433458637,1286.2674680630037
7,8.007842453521612e-08,5.657680722612974e-05,-2.9990343502562785e-08,82101.25109277996,2140986.3723336826,-2020.7133869264196
8,2.8795603437927574e-07,6.466200329136966e-05,1.1114921711667171e-08,88707.30157453076,2433486.0351809347,-7292.988148097826
9,5.409784901291831e-07,7.274555547312646e-05,3.157226682120444e-07,94973.27819525416,2717392.2449704665,-11221.08234239434
10,9.81664425539564e-07,8.082872683112777e-05,7.040298884779846e-07,99111.12316000016,2993026.5443152785,-13377.51214950315
11,1.8378977392979603e-06,8.890102349248124e-05,1.2866563167987877e-06,85654.27260158585,3235913.6961517544,-31390.49239005276
12,2.460208115399285e-06,9.698316992516263e-05,1.974181468346748e-06,70035.8142582519,3483041.980353697,-43174.56443743503
13,3.72330013316556e-06,0.0001050576270935,3.166665652701681e-06,67172.39455246106,3701796.684336137,-55740.11634729165
14,4.569323889063318e-06,0.0001131388148273,4.145661662985517e-06,39788.6069139754,3928290.4819455594,-80620.96506918361
15,5.606805788819901e-06,0.0001212181062079,5.357616985155285e-06,14117.605368849569,4148269.029032118,-104710.20784321814
16,6.9933430983995606e-06,0.0001293028403312,6.385369165982143e-06,17134.810618461917,4361870.139452184,-137140.08166388256
17,8.692860731698366e-06,0.0001373863070002,7.969193728535195e-06,-15196.436015628084,4549347.912583856,-157865.49185393917
18,1.0071375633046453e-05,0.0001454648803747,9.395775128520286e-06,-45992.71267739381,4746741.243009423,-185132.4226058938
19,1.202786393212567e-05,0.0001535477397337,1.0558099354130811e-05,-74336.20833289472,4929685.811695166,-232167.33565330648
20,1.4036314025296764e-05,0.000161633345528,1.2424458475294428e-05,-101898.1272421401,5104365.219449119,-268566.6347277848
21,1.6948258559258382e-05,0.0001697135731116,1.409621366518171e-05,-148808.2194069617,5203216.58418579,-354094.77843900525
22,2.7899704593956224e-05,0.0001777843362811,2.20380927883199e-05,-175535.92930841295,5023929.979430917,-441068.37159890414
23,2.9323715988541988e-05,0.0001858670603132,2.3612911692866597e-05,-197002.42959255291,5229000.456247671,-468938.551822746
24,7.896294123618397e-05,0.0001940121546242,6.678983153149484e-05,494433.6681226143,4037493.523951349,-139272.57086184327
25,8.52568622155833e-05,0.0002020943147018,7.033010668581949e-05,507580.47380065103,4144809.996109549,-159817.62396444357
26,8.88371959315026e-05,0.0002101833065372,7.787598941272162e-05,463901.7847769312,4188921.9394417126,-189783.9121523044
27,0.0001323819653083,0.0002183503593711,0.0001425743889337,-854627.5369481142,1851897.4311828453,-1042397.0428385304
28,0.0001376341574013,0.000226429999822,0.0001478365478816,-880639.661193366,1908831.4674687411,-1069270.6905894133
29,0.0001486682898497,0.0002345193679965,0.0001615519234454,-939667.861630305,1556535.8303426988,-1168405.599142245
30,0.000153719082669,0.0002426066641348,0.000167592515341,-967327.6851427676,1603874.2254630977,-1207222.922133106
31,0.0001588430520936,0.0002506935529401,0.0001731789325021,-999571.9413624512,1657336.699636131,-1247463.6861810782
32,0.0001624218878353,0.0002587830656467,0.0001817741491178,-1050730.52997821,1679687.5914552282,-1288701.057590034
33,0.0001674975718473,0.0002668700364489,0.0001874545912581,-1083565.8591786823,1732177.8286183686,-1328972.9655764732
34,0.000145495452911,0.0002745226778762,0.0002578679304911,-1098796.5011281555,1328973.8587013548,-1224180.3441725122
35,0.000149805538212,0.0002825970379098,0.0002655147232939,-1130262.6641330863,1368556.6004465332,-1259792.7629882009
36,0.000154085696385,0.0002906712389922,0.0002731008582987,-1162555.8827488865,1407658.2179772146,-1295786.8416824343
37,0.0001583658546954,0.0002987454400745,0.0002806869932174,-1194849.102183888,1446759.8346137656,-1331780.920980523
38,0.0001558147185284,0.0003067477463216,0.0003018535428865,-1188724.6964446404,1444077.836104412,-1330899.3681132689
39,0.0001599151058696,0.0003148200554354,0.0003097970571655,-1220006.9253888694,1482079.8843224058,-1365923.035779314
40,0.0001640014250746,0.0003228791234052,0.0003179971079699,-1276823.637813307,1420076.5301119017,-1397777.5171409177
41,0.0001671417795635,0.0003309531229302,0.0003267738784387,-1305934.719973454,1448173.386604817,-1430870.2317578965
42,0.0001714094166423,0.0003390272157224,0.0003347975632776,-1336135.9785446655,1475830.025720738,-1465336.142391845
43,0.0001768719005038,0.0003469890435018,0.0003429372174654,-1358877.9199946504,1491460.46845203,-1395122.8901195535
44,0.0001781746889661,0.0003550442269751,0.0003557008407707,-1382138.7398653366,1515801.074102374,-1410762.141928437
45,0.0001822404792783,0.0003631130975862,0.0003638045096683,-1413330.4569885326,1549977.3951986588,-1442672.1274364523
46,0.0001862919742604,0.0003711803235902,0.0003719062749025,-1445036.0715250387,1583802.6110673328,-1473190.0674062895
47,0.0002115008637673,0.0003785055593099,0.0003980098188299,-978621.3705272126,1253119.0062091069,-1427324.2142754
48,0.000215804493226,0.0003865560238634,0.0004069315113081,-991712.6239145056,1276369.1838446334,-1454043.6649833063
49,0.000220035407156,0.0003946090202148,0.0004156192317498,-1011332.945129584,1303278.4476080572,-1483287.1150160194
50,0.0002183426060623,0.0004026520543177,0.0004298438152649,-1021341.2694401809,1304505.7175531802,-1484270.9894967766
51,0.0002283433783738,0.0001354303507123,6.950940522294754e-05,65116.59725894935,44895.87250848809,-4.600460831859268e-06
52,0.0002383912787751,0.0001423284570461,7.406968333403162e-05,65701.17822035284,44878.41167949204,9.418683150445072e-07
53,0.000248439179309,0.0001492265628482,7.862995899157496e-05,66285.76090654431,44860.95127959664,5.460526737895956e-06
54,0.0002584870795222,0.0001561246704328,8.319024148771339e-05,66870.3440322618,44843.49171812043,4.675274295257003e-07
55,0.0002685349797671,0.0001630227776173,8.775052288044496e-05,67454.9268791546,44826.03166700324,-5.303814775745821e-07
56,0.0002785825702728,0.0001688753032021,9.059709599200485e-05,67325.06992962118,44822.46871350863,1.0193864465520718e-06
57,0.000288630461922,0.0001757437138307,9.510870227252123e-05,67889.36282328294,44805.40305869282,-2.0851725676755207e-06
58,0.0002986783534881,0.000182612124832,9.962031009988505e-05,68453.6570173528,44788.33774260387,-1.849446215380741e-06
59,0.0003087262449786,0.0001894805355625,0.0001041319184546,69017.95039249146,44771.271344290486,9.993729239703892e-06
60,0.0003187741366506,0.0001963489467763,0.0001086435253589,69582.24329816004,44754.20673016587,-3.496085139265432e-06
61,0.0003288220281658,0.0002032173576203,0.0001131551336155,70146.53575110104,44737.14044389135,2.9600132791996537e-06
62,0.0003388699195869,0.0002100857693283,0.0001176667443536,70710.83401866954,44720.07623444484,1.7661789330721465e-06
63,0.0003489178112177,0.0002169541802326,0.0001221783512495,71275.12459388272,44703.01034592212,-6.692630311553217e-06
64,0.0003589657028119,0.0002238225906626,0.0001266899578681,71839.41717145871,44685.94396516305,5.009663289453261e-06
65,0.0003690135944867,0.0002306910007415,0.0001312015629005,72403.71325162843,44668.87834020781,1.6240025838881165e-05
66,0.0003790598489772,0.0002371791471867,0.0001349597226759,62778.656934687046,45069.933635138594,-8.001447238737474e-06
67,0.000389107704197,0.0002440391536384,0.0001394546703434,63117.0941174125,45062.13684972454,-2.796194500711957e-06
68,0.0003991555595824,0.0002508991596283,0.000143949615332,63455.52852094775,45054.33978300153,-4.766561388381008e-06
69,0.0004092034147156,0.0002577591664024,0.0001484445646118,63793.96188714392,45046.542075565245,-7.837447770991748e-07
70,0.0004192512701178,0.0002646191718955,0.000152939508554,64132.3967783501,45038.74443673992,8.317062350488311e-06
71,0.0004292991253484,0.0002714791792923,0.0001574344576175,64470.82958121655,45030.94819628287,-9.337199967322817e-06
72,0.0004393469804419,0.0002783391859261,0.0001619294071686,64809.260834754125,45023.14951048203,-3.0494811677616564e-06
73,0.0004493948358002,0.0002851991924922,0.0001664243533349,65147.6961110492,45015.35334385036,-1.4574753673032467e-05
74,0.0004594404365592,0.0001476018666893,-6.671361722318288e-05,47497.883799255535,45635.43454933586,-2.2724865351221762e-07
75,0.0004694882505566,0.0001517491025293,-6.66814472367164e-05,47498.23912265917,45635.42101269264,5.0725883330785913e-08
76,0.0004795360647506,0.0001558889224614,-6.666146551314613e-05,47498.59534320895,45635.40722172869,-1.5797046797268445e-06
77,0.0004895838789794,0.000160037054966,-6.66278249846425e-05,47498.94604557679,45635.39267222383,-8.438910257453687e-07
78,0.000499631692975,0.0001641819894973,-6.659943652014825e-05,47499.29928115686,45635.37850870012,-3.0899873694928305e-07
79,0.0005096795071151,0.0001683239865743,-6.657587662285676e-05,47499.65217640073,45635.3640900856,2.519859102771619e-06
80,0.0005197273212973,0.0001724769431292,-6.653430860526315e-05,47500.008213423,45635.35108898889,-7.585132043214381e-06
81,0.0005297751353292,0.0001766149800322,-6.651725484165819e-05,47500.362797183385,45635.336792811344,1.8734145054516315e-06
82,0.0005398229495331,0.0001807635029612,-6.648297237918941e-05,47500.71593035968,45635.32284011216,-7.271085323762757e-06
83,0.0005498707635527,0.0001849026372727,-6.646411521004832e-05,47501.06745184277,45635.30792063682,2.781014250581138e-06
84,0.0005599185777609,0.0001890427932822,-6.644358141914636e-05,47501.42432503117,45635.294290917096,6.5715088397197545e-06
85,0.000569966391869,0.0001931905911611,-6.641048922086084e-05,47501.77645327518,45635.28005676142,5.870370785028589e-06
86,0.000580014205963,0.0001973297024613,-6.639167069450271e-05,47502.12943383233,45635.26548645816,1.0223265240324596e-05
87,0.0005900620201731,0.0002014775691874,-6.635846663963725e-05,47502.4858948366,45635.25223985229,8.07959286958666e-06
88,0.0006001098342949,0.0002056239448259,-6.632771171491007e-05,47502.840083839765,45635.238390094826,3.988670172399585e-06
89,0.0006101576482587,0.0002097737472661,-6.629132388421836e-05,47503.191849452814,45635.22420204487,-2.5289794302598942e-06
90,0.0006202054624871,0.0002139154225517,-6.626829383249737e-05,47503.545207988536,45635.20986628528,5.076892444308346e-06
91,0.0006302532765233,0.0002180544993897,-6.624953129267954e-05,47503.89919000123,45635.195509611,6.184271997616562e-06
92,0.0006403010907244,0.0002222042044244,-6.621330637342588e-05,47504.25240091965,45635.18163756605,2.7688062508787968e-06
93,0.0006503489049421,0.0002263433143048,-6.619449168884336e-05,47504.60945108133,45635.16798861445,8.90674617185606e-06
94,0.0006603967189521,0.0002305006386459,-6.614574434230792e-05,47504.96294786066,45635.154685430665,-6.244256137100613e-06
95,0.000670444533164,0.0002346459299607,-6.611677224803379e-05,47505.31662366803,45635.140636241085,-8.042874476608717e-06
96,0.0006804923471851,0.0002387728059056,-6.611805809835118e-05,47505.6690290432,45635.12513646593,1.66075751386905e-05
97,0.0006905401613941,0.0002429323218646,-6.606571193653758e-05,47506.023180483,45635.11212833499,-4.930705160236603e-06
98,0.0007005879755563,0.000247073743291,-6.604309825633738e-05,47506.37650316611,45635.09776946987,-1.8370740916811355e-06
99,0.0007106357896817,0.0002512077715567,-6.603263262527306e-05,47506.7316224964,45635.08335030912,1.4766238496238968e-05
100,0.0007206836036884,0.0002553664397919,-6.598167693301968e-05,47507.08610313071,45635.070338032856,-7.906327635194328e-06
