t,eps_xx,eps_xy,eps_yy,sig_xx,sig_xy,sig_yy
0,0.0,0.0,0.0,0.0,0.0,0.0
1,9.093457109667464e-09,6.598509512968086e-06,9.533460557450295e-09,4932.1398511561565,232056.9987849735,-6180.082589947262
2,1.8186914216113804e-08,1.3197019025937383e-05,1.906692111488549e-08,9864.27970083031,464113.997569283,-12360.165179220152
3,1.470204090344094e-08,1.9783272673995132e-05,3.0904285344336514e-08,14151.473783066323,695578.1688151953,-19200.752625122903
4,-4.9792769466936776e-08,2.6291338786974738e-05,4.6228149904665856e-08,14856.96256474703,923341.4826092452,-30535.48146485744
5,-2.151531124800135e-07,3.2738350699286706e-05,4.691281974441539e-08,8738.658115640581,1147113.293288623,-47052.63196257948
6,-3.033428071848118e-07,3.919727582398472e-05,5.2119913629932965e-08,6494.589589292285,1367984.2544973209,-69889.9191284265
7,-4.580845993682777e-07,4.548796639836603e-05,6.534175181565293e-08,-951.204802156529,1581017.033191672,-100955.60827708748
8,-7.288683117241783e-07,5.150435533107082e-05,1.0712874445045776e-07,-19025.74213897034,1779628.8101684006,-151106.0042669805
9,-8.285878448294027e-07,5.77739720259117e-05,1.225456710944525e-07,-31214.23353148644,1983714.4187868647,-196910.5476208125
10,-9.77086342436726e-07,6.390685468879892e-05,1.4825358826767558e-07,-47530.45114823957,2181896.530413456,-253129.65404968173
11,-9.6288464837592e-07,7.003601229499628e-05,1.615976547482518e-07,-66004.13595888932,2371589.371591315,-316925.0087795827
12,-2.4270016078910188e-06,7.423816970954071e-05,2.241289531093101e-07,-169290.33270468985,2457733.261295984,-538764.9053870298
13,-2.8831440707058783e-06,7.962020590933384e-05,2.560710945834528e-07,-217745.95382884511,2617039.294686281,-639142.2750537834
14,-2.9613242306417515e-06,8.553626296700894e-05,2.764951351401192e-07,-253764.742890006,2787923.7009420893,-740904.1443067361
