t,eps_xx,eps_xy,eps_yy,sig_xx,sig_xy,sig_yy
0,0.0,0.0,0.0,0.0,0.0,0.0
1,5.043842363955497e-06,2.062271508901206e-09,-1.0270429055360331e-06,226759.109444487,-1215.650674003952,-1.3128569938652406e-08
2,1.008768472791101e-05,4.124543021606188e-09,-2.054085811069213e-06,453518.218888512,-2431.3013479527444,5.6822035829606084e-08
3,1.5131527091866542e-05,6.1868145318397e-09,-3.081128716607553e-06,680277.3283326819,-3646.952021898738,2.870923559164581e-08
4,2.0175369455821983e-05,8.249086028581473e-09,-4.108171622152497e-06,907036.4377768284,-4862.602696054314,6.739087064025775e-11
5,2.521921181977757e-05,1.0311357555676832e-08,-5.135214527681463e-06,1133795.5472209037,-6078.253369791492,-7.973582451400462e-08
6,3.0263054183732955e-05,1.2373629029370836e-08,-6.162257433236068e-06,1360554.6566639084,-7293.904044444374,4.389746686709798e-08
7,3.5306896547688496e-05,1.4435900546468162e-08,-7.1893003387450765e-06,1587313.7661089094,-8509.554718684092,-3.65250378217914e-08
8,4.0350738911643926e-05,1.6498172022794036e-08,-8.216343244339353e-06,1814072.8755538908,-9725.20539253868,8.750839230712463e-08
9,4.539458127559956e-05,1.8560443582180807e-08,-9.243386149823098e-06,2040831.9849956888,-10940.856066769173,-4.0134331464260454e-09
10,5.043848653889784e-05,2.1589210460274133e-08,-1.0270571961371889e-05,2267057.815657535,-12145.884469540311,1.3646948571379941e-08
11,5.548247887027884e-05,2.9524290375635756e-08,-1.1302881491081742e-05,2489753.4541897685,-13358.740242245767,-6.686718896701551e-08
12,6.0526503583087065e-05,3.0468773679189025e-08,-1.2339005559386366e-05,2706487.1480688327,-14585.887028810304,-3.2396224448570464e-08
13,6.555664641842205e-05,5.9435964834883516e-08,-1.333161291665174e-05,2891268.711267921,-14082.53543811351,3.237166818154281e-08
14,7.059927387388519e-05,9.847490722497565e-08,-1.4325334583951102e-05,3081494.872819641,-16607.060893269507,-3.284533843035784e-07
15,7.564063143967189e-05,-3.18753684377179e-09,-1.5247591963938778e-05,3234034.3792119394,-21133.786117925505,-9.879713592475749e-08
16,8.068437939794588e-05,2.2084082775979093e-08,-1.6199749002064552e-05,3376998.1852413164,-22587.91468883933,-1.1536873516651429e-07
17,8.56972944180992e-05,8.39434524545988e-08,-1.7116110099362685e-05,3519466.009859156,-23243.799225596,1.5612227187300158e-07
18,9.073912164397851e-05,3.958463324198806e-08,-1.7940610012886894e-05,3628796.590006822,-24568.793376551253,7.475660046190899e-11
19,9.578581924793648e-05,1.210327836831414e-07,-1.884415967064372e-05,3761309.7271878594,-25594.106924402226,1.9391000516535747e-07
20,0.0001008237961629,1.358579034919751e-07,-1.971460403980061e-05,3881609.879729957,-27425.773366068315,4.457721945397266e-07
21,0.0001058757689349,1.0469300756934525e-07,-2.045647933070325e-05,3955334.533266659,-30193.1392629341,-1.4790333961803606e-07
22,0.0001109083942108,1.6025160578805496e-07,-2.114019421531496e-05,4024229.420238452,-29253.893177044523,4.020107286564132e-07
23,0.0001159587280306,1.8264493926529688e-07,-2.168859025892652e-05,4051677.105692759,-27907.430865305883,-2.6519225166942096e-07
24,0.000121006966699,2.2403967498905122e-07,-2.2493032966374503e-05,4181727.968486159,-28172.029134997803,6.210425125235062e-08
25,0.0001260632752165,-3.669771238262961e-07,-2.27793037571446e-05,4132670.980155737,-25423.34829635392,1.4531316526112698e-07
26,0.0001311062092032,-4.728375354076963e-07,-2.349937515860964e-05,4239456.8395171,-27084.156692602428,1.242077167731941e-07
27,0.0001361417754092,-3.3575971287103426e-07,-2.4161641131669237e-05,4333388.990652423,-29230.296190256155,1.27019256450222e-07
28,0.0001411892420553,-4.766276601501266e-07,-2.48216215452647e-05,4402147.441484209,-29956.39778593224,3.986753555317595e-07
29,0.0001462751256828,-7.129535560547792e-07,-2.543285399854968e-05,4531173.798182679,-19227.97841703585,5.47312925210836e-07
30,0.0001506910096989,-9.816828099094803e-07,-1.6215933256298314e-05,2909160.675157992,-16696.733362598687,-2.922592918617777e-08
31,0.0001557150389827,-8.710837481378588e-07,-1.6497427984516972e-05,2970755.30987144,-17050.317869439525,-3.904939437061916e-07
32,0.0001609998462843,4.914229256178983e-06,-8.827809370142986e-06,1836296.714468804,-7128.2683412963215,-2.3599927307492458e-08
33,0.0001659939104108,4.929170174512316e-06,-7.470515938652945e-06,1499731.029398387,-5538.296858006744,1.6780376052441002e-07
34,0.0001710482374801,5.616902391197294e-06,-6.93477338627309e-06,1396912.5128744566,-6933.118821066388,1.6710426910135025e-07
35,0.0001760804021309,5.729854747151471e-06,-6.991433515590191e-06,1428017.6731196505,-7324.815368419901,-3.4883291796635445e-07
36,0.000181178487729,6.6493453515382165e-06,-4.739690121036002e-06,1117275.439301093,-2888.6302239115425,-4.940498767516244e-07
37,0.0001862110560124,6.899989170538093e-06,-4.863562183716753e-06,1145626.7946020558,-3010.20068120916,6.565869697860495e-07
38,0.000191511190432,8.668481439982877e-06,-1.109631505588629e-06,714966.1385177551,5118.6347359003385,1.0815776808044365e-07
39,0.0001964932975178,5.35973998989323e-06,-6.055559574691238e-07,644999.519964754,7200.216341654284,-3.026386210147761e-07
40,0.0002015348424343,4.754949761432608e-06,-2.996066903100528e-07,580916.6287418549,6191.255869453868,-4.962091050412725e-08
41,0.000206577045208,6.303127540845061e-06,1.537003331600645e-07,566816.8117282816,4559.763221905786,-1.34685552944218e-06
42,0.0002116154360872,7.6160249720004675e-06,5.891091910808238e-08,564741.6536133504,4976.38879360982,6.010863646412344e-07
43,0.0002166561186583,7.95187763331923e-06,1.1633146775021652e-07,561073.1555012913,4747.720585717328,-2.3195395784316467e-07
44,0.0002216946330457,8.136805019921343e-06,1.1903685057687561e-07,574121.3684161219,4858.132688023768,-1.842944894295172e-08
45,0.0002267361439441,9.02264018500992e-06,1.7944232280338217e-07,508635.1448418242,6495.4684440773735,-8.058153466889222e-07
46,0.0002317752214137,9.070439766048012e-06,3.055644292411465e-07,518585.8592874929,6575.339834281557,-1.103832704725256e-06
47,0.0002368428899818,1.3555395651740374e-05,1.1851182282447173e-06,335178.94273386896,5904.61553016095,-2.09526789051728e-07
48,0.000241841362987,1.6384227903856453e-05,1.3391949390741626e-06,224068.75280549648,8265.633290056821,2.315922766879841e-07
49,0.0002468797247159,1.6725565984847104e-05,1.3670948334790524e-06,228736.851817038,8437.833988041815,2.666944593995475e-07
50,0.0002519180864448,1.7066904062294735e-05,1.394994727029807e-06,233404.95084612537,8610.034669676941,-7.104343027249525e-09
