t,eps_xx,eps_xy,eps_yy,sig_xx,sig_xy,sig_yy
0,0.0,0.0,0.0,0.0,0.0,0.0
1,6.056593089844151e-06,-2.254912140821716e-09,-1.2495446783191274e-06,282797.9819699176,-439.26473397990094,2.281171175290518e-07
2,1.211318617968829e-05,-4.5098242992794345e-09,-2.4990893566476463e-06,565595.9639399843,-878.5294690251752,-2.918364071145331e-07
3,1.816977926953248e-05,-6.764736445347467e-09,-3.748634034965515e-06,848393.945910557,-1317.7942026253236,3.244076277334045e-07
4,2.4226372359376573e-05,-9.01964859073106e-09,-4.99817871328209e-06,1131191.9278791582,-1757.0589369099737,-1.8061781930905322e-07
5,3.028296544922082e-05,-1.1274560700970892e-08,-6.247723391597283e-06,1413989.9098507108,-2196.323669948818,7.308868964909073e-07
6,3.633955853906497e-05,-1.3529472907382016e-08,-7.497268069944351e-06,1696787.8918214676,-2635.5884059185128,-1.62056046316803e-06
7,4.239615162890916e-05,-1.5784385051541665e-08,-8.746812748219124e-06,1979585.873793312,-3074.853140542793,1.0886859261284335e-06
8,4.845274475975697e-05,-1.7543441815060582e-08,-9.99714349514892e-06,2262115.7052268386,-3513.236783573521,-2.3197434455844315e-06
9,5.450985952914988e-05,-2.457312856101222e-08,-1.1254463345345046e-05,2540094.9041327527,-3942.118687288086,-1.69100764378069e-06
10,6.055556428084203e-05,-3.742979894240255e-08,-1.2516861081897565e-05,2807677.6102553424,-4359.548423773891,-1.8011996756198617e-06
11,6.661124620368914e-05,-2.77593315539584e-08,-1.3762653191098887e-05,3062926.7381469347,-4781.479346374988,-2.799582949921428e-07
12,7.265948408589509e-05,-1.2233393088055105e-07,-1.4964893159188267e-05,3297597.9839028134,-4777.048318455944,-1.2252711505348553e-06
13,7.870104333918492e-05,-1.509901780136549e-07,-1.6143324700761495e-05,3510633.27611019,-5150.982127670304,-5.990947903390501e-07
14,8.475240307805729e-05,-2.260889872061762e-07,-1.72859614391265e-05,3709632.400468829,-5452.373737000305,-1.0305311277887012e-06
15,9.080929897438894e-05,-2.149545867725647e-07,-1.8401414026174505e-05,3866750.167026834,-5595.021160558522,4.363683216959442e-06
16,9.685140190503384e-05,-2.29696681966622e-07,-1.9411402299031268e-05,4023919.900552875,-5841.723191310306,7.935980745437647e-07
17,0.0001029049063156,-3.125595529779044e-07,-2.049431492792385e-05,4199072.648154303,-6207.073781487168,-2.717553303725245e-06
18,0.0001090010535984,-2.6308702953252e-07,-2.1475897521841573e-05,4338125.002691277,-6598.661567954272,-1.1641007548052493e-07
19,0.0001150681173372,-2.0940361310636318e-07,-2.244850169278328e-05,4469042.867601929,-6869.43224306792,-1.536732203394406e-06
20,0.0001211240023225,-3.112231166085659e-07,-2.3462354104628832e-05,4611311.374320073,-7544.34849341508,1.3540728237161872e-06
21,0.0001271897942143,-2.358976507307365e-07,-2.4314234038219897e-05,4743770.416406223,-4987.045104213935,2.6156996429617815e-07
22,0.0001332216670453,-6.276904466004788e-08,-2.505976959291264e-05,4867278.89055735,-1221.5806495234026,-2.2370239811278787e-06
23,0.0001393043052762,1.7853781070957962e-07,-2.578220620255565e-05,4982020.334687184,-1218.3755211186651,6.573065470466034e-06
24,0.0001454104964903,2.214046018362216e-07,-2.55846860010911e-05,4885928.065329662,-427.4783804012416,-9.70130483639432e-07
25,0.0001514747346359,4.090374983581722e-07,-2.6391484265460853e-05,5014805.308493805,-460.4903499832636,3.253941002783244e-07
26,0.0001575394305544,-3.015056874680793e-07,-2.581244981442439e-05,4877742.379735343,-488.6347325346779,6.027011977157931e-07
27,0.0001636015580274,-2.933853355335963e-07,-2.647282441972089e-05,5015781.239865621,-561.2452436785361,-2.055053476094501e-06
28,0.0001696657085051,-1.1578014767372835e-06,-2.6867943047402317e-05,5058712.538758825,-608.4968564404456,-2.676441054566891e-07
29,0.0001757967250212,-1.3572763565946094e-06,-2.6860916201873135e-05,4993227.065723964,-612.1815464755405,-2.694293644295265e-06
30,0.0001818221613073,5.91955406012327e-06,-1.6411664799163675e-05,3470080.0729741226,-388.5648313903726,9.41815511512141e-07
31,0.0001878859980036,6.2601470928011785e-06,-1.662751133451278e-05,3501422.560376917,1697.882276757086,-1.7250906954370055e-06
32,0.0001942050872842,2.026868852712524e-05,4.4533872048587366e-06,803289.9913958759,-58.50563966171092,-7.141206693326719e-07
33,0.0002002750235839,2.07596938590474e-05,4.855336954577709e-06,797757.4433285834,-63.35539605635874,1.28417645659181e-07
34,0.0002063443275644,2.144301550162734e-05,5.0677042273630815e-06,779966.837853684,-64.70996308720397,-5.580176301562757e-07
35,0.0002124132685218,2.207562347375004e-05,5.213632544290032e-06,802311.4681013928,-66.60956977871054,-7.533104608810027e-07
36,0.0002184833832632,2.1879306443233275e-05,5.423862614021775e-06,794997.5451467653,-68.67032056441253,4.849484338600631e-07
37,0.000224552059849,2.167114346775717e-05,5.859230579949603e-06,711349.5074713214,-70.5309466898909,-1.4602616574006565e-06
38,0.0002306213111656,2.34221374258362e-05,6.441028497544409e-06,720056.4324335357,-72.12966979184561,-6.081682310680869e-07
39,0.0002366902930384,2.4038509463072128e-05,6.610529247522556e-06,739005.2859175643,-74.0278213631554,-8.730208419969483e-08
40,0.0002427607903684,2.0516298108597728e-05,6.169361667729272e-06,456989.0425207502,-76.17911760570857,-1.583073616657029e-07
41,0.0002488298101276,2.10292055628082e-05,6.323595709611844e-06,468413.7685868792,-78.08358316412732,2.6632855210103493e-06
42,0.0002548988298868,2.1542113014698333e-05,6.4778297511264375e-06,479838.4946555047,-79.98806710190041,7.527511928287667e-08
43,0.000260967849646,2.20550204681132e-05,6.632063792912052e-06,491263.220708668,-81.89254456410079,-6.420028384019457e-07
44,0.0002670340755452,2.4679397767773945e-05,7.104975434249444e-06,434686.5687619635,-81.76359003986269,-1.6570428270294609e-06
45,0.0002731030318076,2.5240293171452645e-05,7.266452148703005e-06,444565.80896546936,-83.62185027680003,3.773336809064233e-07
46,0.0002791743217914,2.564442887432054e-05,7.370285201656336e-06,376624.6983283912,-27.104364980093195,2.082825070437174e-08
47,0.000285244041009,2.7764107904447585e-05,7.923862839757095e-06,355224.8218397853,-25.82473412628108,-2.3246894756939597e-06
48,0.0002913130631582,2.8354833604480216e-05,8.092455666265297e-06,362782.7967751479,-26.37419196703189,2.691469460891412e-07
49,0.0002973835126293,2.908126519971589e-05,8.243819392434057e-06,368252.1138063467,-21.6027803512659,-1.938398732496056e-06
50,0.0003034525639075,2.9674760407402383e-05,8.412060604435646e-06,375767.4630683234,-22.043656434253545,-1.1321485675374772e-06
51,9.84861604088637e-05,8.90833828103773e-06,1.4496287742025102e-05,2.5948581262669777e-07,1563.2718075765968,304524.08542919497
52,9.934639003515414e-05,9.175847774121111e-06,2.055539043534152e-05,-2.9705381599234444e-08,3170.240565742303,554855.4183351527
53,0.0001002066196601,9.443357267264964e-06,2.661449312865835e-05,4.02909290871417e-07,4777.209325668085,805186.7512474714
54,0.0001009691660165,9.68530024221811e-06,3.267447614829805e-05,9.093265296182036e-07,6380.160012482246,1054357.8188156865
55,0.0001012792305554,9.93845874998868e-06,3.871484690129277e-05,-6.140377804348027e-06,7954.057936838056,1297330.4518614586
56,0.0001021023298987,1.0204217811182582e-05,4.477301047639867e-05,1.7973486454297126e-06,9558.785138974546,1547142.3338726806
57,0.0001029289006167,1.0447587514912922e-05,5.083112831222341e-05,-5.489105939286596e-06,11153.441084405076,1795701.4673080996
58,0.0001036403145068,1.0702013487759382e-05,5.688960547510487e-05,-3.869854564678315e-06,12712.19598999392,2033644.5705720345
59,0.0001040831077366,1.0734963131920874e-05,6.29527491527771e-05,-2.969008161700965e-07,14279.53737733978,2271274.3463880564
60,0.0001039096291217,1.0874630981937784e-05,6.90124630422824e-05,1.5405459778777857e-06,15928.088213150166,2479244.171274412
61,0.0001037859672705,1.089009713577257e-05,7.507195276085128e-05,-6.196155395274068e-06,17425.20697467012,2689602.13907125
62,0.0001041144125091,1.120971236475707e-05,8.112857524007683e-05,1.6929192742695995e-06,18722.796613573515,2897390.4882414043
63,0.0001011878947401,1.2134816709040784e-05,8.7182520994524e-05,-6.147723269393309e-07,15345.993068771884,3018693.340592187
64,0.000101867444455,1.2520242190652763e-05,9.325312646308204e-05,-2.854270464911588e-06,16319.328212274704,3200750.646396032
65,0.0001012622458655,1.2393333879049257e-05,9.932540120335196e-05,-2.843589249460551e-06,16985.705593660896,3349426.291498488
66,0.0001008003165755,1.2385327401312996e-05,0.0001053867496532,-8.757610590697314e-07,17989.108789959424,3486251.967820219
67,0.0001007825362597,1.2484625068490932e-05,0.0001114455679189,-3.122869036981056e-06,18347.579383345063,3630669.517381
68,0.0001023557032358,1.2791066262717666e-05,0.0001175135057646,-1.2007423788206167e-06,19311.094149112792,3750057.013529168
69,0.0001076193892671,1.2631204119932657e-05,0.0001235986559806,6.957987501118712e-07,19833.26027133939,3850212.016854949
70,0.000109074919569,1.2594010970845536e-05,0.0001296683081437,1.070558440398508e-06,19679.72309503601,3916896.454681823
71,0.0001072976347693,1.1977896545429333e-05,0.0001357327979101,-2.058335659448076e-06,21175.043216403235,4010089.859062924
72,0.0001076084290776,1.2250157156610243e-05,0.0001417952212088,-6.451463269556749e-06,27435.872633701983,4154558.80657912
73,0.0001157353845746,1.6456537033781743e-05,0.0001478546209263,1.009240633443064e-06,27914.355948851065,4164826.349208724
74,0.0001217465219707,2.551281879336193e-05,0.0001538048228273,4.371938492629943e-06,27939.988004966028,4006124.895623306
75,0.00011255569019,3.168849511013461e-05,0.0001598732079258,-1.8922204929701205e-06,28811.951091461146,3944266.534030105
76,0.0001117852108848,3.260357633849096e-05,0.0001659366499215,1.0236697875624303e-06,28238.33625509991,3969957.694679588
77,0.0001105350441492,3.006660877507932e-05,0.0001719941185972,8.750118774712206e-07,21966.69606870723,3801286.5927291582
78,0.0001101788808318,3.1447224418380295e-05,0.000178058814675,-8.629264441308127e-06,22335.240321350364,3837756.157368066
79,0.0001100912369254,3.229505600811231e-05,0.0001841067028149,4.129846148547232e-06,22671.921477012707,3918728.194171167
80,0.0001613892163894,1.019774068074461e-05,0.0001902928679839,8.207722674229277e-07,19435.807673989915,3097735.669286291
81,0.0001702892066664,9.576992979964592e-06,0.0001963556369647,-3.924076300670108e-06,18874.05295407712,3108140.04291645
82,0.0001527437313046,8.629860404972202e-06,0.0002024378524475,6.585601607978412e-07,13437.461289703531,2537782.778131431
83,0.0001723963220128,1.2286608225105494e-05,0.0002087652304302,1.6972060074779997e-06,8753.065792658215,1374618.3757486502
84,0.0001740967513274,1.2354214878968254e-05,0.0002148358191408,-3.5812905111721348e-06,9010.966881765602,1416250.2587429383
85,0.0001757804206477,1.2504667532711135e-05,0.0002209063701897,-2.1278153551089544e-06,9206.896654333124,1455093.975371807
86,0.0001814109564796,1.112068174453581e-05,0.0002270013133508,3.854244372527392e-06,8870.91836823654,1266500.2070325664
87,0.0001862198665098,1.155055262861648e-05,0.0002330410061436,2.920132730435478e-07,8977.562711906845,1290037.8949273024
88,0.0001140063800079,9.538654568269412e-06,0.0002391213560641,4.72067850130168e-06,11357.266900703871,1074325.4458906022
89,0.000113976919672,9.511254671054704e-06,0.0002451921051824,-1.1410161917364737e-06,11640.828944616644,1102128.9228210342
90,0.0001141390008993,9.499456739231829e-06,0.0002512629865797,-4.202439103975535e-06,11931.34166126523,1129645.3314694788
91,9.59797973875864e-05,4.5454031652683935e-06,0.0002573382591339,1.9703873427993368e-06,14855.57729890996,901693.1891081268
92,9.55121863597864e-05,4.378355161955175e-06,0.0002634092661466,-2.460574811771963e-06,15106.213670531137,919485.1312882592
93,9.007248821320158e-05,1.97153093016648e-05,0.0002694698400939,-4.6974729823213676e-07,4712.242866184728,435324.2116654783
94,8.938266522955832e-05,2.129434117892983e-05,0.0002755401668933,1.6428128140984306e-06,4075.9815857774056,411869.6823974458
95,8.880608281500118e-05,2.154779107072435e-05,0.0002816107575215,6.877315323501317e-06,4161.053477701672,421303.102379313
96,0.0001055231996504,2.3649194926709868e-05,0.0002877359797499,-2.966838664764643e-07,4213.147747362465,353534.2768144341
97,0.0001047519303556,2.4854925710428376e-05,0.0002938064460863,5.6952081927240575e-06,3931.446563035625,352038.92645793816
98,0.0001049278797004,2.3725766973389862e-05,0.0002998810653535,3.4797421409677e-06,4005.98420279898,356115.1045218735
99,0.0001047160396096,2.4010507580907232e-05,0.0003059528827301,2.855984636975779e-06,4082.6479505653,363646.9451428384
100,0.0001047559576689,2.545420557702621e-05,0.0003120241020168,-3.097609164911788e-06,4138.524653451547,366324.7067629847
