t,eps_xx,eps_xy,eps_yy,sig_xx,sig_xy,sig_yy
0,0.0,0.0,0.0,0.0,0.0,0.0
1,5.999626405286484e-06,1.663405353654909e-11,5.999348754220869e-06,364945.7679535055,953.55630216566,364130.0067617761
2,1.1999252810572964e-05,3.326810707675586e-11,1.1998697508441758e-05,729891.5359070362,1907.1126044548623,728260.0135236861
3,1.7998879215859435e-05,4.990216066053709e-11,1.7998046262662666e-05,1094837.3038621312,2860.6689052287493,1092390.0202864988
4,2.3998505621145927e-05,6.653621415991226e-11,2.399739501688351e-05,1459783.071814302,3814.225208904964,1456520.0270458537
5,2.9998132026432413e-05,8.317026772627506e-11,2.999674377110437e-05,1824728.8397691983,4767.781510466429,1820650.0338072744
6,3.599775843171891e-05,9.980432126240408e-11,3.5996092525325264e-05,2189674.607722455,5721.337806194368,2184780.040569696
7,4.199738483700536e-05,1.1643837476918627e-10,4.199544127954612e-05,2554620.3756743614,6674.894100298154,2548910.047336043
8,4.799701124229186e-05,1.3307242837058296e-10,4.7994790033767e-05,2919566.143629987,7628.4504107824605,2913040.0540883923
9,5.399663764757839e-05,1.4970648178725126e-10,5.399413878798785e-05,3284511.911578386,8582.006707297152,3277170.0608603274
10,5.999641439841188e-05,4.295837122079614e-11,5.99930936949709e-05,3649035.5422776015,9380.688813497798,3640996.850067611
11,6.600089323866036e-05,-5.340631173500338e-10,6.599866353375077e-05,3791586.125906637,21918.98012645111,3786183.909254917
12,7.200732509056202e-05,-6.451271417645439e-09,7.200130294188234e-05,3986621.565390879,18448.245274883247,3947212.255013176
13,7.800930396054629e-05,-6.412873505520365e-09,7.800448754599454e-05,4173373.291808257,9778.952090365838,4118682.284842274
14,8.401203679431688e-05,-6.537143447705662e-09,8.401755411234067e-05,4278281.998556549,18687.39176674186,4209185.38521804
15,9.001434277520864e-05,-8.251005385461385e-09,9.002394884935904e-05,4415091.929007811,-11824.3435752102,4269527.481910935
16,9.601808260471006e-05,-7.674568319848547e-09,9.603061934323626e-05,4513725.438765849,-44826.05086156161,4363533.781433648
17,0.0001020193787156,-4.29748741889785e-09,0.0001020370475501,4473904.684580763,-59088.18010743533,4304323.248044794
18,0.0001080253506673,-7.3902058075672465e-09,0.0001080449573498,4222060.115822066,-277005.03822554817,3678112.413141439
19,0.0001140285595623,-8.582679841407679e-09,0.0001140503610391,4285385.309009648,-315839.4530152715,3641007.372659357
20,0.0001200340031672,-8.591703116661189e-09,0.0001200597754266,4210776.851900485,-314786.19746009965,3604843.651138911
21,0.0001260461759263,-5.5201095650199565e-09,0.0001260700524969,4255374.80859784,-332188.60384474695,3632967.253710638
22,0.0001320479371772,-6.046263499412633e-09,0.0001320754522346,4237158.846124067,-344757.0846200872,3681325.239115076
23,0.0001380511894911,-5.406911275378747e-09,0.0001380810365116,4129086.202037112,-515518.0626510926,3519171.135204772
24,0.0001440560388864,-6.678897749286927e-09,0.0001440854022249,4105169.520830876,-494900.4090096951,3560670.7336998926
25,0.0001500634211491,-1.30628434893219e-08,0.0001501229083412,3776358.98110384,-439305.8381207434,2251048.728136927
26,0.0001560635376416,-1.3752675943590056e-08,0.0001561323275895,3570748.230154293,-194276.7697767313,1810664.9860071985
27,0.0001620700601229,-2.0526724138335863e-08,0.0001621445059584,3521607.3329928503,-91311.760491957,1646348.0151257364
28,0.0001680735439419,-2.045499913064234e-08,0.000168149677945,3589450.38646069,-108146.46682363607,1661809.752628727
29,0.0001740719999817,-2.3506735582933e-08,0.0001741610182051,3577544.637555803,-76455.82666783404,1647992.100899947
30,0.0001800851472448,-3.338632867692984e-08,0.0001801713586143,3601703.1580767194,-65724.29684898112,1667460.515143274
31,0.0001860884971602,-3.2639908268039503e-08,0.0001861821126222,3689164.659080587,-48021.30438981597,1606745.35529289
32,0.0001920972158019,-3.9488335038184987e-08,0.0001921827408534,3671157.631745215,-22852.186183789217,1540860.4044228042
33,0.0001980987639565,-3.7044747426455665e-08,0.0001981942643324,3698522.223704778,-51475.862971768256,1507596.0954689777
34,0.0002041053426161,-3.59004537236271e-08,0.0002042010994372,3371868.1617472223,-276270.58329115715,1354231.5194061503
35,0.0002101055480811,-3.1943925562108975e-08,0.0002102048655233,3426908.297495458,-320947.4588592632,1329103.8291444054
36,0.0002161219815555,-3.209696817090024e-08,0.0002162099468045,3476480.4861045857,-307270.27522204653,1322199.1063502082
37,0.00022213052749,-2.9011426361103643e-08,0.0002222171605805,3336241.9268054315,-390660.77445780765,1070817.2000732776
38,0.0002281352186235,-3.512314573843466e-08,0.0002282259256079,3370918.203129236,-394769.0181531779,1065413.1982223731
39,0.0002341445237543,-3.9158359555820576e-08,0.0002342326385538,3301779.0670674867,-373407.9731436951,1013169.5259920134
40,0.0002401526814281,-4.2079038368692294e-08,0.0002402387499304,3309416.566376183,-377261.6560563027,1032203.5729356484
41,0.000246154165042,-4.1201902663197233e-08,0.0002462532876861,3287883.0046211127,-377318.1789371909,1029674.5345988811
42,0.0002521504735724,-5.147618750402027e-08,0.000252263755428,3126432.913436175,-335795.77790024446,1041547.42537702
43,0.0002581532208791,-5.5388588478096684e-08,0.000258268529147,3060273.6642665686,-331763.74528146104,1053125.1528004494
44,0.00026415722192,-6.048239822348861e-08,0.0002642735915111,2810758.9075095034,-272462.16509115865,1075310.5608108677
45,0.0002701608517089,-6.17873005902662e-08,0.000270280337391,2867784.397346125,-280916.7835682227,1093379.493121319
46,0.0002761450343985,-6.80155075078941e-08,0.0002762871188876,2912565.6321744416,-295139.4271877503,1089018.7108933143
47,0.0002821518730714,-7.425896724127497e-08,0.0002822859909102,2830411.842857238,-253313.89220169545,1104638.7371114437
48,0.0002881552882751,-7.453304293731688e-08,0.0002882919749989,2858546.130693843,-259229.3263549751,1121525.3431418478
49,0.0002941007392022,-5.982559160242634e-08,0.000294308382872,2879432.9627869367,-264710.099089965,1121240.7502069764
50,0.0003001044572498,-6.261672913075591e-08,0.0003003127132011,2922963.31733335,-269048.2908406821,1133139.956643047
51,0.0003061062835713,-6.64326155495664e-08,0.0003063173163521,2894327.4825139767,-261944.7015546849,1126477.4739211025
52,0.0003121066782047,-6.49376139509623e-08,0.0003123270784991,2755973.8060648204,-190984.71644176936,1146226.1164435958
53,0.0003181106010504,-6.576235689892147e-08,0.0003183345292813,2829340.617192697,-198340.69137930436,1134777.0525481843
54,0.0003240945240516,-2.4054741411803434e-08,0.0003243033751118,2825332.1711136512,-175293.72488633616,1111363.3703351384
55,0.0003301141516147,-1.4732641935759442e-08,0.000330310140461,2825239.7974648504,-198888.47407907608,1072597.7611324862
56,0.0003361431095189,-1.571646444944831e-08,0.0003362963238372,2603758.2239931617,-360620.2122510097,955504.7414403582
57,0.00034214708958,-2.8072104119255623e-08,0.0003423034577411,2521057.84415702,-264612.8376175422,859550.6653913422
58,0.0003481501506952,-2.908778914821028e-08,0.0003483042718501,2358991.433259264,-202104.0918763528,873473.5649491908
