t,eps_xx,eps_xy,eps_yy,sig_xx,sig_xy,sig_yy
0,0.0,0.0,0.0,0.0,0.0,0.0
1,4.211041108272975e-10,1.5001183299976764e-05,3.9803730705995263e-10,7028.736741693882,586031.3293040358,-4009.378950097736
2,8.422082216502446e-10,3.000236659995352e-05,7.960746141146751e-10,14057.473483704463,1172062.6586082694,-8018.757900273116
3,1.260066957831615e-09,4.500355265441135e-05,1.209184849183691e-09,20665.244263807625,1757642.8113758925,-12431.843476509424
4,-7.600817217301031e-09,5.999992192894223e-05,4.0896187581769087e-10,19460.373261325494,2334455.351138819,-25372.78969670885
5,-1.051852981611368e-08,7.499815562982271e-05,3.0972504870050355e-10,-11868.503059418166,2882007.216279071,-64680.60483570933
6,-1.1060761303813444e-08,8.999892409282661e-05,8.126590301456558e-10,-104977.76601899104,3372571.1828406285,-160545.91502381346
7,-1.2657241425827402e-08,0.000104997672294,-8.201312693438791e-10,-198427.7311842046,3857364.970125,-264082.1669487491
8,-1.825781360376569e-08,0.0001199952325489,-1.6490422014730935e-09,-320060.442006534,4313301.726220205,-392823.82529474696
9,-1.6420555852987353e-08,0.0001349981734638,-4.36919540856066e-10,-472681.2053032023,4742799.594465524,-559865.5290420968
10,-1.859520031625536e-08,0.0001499985567382,-1.338560965917762e-10,-624500.5471120712,5172503.778281333,-727692.4692825568
11,-2.2361233348276693e-08,0.0001649960163682,-4.842113703945126e-10,-846982.2804088097,5533223.364776103,-960287.2821192864
12,-2.5272982184496483e-08,0.0001799987629911,7.192846107036571e-10,-1126262.2291618243,5875419.512355261,-1234285.6425877751
13,-2.7298251982210338e-08,0.0001949979164742,8.125173159509791e-10,-1314017.41745819,6277895.003526591,-1419866.9195713631
14,-2.7435567942156173e-08,0.0002099993847629,2.1593444706568e-09,-1547705.9797055975,6635802.715222158,-1647779.0426472565
15,-2.2463711247380286e-08,0.0002250020383459,-1.257104833163732e-10,-1847010.4777116464,6936947.187039282,-1951679.565232653
16,-2.7903901735624422e-08,0.0002399987178472,1.77089767688871e-10,-2115867.3208299917,7261914.180665873,-2234623.62941354
17,-2.5789084552652e-08,0.0002550038585083,1.0815233549186236e-09,-2427856.9766898183,7559198.551661636,-2540187.106852
18,-3.5441794013058986e-08,0.0002699991983052,-6.60230247440126e-11,-2694420.902832745,7880234.481143078,-2817716.5961017585
19,-5.3843257762164515e-08,0.0002849980389865,4.958322654133118e-09,-2931066.2133697835,8249433.860033845,-3059242.6096966825
