t,eps_xx,eps_xy,eps_yy,sig_xx,sig_xy,sig_yy
0,0.0,0.0,0.0,0.0,0.0,0.0
1,1.9092560036808294e-10,1.0000180702616122e-05,-9.091908424617295e-10,7705.828510314999,391744.9738394988,2523.30102635356
2,3.818512007465131e-10,2.000036140523225e-05,-1.8183816849275566e-09,15411.657020289584,783489.9476784642,5046.602052389588
3,5.727768011346458e-10,3.0000542107848385e-05,-2.7275725273857542e-09,23117.48553106937,1175234.9215181293,7569.903078356751
4,7.637024015090748e-10,4.0000722810464514e-05,-3.636763369855834e-09,30823.3140407418,1566979.8953568956,10093.20410411941
5,9.85287600130094e-10,5.000095719292969e-05,-4.619852510713335e-09,36933.72266337401,1957065.755455322,11404.000159170264
6,1.2729107671717587e-09,6.000115421382573e-05,-5.418558938511893e-09,35443.04685355586,2338541.309562827,5195.849779415832
7,-2.5625161500506474e-09,7.00021194765002e-05,-5.273064566110691e-09,-28235.306377901703,2660332.5919448007,-54115.55075552454
8,-6.657173741801178e-10,8.000348231257281e-05,-4.507415368913372e-09,-76787.22721658227,3000076.8774951394,-100829.68217438176
9,-2.4912029898723217e-10,9.000449698653594e-05,-4.916694926498937e-09,-126780.03406456114,3334503.813600361,-156640.69139645097
10,1.877738202940609e-09,0.0001000051345573,-5.760192332923308e-09,-191639.6186062914,3654497.1076422986,-222189.50453016255
11,-8.544810701080393e-09,0.0001100009416039,-6.596459486739667e-09,-267695.0148606229,3982213.949040561,-262251.5904055297
12,-6.852095314621207e-09,0.0001200034448107,-6.775403968034561e-09,-315426.45943416766,4305851.4841471,-342868.49229760945
13,-6.405480113213741e-09,0.0001300035013827,-6.429116022907065e-09,-394015.298319116,4606681.319931472,-433486.30172485416
14,-8.867196413999731e-09,0.0001399985953492,-2.1945507949647913e-08,-488043.7878916488,4877769.282243958,-567487.6954998953
15,-9.929671807411168e-09,0.0001499981835683,-2.304900307120177e-08,-605400.2727661863,5148009.759183785,-716758.9627635904
16,-7.706720144053207e-09,0.0001600015787272,-2.27892883404099e-08,-773828.2888718399,5378457.798086335,-892170.8091579608
17,-7.0951855333974234e-09,0.000170003960326,-2.0516967466768253e-08,-962898.06535168,5614598.504117288,-997263.8517308412
18,-8.413315621057757e-09,0.0001800055209293,-2.103163631164329e-08,-1077902.6708150147,5888728.568375289,-1113701.8166719093
19,-7.197582858424517e-09,0.0001900072921195,-2.150558116667588e-08,-1201605.9991749804,6144545.563252603,-1265383.738177105
20,-1.3644246590641913e-08,0.0002000079696447,-2.1868007309126573e-08,-1343768.8595760793,6403707.885594193,-1416439.0275867668
21,-1.6295553097023153e-08,0.0002100092764887,-1.5762343534781553e-08,-1527166.2994521162,6620706.911404302,-1593281.62151786
22,-3.986222634070749e-08,0.0002199928768909,-1.920306406004015e-08,-1699809.4151398607,6786801.907431655,-1824440.062253486
23,-3.8071870051592026e-08,0.0002299932883069,-2.2088728663330453e-08,-1825840.2936977923,7055807.665743145,-1912963.659385268
24,-3.073787758026038e-08,0.0002399977505603,-2.2619343618541593e-08,-2205891.979272913,7140983.006004488,-2267413.669482807
25,-2.6083605166758652e-08,0.0002500030711402,-2.3360510226312128e-08,-2496645.8357596938,7304556.904029131,-2517790.0780541007
26,-2.210684993477133e-08,0.0002600056776575,-2.1865025429613654e-08,-2680182.752794511,7523536.831419572,-2705170.051190446
27,-1.7976079859447357e-08,0.0002700080031521,-2.8961411274826592e-08,-3308364.350543107,7430842.733052264,-3450364.0807474176
28,-4.121936356809123e-09,0.0002800170777235,-2.5353533264450264e-08,-3718664.703820749,7517240.806347538,-3849635.518746086
29,-3.7882163966496704e-09,0.0002900181277029,-2.563465095755632e-08,-3875055.975535257,7768216.885683171,-4007087.444721808
30,8.678815753537037e-09,0.0003000250023854,-2.5218592932827566e-08,-4239630.516331209,7884262.776877323,-4335046.442625267
31,3.819452974188128e-08,0.0003100346616533,-2.113783415248392e-08,-4479824.067239162,8079544.727831016,-4600999.791532986
32,7.178993797282972e-08,0.0003200538359245,-1.6962131568688182e-08,-4705625.225925357,8291948.721757626,-4839616.858583095
33,7.606660522655922e-08,0.0003300579429955,-1.8307938489827888e-08,-4880001.680377553,8500460.674483195,-5042149.455196784
34,7.513103197300782e-08,0.000340060723544,-1.5075631037075344e-08,-5046204.265258547,8747036.606139343,-5206573.699434413
35,7.961859763534824e-08,0.000350057030564,-1.9564492644964536e-08,-5158098.891266942,9030926.62454707,-5374807.153876252
36,8.03053274717243e-08,0.0003600607780007,-1.8283751555291563e-08,-5350448.176565378,9246040.728914298,-5558849.605974936
37,6.780933757264529e-08,0.0003700509346796,-1.8738421835240767e-08,-5560347.8435103465,9438702.763800532,-5791458.409088627
38,5.9565934429507793e-08,0.0003800497952149,-1.2181998347422697e-08,-5742217.676918812,9665376.40869377,-5988329.621785879
39,6.109228173740854e-08,0.000390051598812,-1.240446976408626e-08,-5909360.089999836,9902641.05556462,-6152856.003534058
