t,eps_xx,eps_xy,eps_yy,sig_xx,sig_xy,sig_yy
0,0.0,0.0,0.0,0.0,0.0,0.0
1,9.999432261829296e-06,4.377033504515336e-10,-5.78602709795806e-10,505208.7880049343,2246.6988222213054,106842.40330512614
2,1.999886452365859e-05,8.754067009054171e-10,-1.157205419592566e-09,1010417.5760091672,4493.397644051505,213684.8066102972
3,2.9998296785487933e-05,1.3131100513436966e-09,-1.7358081293836183e-09,1515626.364015504,6740.096467545592,320527.2099155755
4,3.999772904731719e-05,1.7508134018076224e-09,-2.3144108391821182e-09,2020835.152018677,8986.795288317071,427369.613220103
5,4.999717863745514e-05,2.198568246113097e-09,-2.8881483387767507e-09,2525650.1922868905,11203.202764039106,534244.4855379871
6,5.999568064441449e-05,2.713252848374165e-09,-3.3552395848910837e-09,3015406.230397493,11953.064912240974,640684.1406097205
7,6.999540311261773e-05,4.060979306871134e-09,-3.7004620995369117e-09,3445193.526175067,17585.939951144577,749029.5298430036
8,7.999610037432227e-05,3.953186323848093e-09,-3.826737160395858e-09,3817675.109675639,20586.22343972424,847376.384303141
9,8.999676112938476e-05,5.289315334003537e-09,-3.802142951897126e-09,4162393.8600729546,20897.589175772675,943669.7478190566
10,0.0001000007233231,1.0224315261230709e-08,-3.3210285251368504e-09,4464093.170212076,27171.46893703251,1030451.632674542
11,0.0001100038578093,1.0860838708554421e-08,-2.305010297459207e-09,4746395.12582392,39843.072215912434,1119965.868843401
12,0.000120006678568,1.1151308562791761e-08,-2.979145711308786e-09,4965300.312558398,56402.0301448859,1194464.4981785798
13,0.0001300137604361,1.0615067872520808e-08,-1.771499558517106e-09,5170795.042342159,56892.68488914282,1259183.0502128217
14,0.0001400180518465,9.822183957408862e-09,-2.177169623451671e-09,5288216.863799609,52993.30527960918,1302781.7554708954
15,0.000150027046366,1.10544721487855e-08,-2.535541292598746e-10,5435749.076277259,56843.82933253476,1356618.5661743642
16,0.0001600319479747,9.464595453188622e-09,-3.965526829624092e-09,5397092.468591672,42383.46740946212,1357069.0584807866
17,0.0001700361074755,1.7536701820568158e-08,-3.4114423860746033e-09,5512164.864253257,31208.564377948114,1403488.343707242
18,0.0001800425355666,1.9415274621312362e-08,-3.4025411798478e-09,5572423.821277478,37508.09589815051,1433543.0443670826
19,0.0001900677117294,2.204243692509253e-08,1.7705424310168293e-08,3232463.1768317395,-110761.7536437362,773084.8171131654
20,0.0002000714066461,2.4589047238878307e-08,2.1673635039509493e-08,3327287.531877257,-79050.77234476761,819058.4125693011
21,0.0002100774819514,1.8978306920735965e-08,2.98944023541295e-08,3364887.837534059,-78096.85762103682,817294.5254540412
22,0.0002200812438367,1.5881944387568612e-08,3.1688713718073774e-08,3059999.606117846,-89700.20789911778,720148.6823997173
23,0.0002300874437142,2.37835530521589e-08,4.3690075986038304e-08,2587390.780833514,-224613.42654150332,495992.5432730611
24,0.0002400943290358,2.4239567686593444e-08,4.201605453257305e-08,2694161.7414577785,-209912.16946718417,440301.82361940574
25,0.0002500821968284,-7.496965643528484e-09,-3.5996666558045805e-10,2677367.994755992,-255579.44688483,374391.6052278668
26,0.0002600846472229,-9.61102384908569e-09,-1.7600580637903136e-10,2755108.936605464,-260544.75878937985,381250.70760611433
27,0.0002700851524728,-1.3113486240880484e-08,-8.159315914499706e-10,2831625.761151141,-265944.1196610802,380400.08565014537
28,0.0002800898366423,-1.4677289028885292e-08,1.061075337129093e-09,2874979.149826296,-251442.6156896944,370052.0216121825
29,0.0002900968006287,-2.4449478908600834e-08,1.2892999966066562e-08,2843556.6453037816,-223949.20357403997,289049.9678594691
30,0.000300117433753,-7.941572005410671e-09,-2.877547848327438e-08,2671332.1657116944,-180603.33276379696,223768.70740612468
31,0.0003101172509836,-1.933963642040698e-09,-2.289310748614644e-08,2722076.262373869,-184101.2019092547,224796.719362346
32,0.0003201211629162,-6.9982480056441715e-09,-2.291420020652162e-08,2759716.706343553,-184861.58732512928,217677.74829862945
33,0.0003301253528602,-9.922967216600411e-09,-2.6457835632529875e-08,2652750.8325224007,-165594.86365433247,263627.5858058409
34,0.0003401308393593,-7.462709779094493e-09,-2.2446342481881373e-08,2480751.308522594,-190401.32989643968,236245.18586396705
35,0.000350140049577,-1.0544951084065995e-08,-2.3530475707284616e-08,2384019.287484669,-188837.8992483074,209299.07241951584
36,0.000360148910621,-2.3578505253273207e-08,-2.2599074057620826e-08,2424129.039633714,-180299.94467853487,201180.65368841897
37,0.0003701568633401,-2.032952372563815e-08,-2.047059894769459e-08,2359025.199002043,-145541.61907422612,193815.48519820007
38,0.0003801635798185,-1.1338927900631652e-08,-3.4017053144323714e-08,2292258.1721853204,-65034.19844275205,95644.27940033958
39,0.0003901646083866,5.603954728115947e-09,-5.6979164552626837e-08,2206641.5333641698,-8234.026667705708,32274.35619443126
40,0.0004001684672119,6.593347456062921e-09,-6.1367056254145e-08,2242424.937704407,2370.2956450444253,19204.957007875797
41,0.0004101722743433,1.2506600524546668e-08,-5.670946613346198e-08,2268005.8010085947,-5167.09380835417,-8731.592850037174
42,0.0004201839942469,1.531400600368069e-08,-5.47884109181142e-08,2262826.825070428,409.5578563797753,-49969.79939170786
43,0.0004301917470552,1.8471351342384908e-08,-5.6667528340428e-08,2287694.429238463,13302.704861111211,-62995.67873763907
44,0.0004401967396759,1.7703636159097415e-08,-5.840318135024935e-08,2322690.2812489574,24596.07568487443,-81353.38418867846
45,0.0004501941299315,3.997452675416733e-08,-7.74403417921481e-08,2360990.2442608075,31346.9060530876,-83376.25581406424
46,0.0004602010785311,4.524988920128704e-08,-8.730384322221172e-08,2323519.842268527,91009.60316920692,-148556.67204117854
47,0.0004702032148941,3.6439409342980125e-08,-1.196568312204208e-07,2354583.402751974,90238.72620411824,-176141.65039161814
48,0.000480202750574,4.564719585417621e-08,-1.2293544902604173e-07,2268163.380640771,160345.7619851099,-247005.520706473
49,0.0004902055586006,4.6127893843088384e-08,-1.2050020493685584e-07,2298627.956782627,166455.39328425215,-248732.81833175264
50,0.0005002106044275,4.742870752340948e-08,-1.2443503978941628e-07,2328198.1275729844,155337.09564824312,-282425.5926085672
51,0.0005002234082835,2.004864001586567e-05,-1.2633280683563144e-07,2295230.492600492,422150.46686439647,-355224.4930092803
52,0.0005002306880389,4.005295622714222e-05,-1.3164277254992426e-07,2274262.132752712,691342.1396451285,-425853.8970474603
53,0.0005001438787461,5.990945844465516e-05,-2.7665768774868736e-07,2232132.546555568,938631.5804613105,-523140.9868592352
54,0.0005001379703745,7.974960466633452e-05,-6.310418418956613e-07,2186657.973621423,1181750.500063811,-627540.7858230146
55,0.0005001438654804,9.97529059624622e-05,-6.794025953652214e-07,2178529.7510872334,1424510.9013830423,-727649.3543446591
56,0.0005001505202517,0.0001197727672727,-7.225534015133189e-07,2145231.4086844223,1599610.3913991407,-834732.3076488524
57,0.0005001758882916,0.0001398263967962,-8.127255393241997e-07,2054278.426026123,1825407.3624916452,-976458.365281206
58,0.0005002005867722,0.0001598592589103,-8.472273114978884e-07,1988548.5911644823,1983032.891561878,-1164140.349791579
59,0.0005001989604744,0.0001798814927156,-8.889825966921975e-07,1912537.103553024,2164676.7931460864,-1265277.9317097233
60,0.0005001993175989,0.0001998120952692,-1.306765281405756e-06,1893993.302012136,2328575.1606265027,-1525952.8733439934
61,0.0005001951796634,0.0002197879116611,-1.4263693633583006e-06,1890534.5234832712,2530120.0754831694,-1697020.1522736712
62,0.0005001881355898,0.0002397806528746,-1.5054624624656022e-06,1877789.767254401,2716093.567204809,-1837079.314820745
63,0.0005002071561633,0.000259814401373,-1.5221532354631524e-06,1846452.243722465,2856268.6931171995,-1987499.3307736043
64,0.000500248885454,0.0002798097418523,-1.4507703301352516e-06,1787658.3658757969,2873615.53083454,-2147816.290878307
65,0.0005002627492282,0.0002998271592275,-1.341648704958794e-06,1712687.526527654,2936131.9880681504,-2233292.4987968253
66,0.0005002759746437,0.0003198220153465,-1.3309389402150177e-06,1674346.4451357615,3053100.2718969784,-2311170.856762918
67,0.0005002634378829,0.0003398174546247,-1.383990004093781e-06,1675122.464483356,3214397.682686759,-2441600.257389462
68,0.00050030955684,0.0003596466285932,-1.4490075527147847e-06,1553151.904948854,3304838.2280885275,-2550393.031303109
69,0.0005002864388683,0.0003796429594793,-1.544037723669728e-06,1509467.1625200042,3400439.825719558,-2622492.4250548817
70,0.0005002849731361,0.0003996241173019,-1.602338665220032e-06,1492438.1421419869,3539863.4792695083,-2759994.826810981
71,0.0005003091171739,0.0004196150686583,-1.6413449398213631e-06,1361735.9015036984,3589963.489134228,-2913753.100368655
72,0.0005003625992806,0.0004395518239638,-1.4778528201674686e-06,1250900.2461109457,3567461.114077937,-2886715.762832254
73,0.0005005563529081,0.0004590782560993,-1.7449004973200984e-06,1258417.874689091,3645970.9639499015,-3029359.55442454
74,0.0005005972732287,0.0004789780053942,-1.8057431358576755e-06,1240233.5147793272,3775094.585381092,-3157935.2104902808
75,0.0005006138784374,0.000498943703111,-1.8811461378515396e-06,1225826.5168827423,3918138.444664099,-3282829.5318422127
76,0.0005006086670295,0.0005193615457972,-1.4869697902518083e-06,1185328.6396768296,3732213.612334525,-3041372.37172352
77,0.0005006187273529,0.0005393490193716,-1.5369706094894913e-06,1059046.273026025,3654585.6833219184,-3328645.7457204293
78,0.00050052077302,0.0005596539780445,-1.2975912353942366e-06,941910.4977541724,3647576.27544851,-3236054.6481685992
79,0.0005005571760039,0.0005796743012759,-1.2788711439517582e-06,510902.53408494464,3171005.337781684,-3805971.447396255
80,0.0005005774374764,0.0005996757697888,-1.336086134853933e-06,509665.9235853959,3198661.398170293,-3853824.058316206
81,0.0005005725175971,0.0006197086569842,-1.3291093507011111e-06,480368.5289334454,3291493.4395374767,-4027527.9294072823
82,0.0005005781370814,0.0006397188322111,-1.355064060378115e-06,444182.3734024557,3396979.8774188035,-4160107.439101066
83,0.0005005715359847,0.0006597365191659,-1.3894891950899251e-06,436861.315500274,3479386.290884047,-4277532.126391947
84,,,,,,
85,,,,,,
86,,,,,,
87,,,,,,
88,,,,,,
89,,,,,,
90,,,,,,
91,,,,,,
92,,,,,,
93,,,,,,
94,,,,,,
95,,,,,,
96,,,,,,
97,,,,,,
98,,,,,,
99,,,,,,
100,,,,,,
