t,eps_xx,eps_xy,eps_yy,sig_xx,sig_xy,sig_yy
0,0.0,0.0,0.0,0.0,0.0,0.0
1,9.999447864886626e-06,-8.305580554670332e-11,-8.454159670761772e-11,501902.3590988797,-736.8220042180717,101407.53612473718
2,1.999889572977325e-05,-1.6611161109950635e-10,-1.6908319341516244e-10,1003804.718197729,-1473.6440083410478,202815.07224981373
3,2.9998343594659834e-05,-2.4916741665435636e-10,-2.5362479012245337e-10,1505707.0772983006,-2210.4660120346666,304222.6083745068
4,3.999779145954657e-05,-3.3222322219514967e-10,-3.381663868306493e-10,2007609.4363911257,-2947.2880180813227,405630.1445004029
5,4.9997241312981e-05,-4.1433528584399045e-10,-4.226275719022743e-10,2509110.5923946025,-3656.4804113991686,507114.0193742777
6,5.999672348823611e-05,-5.34009862988953e-10,-5.140821062820558e-10,2999032.9102921686,-5324.360615504181,610615.1663888539
7,6.99971395454984e-05,-4.6212185648776167e-10,-4.844313427285856e-10,3436647.0459667174,-2648.676802095736,713844.3303866986
8,7.99960965821349e-05,8.669830680847791e-10,1.4043202421880432e-11,3769382.879268391,-5351.751413698434,805125.7292058811
9,8.999593978688419e-05,8.973890116444528e-10,3.246179947474662e-10,4072584.237224047,-17042.927905045195,891502.6293851987
10,9.999728829897298e-05,1.4106233734698216e-09,7.099663401986881e-10,4359106.575192625,-20638.133338914697,967951.2075231138
11,0.0001099998264856,1.6422205142190491e-09,1.4736289522089572e-09,4591600.35415868,-18004.43472490795,1032063.8148435878
12,0.0001200018737418,1.4152656321447927e-09,1.7091421302301396e-09,4807332.493850498,-18644.772438170803,1094924.825178689
13,0.0001300081418528,1.0635823068160663e-09,2.3587686136464954e-09,5011278.356673399,-22550.713612725624,1146228.8288972855
14,0.0001400121447165,1.370998990015942e-09,2.6502166090508954e-09,5148266.513855632,-23872.080811247622,1200483.4623946643
15,0.0001500150471085,1.6193455954222783e-09,3.3051353511989836e-09,5248904.885055621,-23914.448752961845,1259651.9869822415
16,0.0001600181022061,1.3226155337683208e-10,3.351358594349566e-09,5336298.701916392,-23142.48170652395,1279369.9968282413
17,0.0001700222775174,-3.2011571647122485e-10,4.3407963762036866e-09,5339540.074893884,-20657.68299886566,1295443.7736705565
18,0.0001800247880134,-1.3992142024005338e-10,3.2726389495841863e-09,5450613.019805809,-37039.49012463989,1312921.8322843118
19,0.0001900308526368,-4.895158135885319e-09,2.50013464192852e-09,5570691.356173816,-34512.41685600379,1340648.5856849214
20,0.0002000305073286,-1.1901076791250048e-09,1.5375420330239595e-09,5540001.215262062,-15339.464130121944,1314625.7084976018
21,0.0002100343655152,-1.764137653448439e-09,2.2929060226760196e-09,5632613.861016341,-26357.348007393502,1333186.582702825
22,0.0002200421598499,1.836059211072719e-08,-4.231430117411866e-09,4431619.828398009,-253972.5849297364,890032.0872891054
23,0.0002300441507297,2.303102768916857e-08,-9.30878353660745e-09,4428490.448121815,-270487.9984844612,864892.3148291544
24,0.0002400509274563,2.7547107419584897e-08,-1.2279732051533884e-08,4057221.675809544,-445536.5147127331,688357.7431781986
25,0.0002500218269078,1.1022550183844897e-07,-1.296800908910105e-07,3599929.936636558,-560440.5486745291,490470.9831893949
26,0.0002600233412953,1.144515094767683e-07,-1.3457041272972916e-07,3660080.354535772,-592466.3393555342,473539.4875475621
27,0.0002700243374081,1.194169973443323e-07,-1.4002066347247538e-07,3802811.966170255,-576546.4239491222,474590.4798676482
28,0.0002800247502527,1.2927230770386566e-07,-1.6081295853206788e-07,3837147.194556403,-570479.8266724069,425606.4469605032
29,0.0002900263839814,1.333486569264887e-07,-1.685385932181893e-07,3874391.063572603,-641369.8894804406,418437.9403193018
30,0.0003000274814982,1.384400625380897e-07,-1.7332450203927426e-07,3926727.2269592346,-667168.7113604352,414500.286911692
31,0.0003100303032182,1.4211433889893262e-07,-1.7232826190296462e-07,3712367.317983776,-615787.8940507295,292306.2755546466
32,0.0003200345601661,1.4849610181676714e-07,-1.800844127846669e-07,3701139.927933389,-616375.9078136223,279048.6402274217
33,0.000330035613043,1.5338803627062318e-07,-1.841692043888137e-07,3775482.09319751,-624234.8976566651,273642.8338562541
34,0.0003400374000428,1.5907043085284881e-07,-1.8750319592464414e-07,3750429.786280293,-678012.7108487076,220847.20987974145
35,0.00035003822108,1.620706905403483e-07,-1.9438933193335285e-07,3862163.6349763866,-673973.9868101638,205309.7939994673
36,0.0003600430335812,1.645951677218642e-07,-1.9609679156292809e-07,3866252.956309354,-669201.3935405288,156062.44507349707
37,0.0003700471465891,1.6769857418843666e-07,-1.9679722342031329e-07,3400259.6131360284,-568678.4520389941,67775.57062141356
38,0.0003800523468167,1.6436590713213884e-07,-1.860024818531595e-07,3415738.5289991843,-545573.7445068858,39747.06156006536
39,0.0003901129173483,5.910681500782879e-08,4.3630953485028175e-08,2352963.4720015023,-105148.8303614422,33827.03366331341
40,0.0004001185003925,5.50704899629995e-08,4.9681411012991575e-08,2409730.879986099,-87618.06494290751,49365.16723912356
41,0.0004101225671894,5.686981057400968e-08,5.079762538852861e-08,2421655.793208138,-82416.90268040253,1365.0973797601105
42,0.0004201257809012,5.805317794277346e-08,5.1965576439679795e-08,2470558.113379562,-77607.64356186395,-4394.355353407917
43,0.0004301294991181,5.9226276561807254e-08,5.247698350349524e-08,2522020.1551784915,-74106.63016514119,-7300.9482003662915
44,0.0004401840614078,-3.408414876377487e-08,1.1717493462683086e-07,2312072.0610203627,11095.389337914356,-3717.682500700021
45,0.0004501884211304,-3.502030462835426e-08,1.1973802812879298e-07,2356823.313301395,21976.335499219946,-33054.843703219565
46,0.0004601936952293,-3.67009129737509e-08,1.2393171829074534e-07,2154700.267843076,-74800.12414971905,-89183.37447706891
47,0.0004701971299719,-3.636462677960379e-08,1.266042446267877e-07,2150591.8744326765,15437.087739215409,-88873.99060463857
48,0.0004802013982572,-3.7104892656240456e-08,1.2939477693387633e-07,2167014.9950163355,19678.06726985412,-91225.2777581566
49,0.0004902057048293,-3.768682326616564e-08,1.3194165796035754e-07,2194190.9398274785,9099.9025617976,-98750.04382277868
50,0.0005002102464296,-3.8322257651358447e-08,1.3440282627830148e-07,2214334.153018305,3971.02599725881,-120240.58594029304
51,0.0005002091477286,-3.1655468995924986e-08,1.0123039834850533e-05,2180124.0463703973,11699.430207435084,141937.78072543445
52,0.0005002083046145,-2.607735432977649e-08,2.0112895925176888e-05,2160639.032452669,-7648.302028493621,422424.0369917252
53,0.0005002071580191,-1.954765156040248e-08,3.010029545268345e-05,2140493.2154031177,-25910.94580762525,727272.7750045626
54,0.0005002063274839,-1.4455792821976029e-08,4.008837835526429e-05,2121281.2067733514,-36102.4187296882,991134.4718417332
55,0.000500205194006,-8.510078012905725e-09,5.007775476888758e-05,2104146.3404743825,-54664.8303556887,1272415.7474050138
56,0.000500208463658,-8.71955016028936e-09,6.006664182322095e-05,2088786.736734056,-71436.31475877494,1550720.2717192778
57,0.0005002070164577,3.069898313777088e-09,7.007693220695179e-05,1980239.7139835372,-84537.04714939496,1727777.8244406448
58,0.0005002066620569,9.068192147565285e-09,8.006664232673353e-05,1957854.058326476,-80134.65590708623,1957760.5556906392
59,0.000500207318501,1.3997444374725528e-08,9.00577545971647e-05,1941026.002210356,-68533.74665380489,2171001.539036259
60,0.0005002049994756,2.4763402240576148e-08,0.0001000458091328,1902731.8063616727,-116908.38182946504,2304171.751132722
61,0.000500202144378,3.2872362180096854e-08,0.0001100339676905,1857824.947970396,-64723.86905150914,2478557.8070933777
62,0.0005002041411415,4.291809838332591e-08,0.0001200294063597,1871189.0723257985,-79484.50696311322,2509860.826723929
63,0.000500202968881,5.072654670722163e-08,0.0001300153132698,1829890.288157908,-51108.127355280565,2635880.231616734
64,0.0005002025657969,6.534402522875904e-08,0.0001400082911077,1806665.779776433,-68198.84762310269,2787084.410932273
65,0.0005001954290759,7.596365243593907e-08,0.0001499980879533,1775721.283200646,-105651.53807406256,2912652.372009939
66,0.0005001910853683,8.021166917124205e-08,0.000160001474412,1760436.0941895205,-135461.67329550497,3036598.9924886115
67,0.0005001882631481,7.963225055442662e-08,0.0001700141617116,1751014.0994161486,-160581.57396267293,3082443.302299579
68,0.0005001881188025,9.037024804761624e-08,0.0001800036810489,1737885.118903519,-170467.64996071,3154278.812821039
69,0.0005001882513518,9.507221228354593e-08,0.0001899973205881,1718287.0334148942,-157177.82524940418,3221715.272273364
70,0.0005001876041087,1.0039787822099519e-07,0.0002000003116797,1675618.097788596,-162575.6517508458,3288735.2684781547
71,0.0005001954518654,1.1311323228670625e-07,0.000209989017289,1654767.0737606415,-165398.7894912677,3386413.639193538
72,0.0005001719543042,1.267568739235851e-07,0.000219980772716,1641555.9516798502,-185578.46116211425,3475224.090612615
73,0.0005001801820373,1.2931129138271837e-07,0.0002299971816535,1334618.71162539,-158446.3021001679,3348525.785567347
74,0.0005001892046411,1.1638132574612181e-07,0.0002400144913029,1274718.5734111697,-57175.726015159365,3176232.979622921
75,0.0005001847953207,1.2526632037549394e-07,0.0002500082004844,1179970.5927517,-32929.41751968273,3218001.564255723
76,0.000500191307435,1.2574179049813176e-07,0.000260008207103,1159774.8189230757,-19897.268810551483,3207104.7247056654
77,0.000500192007866,1.3185810449210112e-07,0.0002700070019315,1162465.1358539795,-52658.54456217708,3172602.4438755354
78,0.0005001828289903,1.362159699198439e-07,0.0002799984371299,1222291.459208073,-64556.65965255791,3052326.8102842337
79,0.0005001781175956,1.484695299376397e-07,0.0002899643998838,1081899.7799619455,-88518.35910588663,3050239.9932151386
80,0.0005001778056086,1.5253119392296613e-07,0.0002999598787744,1069790.0272289289,-82155.4050538475,3129589.479331088
81,0.0005001837698278,1.5956203836673574e-07,0.0003099542967428,1063427.339535373,-80270.03441862686,3167477.532709407
82,0.0005001892917217,1.5326617266116057e-07,0.0003199610105844,1050873.9402441466,-75978.91853029549,3230595.299850527
83,0.0005001906971263,1.576275370452668e-07,0.0003299577430314,1051748.9045638137,-51133.22789921678,3217375.861071056
84,0.0005001853690155,1.6970226412644457e-07,0.000339965046888,1050062.0547891832,-110316.68171208203,3142947.68833948
85,0.0005001829686423,1.7347172648431048e-07,0.0003499664907762,1040009.4479225012,-112508.80164642732,3184932.014713707
86,0.0005001751156302,1.733328072852717e-07,0.0003599694826716,1028814.3489606198,-107473.7531757703,3176880.111787642
87,0.0005001877702485,1.801809408933757e-07,0.0003699708399872,957544.2467421852,-145437.44790714397,3171928.174914505
88,0.000500191622643,1.8704455962486005e-07,0.0003799721821768,984231.9792400838,-146741.40389897814,3045205.363358618
89,0.0005001915469053,1.8310400806099706e-07,0.000389975045066,1037969.421430584,-70608.30932326958,2905470.875925344
90,0.0005000897144187,2.7924182497197465e-07,0.0003999272380583,1082921.9550306592,-23322.55716540005,2689556.8681066018
91,0.0005000831062779,2.873252669341547e-07,0.000409928346673,1185643.299033237,5569.44180578836,2558716.5268979906
92,0.000500118079701,2.758616866376462e-07,0.0004199261297759,1220660.9874026969,38558.16752220331,2157540.4850863884
93,0.0005001191578032,2.796897319861921e-07,0.0004299261113542,1204164.9683663542,57639.64908073039,2179483.81023699
94,0.0005001197400843,2.846127935513761e-07,0.0004399265575212,1206574.5350850392,69468.81116732674,2160880.005145853
95,0.0005001195957948,2.8899761151601186e-07,0.0004499265480435,1203622.533979619,67381.34996542757,2193265.662518939
96,0.000500119579681,2.937605031161499e-07,0.0004599261884884,1179564.190557137,158670.72572787965,2231119.0515361493
97,0.0005001201868054,3.0078696645368693e-07,0.0004699369915095,1186091.2637327209,199259.561325378,2255646.090369557
98,0.0005001212494449,3.043592621536142e-07,0.0004799388203739,1183564.3731073446,202712.2437415716,2261702.6613022336
99,0.000500135291132,3.034577479989406e-07,0.0004899414021394,1181114.4973661946,187275.73935548763,2175680.3410824044
100,0.0005001384139518,3.049861811168595e-07,0.0004999431676158,1185080.4665588134,185782.17663654475,2131816.360101271
