t,eps_xx,eps_xy,eps_yy,sig_xx,sig_xy,sig_yy
0,0.0,0.0,0.0,0.0,0.0,0.0
1,3.999820997778666e-06,-4.9413097332064986e-11,-4.857541830433725e-11,202472.4075916744,205.2712971166657,41050.73161001303
2,7.999641995557335e-06,-9.882619466308284e-11,-9.715083660747322e-11,404944.8151831465,410.542594501782,82101.46322017045
3,1.199946299333598e-05,-1.4823929199698612e-10,-1.4572625491378435e-10,607417.2227732389,615.8138917895013,123152.19483025858
4,1.5999283991114666e-05,-1.976523893244704e-10,-1.9430167321406632e-10,809889.6303675185,821.0851897347526,164202.92644055252
5,1.9999104988893287e-05,-2.470654866478262e-10,-2.428770915302026e-10,1012362.0379602788,1026.3564861638283,205253.65805024176
6,2.3998925986671963e-05,-2.9647858397843184e-10,-2.9145250981956826e-10,1214834.4455536716,1231.6277848863958,246304.38965985927
7,2.799874698445065e-05,-3.4589168131450463e-10,-3.400279281223917e-10,1417306.8531455782,1436.8990822292576,287355.12127148616
8,3.199856798222933e-05,-3.9530477865352565e-10,-3.886033464336352e-10,1619779.2607315043,1642.170379200438,328405.85288143874
9,3.599838898000798e-05,-4.44717875954358e-10,-4.3717876472059505e-10,1822251.6683255597,1847.4416773981404,369456.58449116047
10,3.999820997778659e-05,-4.941309732876554e-10,-4.857541830312686e-10,2024724.075919704,2052.712974131062,410507.31610130944
11,4.399803097556529e-05,-5.435440706290761e-10,-5.34329601325107e-10,2227196.483512397,2257.9842735840148,451558.0477113749
12,4.799785197334391e-05,-5.929571679790417e-10,-5.829050196612887e-10,2429668.8910987875,2463.255568159961,492608.779322401
13,5.199766947869404e-05,-6.465800844456738e-10,-6.313036946321724e-10,2631935.3180781966,2619.910118201314,533683.2799265031
14,5.599754502678408e-05,-7.014115748960093e-10,-6.840041048661942e-10,2831851.1174209504,2633.852547653286,574853.8844179912
15,5.999708865642802e-05,-5.343150069970012e-10,-1.0028237513570355e-09,3027225.573522217,2354.9781155247456,616083.5377974673
16,6.39976943497721e-05,-5.030606380749694e-10,-6.735762211826465e-10,3206458.757331724,1963.1258097284783,656943.3881640255
17,6.799791294453569e-05,-2.628180789494295e-10,-8.74118801161018e-10,3374868.957843195,4022.807157441232,696131.6409816677
18,7.199818436315725e-05,-1.6966498559700557e-10,-8.887491771163251e-10,3525888.336355187,5152.712917324164,740929.0813660907
19,7.599814853187522e-05,-1.63007111844608e-10,-4.50991120199508e-10,3668430.819889593,3970.967139267541,778631.8372770961
20,7.999970235516996e-05,1.278749323936889e-09,-1.178574147257454e-09,3820099.260014454,7106.515730641998,817150.6071466008
21,8.400119988113364e-05,2.435701117423518e-09,-8.58739380423009e-10,3943888.1478910455,9631.59558885569,853700.295759583
22,8.800199257455392e-05,2.717919060974216e-09,-8.869813847485752e-10,4068897.241200658,9949.671727407484,886148.1446384825
23,9.200387715274912e-05,3.246440087642359e-09,-8.428462638521384e-10,4189140.817420924,13147.532543688478,918203.3014665444
24,9.600562656313558e-05,3.909623582551975e-09,-5.443000040377758e-10,4279494.807476815,18736.92930406472,956516.9229728952
25,0.0001000077378518,4.195845334667439e-09,-4.4844325364257684e-10,4412241.7643459,15323.943900626444,988047.9428639162
26,0.0001040067545068,5.897427460119241e-09,1.3443568532030966e-09,4492957.933961876,18779.30696137184,1015417.6034904404
27,0.0001080077712276,5.0749768929899645e-09,2.725081620327365e-09,4533204.71551229,22524.910202317515,1032509.2377789536
28,0.0001120087400214,5.329317716544314e-09,3.5848356188491053e-09,4595536.330606449,14582.94191476415,1057709.6559436608
29,0.0001160086993956,1.757975722930878e-09,4.648270061155549e-09,4667269.2153415615,11653.869046108664,1077367.72259848
30,0.0001200092893461,2.4347445960946967e-09,5.1751775500092085e-09,4759104.100809828,13496.196065977108,1105713.264222287
31,0.0001240119217169,2.401620684658284e-09,5.475974035204123e-09,4811128.7546601575,3836.196828416172,1124873.2796039372
32,0.0001280134326126,2.574081467363042e-09,5.349518805142677e-09,4904191.6925203465,6788.984852479965,1151847.078333587
33,0.0001320177305952,3.978836011365611e-09,6.905492053864067e-09,4897448.003747262,2696.8386139408613,1162314.4389186949
34,0.000136020053495,5.084317967239398e-09,9.140795777473774e-09,4966111.90185068,-8572.550242770163,1172654.1003035442
35,0.0001400206851044,4.857093299443089e-09,9.298949522318143e-09,5072131.15218394,-9599.479997250306,1202755.5840238775
36,0.000144023976038,5.426962058238549e-09,9.733560631756154e-09,5145317.616565679,-1483.842140376371,1232735.3386629133
37,0.0001480285516458,6.1089409343901205e-09,9.851336285995172e-09,5053131.7310067145,-24389.99552073956,1207313.2441086802
38,0.0001520296912303,6.4428838979644785e-09,1.0908727305640964e-08,5100852.438780617,-33526.843943039035,1226336.427130579
39,0.0001560394404441,7.1668113776202555e-09,1.1424197820881131e-08,4674817.703944515,-80467.54141410242,1113274.179248541
40,0.0001600414043794,6.938614530188998e-09,1.1476375862710826e-08,4701584.544905881,-87847.1291538992,1123774.99282874
41,0.0001640433604963,7.262470842502214e-09,1.1852134072746345e-08,4755416.474109764,-85422.03978399446,1132275.6328649428
42,0.0001680440018387,7.1035921247403725e-09,1.2861138207924075e-08,4840718.952267992,-86716.70085884094,1149937.9738352303
43,0.0001720547706513,8.633581608131836e-09,1.4078909938483472e-08,4136144.033271442,-112479.2725004226,957054.450901942
44,0.0001760575799715,8.58049086869896e-09,1.5250232590943235e-08,4089402.415220615,-125258.3456808237,928380.661989528
45,0.0001800590768904,8.787606981503311e-09,1.5670852755115533e-08,4166151.0827601273,-126538.05922021464,942531.4263602576
46,0.0001840629583183,7.788150884210634e-09,1.7969114073108393e-08,4149889.396191015,-115363.88619191668,930456.3871574472
47,0.0001880651019122,8.780666112447078e-09,1.5608914148774078e-08,4194255.266116839,-136702.56047466863,956407.1341410012
48,0.0001920732212091,7.336847525907095e-09,1.4580897479459456e-08,3988268.878070837,-158615.7477700917,888679.5807994968
49,0.0001960756947197,7.653839365857355e-09,1.53469253328951e-08,3949196.279778053,-209566.4333643088,898251.7804811695
50,0.0002000829314941,2.9760586822996877e-08,-1.4235422330867558e-08,3503149.833181735,-310745.63039599254,753942.8842431223
51,0.0002040846362142,3.040290997629491e-08,-1.4510617952838146e-08,3572256.3745721853,-316474.3164220223,768881.9633917486
52,0.0002080879038334,3.1507676342154574e-08,-1.4813581573464453e-08,3396953.7284988184,-378626.2173813573,713650.4077497784
53,0.0002120931064529,3.88046684262358e-08,-3.776194654339408e-08,3256832.732347189,-323483.47509444924,668544.9502791017
54,0.000216094159151,3.931667202479028e-08,-3.6738633543561114e-08,3308506.54397488,-333381.6355516186,672403.9425256996
55,0.0002200962111386,4.0217332785738846e-08,-3.8009392725342495e-08,3363428.0637084674,-331577.1098123193,681031.6349291069
56,0.0002240984016233,4.1421242650547795e-08,-4.455080451071061e-08,3306586.0444935714,-326300.6572124576,658072.8913981895
57,0.0002281010792415,4.255396322539112e-08,-4.614375675908277e-08,3334427.756841524,-329228.788518282,664704.4900580775
58,0.0002321115625377,2.8034319792593012e-08,-1.6078966878408405e-08,2849817.6200098014,-199937.5454451237,462819.44357721147
59,0.0002361134256798,2.767378976090598e-08,-1.6246756743278973e-08,2827013.8968966035,-220953.70765377357,414712.8928920076
60,0.0002401167416219,2.872081713213035e-08,-1.5459847306074963e-08,2718657.339419192,-253560.5122792904,338198.66141044913
61,0.0002441192455522,2.9382865905440894e-08,-1.5749603852948292e-08,2761174.6924383747,-258620.2302274751,342184.5922446809
62,0.0002481220606675,2.9671257237591323e-08,-1.6098878514155224e-08,2692039.946331307,-266889.22792325425,329019.97855511564
63,0.0002521248411564,3.0280015139381355e-08,-1.6467893230953454e-08,2717494.3114767144,-269014.7300043235,329698.8469464508
64,0.0002561315438173,2.286807882218308e-08,-8.972814317602247e-09,2413477.1002577166,-248105.48949929487,235091.54910069564
65,0.0002601346658565,2.332364334504561e-08,-9.6517507832565e-09,2428210.470487076,-247850.98794010936,224970.44546778864
