t,eps_xx,eps_xy,eps_yy,sig_xx,sig_xy,sig_yy
0,0.0,0.0,0.0,0.0,0.0,0.0
1,4.999889138244115e-06,-1.8041572591058044e-10,4.999854753218545e-06,299994.6547064334,-11.312433895511358,299992.64564660925
2,9.999887153553257e-06,-1.761880700812873e-10,9.999854760858138e-06,599989.139163937,-11.313264928589732,599987.1211318454
3,1.4999873593166508e-05,-1.824618497678998e-10,1.4999852111174943e-05,899983.6486373112,-11.313234146159656,899981.6218025264
4,1.999988147692944e-05,-1.8299339646571494e-10,1.999985387817084e-05,1199978.1552856842,-11.313277417971516,1199976.1214925563
5,2.4999885291443173e-05,-1.7695390380402814e-10,2.499986032715225e-05,1499972.6618977054,-11.313406054899753,1499970.6336298438
6,2.999988125374812e-05,-1.7499684971601682e-10,2.999985266424216e-05,1799967.1706460211,-11.313369788263016,1799965.1399370013
7,3.499987681057024e-05,-1.7959774456871412e-10,3.499985805719564e-05,2099961.679295368,-11.313367921672995,2099959.6413829545
8,3.999987139589157e-05,-1.7575957061976716e-10,3.999985289126212e-05,2399956.1898376457,-11.313362344162414,2399954.1520582885
9,4.4999879887846286e-05,-1.8203450278939954e-10,4.499985079513386e-05,2699950.698768046,-11.313416734485578,2699948.657594458
10,4.999988267483652e-05,-1.7397219777341614e-10,4.999985555357709e-05,2999945.2037649024,-11.313448393643974,2999943.1709452686
11,5.499987900215672e-05,-1.8211856608358024e-10,5.4999856902026495e-05,3299939.7110342574,-11.31339240020658,3299937.6845934875
12,5.999023872798326e-05,-2.5822932584353348e-09,5.999995871182625e-05,3598820.296877342,139.97859644842765,3599500.161347662
13,6.498956477484608e-05,-2.5886222506897673e-09,6.499986618381194e-05,3754188.074528849,-6453.916824185968,3756698.0805494543
14,6.998935600791969e-05,-2.487597774061869e-09,6.999962716511747e-05,3890577.348478507,-5036.980813921124,3891846.655410697
15,7.498883079938783e-05,-2.541889967756994e-09,7.499970970100806e-05,4018411.7544927257,-27.96663351138409,4035316.209075404
16,7.998978126562549e-05,-3.653298929347252e-09,7.999861541061636e-05,4115009.302519307,-5735.764941695439,4110037.785223905
17,8.498906522751583e-05,-4.149102155128525e-09,8.499822554347919e-05,4190092.230107958,-2795.307025685288,4207537.775160066
18,8.998889992674683e-05,-4.018246789453244e-09,8.999828825914487e-05,4281880.077084018,-10850.867638579246,4323413.057853533
19,9.498909007265513e-05,-4.417361545346129e-09,9.499752856804435e-05,4142040.559757425,102035.62271186816,4125584.5339655145
20,9.9988679536748e-05,-4.572091534383368e-09,9.999737917472132e-05,4202114.081961372,113630.45469047912,4233657.443493291
21,0.0001049884438019,-4.674139440939548e-09,0.0001049971843962,4050081.685904489,197285.4728628783,4199574.926455017
22,0.0001099888246499,-4.417723712923839e-09,0.0001099972272078,4159661.486660744,183729.4341662684,4288140.295513327
23,0.0001149883482275,-4.635648223643512e-09,0.0001149970461153,4251958.337086309,144069.10924008943,4274866.064648681
24,0.0001199877601777,-4.9392396965144965e-09,0.0001199966827906,4202056.077088985,136852.04038408864,4120263.624905816
25,0.0001249873399171,-4.854120408739525e-09,0.0001249968590164,3915136.509461797,29851.009212799043,3955399.467837098
26,0.0001300029167842,-6.198780867812197e-09,0.0001299993286721,3969014.894222221,27771.36412226688,4001691.939513229
27,0.0001350025773977,-5.015031952734762e-09,0.0001349983826825,3295291.6420302726,267909.1442163868,3506182.584939715
28,0.000140002644263,-4.69411806103156e-09,0.000139998255582,3206975.990006458,273645.2990173126,3043752.636141351
29,0.0001450025918956,-4.818402425446171e-09,0.0001449986508955,3133741.1380216493,135758.9864342485,2552388.6632474978
30,0.0001500017099579,-4.221324996534e-09,0.0001499985539892,2787037.628610548,28745.730091773432,1033789.7143981616
31,0.0001550012511432,-4.262512798111469e-09,0.0001549984043055,2776479.015456132,21860.805630478237,1051595.6032320615
32,0.0001600012657427,-4.401728984738309e-09,0.0001599983613483,2840554.5256992267,24732.351242321616,1087076.4080516773
33,0.0001650013295702,-4.452448468423937e-09,0.00016499828812,2862471.553879652,32096.81818169963,1091719.8942385938
34,0.0001700014330633,-4.589339670153775e-09,0.0001699982378428,2864173.4843240776,-5746.20274553006,1102657.504038048
35,0.0001750020588948,-4.387901748539673e-09,0.0001749980884831,2275340.4205997195,91732.478676148,892434.7102338624
36,0.0001800014890892,-5.19470760290557e-09,0.0001799978102725,2240112.134300341,93181.97238726744,904839.608974915
37,0.0001850025096738,-4.4692377665075164e-09,0.0001849977819753,2194011.071164504,338.0006223299474,679872.6415037957
38,0.0001900027430502,-4.487766667689906e-09,0.0001899976342507,2255176.5396657265,10234.084478614775,497675.8800331728
39,0.0001950250009186,-1.2937767427136779e-09,0.0001949983043956,2094051.549435936,13406.421104671525,510751.3372379936
40,0.0002000252811012,-1.3799574427032842e-09,0.0001999981384152,1878839.89317759,-6004.26283585572,538699.1593359782
41,0.0002050272638333,-1.9425151050021904e-09,0.0002049982528104,1886047.86070979,-1986.3717157679955,546254.4061693626
42,0.0002100280479534,-2.0118486232912502e-09,0.0002099978412756,1932048.173319492,-2033.153215214292,559575.6979872014
43,0.0002150356303614,-1.3863756148942124e-09,0.000214998298836,1938378.609239109,-1738.4817193119145,572611.2591791739
44,0.0002200087018942,-3.442850185517942e-09,0.0002200002769114,1940798.7364243448,4040.459014021547,581533.4460792938
45,0.0002250223092936,4.879162012766868e-09,0.0002249993038303,1478258.5498094666,105056.176970986,536935.731707628
46,0.0002300227712894,4.982488429961408e-09,0.000229999294466,1510035.2152638787,106827.2680704682,548495.0961648854
47,0.0002350233031299,5.089814409516813e-09,0.0002349992804745,1542122.822442486,108815.6793072157,560193.1781576314
48,0.0002400237945838,5.200969896276082e-09,0.0002399992571459,1574717.1474670875,111116.91214683968,572102.8268984148
49,0.0002450232920685,5.092596177895828e-09,0.0002449991905882,1593838.382819999,111654.09286658563,584961.8191035884
50,0.0002500218636559,2.6715760255843394e-09,0.0002499982039155,1494533.8081518365,122308.12106829796,599385.9908400772
51,0.0002550228760992,2.965364247096077e-09,0.0002549978745668,1527589.6601930636,126601.68248368044,527991.880188425
52,0.0002600235234732,2.998760514930207e-09,0.0002599980395099,1559516.27905366,130751.9150112502,534346.6505962964
53,0.0002650250987046,3.295489498729915e-09,0.0002649979860016,1551468.7397173375,138341.96177093085,543207.540763884
54,0.0002700248266462,3.2615263910113477e-09,0.0002699980209545,1552341.0452068844,129631.89108305804,534686.1711914669
55,0.0002750255387882,3.4873720726935764e-09,0.0002749978355293,1553427.523810804,165157.91538458088,490333.4450213574
56,0.000280025938822,3.543691627286739e-09,0.0002799977899649,1577570.7066115278,167836.39328572818,498382.14434387337
