t,eps_xx,eps_xy,eps_yy,sig_xx,sig_xy,sig_yy
0,0.0,0.0,0.0,0.0,0.0,0.0
1,1.0926399152714228e-09,1.0000150056280307e-05,-1.185994488833328e-09,-216.78366723021327,384038.04234232765,152.8564445060201
2,1.1572787797776471e-09,2.0000377416327206e-05,-9.182887750061111e-10,-488.6013445923307,768047.7112465054,424.8712302516034
3,1.232472393823707e-09,3.0000580671302312e-05,-6.335245846819425e-10,-760.4841583784204,1152057.418750229,696.7473395538024
4,1.30164517175755e-09,4.000080655966275e-05,-3.604284205722367e-10,-1032.361227431746,1536067.126085054,968.6312524417312
5,3.579166570157618e-10,5.000106481014861e-05,1.383753045090715e-09,-2397.048475812697,1918644.4649950447,-4.527251102943798
6,2.5193328222406875e-09,6.0003003094183e-05,3.079929909779025e-09,-16483.325444618746,2288576.3395120464,-11565.642467381494
7,3.0094700099417477e-09,7.000355070400897e-05,3.632234303339564e-09,-50218.8774274723,2640174.1703066984,-41170.92680042222
8,3.3765307193050773e-09,8.000402842164782e-05,4.13019973717308e-09,-90493.64664870732,2984877.6848412864,-77324.53777656647
9,3.721449612005864e-09,9.000449327809727e-05,4.628254678166222e-09,-150343.9454352761,3309229.4151634146,-137801.0320166568
10,4.081498441486451e-09,0.0001000049357392,5.091403965401444e-09,-220889.21122243896,3621228.1644677897,-207854.9720494971
11,4.5982899912621966e-09,0.0001100047541102,4.523426594493591e-09,-313782.90086492413,3915063.31383296,-294206.3429484491
12,5.039767926114796e-09,0.0001200052865597,5.068759979596868e-09,-409657.1406420194,4202944.360874783,-391385.3415364396
13,5.365575064414868e-09,0.0001300057010538,5.5047669613191615e-09,-505524.5841691729,4492239.507959612,-483388.531942984
14,5.628429903236552e-09,0.0001400060038659,5.810659308706172e-09,-622752.6818593806,4763317.676884785,-588567.8385708872
15,5.947325784628917e-09,0.0001500063461202,6.1423945626384435e-09,-746496.7826279417,5027513.192307245,-708997.7780300928
16,6.22708065740213e-09,0.0001600063984218,6.049187665991522e-09,-856974.145863559,5302757.653903713,-827134.3428106932
17,6.534502175480514e-09,0.0001700066633091,6.283000845826585e-09,-1005335.5272536726,5545916.797315215,-968459.7209385742
18,6.912980468252e-09,0.0001800068054188,6.271167964792589e-09,-1141945.835041871,5803141.574415451,-1102215.355356874
19,7.278648214032152e-09,0.0001900071512334,6.606819269801761e-09,-1280503.5909406052,6049726.450320162,-1243381.55338749
20,7.311238598723969e-09,0.0002000075009215,7.093809754861676e-09,-1455896.5663676576,6266298.786647015,-1426272.1053323618
21,7.383557089612434e-09,0.0002100076376998,7.307206547284981e-09,-1620183.7257864492,6484037.554316903,-1601888.099472609
22,7.738375691210614e-09,0.0002200079945706,7.584180579879884e-09,-1786790.991112911,6713494.406253234,-1760879.8818573768
23,7.739778701224534e-09,0.0002300080480964,7.682308480344362e-09,-1964946.382893827,6934012.698621357,-1929610.5635695527
24,6.200879117497449e-09,0.0002400067600187,6.507684097884157e-09,-2841952.5578871723,6684181.53848633,-2955045.6542124567
25,6.099847405529597e-09,0.0002500067572197,6.644076246720827e-09,-3160422.132087673,6829858.652377801,-3315287.5620156587
26,6.334766224608348e-09,0.0002600069986338,6.904573789841559e-09,-3297347.662435095,7096082.839367405,-3464192.849224076
27,6.424405989699731e-09,0.0002700070962644,7.041900781876486e-09,-3653251.187087151,7186050.505588045,-3842395.009666853
28,6.669419313574077e-09,0.000280007424381,7.316460274047957e-09,-3805762.1187671535,7441706.732175298,-3992270.509303164
29,6.7611032552129956e-09,0.0002900075383662,7.4447250732964714e-09,-4068471.4176716623,7631160.546690494,-4243851.655969083
30,6.901749995228535e-09,0.0003000076973952,7.636088049952821e-09,-4335524.7765013855,7844371.865123676,-4460133.172208432
31,7.098082835353779e-09,0.0003100079569451,7.868167677580995e-09,-4519920.552076257,8062461.052766399,-4671013.598969342
32,7.202505065522287e-09,0.0003200080942301,8.024322156136377e-09,-4697426.469084953,8280751.627375648,-4862026.867867047
33,7.297515403281613e-09,0.0003300082407797,8.190532600591242e-09,-4911290.583829653,8453662.79032161,-5111340.370178038
34,7.279449031289375e-09,0.0003400082337911,8.195858423976724e-09,-5110689.887147433,8655555.52613866,-5364755.47354393
35,7.057659887888783e-09,0.0003500087448417,9.106294463852752e-09,-6144534.831772851,8314172.970453506,-6390319.162036487
36,7.320252404315052e-09,0.0003600089670338,9.346031937103612e-09,-6320693.802100064,8550314.698089715,-6574047.939384055
37,6.832324014453248e-09,0.000370009442648,9.751364383153277e-09,-6528918.150959542,8778866.165734839,-6765505.5560409855
38,6.958824732946166e-09,0.0003800092630672,9.675232307216817e-09,-6807108.7422787305,8956594.762426384,-6990926.317432043
39,7.592161446424845e-09,0.0003900093771892,9.833215059010076e-09,-6987296.489770801,9191049.653880972,-7174622.262809376
40,7.543474920958872e-09,0.0004000095223986,9.99768636243932e-09,-7260259.196275891,9373156.32517547,-7436270.357099889
41,7.401311271171026e-09,0.000410009477041,1.0042676752562657e-08,-7635566.717122816,9432157.60738474,-7939477.634966614
42,7.585750276665385e-09,0.0004200097022643,1.0281824603630672e-08,-7827328.112580551,9655366.489923889,-8139409.580558285
43,7.784668515226597e-09,0.0004300098886928,1.0480891374355454e-08,-8083321.077722423,9827773.540306844,-8397330.030920343
44,7.84089831339069e-09,0.0004400101563364,1.0751522453630425e-08,-8271676.062915935,10056169.433193874,-8592669.86383809
45,8.02711786136883e-09,0.000450010367269,1.0979582906253731e-08,-8465239.900604434,10280864.874089785,-8788008.63446055
46,1.2924613364991196e-08,0.0004600090121857,1.0211032179897251e-08,-8726132.461310146,10456285.528941523,-9034283.524281291
47,8.241434814030216e-09,0.0004700107351205,1.1388211409948712e-08,-8915624.491235295,10677733.347566336,-9230886.694507672
48,8.445591630884772e-09,0.0004800109386784,1.1610421572639808e-08,-9112423.876104131,10899441.803419534,-9430090.026610073
49,8.152981110166233e-09,0.0004900109804746,1.1802888448402344e-08,-9375730.491583947,10949419.082886407,-9776143.98877515
50,8.4048222802006e-09,0.0005000111739557,1.2019976431009191e-08,-9566589.289997824,11172230.06552745,-9975615.358540522
51,4.00086986456942e-05,0.0005000109719126,1.1822110727495757e-08,-8743834.556185693,10718895.740438204,-9959584.978211408
52,8.000816544926179e-05,0.0005000108016063,1.1569053290004629e-08,-7987903.782933699,10233171.282154871,-9918029.35619038
53,0.0001200079338415,0.0005000104457358,1.1179834662769377e-08,-7426155.259542792,9735691.308496922,-9843082.79558473
54,0.0001600075361843,0.0005000103160792,1.101190982770178e-08,-6760824.679107762,9290108.72552948,-9735034.208641576
55,0.0002000065465983,0.0005000092647497,9.962187041247777e-09,-6679373.243919429,8709920.717589503,-9462031.577963954
56,0.0002400063600229,0.0005000089397565,9.666625115705244e-09,-6089772.313295913,8067630.09701326,-9445773.818431582
57,0.0002800061717883,0.0005000085517775,9.219509008965928e-09,-5756801.963768732,7654032.077108925,-9061411.307347018
58,0.0003200056296323,0.0005000079795802,8.594728688663888e-09,-5563565.015369126,7170698.128690088,-8522581.264705632
59,0.0003600056948326,0.000500007822304,8.339319979677255e-09,-5088972.77912388,6796278.494800534,-8247517.485765675
60,0.0004000077716533,0.0005000063907934,6.997614751817645e-09,-5165330.772392651,6275084.3093863055,-7266922.294064108
61,0.0004400049639916,0.0005000065391424,6.948161970578624e-09,-4729096.918275564,5893635.794227187,-6945736.584431444
62,0.000480004718414,0.0005000061502573,6.520266689040704e-09,-4297810.669699266,5513040.958937191,-6622255.611927255
63,0.0005200044983858,0.0005000057122518,6.054863875782834e-09,-3892502.79475639,5128982.723300718,-6264709.633003865
64,0.0005600042163011,0.0005000052826292,5.588017063912977e-09,-3486913.712390643,4747893.62551491,-5925022.289705911
65,0.0006000037518912,0.0005000048961221,5.1558966701445355e-09,-3078413.842028673,4369761.566854069,-5590545.616230994
66,0.0006400032604856,0.0005000044682429,4.665426585120815e-09,-2797548.0994551782,3952931.110241206,-4999325.881974295
67,0.0006800027056679,0.0005000040829319,4.225135690478459e-09,-2416269.83400233,3568620.9727873635,-4626945.6893235855
68,0.0007200027036921,0.0005000034852014,3.6356981178967623e-09,-2016892.639875856,3196797.869172667,-4286404.0336916745
69,0.0007600024485433,0.0005000030363818,3.162078369615097e-09,-1680688.4280303093,2822969.6108406545,-3887869.4679602487
70,0.0007999963799575,0.000500005644043,5.082757408597433e-09,-1585358.4250767266,2246544.644985174,-2933294.428707985
71,0.0008400019087224,0.0005000021066039,2.299378505239029e-09,-1213347.222982109,1885524.9651446412,-2584451.780644807
72,0.0008800013793628,0.0005000016702585,1.672331479306476e-09,-841377.8704453908,1524499.0604664157,-2235537.210800257
73,0.0009200010211198,0.0005000012287538,1.2115712119657031e-09,-473824.33500749007,1166730.5119934217,-1888771.291620488
74,0.0009600024318189,0.0004999999419839,3.2345156475825636e-10,-139426.64293123037,800924.2154691805,-1487711.9966344745
75,0.0010000000103213,0.0005000004305619,3.155736583983884e-10,223634.8584529021,445804.8062539948,-1141611.0764414736
76,0.0010400002281014,0.0005000002117877,1.220804785735441e-10,407736.207058223,176659.24102169264,-811951.0143475458
77,0.0010799999133331,0.0004999999445102,-1.4801473487325622e-10,654631.6373559104,-78962.81766252892,-550942.041708978
78,0.001119999763876,0.000499999659913,-4.38522048131474e-10,910608.3656604151,-338892.25945038,-289080.82684021984
79,0.0011599998461416,0.000499999789123,-2.671989448205784e-10,786729.4399173949,-238563.67732040363,-370014.9258018542
80,0.0011999998788158,0.0004999998008435,-2.5783956825348926e-10,836107.0732278529,-300983.5680397902,-292936.295414659
81,0.0012399998920297,0.0004999997818124,-2.8080426520225716e-10,893920.1760191014,-366795.53051075136,-219632.0869938932
82,0.0012799995522929,0.0004999990909157,-1.0613262060031594e-09,695511.0887671408,-180822.6659351773,-393611.5134981848
83,0.0013199995084657,0.0004999991257433,-1.0465512566958023e-09,678000.5324542226,-180157.2418365841,-379196.9005747149
84,0.0013599999306354,0.000499999324662,-7.86373769116042e-10,603936.2571511999,-113869.54052006538,-437327.868114565
85,0.0013999987969959,0.0005000005348269,-3.1862265809784244e-10,417855.7333844197,62282.73471507701,-599492.3854160593
86,0.0014400008639329,0.0004999997627052,-1.5265759388232744e-10,389223.6106386811,89954.27044809164,-625865.8234162204
87,0.0014800002299794,0.0004999998784457,-2.5624976655150106e-10,435834.5629915677,38332.171485892,-568615.5722786197
88,0.001520000305378,0.0004999998476637,-2.774359763686749e-10,435139.29258619057,35480.44878542879,-561681.40633409
89,0.0015600003331378,0.0004999998216612,-2.9708040939509656e-10,452780.6140749168,15857.494901686394,-539771.0138319958
90,0.0016000003679173,0.0004999996230611,-7.136509853558998e-10,157019.49282873468,309316.23053195805,-831520.2075447328
91,0.0016400005399736,0.0004999992218813,-1.0922187410747251e-09,167674.0262085545,295404.40499516594,-814008.6906347554
92,0.0016800008606065,0.0004999990076996,-1.4899171183409443e-09,182024.3456940662,277579.84656470094,-792325.3416568117
93,0.0017200005158476,0.0004999992632335,-1.17813117211787e-09,196987.65458281903,259157.97182621443,-770059.2558202331
94,0.0017600002007185,0.0004999994927989,-7.69568173633457e-10,128594.16339407164,317888.8548530583,-818200.8791896865
95,0.0018000007650821,0.0005000011242663,-1.0788384752500731e-09,87839.62863353496,350980.4398620428,-842232.0082277281
96,0.0018400003647304,0.000499999302697,-8.922925425061641e-10,95550.05451332296,339497.5444919844,-826488.9288740947
97,0.0018800003102662,0.0004999994962203,-9.252889650198675e-10,104300.18252486191,327181.0805801273,-810147.2267067984
98,0.0019200004268888,0.0004999994226027,-9.36758898531501e-10,91384.58451601167,320244.668587022,-780995.1000004819
99,0.0019600004468869,0.0004999993367299,-1.0110315337654543e-09,99241.895835553,308626.91779437056,-765126.327160131
100,0.0020000003924326,0.0004999993665279,-1.0692258102573826e-09,107224.39041553956,296950.3813026817,-749274.6601072693
