t,eps_xx,eps_xy,eps_yy,sig_xx,sig_xy,sig_yy
0,0.0,0.0,0.0,0.0,0.0,0.0
1,3.002221152947681e-06,-5.964048804074305e-10,-2.6749188689214277e-10,149234.89699495138,29.4273964661676,30994.91994338248
2,6.002531213553325e-06,-6.186839268862018e-10,-3.6541668549221257e-10,298343.7183467844,58.58391974363427,61902.1973507802
3,9.002473083465473e-06,-6.319524675368464e-10,-3.361370283582474e-10,447436.587293437,87.59591635323622,92825.01977098276
4,1.2002456544409738e-05,-6.398247751085633e-10,-3.2537056818982627e-10,596530.7670216882,116.58108575771844,123743.78173383306
5,1.5002425316237353e-05,-6.481656925784176e-10,-3.1267784737040114e-10,745624.5488759264,145.56924440187106,154663.4485376481
6,1.800239318648921e-05,-6.538014741265143e-10,-3.0041088050590283e-10,894718.4225825893,174.56423610801846,185582.92137208203
7,2.100236751533083e-05,-6.609101341799986e-10,-2.8800222235478453e-10,1043812.2753721566,203.54802822891045,216502.444205662
8,2.400233785550744e-05,-6.670759862871892e-10,-2.7666716723154136e-10,1192906.1194606195,232.54496383750785,247421.93648140627
9,2.700230914169893e-05,-6.779369305136352e-10,-2.6174782369254336e-10,1341999.9852378482,261.53085460749185,278341.4441417776
10,3.0002281845480323e-05,-6.84808620784813e-10,-2.487193787569449e-10,1491093.8360435113,290.52471198718376,309260.924086617
11,3.3002262438580904e-05,-6.937554732346315e-10,-2.3623071452557837e-10,1640187.6823603918,319.5043778290992,340180.4707966076
12,3.600222693751359e-05,-6.98413764264499e-10,-2.2171576230781767e-10,1789281.5146617717,348.5032868509361,371099.9926066182
13,3.900220103860612e-05,-7.066641799181617e-10,-2.0911935188569107e-10,1938375.371169321,377.49353314682696,402019.4986545394
14,4.200217340359831e-05,-7.12168681343142e-10,-1.9472243491508688e-10,2087469.206699781,406.47433417592055,432939.0408853261
15,4.5002140890958216e-05,-7.219464237757831e-10,-1.83849201251825e-10,2236563.0915455623,435.4728861844044,463858.5391248772
16,4.800211782498163e-05,-7.283075812625102e-10,-1.706774813687507e-10,2385656.93501908,464.4656342862808,494778.0352015341
17,5.09998339904042e-05,-1.4612574941880538e-10,1.3018240025386496e-10,2534341.182576261,474.0475372578104,525660.7553844799
18,5.399950317219436e-05,-1.3287310462960626e-10,2.349431554918246e-10,2680709.875613843,792.7829136863531,556881.728583862
19,5.6999485210325146e-05,-1.4144463567973375e-10,2.4627988410453284e-10,2827349.584267393,941.2779498697162,587946.2850481404
20,5.999955779197645e-05,-1.5595014667756422e-10,1.6681179858421614e-10,2968524.4016620764,1014.6069788514484,619449.9502360505
21,6.299950074811325e-05,-1.5188481920622269e-10,1.5082836262706668e-10,3105199.64948626,1301.258875297331,650557.1688275078
