t,eps_xx,eps_xy,eps_yy,sig_xx,sig_xy,sig_yy
0,0.0,0.0,0.0,0.0,0.0,0.0
1,9.99887289046973e-06,1.0325393678120212e-10,-2.054755779483245e-10,497134.2353129373,-614.3860185899405,102780.30099365264
2,1.99990644577209e-05,5.3963519935611553e-11,-3.1832294745484136e-10,994338.594604047,-1216.372396089251,205570.8571127796
3,2.999925219569607e-05,5.660214685088888e-12,-4.3409743524625795e-10,1491543.128236013,-1818.311156241602,308361.430175954
4,3.999944326113975e-05,-4.1048294402397855e-11,-5.472459170357501e-10,1988747.6716701789,-2420.2503532475903,411152.0073308824
5,4.9999638598791536e-05,-9.151560274191188e-11,-6.61357463278643e-10,2485952.20598383,-3022.188868751251,513942.5830401934
6,6.000114255292347e-05,-2.927070419548453e-10,-6.83165107893467e-10,2965058.7560116914,-3777.0018069567286,617400.6381958994
7,7.000143354972765e-05,-3.4246379487079436e-10,-7.623666926934195e-10,3368813.291850204,-4331.352739275135,718147.5750572054
8,8.000125174346477e-05,-3.353600859763454e-10,-7.559856907210541e-10,3744977.5605905415,-3900.4446685777143,812983.5103304284
9,9.000129761300256e-05,-3.562096475094065e-10,-7.981635151684074e-10,4060128.848772814,-3252.516032834543,898998.5956689786
10,0.0001000013942894,-3.5367056787974675e-10,-8.449659485072342e-10,4332816.506033196,-1103.410034408006,975389.8885999032
11,0.0001100006987924,-6.61685246345305e-10,-8.07358056245806e-10,4575436.400453966,-823.0729636961121,1049621.1288406898
12,0.0001200004391297,-1.025183772394873e-09,-5.152800781449152e-10,4760890.422665187,-9969.47496942932,1107585.3759511153
13,0.0001300005686765,-1.120391224327864e-09,-9.97496906466605e-10,4922849.387217078,-10394.26717574575,1163625.4419019348
14,0.0001400006596924,-1.0704331481933476e-09,-1.2244182482536206e-09,5090875.753214985,-12553.357558296751,1215449.6338594358
15,0.0001500006253556,-1.0836534272584596e-09,-1.2159924091014155e-09,5217614.180628315,-1587.5788452965248,1251857.430250853
16,0.0001600006705984,-1.0954823802827544e-09,-1.2956632966984708e-09,5365082.736213709,-15028.689390807198,1291479.6630783216
17,0.0001700001313711,-8.614427619864582e-10,-1.0356473312056483e-09,5156972.811134418,5341.714281329143,1242088.5042631105
18,0.0001799988228855,-1.7657267721230682e-10,-4.077885668692202e-10,944808.2381392524,-206515.2765769488,140441.40146495795
19,0.0001899987423372,-1.718812285342785e-10,-3.6085445874228973e-10,775213.6482923782,-199577.79820751608,129501.92917507108
20,0.0001999987086919,-1.5069865274625723e-10,-3.3789959798114967e-10,463037.121340937,-81673.65932152729,79192.10476532344
21,0.0002099985428946,-1.3702139138683478e-10,-2.415873180942527e-10,350245.5949230496,-102125.33535788232,41769.16569025358
22,0.0002199984378604,-8.577106983883526e-11,-1.9275721228730646e-10,322991.49709716503,-126681.44019353155,32446.47036958219
23,0.0002299983901826,-1.446177285831166e-10,-2.8027870958184576e-10,337656.3059450022,-132429.49214625586,33907.574400261874
24,0.0002399983112761,-1.5110445265022022e-10,-2.7467656589929e-10,345784.889558692,-128070.54590051304,32973.98402836728
25,0.0002499974189965,-9.355224715153904e-11,-3.7695814782067877e-10,360191.1602282933,-133410.17351669574,34360.74310222198
26,0.0002599981720724,-1.6002424804586619e-10,-2.9639563542319307e-10,373512.05620468,-138103.20051747528,35432.60838618639
27,0.0002699980924537,-1.5991299428334958e-10,-3.0086439734204157e-10,377730.9855644812,-141665.57419083238,32546.50290655008
28,0.0002799971222758,-7.450168417215631e-11,-3.92650731073092e-10,391719.62397659937,-146914.23516460418,33765.73118085178
29,0.0002899970488412,-7.651853023841482e-11,-3.998775057358184e-10,405709.6577117081,-152161.10957120184,34971.174282286855
30,0.0002999978740078,-1.7198427687004059e-10,-2.85078279074078e-10,315119.38385500124,-107738.367943542,23748.51289044235
31,0.0003099969337315,-8.26140030799152e-11,-4.002299120822568e-10,325622.059927496,-111330.9768997553,24553.49994221856
32,0.0003199977639488,-1.8246296495131415e-10,-3.1254327322486223e-10,336113.424384438,-114884.98156012046,25226.44288483528
33,0.0003299974748219,-1.3412384067655631e-10,-1.0689892162737536e-10,251975.19812165535,-92835.06007971436,19769.135103814995
34,0.0003399974585329,-1.4928312310937463e-10,-1.4252952561665038e-10,259539.15046746025,-95566.1780286414,20144.27614831249
35,0.0003499973683879,-1.3518007360546672e-10,-1.6231077024853166e-10,245278.35372278627,-98381.20392780768,22210.663418366832
36,0.0003599963663138,-4.677032931541055e-11,-1.8530654020079388e-10,252285.6845732728,-101195.21261690436,22861.597620147117
37,0.000369997193702,-1.3025685260527164e-10,-1.4896790516889175e-10,249395.42516319276,-89849.92485058025,15666.559737095951
38,0.0003799962224124,-1.9706506964008763e-11,-1.0598214764247304e-10,256135.4332391825,-92280.2430928855,16106.812056150437
39,0.0003899961406022,-2.160376428035604e-11,-1.1013055357665316e-10,262875.84966761,-94708.6189990413,16530.254408330067
40,0.00039999606444,-2.3934375995322453e-11,-1.19814254950562e-10,269616.2675102244,-97136.99328457093,16953.67722833245
41,0.0004099968158571,-1.0642764890026016e-10,-1.822087335723448e-10,152895.5478078487,-56746.67249003696,5487.281446849688
42,0.0004199957953412,6.989798023046531e-11,-1.6819642236988939e-10,156623.95418524125,-58129.83585663234,5637.761501936772
43,0.0004299957134202,6.857400404403915e-11,-1.661277870276229e-10,160353.1136025051,-59513.88489827792,5771.615734574398
44,0.0004399956373477,6.362939335189823e-11,-1.7685677699834783e-10,164082.2743793932,-60897.9333850733,5905.44951362881
45,0.0004499955579899,6.66286209810193e-11,-1.782605106023269e-10,167811.43520192915,-62281.98190151106,6039.283370999319
46,0.0004599964211518,-5.49573053584197e-11,-1.8993321653339137e-10,160269.5708243191,-47121.81553021228,-22.8031572714832
47,0.0004699954103331,6.018513736516841e-11,-1.9844982738596447e-10,163752.86971471584,-48146.26573111472,-6.886662273733649
48,0.0004799953225486,5.918519086438493e-11,-2.0976022451449826e-10,167236.98953772447,-49170.65329766378,-7.364313920933942
49,0.0004899960967152,-3.8253575805211154e-11,-9.247245868036888e-11,124468.6666956104,12645.870152034437,-1873.9721791314944
50,0.0004999951366824,1.0820485401596864e-10,1.050876447275136e-10,127008.26457332975,12903.463235331435,-1884.2898776033371
51,0.0004999955442697,-1.3999311068740676e-10,2.000024324605035e-05,126932.04582254072,5361.64306175692,808536.2421508245
52,0.0004999951196226,1.8520578936228318e-10,4.000035098650893e-05,126857.13294796678,-2170.338426132049,1618873.6386315585
53,0.0004999947348649,3.3658902114554584e-10,6.000051833969808e-05,126795.76340031809,-9781.871944258944,2401560.9842148903
54,0.0004999941752587,3.0428686239153757e-10,8.000076608162196e-05,31303.584990666564,3750.139161278824,2990368.1990687144
55,0.0004999938510396,2.826778117716889e-10,0.0001000008407542,-2.2733916108173788e-05,-46.97504200503198,3348672.419832328
56,0.0004999936167568,7.858649316808204e-11,0.0001200007590873,-2.6610992957947336e-05,-29.377107523324213,3723848.295792824
57,0.0004999933435677,-1.9050698836447148e-10,0.0001400007592697,1.803896708516816e-05,-269.7882361543443,3783993.130818419
58,0.0004999934536016,2.399621428897829e-09,0.0001600049025888,-7.858492071861241e-05,-225.6010097222072,3699259.288653712
59,0.0004999955992961,2.4794632848669736e-10,0.0001799995341874,-2.6514902427511977e-05,57.12347541107465,448613.9734191949
60,0.0004999955827092,3.526198161068181e-10,0.0001999994635537,9.086922070129076e-07,14.12272700086246,431541.9403303065
61,0.0004999946163708,9.997101248857179e-10,0.0002199995154317,-6.2181859715882e-06,15.535535766895071,474699.039554451
62,0.0004999961327397,1.306312137131604e-10,0.0002399985771203,-4.292050111296452e-05,37.619772835777965,207909.0263740188
63,0.0004999952264209,9.866832294725219e-10,0.0002599981332857,-1.6332872741591858e-05,40.75042567496179,225233.4803205489
64,0.0004999970673751,1.0781844371845444e-10,0.0002799982065486,-3.403014411669664e-05,-12.752218333606912,194942.51029272645
65,0.0004999951677856,1.4198486413064483e-10,0.0002999982665609,-5.2324224964611415e-05,-9.712867620618166,195224.1856574909
66,0.0004999948399034,7.741455134297886e-10,0.0003199982555015,-1.67912820506552e-05,-10.358182917287625,208239.9454230255
67,0.000499994823287,7.993226534411486e-10,0.000339998146055,-4.7235982814470165e-05,-11.005727953600084,221254.8966667875
68,0.0004999933949537,1.6482531190426462e-10,0.0003599972476481,-1.977834067030549e-05,22.75695551577661,70587.33446404022
69,0.000499982914843,1.3838434856258647e-09,0.0003799989378242,3.7582338070569234e-05,136.40074011877925,4086.8859897447232
70,0.0004999940351025,6.133846866868861e-10,0.0003999964683404,-5.102228150079563e-05,143.55398737446328,4301.921156781269
71,0.0004999940172137,6.579543583799302e-10,0.0004199963087956,3.2206473293605665e-05,150.7315290049323,4517.017129586094
72,0.000499994033773,6.147689382691953e-10,0.0004399961420384,2.298019296726373e-06,157.90901293434604,4732.11321414529
73,0.0005000152952537,-1.668054518834437e-09,0.0004599936930895,-0.0001197757865994,1.6556284921261035e-05,0.0001154722461819
74,0.0004999948991745,3.9241724448318485e-10,0.0004799963097952,6.468153059846223e-06,4.362729411199599e-06,3.20632446204947e-05
75,0.0004999948632977,3.806957518163984e-10,0.0004999961352526,-5.993438173407092e-05,1.814546984629438e-06,6.219843259059764e-05
76,0.0004999948813037,3.6534118801196237e-10,0.0005199959711469,3.5569428942004835e-06,-3.277874564954328e-05,8.883469636143258e-05
77,0.0004999948732984,3.501747435675266e-10,0.0005399958213318,9.53270571487635e-06,-1.105287369893563e-05,3.96544927471342e-05
78,0.0004999949086909,3.843568750208977e-10,0.0005599956552282,-1.1045460333856911e-06,2.6824913873836106e-05,5.30129374516398e-05
79,0.0004999948291034,3.969181380516866e-10,0.0005799954828028,-3.2936703620432214e-05,-6.518127932483395e-07,8.396042413202547e-05
80,0.0004999948752164,3.7866154320953925e-10,0.0005999953216511,-2.7361236779246984e-05,-2.308447143687201e-05,0.0001125935194925
81,0.0004999948627873,3.9116947548159576e-10,0.0006199951760257,1.1782156680167375e-05,-6.228373039780464e-06,9.070655940876665e-05
82,0.0004999948819012,3.730646514107005e-10,0.0006399949884646,-2.7648925885682824e-05,4.084650861037033e-06,3.0930832626823334e-05
83,0.000499994872265,3.8114534936532147e-10,0.0006599948276873,-5.867359775101939e-05,2.4350332139828853e-05,-3.080667002487567e-05
84,0.0004999949061779,3.762432721922671e-10,0.0006799946845063,-1.5587376617180427e-05,-4.134708875379237e-05,0.000111612544503
85,0.00049999487396,3.8747272463026355e-10,0.0006999945231045,-7.10444581872717e-05,2.720283864181876e-05,0.0001005461948712
86,0.0004999948793815,3.948473472507495e-10,0.0007199943468918,-2.8326986679965538e-05,1.607695457330121e-05,0.0001271475701675
87,0.0004999948641429,3.7187569592161575e-10,0.0007399942000472,-3.403705821854556e-05,-7.377530291093173e-06,0.0001372182967158
88,0.0004999949066322,3.7186339347658924e-10,0.0007599940158372,-3.1404045506980354e-06,-3.973320257785082e-05,3.4952777214127034e-05
89,0.0004999948887409,3.9797142756890303e-10,0.0007799938684289,2.199156517557797e-05,-3.4636726159306986e-05,8.267265356143174e-05
90,0.0004999948858589,3.962718558509229e-10,0.0007999936988867,-5.336890786016004e-05,5.13953498000621e-07,9.65213217282253e-05
91,0.0004999948770845,3.947977883972209e-10,0.0008199935303098,-7.198546121838936e-05,3.843572371329549e-05,-6.866857724111023e-05
92,0.0004999948484169,3.8869400970466116e-10,0.000839993362426,-9.499837281355944e-05,4.2445805797377545e-05,3.270787760438069e-05
93,0.0004999948773749,3.89690792465485e-10,0.0008599932104693,-4.225239720620821e-05,6.835913774372559e-06,1.0857125476117257e-05
94,0.0004999949094871,3.7061028673509287e-10,0.0008799930520202,1.720475074130169e-05,-6.640069210515067e-05,9.716333720500354e-05
95,0.0004999948950774,3.632942503392231e-10,0.0008999928908621,-9.23222643927718e-05,3.517699552017192e-05,0.0001350596172235
96,0.0004999948963105,3.662061086362976e-10,0.000919992741758,-3.0367055461779443e-06,5.641885630522207e-05,-3.353495668228478e-05
97,0.0004999948878577,4.0103243038992956e-10,0.0009399925688944,1.3131018845925471e-05,3.991244121925293e-05,-8.948837817772315e-06
98,0.0004999948632968,3.6182823660089426e-10,0.000959992400651,-1.3714526889370014e-06,3.315939766928627e-05,0.0001194182425125
99,0.0004999948595542,3.963698258860051e-10,0.0009799922224562,-5.580982677367388e-05,1.5027869401742029e-05,0.0001343281471874
100,0.0004999948807017,3.961195488410528e-10,0.0009999920705075,1.5609286690206914e-06,-0.0001078187811749,0.0001959984126488
