t,eps_xx,eps_xy,eps_yy,sig_xx,sig_xy,sig_yy
0,0.0,0.0,0.0,0.0,0.0,0.0
1,6.000147509031409e-06,-1.2028289867005298e-10,-8.183030191948843e-11,298135.35914694093,272.4108286653417,61861.64544983084
2,1.2000199232899411e-05,-1.3074285809711022e-10,-1.6642454744636964e-10,596264.5401694259,554.011621451,123719.2553650982
3,1.8000254844061693e-05,-1.3890898878332112e-10,-2.5246960628338324e-10,894393.7252111612,835.612012873949,185576.85912294712
4,2.400030703105217e-05,-1.5149958657135784e-10,-3.3760991708495627e-10,1192522.9113021493,1117.2127138170963,247434.46607171028
5,3.000035392076798e-05,-1.6302645926633144e-10,-4.22522087744751e-10,1490652.095886525,1398.8134469666404,309292.0818472312
6,3.600041181769189e-05,-1.7281770521226343e-10,-5.080744828644604e-10,1788781.2819912257,1680.4141957622655,371149.69049329165
7,4.200046565373143e-05,-1.8143995583484798e-10,-5.92292477242857e-10,2086910.467166175,1962.014605513772,433007.3015417025
8,4.800041746254668e-05,-8.800345307393156e-11,-6.788263008414792e-10,2384572.237513341,2276.772841997483,494936.9446570119
9,5.4000469346936775e-05,-9.873611735239803e-11,-7.583110895828768e-10,2679913.816932211,2182.387531715067,556922.5265996509
10,6.0000499455678857e-05,-9.451295632006091e-11,-8.353421225090352e-10,2958811.8464461043,1948.970787721804,619754.0232926854
11,6.600051593627675e-05,-1.5029407693237835e-10,-8.924881320205039e-10,3215104.4148218194,1667.2535483800953,681440.0376846079
12,7.200048408512018e-05,-1.4868175554842298e-10,-9.487272731835664e-10,3448906.2042734222,-1147.6390981308364,740312.3318556763
13,7.80000990604005e-05,7.52863162833603e-11,-7.033043108554252e-10,3668962.006529231,582.757250871564,796440.6802569592
14,8.40001068421502e-05,8.220417237640554e-11,-7.773415352641334e-10,3881553.3511954457,3854.512216245975,851074.8514220027
15,9.000034682792226e-05,2.2488294853696132e-10,-3.2827708927634046e-10,4052030.605073888,836.7106536743269,901997.1749940644
16,9.600031592358488e-05,2.4157089796759754e-10,-2.945731455932102e-10,4201795.29182589,8079.785767609697,944027.1257046036
17,0.0001020002519335,2.633641923954563e-10,-2.9819470539300473e-10,4356851.990202916,3747.3796091947406,985792.0287503046
18,0.0001080002941321,2.9293936507528056e-10,-3.0406169563599693e-10,4478795.703209227,5856.816144668562,1024582.894348753
19,0.00011400026714,3.2054055467395167e-10,-3.4243236517465527e-10,4634682.000346817,12310.930565430706,1068513.4415554183
20,0.000119999801199,2.0869701843263868e-10,1.647176513554256e-09,4720150.93462421,4684.312259466904,1099027.233258678
21,0.0001260000332252,1.3981571492087198e-10,1.5547598337823902e-09,4808769.119800204,9489.975938812666,1126659.440105054
22,0.0001319987487669,-1.9668175838624295e-10,3.3204071978514555e-09,4819738.140735706,6338.891051588755,1136474.040399233
23,0.0001379986944991,-1.9031334663265502e-10,3.321814743662841e-09,4952230.908983636,9328.945303315431,1172752.3838605369
24,0.0001439985623638,-1.7841811747893358e-10,3.720121024790237e-09,5015133.778444976,668.2171796895639,1195107.928151057
25,0.0001499983375332,-1.4025657682728502e-10,3.6783444636194557e-09,5093436.07448737,-707.0236486159042,1221707.6870261794
26,0.0001559981412733,-9.02600685656578e-11,3.6929398826856773e-09,5073486.712151794,-9279.506721450727,1218444.5749678188
27,0.0001619978257287,-1.3610004072288528e-10,4.051834611765047e-09,5092613.629844109,-15703.364756256742,1219387.9026003124
28,0.0001679956233399,2.1414782893924442e-10,-2.446777386156071e-09,2350768.4864465166,309690.74623977195,410894.1888304728
29,0.0001739948663834,1.9050708456875067e-10,-1.177436081097826e-09,1067476.7961206243,307635.3434358993,141777.21069418415
