t,eps_xx,eps_xy,eps_yy,sig_xx,sig_xy,sig_yy
0,0.0,0.0,0.0,0.0,0.0,0.0
1,8.000362950224188e-06,-2.56957415397937e-10,-9.787325774650927e-11,398428.3341955106,-72.3604531772861,81589.55589328622
2,1.6000391435350065e-05,-2.480026876423971e-10,-9.958582038834131e-11,796842.6155681319,-138.6894605216823,163174.52677559678
3,2.400042818951008e-05,-2.4003261958058245e-10,-1.0416045369187274e-10,1195256.8977519667,-205.01866009226947,244759.50951086383
4,3.200045906201904e-05,-2.2503116540061142e-10,-1.0652396798419943e-10,1593671.1797019,-271.3478449996737,326344.47323861683
5,4.000048987853907e-05,-2.1377978230052087e-10,-1.0819234733905715e-10,1992085.4623257844,-337.6770557126518,407929.4118963475
6,4.800019356601602e-05,6.882667009042635e-11,-1.523381489214828e-11,2390003.1403245307,-307.87380451613166,489562.4286718539
7,5.600022537666937e-05,8.162219347072551e-11,-1.909726701804374e-11,2785269.1693797847,-293.8048748927912,571371.61503408
8,6.40002689508435e-05,8.634709633028485e-11,-2.364210611456684e-11,3147486.5492007826,1901.551207538229,652258.6467482946
9,7.200031224111622e-05,9.434687773125297e-11,-4.080067263746029e-11,3475406.6657953644,2997.287415078355,731745.085357161
10,8.000035384947441e-05,1.2087477050438247e-10,-4.6507551702524066e-11,3736801.676254365,5821.671760187878,800576.4885762081
11,8.80004070793166e-05,1.4112679754162588e-10,-6.85968898387782e-11,4009910.069920983,5067.912263362421,870811.143789632
12,9.6000457832177e-05,1.5152498601845828e-10,-8.048691555198369e-11,4235170.451806778,2015.7745810669064,932704.4733059994
13,0.0001040005155146,1.6094753455085e-10,-9.391816167127148e-11,4453099.500062648,8249.447046243127,991346.3582949638
14,0.0001120012190558,-2.8318720289911307e-10,-1.15936678038206e-10,4645547.017281318,4073.3421630213634,1045964.448124484
15,0.0001200013256897,-3.3495789817952933e-10,-1.1070432740385271e-10,4866022.815716898,8721.647148833476,1108233.1091561553
16,0.0001280013970951,-3.0402659510596263e-10,-7.950345739695587e-11,4964384.083386387,12719.30797903444,1145853.1508661308
17,0.000136001496562,-3.3347979766144544e-10,-1.3054937988594894e-10,5014099.227381343,-2260.106479867148,1167554.3356902103
18,0.0001440018261494,-7.522594797338028e-10,-3.1376825104545026e-10,3982640.966557287,-27083.15231127765,925872.8438918312
19,0.000152001927864,-7.627207501219481e-10,-3.0748331297223005e-10,4140723.831808464,-44299.67867019986,944810.7500017209
20,0.0001600022015833,-8.925836889536244e-10,-4.1417508562444985e-10,4265452.161113616,-42766.75299963911,975962.7827481847
21,0.0001680023831988,-8.902763992860152e-10,-3.7719464528064587e-10,3976697.275300155,-85873.09356503582,889151.7900001537
22,0.0001760031204752,-1.3259212090939886e-09,-5.260058112627516e-10,3025347.4161570654,55352.49842645257,595658.4247446057
23,0.0001840031973228,5.327126592634278e-12,-2.3970186845082323e-11,1288241.4240986374,81964.22852574487,180471.82546630784
24,0.0001920033426099,1.4642657703262562e-11,-1.6141881204156287e-11,1329353.076584232,80763.40323635619,186611.5603983111
25,0.000200003479572,1.0116097590735638e-11,-1.780920028030245e-11,1348783.0655695274,83102.08364024216,186353.7429828732
26,0.0002080036191017,9.53009730269531e-12,-1.3779365687894085e-11,1402000.6912398576,86967.85511291755,193611.33479428224
27,0.0002160037288043,3.5395057184506834e-11,-6.460935397768069e-11,1327923.1688480426,11986.382614677608,188337.344861829
28,0.0002240039061513,1.109529115421332e-11,-3.6039986988111125e-11,1069260.6299990474,-120570.8840980485,140357.79067614552
29,0.0002320040470481,9.22184870993752e-12,-5.417831367908065e-11,1105441.8867835866,-125973.59573354352,145302.12875139483
30,0.0002400042119349,2.0869323189429974e-12,-3.6403805069263016e-11,977934.793705741,-78793.72119358619,114783.25363002712
31,0.0002480043252537,-8.810226766116803e-12,-3.1400415180049926e-11,985514.944831238,-110977.74197255568,123360.50939315098
32,0.0002560044645962,-8.649491476973525e-12,-3.4982302969912284e-11,1017284.0493125988,-114579.18733841598,127292.39864956692
33,0.0002640045980822,-3.34374878409571e-11,2.7818653423390792e-11,492895.1963053759,20459.3610364158,33293.75768169965
34,0.0002720052358286,-9.075139729355236e-11,3.0327480464132785e-10,507832.39297629806,21075.672813306963,34306.30325440398
35,0.0002800053650199,-8.98997911149965e-11,2.98095429315726e-10,522768.6141055849,21695.653370199587,35315.17672896877
36,0.0002880050018554,-1.1819227186422708e-11,2.6031291296198596e-11,537201.330632104,23844.394557735737,36009.24782153387
37,0.0002960051346227,-2.6118301526840164e-11,6.1940568936389716e-12,514946.0864959739,45507.550177546334,34641.56053295988
38,0.0003040053231447,-5.2272659831332756e-11,5.098613066790103e-11,447875.78239602735,72189.48537302153,15517.458799371956
39,0.0003120054168155,-3.10151241129839e-11,4.329401019909592e-11,388318.99631412345,16742.45589335015,9815.338015124633
40,0.0003200055442791,3.57844114739736e-10,3.664808142168015e-10,398273.6816419705,17173.39772262582,10084.260672026803
41,0.0003280056771045,-2.4260879269318872e-11,3.2181147245380765e-11,401439.3714461739,-7285.6923955204675,6809.678508603574
42,0.0003360058279588,-2.9652024177529103e-11,2.8720887339313468e-11,411215.44251257903,-7441.432281780834,6959.524628809286
43,0.0003440064904572,-8.754059016507359e-11,1.150030962453674e-10,421007.2584057661,-7619.620387004892,7133.941687448632
44,0.0003520066151542,-8.214787734902142e-11,1.263383611871721e-10,430798.1020491333,-7796.798350270664,7299.594483448744
45,0.0003600063692859,1.720944905805383e-10,1.4416750142861178e-10,253253.98857031213,42648.66904835486,-37220.58956121358
46,0.0003680068889246,-4.19988207946827e-10,7.909804251984442e-11,258882.7663736136,43593.95784833032,-38082.69595649554
47,0.0003760070281712,-4.1677047614052464e-10,8.244801543556836e-11,264510.64368886856,44541.67358655771,-38910.09405380189
48,0.0003840071749911,-4.1834299603533175e-10,7.938503802165369e-11,270138.5210040173,45489.39132597398,-39737.48116071583
49,0.0003920068111114,3.559424943586253e-12,1.7226659571197518e-10,275172.3705442001,45795.30507369886,-40280.70236955
50,0.0004000071397307,1.8205206508122136e-10,7.021949582650154e-10,280786.7966949307,46727.38440198526,-41076.88524453451
51,0.0004040070172657,2.000022196319141e-06,6.000172200975927e-06,283404.518758758,58738.69558732701,207052.34032212012
52,0.0004080071017474,3.9999397957942535e-06,1.2000210698151106e-05,286063.0879861328,70737.00226643193,455218.3395458831
53,0.0004120071410116,6.000054877127715e-06,1.800017217223093e-05,288531.6277886152,82284.17958333113,702924.0202841357
54,0.0004160072112146,8.000071463279104e-06,2.400017744907024e-05,288944.97107653454,91063.06671993676,951762.0132997388
55,0.0004200072666444,1.0000087739567594e-05,3.0000170166757025e-05,291087.0889706142,102598.69678930628,1198246.853976485
56,0.0004240073324042,1.2000107338989656e-05,3.600017420767455e-05,293573.4610729854,114622.23131065335,1444124.3706737622
57,0.0004280073877823,1.4000122169840052e-05,4.200017447165074e-05,280037.93491217535,114202.88661067132,1687014.0561244558
58,0.0004320074510664,1.600013942895699e-05,4.800017197085616e-05,282311.6347089119,125966.94368669932,1929639.631791869
59,0.0004360075149878,1.80001588155869e-05,5.400018344945201e-05,283841.607989482,139201.34983793902,2150077.560220788
60,0.0004400075798041,2.0000174834722287e-05,6.00001864972287e-05,285926.8273626207,150427.0169721886,2377124.839580491
61,0.0004440076486743,2.200019402730372e-05,6.600022326910465e-05,287240.004201712,162998.55717236528,2574825.0537213804
62,0.000448007727501,2.4000221369979047e-05,7.20002092450952e-05,288678.6691643321,172847.80441128713,2759072.8884045663
63,0.0004520077965264,2.600023949926832e-05,7.800023281708373e-05,288374.9782260124,180842.54411820255,2925517.826626041
64,0.0004560078932347,2.800023781583458e-05,8.400024715672472e-05,289740.4053473347,191522.00072092903,3097584.5598653643
65,0.0004600079813489,3.0000260889647577e-05,9.00003724915881e-05,286487.95459542127,199677.67156218292,3194562.248206036
66,0.000464008048954,3.2000277558165706e-05,9.60003803547838e-05,286408.350610881,203150.00665871712,3325963.7062972607
67,0.0004680082338892,3.400025817390558e-05,0.0001020005824272,215180.03047839264,174082.2224222467,3318713.855109549
68,0.0004720083054777,3.60002769722874e-05,0.0001080006139297,215575.735703026,183511.64266635836,3434265.0061903754
69,0.0004760083767452,3.800030085871564e-05,0.0001140006314878,215917.3492653476,192903.0656237874,3573862.0940927584
70,0.0004800084442633,4.000031867580357e-05,0.0001200006758975,216167.05919640843,202726.43256932872,3705698.7338587674
71,0.000484008516229,4.200033431890037e-05,0.0001260007148458,215984.0905305542,212703.5890608325,3755285.524876262
72,0.0004880085796345,4.400036917692091e-05,0.000132000776654,215088.07092484343,216882.33970332536,3822756.058172883
73,0.00049200862586,4.6000385363371e-05,0.0001380008710254,214799.83026504124,225795.1196765745,3903077.618933835
