t,bbr,C_1111,C_1112,C_1122,C_1222,C_2222,C_1212,eps_1_xx,eps_1_xy,eps_1_yx,eps_1_yy,sig_1_xx,sig_1_xy,sig_1_yx,sig_1_yy,eps_2_xx,eps_2_xy,eps_2_yx,eps_2_yy,sig_2_xx,sig_2_xy,sig_2_yx,sig_2_yy,eps_3_xx,eps_3_xy,eps_3_yx,eps_3_yy,sig_3_xx,sig_3_xy,sig_3_yx,sig_3_yy
0,0.0,49743572527.53906,1705722.3962211714,10254000788.037298,-442958.2135261467,49744077968.23616,19220881066.94096,9.999451359324651e-09,1.5237589706174638e-13,-6.068921244192933e-13,-3.7757101304947573e-13,497.40835990055257,-0.0009420393521659,-0.0039104520796208,102.50321237357244,-7.246672815432612e-15,-1.143613340195195e-13,5.4362131451365816e-14,9.999833298043767e-09,102.55032498036208,-0.0107521355455995,-0.0077854447347206,497.4286151908094,2.91721097999898e-13,1.0000524542326528e-08,1.0000396707590485e-08,-3.170068444814834e-13,0.050271721492856,384.4297313615423,384.4409240534487,-0.0192708472802663
1,0.0,49743572527.53906,1705722.3962211714,10254000788.037298,-442958.2135261467,49744077968.23616,19220881066.94096,9.999451359324651e-09,1.5237589706174638e-13,-6.068921244192933e-13,-3.7757101304947573e-13,497.40835990055257,-0.0009420393521659,-0.0039104520796208,102.50321237357244,-7.246672815432612e-15,-1.143613340195195e-13,5.4362131451365816e-14,9.999833298043767e-09,102.55032498036208,-0.0107521355455995,-0.0077854447347206,497.4286151908094,2.91721097999898e-13,1.0000524542326528e-08,1.0000396707590485e-08,-3.170068444814834e-13,0.050271721492856,384.4297313615423,384.4409240534487,-0.0192708472802663
2,0.0,49743572527.53906,1705722.3962211714,10254000788.037298,-442958.2135261467,49744077968.23616,19220881066.94096,9.999451359324651e-09,1.5237589706174638e-13,-6.068921244192933e-13,-3.7757101304947573e-13,497.40835990055257,-0.0009420393521659,-0.0039104520796208,102.50321237357244,-7.246672815432612e-15,-1.143613340195195e-13,5.4362131451365816e-14,9.999833298043767e-09,102.55032498036208,-0.0107521355455995,-0.0077854447347206,497.4286151908094,2.91721097999898e-13,1.0000524542326528e-08,1.0000396707590485e-08,-3.170068444814834e-13,0.050271721492856,384.4297313615423,384.4409240534487,-0.0192708472802663
3,0.0,49743572527.53906,1705722.3962211714,10254000788.037298,-442958.2135261467,49744077968.23616,19220881066.94096,9.999451359324651e-09,1.5237589706174638e-13,-6.068921244192933e-13,-3.7757101304947573e-13,497.40835990055257,-0.0009420393521659,-0.0039104520796208,102.50321237357244,-7.246672815432612e-15,-1.143613340195195e-13,5.4362131451365816e-14,9.999833298043767e-09,102.55032498036208,-0.0107521355455995,-0.0077854447347206,497.4286151908094,2.91721097999898e-13,1.0000524542326528e-08,1.0000396707590485e-08,-3.170068444814834e-13,0.050271721492856,384.4297313615423,384.4409240534487,-0.0192708472802663
4,0.0,49743572527.53906,1705722.3962211714,10254000788.037298,-442958.2135261467,49744077968.23616,19220881066.94096,9.999451359324651e-09,1.5237589706174638e-13,-6.068921244192933e-13,-3.7757101304947573e-13,497.40835990055257,-0.0009420393521659,-0.0039104520796208,102.50321237357244,-7.246672815432612e-15,-1.143613340195195e-13,5.4362131451365816e-14,9.999833298043767e-09,102.55032498036208,-0.0107521355455995,-0.0077854447347206,497.4286151908094,2.91721097999898e-13,1.0000524542326528e-08,1.0000396707590485e-08,-3.170068444814834e-13,0.050271721492856,384.4297313615423,384.4409240534487,-0.0192708472802663
5,0.0,49743572527.53906,1705722.3962211714,10254000788.037298,-442958.2135261467,49744077968.23616,19220881066.94096,9.999451359324651e-09,1.5237589706174638e-13,-6.068921244192933e-13,-3.7757101304947573e-13,497.40835990055257,-0.0009420393521659,-0.0039104520796208,102.50321237357244,-7.246672815432612e-15,-1.143613340195195e-13,5.4362131451365816e-14,9.999833298043767e-09,102.55032498036208,-0.0107521355455995,-0.0077854447347206,497.4286151908094,2.91721097999898e-13,1.0000524542326528e-08,1.0000396707590485e-08,-3.170068444814834e-13,0.050271721492856,384.4297313615423,384.4409240534487,-0.0192708472802663
6,0.0,49743572527.53906,1705722.3962211714,10254000788.037298,-442958.2135261467,49744077968.23616,19220881066.94096,9.999451359324651e-09,1.5237589706174638e-13,-6.068921244192933e-13,-3.7757101304947573e-13,497.40835990055257,-0.0009420393521659,-0.0039104520796208,102.50321237357244,-7.246672815432612e-15,-1.143613340195195e-13,5.4362131451365816e-14,9.999833298043767e-09,102.55032498036208,-0.0107521355455995,-0.0077854447347206,497.4286151908094,2.91721097999898e-13,1.0000524542326528e-08,1.0000396707590485e-08,-3.170068444814834e-13,0.050271721492856,384.4297313615423,384.4409240534487,-0.0192708472802663
7,0.0003,49743301905.69678,1016912.7668821386,10252921883.4416,-1602485.7090399074,49742156458.12767,19219935467.798767,9.999487102619251e-09,7.586558619061229e-14,-5.365560266017082e-13,-3.258519891777745e-13,497.4067643756384,-0.0080255442344089,-0.010993407517816,102.4955942367708,-7.232843010029759e-14,1.081501772810839e-13,-3.116417789728196e-14,9.999930155644582e-09,102.53706129446198,-0.0176702692999574,-0.0147041477046936,497.4147490891224,-9.726094088095225e-14,1.0000782365828378e-08,1.0000138820133889e-08,-1.2443661078727292e-13,0.0234687740426081,384.41081781217457,384.4220096880255,-0.0343700355146312
8,0.0005,49744149319.29873,1013176.2299022689,10253446700.041056,-5269431.64203198,49728599873.452805,19216963557.79281,9.999109789563672e-09,3.31652889009004e-13,-1.207327301321628e-12,2.6323924165996023e-14,497.3992606697084,-0.0187154130203566,-0.0216847938540059,102.5222379994748,1.9997366187823882e-13,-5.563413945132224e-15,2.350977973977329e-13,9.999958205606394e-09,102.5483815566023,-0.055051431712305,-0.0520886790441874,497.28419102498873,1.996432324938797e-12,1.0000808283212333e-08,1.0001346518952552e-08,-1.3173681011756348e-13,0.1049802019523996,384.37508344287903,384.38627174046354,-0.0993232779953383
9,0.022,49375084328.59712,56996843.85025808,10165093462.825136,20271321.710530423,49420957842.78983,19071721581.299503,9.999009661143062e-09,1.917893467395932e-13,-2.6998931123591924e-13,2.2334027595561852e-13,493.7021205863314,0.5375630932485517,0.534699203405366,101.6539903424535,1.1516513231561728e-14,4.212413870345241e-14,2.988588824095353e-13,9.999962567576593e-09,101.64905222802344,0.1817274385085757,0.1846733024592133,494.21000081494685,1.0872130548504852e-12,1.0000516842874953e-08,1.0000551348838309e-08,1.0783212242384621e-13,1.117178020547922,381.4493079321864,381.4603049946718,0.4023325409090788
10,0.1225,47158764444.66801,20458877.5014431,9554625149.82539,-3909360.938558446,47199585765.88056,18283542659.48072,1.0000704669892965e-08,3.608855740953596e-14,-8.420544370291183e-13,-2.4854634371905857e-13,471.62557431534873,0.1540080522792412,0.1481090315655142,95.53872003364636,4.90902641210792e-13,-1.8177737659641946e-13,-2.0761959096345005e-13,1.0000585140595352e-08,95.57754852221636,-0.050359592666233,-0.0434613037033758,472.02110238613335,4.760961548407225e-13,1.0000668703050356e-08,9.999913266458322e-09,-3.3524041613809213e-13,0.4241808253915132,365.6756489984954,365.68730851386425,-0.0889774201954162
11,0.2136,45196567304.62091,-68566941.13868417,8893757739.070862,-192207058.35465243,44649729864.74774,17452830994.18501,1.0000528375377784e-08,-2.1820374137092138e-13,-1.0038257865614345e-12,-1.8236954126914978e-13,451.99210973159694,-0.6687732154125392,-0.6947433074580511,88.96392214236197,2.822885161374927e-13,1.165908463989534e-14,-6.03560300516844e-13,1.000047623622116e-08,88.92468614566334,-1.831478637590888,-1.8282184786363989,446.51703457443216,-6.826311998255821e-13,1.0000683046411292e-08,1.0000884098332693e-08,-5.163051233514691e-13,-1.3119056109578064,349.0778538758528,349.0904600888409,-3.643547543494559
12,0.2896,43701970259.46266,-189117903.88820264,8434470400.930166,-306299554.97302514,42856939990.35136,16845233932.82816,1.00010272433773e-08,-1.959346445457631e-13,-6.321151733055821e-13,2.526643733386355e-13,437.0630680792543,-1.7903278851194862,-1.812327903954939,84.35315022252546,-2.28868967415932e-13,-2.830902315983904e-13,-3.323758972998458e-13,1.0000393484936604e-08,84.35016381674444,-2.9077425691781564,-2.902701830335784,428.5884518272108,-2.264325205846397e-12,1.0000168921267476e-08,1.0000677600915705e-08,-1.9776520603917306e-13,-3.645019222191909,336.9123572344127,336.9261707307758,-5.782020780975113
13,0.3652,41745337571.38262,-95998504.93861528,7919762415.221163,-199416888.99367505,41048561866.92885,16310346285.860214,1.0000774523847029e-08,-3.963562662594069e-13,1.853598768298927e-13,2.5987682249808014e-13,417.48565370033225,-0.9000423555806653,-0.9292411626586852,79.21405159475889,-3.1173227461928983e-14,-1.718696856573723e-13,-5.662264525448169e-13,1.0000469913671113e-08,79.20100616021719,-1.881392497006236,-1.886838937041596,410.5069439608114,-2.1175812219133463e-12,1.0000651705818393e-08,1.0000790974896791e-08,1.1832478022511777e-13,-1.87720357732744,326.2195580598448,326.2416712035544,-3.76872922014473
14,0.4434,40210352463.4856,-71195446.25796732,7450390013.703663,-195823126.90041563,39180396851.4305,15732248737.047447,9.999648679547952e-09,-7.32442710403201e-13,2.941046891277148e-14,1.9976548096873565e-13,402.0899112592815,-0.6687991171925546,-0.6975965045239972,74.51612112973118,5.5747449586013055e-14,-1.35449395795398e-13,-5.675907132388587e-13,1.0000470226139362e-08,74.50307306582395,-1.8462141740439928,-1.8504341793632493,391.8239402447825,-1.4706087945642168e-12,1.0001081431043068e-08,1.0000588976763482e-08,-3.262741442065813e-13,-1.3935680293646031,314.6601990878892,314.6826642697391,-3.717402132749727
15,0.5207,38219855572.68558,123133084.59251247,6704394379.035885,114671382.19645528,36893475458.01811,15022716717.72081,1.000009022039481e-08,-7.933653601843069e-14,-1.92788058674062e-12,5.645908248575081e-13,382.205169229111,1.1272263056030765,1.098945524724774,67.07418192559368,4.886911878361855e-13,-5.433160964453194e-14,-1.8354794816877208e-12,1.0001494453961968e-08,67.0638052569457,1.0557905592853043,1.0512160276119775,368.9936494101067,-9.590236555216218e-13,1.0001658571365677e-08,1.0000529361050136e-08,-2.3822872255477e-13,2.2963893114651657,300.47540262098846,300.4981307606055,2.141718058936489
16,0.5881,36471421531.47093,107879896.48314644,6001870723.557394,79206026.072222,35039816891.23726,14344699955.58276,1.0001184502788304e-08,-4.3913175056257043e-13,-4.048571382010667e-14,1.2535172904343168e-13,364.7611356236583,1.004333176974138,0.9757087659956803,60.03700899777452,6.39471727939064e-13,-2.7264052244344245e-13,-1.8822473806711843e-12,1.0001443003659173e-08,60.04301930252777,0.7077595827340121,0.7164928980262296,350.4494491097341,-1.1792861769565406e-12,1.0000250248628016e-08,9.999854881584212e-09,-4.614228335554694e-13,2.0125797318612744,286.8842006147427,286.90639474162566,1.4759723802488562
17,0.6414,35242299461.263275,-77452714.27085406,5630902887.12756,-85647178.028159,33940226034.66489,13966013681.69616,1.0001030350233312e-08,-6.62688171345893e-13,-4.029969857761057e-13,-9.104360597122065e-14,352.4616046025134,-0.7356402225048404,-0.7639917531465795,56.32414043828347,3.7956030381386633e-13,-1.5645087250604657e-13,-1.597174442175789e-12,1.0001667109431865e-08,56.31892411951852,-0.8223099860353372,-0.8133332865967905,339.4582972242787,-2.2104675624168653e-12,1.0001152746953065e-08,1.000269252728567e-08,4.1555249259505963e-13,-1.5266897120453198,279.36317512878867,279.385221704859,-1.626208855233063
18,0.6907,34044076586.07513,-461618084.5925185,4922227775.116859,-537840934.2632465,31453577538.02268,13319745605.155811,1.0001684016284216e-08,-4.08754063639464e-13,2.0633523594713045e-13,5.842893459762895e-13,340.500028527838,-4.341862813502313,-4.368771375314445,49.25124184413004,2.439290557106955e-13,-1.8739402411752561e-13,-1.5549474028802825e-12,1.0001351500804765e-08,49.23662507121734,-5.081379984517814,-5.072377938648011,314.58111066010304,-1.681966420914727e-12,1.0001300073648598e-08,1.0001315293372109e-08,9.927426961979345e-14,-8.756037730009409,266.41949744714896,266.4419460395276,-10.163357611252188
19,0.7881,30928722748.238186,-1910847769.844256,3010736535.8864546,-2416920472.648448,19504874098.41724,10573332294.888103,1.00002909305275e-08,-2.5311882349889072e-14,-1.39074479056543e-13,6.651697448837715e-13,309.2985657138877,-18.018467042782856,-18.045324938353662,30.121857110752664,-2.728687712352001e-13,1.87015342143477e-14,-1.4399948128986057e-12,1.0001357799904824e-08,30.11581134405256,-22.796602003947743,-22.789988331080345,195.0756224762881,-1.753589760652824e-12,9.999913143067958e-09,9.99894097396046e-09,7.047550916127966e-13,-36.05557552172338,211.4451960660506,211.47093452817504,-45.57402401704274
20,0.8455,28648308429.07896,-2646083739.177006,1411038803.2039258,-3294252599.8773823,13338449702.332336,8928198783.015211,1.000182452500988e-08,3.625216760367141e-13,1.072258691613769e-12,8.12604033217809e-13,286.5373476595423,-24.930860378600528,-24.95645124007818,14.13667002847127,-3.153183180654149e-13,1.411572972810934e-13,-1.2631900099630797e-12,1.0001056537716544e-08,14.110448516207914,-31.0607457750284,-31.05848457645913,133.39994720949392,-9.769668352553245e-13,1.0000615327499333e-08,9.999882849531834e-09,-6.798327187541866e-14,-49.90434282073573,178.55651065393306,178.58015008649912,-62.134994046971485
21,0.8515,28437365253.720493,-2667519059.529317,1410644847.5950232,-3289227569.5577407,13330084834.218092,8914083502.816755,1.0002121753697688e-08,2.0429262907228882e-13,-2.9144292611088684e-13,6.348402452698735e-14,284.4356680861087,-25.151918369392224,-25.177393233856257,14.114897067775766,-3.9803592973593284e-13,1.077756232079228e-13,-1.3299368080112877e-12,1.0001056947101697e-08,14.101530037795158,-31.01778139178481,-31.015526307143944,133.31476411482623,-8.902984736446886e-13,1.0000303709553097e-08,1.0000173578261067e-08,8.479867302483226e-14,-50.31095199986833,178.27812898914908,178.3017390820928,-62.03106132900551
22,0.8619,27831187958.647457,-2652333614.213803,1415053800.8764496,-3280380038.6073813,13310843971.911837,8874080157.467165,1.0000317971257795e-08,1.8019760999192988e-13,-5.732008238179576e-13,3.9355307908990854e-13,278.3174946891385,-25.023432395474703,-25.04811663763037,14.170662684289208,-5.310030142694934e-13,4.8847814502064613e-14,-1.179674979395218e-12,1.0001120874510631e-08,14.134243765619097,-30.927852240994195,-30.92557866945638,133.1251214741188,9.919055401892672e-13,1.0000702084618437e-08,9.999491935535913e-09,-3.898398218417954e-13,-49.970761028779606,177.47621036725067,177.49939986877266,-61.88036790896922
23,0.876,27169858296.27977,-2724694387.699265,1173496955.008305,-3312273054.149578,12337273764.89518,8671886903.753475,1.0001466513001204e-08,-6.588150088478489e-14,-5.053610720929353e-13,-1.6693258794899645e-15,271.7338524109665,-25.702311477656902,-25.726595882948747,11.731622395872211,-2.565164419745269e-13,3.1460599476649384e-14,-1.0935109720234209e-12,1.0001123505528382e-08,11.732665244977902,-31.229269240001305,-31.227158162800286,123.38624542579578,1.6628767367731569e-12,1.0000803687941364e-08,9.999245774522033e-09,1.1250631114678809e-13,-51.33707738557264,173.4314050227248,173.45449688366796,-62.46903772930581
24,0.8828,27023896637.99228,-2694186130.40252,1166102801.337618,-3342904225.675082,11987496995.401432,8642032124.144955,1.0000494869554768e-08,1.0588871677370061e-14,1.6299392225600193e-13,2.7288541046144043e-13,270.2484068060727,-25.40155831942016,-25.42570279183112,11.663063803155676,-2.811361124730606e-13,7.350066106831582e-14,-1.2250031124097417e-12,1.0001081766431246e-08,11.66004948306034,-31.52157323606843,-31.519642129743147,119.88786555734517,1.4186471044435144e-12,1.0001133771275544e-08,1.0000609597456341e-08,1.2390965136576334e-13,-50.76622270602124,172.8474386681737,172.87035630248752,-63.04661335178825
25,0.9,25995212984.60104,-2552982185.896265,1142892542.7136154,-3309277694.814497,11920619128.567633,8572365804.4478,9.999722860253432e-09,3.515757640646772e-13,2.4275639070781813e-13,1.272549993080017e-13,259.941487262551,-24.06566085681182,-24.088076467443823,11.441493206200956,-3.68914139038232e-13,-4.1712758127973696e-15,-1.2027200815966044e-12,1.0001053270617225e-08,11.413169458166456,-31.196687145409022,-31.194694619110404,119.22008333028948,1.2525370040449196e-12,1.0000672623667849e-08,1.0000744728885543e-08,-3.819133019037312e-13,-48.10193309177527,171.45063966950414,171.4729649699476,-62.42761533502188
26,0.9758,11803441316.569069,-3820202352.525462,1158709077.2575483,-3489550098.8382254,10378944320.41939,6490446164.253878,9.999556203604558e-09,8.582782704579769e-13,5.259653104098221e-13,-3.2622231724782266e-13,118.02634146690536,-36.009199273935224,-36.015229282863054,11.589870795265371,-5.671342357889104e-13,1.733279178769704e-14,-9.30627349909713e-13,1.0000885394198618e-08,11.571282357105058,-32.89427352745992,-32.893179579857616,103.79659532003136,6.040473306039603e-13,1.0000245389468549e-08,9.999387776285505e-09,5.045809762144636e-13,-72.01635460219397,129.7968866342623,129.81223753707584,-65.8059167323414
27,0.9801,10669912414.220802,-3633603491.9139967,1186247261.209453,-3534779242.6152267,9840500732.582682,6187666139.916632,9.999294842451077e-09,7.166683227505078e-13,5.608311718311027e-13,-1.8582432390394162e-13,106.6889761028852,-34.24915002543615,-34.25345505139722,11.869733218756576,-2.839533409776639e-13,-4.3872621166736356e-14,-7.756075543841212e-13,1.0001074283747053e-08,11.84518009506944,-33.31477531017519,-33.31432753495043,98.41198336609226,6.675084220471917e-13,9.999873604249496e-09,9.998546925293056e-09,1.0131590608490876e-12,-68.49850480423456,123.7354844116763,123.74832516231506,-66.65809798016514
28,0.9813,10377380371.815292,-3892871866.335888,1489771169.313221,-3303602386.8556023,9205956573.517824,5975997763.985517,9.999205381802314e-09,7.43028242108913e-13,4.653260085211846e-13,-2.5572503079085586e-13,103.7599882065192,-36.69427227691551,-36.696911401111954,14.901576630696235,-5.234886951981745e-13,-5.69327433850944e-14,-6.942472798206803e-13,1.00011237683963e-08,14.8792257345616,-31.13472907207485,-31.136230923954148,92.06649562305972,1.3047899106877277e-12,1.0000132430849009e-08,9.998245891747836e-09,9.746829050944072e-13,-73.37807678601632,119.50040013971326,119.51593867676009,-62.29801460059277
29,0.9813,10377380371.815292,-3892871866.335888,1489771169.313221,-3303602386.8556023,9205956573.517824,5975997763.985517,9.999205381802314e-09,7.43028242108913e-13,4.653260085211846e-13,-2.5572503079085586e-13,103.7599882065192,-36.69427227691551,-36.696911401111954,14.901576630696235,-5.234886951981745e-13,-5.69327433850944e-14,-6.942472798206803e-13,1.00011237683963e-08,14.8792257345616,-31.13472907207485,-31.136230923954148,92.06649562305972,1.3047899106877277e-12,1.0000132430849009e-08,9.998245891747836e-09,9.746829050944072e-13,-73.37807678601632,119.50040013971326,119.51593867676009,-62.29801460059277
