t,bbr,C_1111,C_1112,C_1122,C_1222,C_2222,C_1212,eps_1_xx,eps_1_xy,eps_1_yx,eps_1_yy,sig_1_xx,sig_1_xy,sig_1_yx,sig_1_yy,eps_2_xx,eps_2_xy,eps_2_yx,eps_2_yy,sig_2_xx,sig_2_xy,sig_2_yx,sig_2_yy,eps_3_xx,eps_3_xy,eps_3_yx,eps_3_yy,sig_3_xx,sig_3_xy,sig_3_yx,sig_3_yy
0,0.0,49682260359.42234,61223417.30559154,10311570808.093708,-67029296.97722868,49686704913.01531,19200301636.996803,1.0003061080533376e-08,-8.617901213061592e-12,1.6202715720771949e-12,-3.095459095574554e-12,496.9709258414359,0.3877179252206374,0.3862761956338126,102.9535210596731,-3.820258238216011e-13,7.608838632845941e-13,4.4761899575217047e-14,1.0000182760986778e-08,103.13822623450746,-0.5836680313023239,-0.5822191737776213,496.84437763234905,3.2277980807591228e-12,9.991092198358508e-09,1.0001747364343685e-08,-2.995834837843409e-12,1.299147378182381,383.8692656202677,383.86690562099216,-1.4442248629397445
1,0.0,49682260359.42234,61223417.30559154,10311570808.093708,-67029296.97722868,49686704913.01531,19200301636.996803,1.0003061080533376e-08,-8.617901213061592e-12,1.6202715720771949e-12,-3.095459095574554e-12,496.9709258414359,0.3877179252206374,0.3862761956338126,102.9535210596731,-3.820258238216011e-13,7.608838632845941e-13,4.4761899575217047e-14,1.0000182760986778e-08,103.13822623450746,-0.5836680313023239,-0.5822191737776213,496.84437763234905,3.2277980807591228e-12,9.991092198358508e-09,1.0001747364343685e-08,-2.995834837843409e-12,1.299147378182381,383.8692656202677,383.86690562099216,-1.4442248629397445
2,0.0,49682260359.42234,61223417.30559154,10311570808.093708,-67029296.97722868,49686704913.01531,19200301636.996803,1.0003061080533376e-08,-8.617901213061592e-12,1.6202715720771949e-12,-3.095459095574554e-12,496.9709258414359,0.3877179252206374,0.3862761956338126,102.9535210596731,-3.820258238216011e-13,7.608838632845941e-13,4.4761899575217047e-14,1.0000182760986778e-08,103.13822623450746,-0.5836680313023239,-0.5822191737776213,496.84437763234905,3.2277980807591228e-12,9.991092198358508e-09,1.0001747364343685e-08,-2.995834837843409e-12,1.299147378182381,383.8692656202677,383.86690562099216,-1.4442248629397445
3,0.0,49682260359.42234,61223417.30559154,10311570808.093708,-67029296.97722868,49686704913.01531,19200301636.996803,1.0003061080533376e-08,-8.617901213061592e-12,1.6202715720771949e-12,-3.095459095574554e-12,496.9709258414359,0.3877179252206374,0.3862761956338126,102.9535210596731,-3.820258238216011e-13,7.608838632845941e-13,4.4761899575217047e-14,1.0000182760986778e-08,103.13822623450746,-0.5836680313023239,-0.5822191737776213,496.84437763234905,3.2277980807591228e-12,9.991092198358508e-09,1.0001747364343685e-08,-2.995834837843409e-12,1.299147378182381,383.8692656202677,383.86690562099216,-1.4442248629397445
4,0.0021,49662102213.43911,42256598.408564806,10302702021.166529,-79435559.86283171,49676482969.9199,19181160251.83401,1.0002742647845104e-08,-8.068818438562977e-12,1.2010204059384353e-12,-3.779405638290216e-12,496.74936087348135,0.2089994058439368,0.2075497350366746,102.82951911548088,-7.728411987633884e-13,8.875858352048006e-13,-2.87820151382029e-13,1.0000177446594744e-08,103.02823296449844,-0.7101889401964567,-0.7087504744294636,496.73491769682727,2.5154075497421893e-12,9.991755946368571e-09,1.000084270802035e-08,-3.126899024948293e-12,0.9161800011152224,383.4821013937201,383.47971976658096,-1.6778298199025998
5,0.0108,49562210671.85816,-41866476.005718425,10251847311.208118,-176663782.21078652,49549203011.49818,19086673171.322,1.0001201435848234e-08,-6.788708106367423e-12,1.796372149177886e-13,-2.030604575428427e-12,495.67745263808087,-0.5403100863187409,-0.541912477022086,102.40648253282592,-4.02401544971441e-13,1.8596711140352145e-13,7.233680894194982e-13,9.999781651775824e-09,102.51972115648746,-1.6253876751920835,-1.624235892060799,495.4607044642438,1.960345602761008e-12,9.992810818402844e-09,1.0000806733542494e-08,-1.9370994166172773e-12,-0.7271761411842381,381.6131988045636,381.61031111519264,-3.456540546386738
6,0.028,49233161855.70873,-273056109.75977874,10112956550.75576,-377939039.2342767,49282641448.921394,18875394699.021324,1.0001870767329138e-08,-7.681689984970732e-12,4.284718694235624e-13,-4.252005342687298e-13,492.4239911253272,-2.7770302708435954,-2.777555101276268,101.05761078266065,6.768676766884937e-14,5.939840917911535e-13,1.9317655160134112e-14,1.0000417138566569e-08,101.20687422672576,-3.495965096858321,-3.4942952198390427,492.8431518913257,1.5958088892141806e-12,9.992050288059556e-09,1.0000480781455805e-08,-1.387429750769022e-12,-5.061142058333953,377.369130562928,377.3679708080749,-7.26734562206399
7,0.0494,48771179674.74871,-544437915.933133,9964122186.308723,-645210772.5563629,48909519986.85503,18605864103.328285,1.0001138844128666e-08,-7.9684963237679e-12,-6.336105102506195e-13,-2.782962848121432e-12,487.7621330803442,-5.340353256605943,-5.340928419301956,99.46369780125995,-4.57933581015224e-13,3.386882715955164e-13,-3.0948988891118705e-13,9.999892035490405e-09,99.67145656189128,-6.054253486395303,-6.052383524993873,489.0637189927039,1.2573650669231285e-12,9.99184235546966e-09,9.998825005155788e-09,-2.562530507670049e-12,-10.219435549367764,371.9485127190264,371.9475626411079,-12.327719158866412
8,0.0675,48402338512.26229,-753700692.1201043,9833739021.517223,-855642459.9095076,48578082721.922165,18413417752.37175,1.0002010063943956e-08,-7.6083943732386e-12,-4.856239361835813e-13,-2.330043003272937e-12,484.11293968243456,-7.323056701499563,-7.322882155011976,98.18991926978488,-6.709038966924312e-13,5.909843292644827e-13,3.18563992394246e-14,9.999854134909232e-09,98.35826330677686,-8.014847265378435,-8.012980735688563,485.7527395949187,1.601098216707007e-12,9.991664321317794e-09,9.999902360931905e-09,-2.40147759739813e-12,-14.127521345114504,368.1184587619202,368.1181505274892,-16.293519691674177
9,0.0933,47865881324.13975,-1050926180.1199971,9657451542.777044,-1165943475.8958094,47996863208.60835,18118233295.55217,1.0002021479709186e-08,-7.772097600878931e-12,-6.967150933545664e-14,-2.4120487659832096e-12,478.7557095416568,-10.105213750644593,-10.104672698212884,96.41805607598978,2.726544818682309e-13,5.137273333935903e-13,2.414098267029285e-13,1.0000115360832295e-08,96.6492368437198,-10.936578806972449,-10.934412969032886,479.9538689820362,2.514313471217669e-12,9.991451091951013e-09,9.99970011280226e-09,-2.7516885989501256e-12,-19.71287247463514,362.2111617302367,362.2113816056719,-22.152485400760067
