t,bbr,C_1111,C_1112,C_1122,C_1222,C_2222,C_1212,eps_1_xx,eps_1_xy,eps_1_yx,eps_1_yy,sig_1_xx,sig_1_xy,sig_1_yx,sig_1_yy,eps_2_xx,eps_2_xy,eps_2_yx,eps_2_yy,sig_2_xx,sig_2_xy,sig_2_yx,sig_2_yy,eps_3_xx,eps_3_xy,eps_3_yx,eps_3_yy,sig_3_xx,sig_3_xy,sig_3_yx,sig_3_yy
0,0.0,49673970555.94089,15334219.642269628,10327643572.790115,-13001676.317200938,49673643471.952034,19265219654.4559,1.000014403230656e-08,5.1318203502905685e-14,-2.1893000503094964e-14,1.2971729598887853e-13,496.7446393735007,0.1317396311046396,0.1262594563408487,103.29264695266296,-2.1533708518431712e-13,-2.402341165893769e-12,-1.85617454967203e-13,9.999931016585284e-09,103.25674174639695,-0.1797222893452814,-0.1742380378205405,496.7343491708491,2.335496490026665e-13,9.999283458134758e-09,1.00003141582388e-08,-1.3918854602886757e-13,0.3010890203569438,385.29571788757113,385.29763109546593,-0.260242690033894
1,0.0,49673970555.94089,15334219.642269628,10327643572.790115,-13001676.317200938,49673643471.952034,19265219654.4559,1.000014403230656e-08,5.1318203502905685e-14,-2.1893000503094964e-14,1.2971729598887853e-13,496.7446393735007,0.1317396311046396,0.1262594563408487,103.29264695266296,-2.1533708518431712e-13,-2.402341165893769e-12,-1.85617454967203e-13,9.999931016585284e-09,103.25674174639695,-0.1797222893452814,-0.1742380378205405,496.7343491708491,2.335496490026665e-13,9.999283458134758e-09,1.00003141582388e-08,-1.3918854602886757e-13,0.3010890203569438,385.29571788757113,385.29763109546593,-0.260242690033894
2,0.0,49673970555.94089,15334219.642269628,10327643572.790115,-13001676.317200938,49673643471.952034,19265219654.4559,1.000014403230656e-08,5.1318203502905685e-14,-2.1893000503094964e-14,1.2971729598887853e-13,496.7446393735007,0.1317396311046396,0.1262594563408487,103.29264695266296,-2.1533708518431712e-13,-2.402341165893769e-12,-1.85617454967203e-13,9.999931016585284e-09,103.25674174639695,-0.1797222893452814,-0.1742380378205405,496.7343491708491,2.335496490026665e-13,9.999283458134758e-09,1.00003141582388e-08,-1.3918854602886757e-13,0.3010890203569438,385.29571788757113,385.29763109546593,-0.260242690033894
3,0.0002,49674055223.06309,15203011.669545662,10327288089.744656,-13492618.439394675,49672821947.73068,19264885021.767643,1.0000122915344547e-08,8.28242497143057e-14,2.930599628506428e-15,1.7033636145909297e-13,496.7437263264917,0.1317882203407726,0.1263078083422718,103.29174722197784,-2.841386341944844e-13,-2.411253977706504e-12,-2.917324761908224e-13,9.999945447305396e-09,103.24906424281296,-0.1859452561038636,-0.1804612285521285,496.7272693731051,2.190136197847189e-13,9.999226016857216e-09,1.0000332179635113e-08,-6.4905680521219e-14,0.2975757636742456,385.2882695697955,385.2901828523789,-0.267607215345912
4,0.002,49663578117.88023,6266360.171700272,10321237903.37291,-22514590.138347823,49664109915.987366,19255891353.724327,1.000001881106034e-08,-2.712148037325515e-15,-5.847117700113092e-14,1.9321159318060626e-13,496.63421372628,0.0446197668161057,0.0391395989006385,103.23189257797412,-2.42636820870297e-13,-2.4218759208786867e-12,-2.9802355402141033e-14,1.0000035445272126e-08,103.19095865241016,-0.2675144780913263,-0.2620296577911698,496.6448595808109,5.114856600154126e-13,9.999285121640622e-09,1.000016526569809e-08,-2.979057577589705e-13,0.1408945318842716,385.1063408959516,385.1082521615145,-0.4446991122477365
5,0.0117,49536230811.5992,-99946662.46010683,10258143786.98212,-125959265.12076087,49545500972.93042,19141259774.37571,1.0000033784799616e-08,1.1206728495907161e-13,1.2113255336303134e-13,2.617796548519284e-13,495.3626275069896,-0.9535638725747304,-0.9571487632530198,102.60311615208252,-1.3100072410161386e-13,-2.303870425936445e-12,-1.4026903803366545e-13,9.999917835102229e-09,102.56576176385656,-1.2381266111863602,-1.232802381378045,495.4536663322147,1.0785290501871876e-13,9.998605786597134e-09,9.999844717239444e-09,-3.603100256068833e-13,-1.8740963072027323,382.7930179807049,382.7985938611042,-2.400285603756175
6,0.0327,49254125308.86833,-298931058.98081255,10142291498.227692,-348536182.39759576,49204658004.1266,18933616601.19021,1.0000095848362092e-08,7.48319920779564e-14,1.5860172249863092e-14,1.3752954690535684e-13,492.546114960636,-2.82997429487818,-2.833629208523439,101.43748551057833,1.4378275964315302e-14,-2.323726046929941e-12,-2.256181519420609e-13,1.000017840692309e-08,101.41856327927202,-3.3407081781984926,-3.335582433277714,492.0567085731755,1.7342798286992135e-14,9.999411782650364e-09,1.0000480155466074e-08,1.3645584306734194e-13,-5.633332284982778,378.668446390497,378.6737525837685,-6.577216544294791
7,0.0561,48887354208.9942,-536778169.5681527,10007427132.659643,-608335899.238463,48792583717.830666,18698817390.209496,1.0000026766664544e-08,-1.1204649166743949e-12,-1.8948300662536825e-13,1.9765409895910429e-13,488.8729947944542,-5.101706085686113,-5.105111314070467,100.08455281592984,-1.665400647627252e-13,1.815763562889293e-12,-3.035255253909562e-13,9.999990639911272e-09,100.06542298245324,-5.718065322150246,-5.711798193718489,487.92728619088064,3.726035609771901e-13,1.0004493555042517e-08,1.0000505217023192e-08,1.2583607947879106e-13,-10.090594495561762,374.0664498342712,374.0727782850104,-11.457986007169296
8,0.0847,48407346253.32856,-819843364.2829564,9839124952.354298,-879317700.0242143,48350294118.29551,18439459426.4388,9.999986362862945e-09,-1.0875846603499962e-12,-4.74515884543453e-14,3.159327187726444e-13,484.07170949983856,-7.766663244109385,-7.769110031095709,98.39989036866196,-9.402740207980213e-14,1.9504759803694318e-12,-3.303158100321786e-13,1.0000084159474576e-08,98.3938669016713,-8.26530934806898,-8.255817995403785,483.51011567937655,2.166439029525075e-13,1.0005224190390813e-08,1.0000167701038761e-08,4.072234715256354e-15,-15.434209451049496,368.8827626109937,368.8935282834504,-16.579426041628615
9,0.1153,47843923143.47449,-1145356274.015089,9628266651.175966,-1225185817.368432,47728377569.496925,18129660514.86505,1.0000083713571988e-08,4.033756738190152e-13,2.3251983755402886e-14,7.719623306136755e-14,478.44213040717153,-10.800399653111766,-10.803179718302982,96.28785865732188,-8.304042728728452e-14,-8.128583789256363e-13,-3.3189110145982484e-13,9.999713936313502e-09,96.27542162617053,-11.58454349237278,-11.574685536001368,477.2713932956534,2.837332520861536e-13,9.997790511737876e-09,1.0000201417042609e-08,-4.566820763330383e-13,-21.577699085623355,362.5522484095236,362.5630840222046,-23.114042897893626
10,0.1463,47194645708.353134,-1502933807.453493,9417344974.6839,-1553237347.5065548,47122687156.90059,17815152064.414665,9.99989529530344e-09,1.403319086222632e-13,-1.829289575220417e-13,8.48820809479427e-14,471.9385445575852,-14.176925662215025,-14.179738741816832,94.180519728859,-2.321487101708132e-13,-7.970964391587491e-13,-3.553621868315151e-13,9.999847493993805e-09,94.15684455887686,-14.67767343588869,-14.668092543897698,471.2211369930691,5.536514645115705e-13,9.9975684785046e-09,1.0000360627741458e-08,-4.455409659105029e-13,-28.31531633524092,356.26251257421217,356.273279122506,-29.300809542031114
11,0.1768,46681164508.35861,-1814091289.785424,9212228124.92614,-1880535391.1376712,46409682876.14243,17528959593.71085,1.00000914140713e-08,5.457994802379719e-13,-1.512594016905025e-14,8.407418696949506e-14,466.8155631026461,-17.09999025141711,-17.10501659269831,92.13051391021268,-6.227837860007526e-14,-8.007259311100888e-13,-1.1887982439056685e-13,1.0000088739126538e-08,92.11805627083768,-17.756158266812417,-17.74718640879598,464.1028420221487,-1.3115922826283157e-13,9.998045475226612e-09,1.000022743186456e-08,-6.317785968284053e-13,-34.20280864313453,350.5451317272365,350.5541494204161,-35.4780153302701
12,0.2046,46140545168.19073,-2095049633.052224,9057796848.772106,-2140881934.6265569,45851942443.02767,17285936457.0806,1.0000079138665293e-08,4.937395890817079e-13,9.229211157975445e-14,1.337718967316172e-13,461.40848156469616,-19.74837767836741,-19.75303582516076,90.59004400092228,-9.132492377880433e-14,-9.02088150363134e-13,-3.144848360178056e-14,9.99993599245618e-09,90.56872692253326,-20.206589492820505,-20.19607835888793,458.5182139550144,-1.0405832046523141e-13,9.997991690302876e-09,1.0000099058799777e-08,-2.540543387233817e-13,-39.49860846944093,345.681082246927,345.6918236936153,-40.37782596491338
13,0.2358,45495117202.26679,-2414043908.540993,8871995573.648876,-2409615826.928684,45237450886.1134,17024507610.293192,1.0000237631396121e-08,5.29905993279255e-13,1.125233464287832e-13,1.3170401418577826e-13,454.9596691240153,-22.753197983259074,-22.757982738594897,88.73049601827574,-1.8414663876874002e-13,-5.793715826212295e-13,-2.1683379158806935e-13,9.999814559323468e-09,88.70765527493859,-22.74049638602653,-22.72974427938794,452.3680809461915,2.9870727751176174e-13,9.99810400684352e-09,1.000006638756692e-08,-3.487989006664225e-13,-45.50079211109368,340.4539526020307,340.4647491343242,-45.44382136480032
14,0.2667,44924601722.77955,-2696725950.3693104,8695360105.050179,-2702407229.060101,44558755272.05545,16770607716.06037,9.999842567352662e-09,5.813722121193e-13,1.3066786629176393e-13,6.791313002250282e-14,449.23881259858285,-25.41709181679356,-25.42208282953408,86.95813474618363,1.7180202168263776e-14,-4.1713999901618244e-13,-2.63323589416244e-13,9.999803584921864e-09,86.94957377444355,-25.49771022408804,-25.48720424212979,445.5794400272413,1.1064605591147629e-13,9.998111401402836e-09,1.0000344002115853e-08,-1.9154544860332282e-14,-50.83591705744474,335.3810584018688,335.39128974487875,-50.95324549173635
15,0.2936,44438239938.9002,-2941534944.693752,8523405892.277163,-2958633274.609057,44032986465.50256,16544472634.854069,1.000004740547264e-08,4.981326357186148e-13,-1.5134682595623873e-13,2.025365700810829e-13,444.383371459201,-27.732998271866915,-27.73799343579157,85.25073271834165,-1.212488159341574e-13,-2.525712095111626e-13,-2.27001074237426e-13,9.999782506484789e-09,85.22011813981376,-27.91281608162472,-27.901824509004047,440.3226405286363,3.6400103514564024e-14,9.998189338513032e-09,1.0000496839376896e-08,-2.2460213175463815e-13,-55.45457476426432,330.8624098768963,330.8737745716459,-55.790055535627246
16,0.3216,43958996931.3421,-3165173807.908392,8379070447.404968,-3200050350.3606644,43466369929.34812,16327641512.50351,9.999931296908761e-09,3.9948336683005433e-13,-5.8960044634849236e-15,2.4036829766323814e-13,439.5848636018461,-29.840805073525445,-29.84566358163853,83.80514442651669,-2.0013590629878225e-13,-7.298813700063438e-13,-2.50190851352781e-13,9.999838328377691e-09,83.77647684058003,-30.197251152630496,-30.185857323011977,434.6593819499983,1.368661850757446e-13,9.998032240329613e-09,1.0000317118373804e-08,-2.306529495963857e-13,-59.66830507572559,326.521768725687,326.5335543393229,-60.34468970176922
17,0.3556,42695315643.078285,-3789039994.9504128,7830973755.002923,-3780750075.3887954,42263155760.19349,15858486475.045153,1.0000027661798137e-08,-9.72250645244498e-13,4.708133542666131e-14,2.9834818953657345e-13,426.9528151428476,-35.75139019064061,-35.75660439263951,78.32905216890424,-1.576983968409737e-13,1.0942221723372985e-12,-1.525173092106232e-13,1.0000024029684506e-08,78.2958742830347,-35.636008865943964,-35.62494163801083,422.6341710661687,8.040913020956827e-14,1.0005789471873657e-08,1.0000678835247673e-08,2.0716865735667282e-13,-71.4403776765343,317.2666385149056,317.2778709692318,-71.2962649126621
18,0.3751,42258141281.407326,-3984625104.34832,7626198285.068291,-4040438596.176508,41684323398.300446,15673664097.653326,9.99987434354708e-09,-9.266278689234351e-13,-1.589523938785416e-13,2.3058681136813284e-13,422.5723316454064,-37.5988365513387,-37.6039279475624,76.27706144510893,-2.6943787571816033e-13,1.0766081794935568e-12,-3.073801759149444e-13,1.0000190272086007e-08,76.24466470557199,-38.09109335115375,-38.08050159768947,416.8534251616714,4.568191858554286e-13,1.0005266592447072e-08,1.0000640408635742e-08,-1.3164603213685238e-13,-75.11461832679406,313.56151028844505,313.5725174057875,-76.20172839981879
