t,bbr,C_1111,C_1112,C_1122,C_1222,C_2222,C_1212,eps_1_xx,eps_1_xy,eps_1_yx,eps_1_yy,sig_1_xx,sig_1_xy,sig_1_yx,sig_1_yy,eps_2_xx,eps_2_xy,eps_2_yx,eps_2_yy,sig_2_xx,sig_2_xy,sig_2_yx,sig_2_yy,eps_3_xx,eps_3_xy,eps_3_yx,eps_3_yy,sig_3_xx,sig_3_xy,sig_3_yx,sig_3_yy
0,0.0,49801343754.045006,-8424156.114816362,10198885034.573706,9432977.949388716,49803480368.53777,19152650000.66017,1.000045309054277e-08,-2.0585815263234845e-13,-4.3576387056064294e-13,-1.186618358536338e-13,498.035420043781,-0.0854771818643521,-0.0954237504715272,101.9869532416004,-5.682683541008069e-14,6.5098867488216e-13,1.489549519572885e-13,9.9995655729526e-09,101.98219318307834,0.0905909464730745,0.1005346675984449,498.0119641963489,3.050312309150889e-13,9.999548926738716e-09,1.0000103333341945e-08,8.373541713962239e-13,-0.1480404910424279,383.0541675489042,383.038537473399,0.219957908224095
1,0.0,49801343754.045006,-8424156.114816362,10198885034.573706,9432977.949388716,49803480368.53777,19152650000.66017,1.000045309054277e-08,-2.0585815263234845e-13,-4.3576387056064294e-13,-1.186618358536338e-13,498.035420043781,-0.0854771818643521,-0.0954237504715272,101.9869532416004,-5.682683541008069e-14,6.5098867488216e-13,1.489549519572885e-13,9.9995655729526e-09,101.98219318307834,0.0905909464730745,0.1005346675984449,498.0119641963489,3.050312309150889e-13,9.999548926738716e-09,1.0000103333341945e-08,8.373541713962239e-13,-0.1480404910424279,383.0541675489042,383.038537473399,0.219957908224095
2,0.0,49801343754.045006,-8424156.114816362,10198885034.573706,9432977.949388716,49803480368.53777,19152650000.66017,1.000045309054277e-08,-2.0585815263234845e-13,-4.3576387056064294e-13,-1.186618358536338e-13,498.035420043781,-0.0854771818643521,-0.0954237504715272,101.9869532416004,-5.682683541008069e-14,6.5098867488216e-13,1.489549519572885e-13,9.9995655729526e-09,101.98219318307834,0.0905909464730745,0.1005346675984449,498.0119641963489,3.050312309150889e-13,9.999548926738716e-09,1.0000103333341945e-08,8.373541713962239e-13,-0.1480404910424279,383.0541675489042,383.038537473399,0.219957908224095
3,0.0,49801343754.045006,-8424156.114816362,10198885034.573706,9432977.949388716,49803480368.53777,19152650000.66017,1.000045309054277e-08,-2.0585815263234845e-13,-4.3576387056064294e-13,-1.186618358536338e-13,498.035420043781,-0.0854771818643521,-0.0954237504715272,101.9869532416004,-5.682683541008069e-14,6.5098867488216e-13,1.489549519572885e-13,9.9995655729526e-09,101.98219318307834,0.0905909464730745,0.1005346675984449,498.0119641963489,3.050312309150889e-13,9.999548926738716e-09,1.0000103333341945e-08,8.373541713962239e-13,-0.1480404910424279,383.0541675489042,383.038537473399,0.219957908224095
4,0.0,49801343754.045006,-8424156.114816362,10198885034.573706,9432977.949388716,49803480368.53777,19152650000.66017,1.000045309054277e-08,-2.0585815263234845e-13,-4.3576387056064294e-13,-1.186618358536338e-13,498.035420043781,-0.0854771818643521,-0.0954237504715272,101.9869532416004,-5.682683541008069e-14,6.5098867488216e-13,1.489549519572885e-13,9.9995655729526e-09,101.98219318307834,0.0905909464730745,0.1005346675984449,498.0119641963489,3.050312309150889e-13,9.999548926738716e-09,1.0000103333341945e-08,8.373541713962239e-13,-0.1480404910424279,383.0541675489042,383.038537473399,0.219957908224095
5,0.0002,49791181203.62201,-6634696.827029146,10200199707.5312,9045420.243219843,49803415685.17955,19151910990.700417,1.0000406636224452e-08,-2.363456387805144e-13,-4.568685708634536e-13,-1.2415328521826533e-13,497.931991116901,-0.0664008198411059,-0.0763402850500364,101.9959412858981,-6.5735060934135326e-15,5.799625806597242e-13,1.1852159737058902e-13,9.999601940086708e-09,102.0016271268407,0.0862426102078039,0.0961856589719422,498.0130721871597,1.3236612458535944e-13,9.999739468343156e-09,1.0000198148697428e-08,8.292752916409181e-13,-0.1249175984997515,383.0448526464587,383.029218953371,0.2102457984162204
6,0.0032,49736265624.24053,-5413883.791735762,10203712359.15772,8669078.630944218,49802445581.11906,19149430948.81124,1.0000194923141269e-08,1.4377211903261222e-13,-1.3319193081224532e-13,3.4064257934769343e-14,497.3717837402136,-0.046644794645304,-0.0570508147595256,102.03200043186024,-5.5333407586735135e-14,6.647049979721156e-13,-1.4171577578908788e-13,9.9996345855454e-09,102.03944742112978,0.0833508597478883,0.0933296757376409,498.00660762694935,4.859766592405863e-13,9.998967013989861e-09,1.0000325011519949e-08,3.662806375543123e-13,-0.0797372735322066,382.9829745990754,382.96715751939126,0.1839542777309036
7,0.016,49179420878.78649,31773348.362404253,10192006807.310947,16997904.8030259,49786248794.91728,19079758927.228046,9.99994698221039e-09,-7.60771107087485e-14,-1.8597759551181179e-13,-8.560859644187666e-14,491.7888808677447,0.2947295034122431,0.284317576958823,101.90738924274548,-2.662485557351673e-13,-1.3679005690650544e-13,-3.30827729576735e-13,9.999835552302551e-09,101.91307198418842,0.1410682991816331,0.1510298000892631,497.8534339446824,-2.3831898171360253e-13,1.0000087895038586e-08,1.0000666944762016e-08,3.6543617945397044e-13,0.5912411641330364,381.6174482262804,381.6016824075085,0.3356887513487011
8,0.0391,48269128758.715935,44797915.56183831,10162999977.858948,19994403.55785309,49745954403.77519,18951549450.299965,9.999739782031773e-09,-1.3592860053121904e-13,-8.702845246062051e-15,3.504065045946761e-14,482.6769619424696,0.4208826714133382,0.4109698031720639,101.62647189860328,-1.7366407652542505e-13,7.994317899029349e-13,-2.5083802347917897e-14,9.99969770070094e-09,101.62089328620364,0.1964062924652018,0.2064470868416752,497.44487533073215,-5.773280992664934e-15,9.999349754463427e-09,9.999548544420315e-09,7.29007003359562e-13,0.8513237883939081,379.01802014521854,379.0022172917845,0.4102387897911656
9,0.0754,46709425122.8384,77860758.07721545,10007130015.824202,56303666.68357203,49644475707.48706,18725821577.535133,1.0000026845984584e-08,-1.8959466509388885e-13,-2.057970269796251e-13,7.987954776626935e-14,467.0924567845098,0.725958798793069,0.7162344583615112,100.06963429271477,-3.061259832786384e-13,-1.6002536319979396e-13,-6.333461400580114e-14,9.999457866110256e-09,100.05639219015362,0.5129887312694673,0.5230423445651063,496.41866996986784,2.0558752300879037e-13,9.999923988992404e-09,9.999864195156216e-09,5.229367791875721e-13,1.4784494467846352,374.5203215633235,374.504526701324,1.0865031605506563
10,0.1078,45566496295.266304,61277706.86676417,9895197730.918118,54341577.39147921,49547661844.92903,18501085850.648914,9.999713785359684e-09,-1.3467572229297005e-13,4.2256139688514454e-13,1.844994504806778e-13,455.6540045725728,0.5787394791182238,0.5691373281768359,98.95540146944832,2.1400353368026774e-13,1.0917790338721245e-13,5.792198167025822e-15,9.999875339601034e-09,98.96345788713865,0.5112964395809305,0.521397094112601,495.47225935618354,-6.017607498833054e-13,9.999703905838769e-09,9.999978642941346e-09,-1.599228442748138e-13,1.144097753008651,370.023645235506,370.0080877678166,1.0190209167945308
11,0.1507,44115383425.53895,22352763.86344065,9715456549.490482,47449388.31185553,49376434636.48626,18232079735.76252,9.999913098773078e-09,1.4998170633687848e-13,-2.8085379089823933e-13,7.948254934128332e-14,441.1521810906703,0.2096524646107741,0.2002390469120352,97.15504010168252,2.25019676332025e-13,1.2892315425137654e-13,-5.559202241036494e-15,1.0000123674191058e-08,97.16906363971243,0.4356920708498568,0.4456384844788723,493.77124688481126,-2.6815015086780693e-13,9.999479737568298e-09,9.999762310775616e-09,4.948149412425775e-13,0.415229307013671,364.63600122780207,364.6195557203257,0.92185691621176
12,0.187,42817904828.1343,84101238.57696134,9532526754.64825,107252815.3147365,49178106670.60327,17976528295.91183,1.0000332134400778e-08,1.310354833876891e-14,-2.4857647109321165e-13,-1.961683020861166e-15,428.1925916573609,0.7976760145028939,0.7881137513763209,95.3165921585033,-7.115010584275542e-14,-2.1223348485108413e-13,-1.9294519557554897e-13,1.0000247309907143e-08,95.33590738226246,0.9959017170857164,1.0057773740714873,491.79323997560687,2.9889586991875496e-15,9.999605063480294e-09,1.0000471843351404e-08,2.938818954344928e-13,1.5790237604903594,359.53990908004306,359.5238687009829,2.0322622907028336
13,0.2303,41477805976.468765,38291199.11335462,9339414359.791264,101022585.06145144,48918175643.544914,17671983630.917953,9.99996710103577e-09,-6.375539854971268e-13,5.176567045077925e-13,-9.891187948988112e-15,414.7745960427979,0.3645768111850638,0.3562716414774179,93.38450463048132,-2.2439979022588494e-13,-2.7609999945297563e-13,-2.352420968445716e-13,1.0000118715981316e-08,93.39318672051344,0.939922640146418,0.9494275492927284,489.1874708936044,-9.894161329035425e-14,9.999892264868757e-09,9.999799683863103e-09,-5.460082392674152e-15,0.7141927402661566,353.44204137741053,353.42631036571817,1.899422303277085
14,0.262,40550762037.60101,77234095.62152855,9235973873.598576,101078501.58477344,48793778342.842125,17489379824.39038,1.0000187368344344e-08,-2.304239620133656e-13,5.375616441752486e-13,-1.4341099884844325e-14,405.5130367856335,0.7414827285447317,0.7314776211047634,92.35693415902686,-2.3808065833682306e-13,5.845873521994985e-14,-2.5953744764849613e-13,9.999919840249266e-09,92.35136681676444,0.948477093065432,0.9577712099418136,487.9337514291904,2.3730285859212933e-13,9.999223886582948e-09,1.0000129494943835e-08,1.2286766339700538e-13,1.461587564574182,349.7838110241234,349.7687704248182,1.906569786687719
15,0.3043,38784545485.13364,106410946.32190771,8952280272.86289,93502973.93980004,48491645428.957855,17125950145.663254,9.999446873600813e-09,-2.397467405635564e-13,-6.735317758743782e-14,6.64104470188784e-13,387.82428415043694,0.9941398496792891,0.9858697617096944,89.53671612724048,2.8078106079019265e-14,-3.2087460653626473e-13,3.8107222411467535e-14,9.999390460947261e-09,89.52570435332458,0.867814339757655,0.878382897908909,484.8929111829196,3.079523360105415e-13,1.000003493556904e-08,9.999727174443176e-09,7.802469851756802e-13,2.0229600078062746,342.5246497828949,342.50509619402544,1.7900748387437833
16,0.3467,36867948610.40931,-17679260.854237355,8585547434.322348,31855706.946793843,48072642584.78631,16710212196.504148,9.9999041516694e-09,2.0655918592525298e-13,1.1319219650379773e-13,3.763220200486669e-13,368.6742626340726,-0.1544640732525206,-0.1629942115405679,85.86157234802985,-1.9600256100947525e-13,1.6398425165600506e-13,-7.704027852248303e-14,1.0000728726487356e-08,85.859277940764,0.29767209650801,0.3075310486160394,480.764681506528,4.378620855096882e-13,9.999742111661328e-09,1.0000422779234621e-08,-2.5433408902040015e-13,-0.3204248176796296,334.2170503642592,334.1969427393403,0.5934103064120584
17,0.4184,27658233904.619144,-198379755.1617968,6430101377.609625,-215574401.82181817,46412396342.5697,15437318591.11195,1.0000323919197002e-08,-9.534598722743157e-13,5.595143775091511e-13,7.86213004718482e-14,276.5897950593084,-1.873517795339172,-1.881123039862212,64.3158836041274,-2.340894661880079e-13,2.391978940829839e-14,-7.460436380872488e-13,9.99948122812089e-09,64.27595194248205,-2.0622884275817213,-2.052775096538965,464.10011823205593,-1.3802566599680232e-14,1.0000038520843776e-08,1.0000803322696268e-08,1.3394113819569828e-12,-3.742007601741167,308.77039788339,308.7487778055703,-4.016407981411265
18,0.4254,27240410515.702023,-308322020.8817316,6215186280.708134,-322603976.1023289,46155220907.77605,15279164884.377308,1.0000232589777444e-08,-4.004541463909029e-13,2.775271907816112e-13,-1.412970216242774e-13,272.41205430741485,-2.920150892897474,-2.9275094893578206,62.15148877294255,2.363232925706101e-13,-2.29927743390604e-13,-5.805626018271827e-14,1.0000806259761024e-08,62.1659760161937,-3.043610902341909,-3.0340104955913327,461.5886208020215,-4.948604438947164e-13,1.000011819022621e-08,1.0000921302257417e-08,-2.534513263430512e-13,-5.814955498871686,305.61018027701255,305.5884270128029,-6.101147590469059
19,0.4344,26658552834.523407,-284077154.798421,6099881484.0752735,-300520187.73032093,46022922536.03482,15159224907.958551,9.999958039454336e-09,-2.056046387964704e-13,9.826455856932657e-14,-3.8685340893132025e-13,266.58921038143745,-2.659235227232669,-2.66667088341726,60.98116401583151,7.70156805476946e-13,1.6656790908928789e-12,6.01309462680738e-13,1.0000459070412104e-08,61.044202390223184,-2.7830490810103137,-2.773419148775609,460.24794118021936,-3.880558692064546e-13,9.998598196641953e-09,1.0000399415210578e-08,1.8299635318299308e-13,-5.378525624337248,303.1795511994503,303.1578265340824,-5.66428377534027
20,0.4619,23672532204.52293,-542591588.2612026,5291706121.056557,-392196303.76498425,45418206146.75903,14598895861.2648,1.0000160661844425e-08,-4.698289445316989e-13,-3.98729523765233e-13,-4.2963330950891364e-13,236.72768922380865,-5.1216360787881685,-5.128129133250488,52.89910582798368,-2.616374952073776e-13,1.2736812597934669e-12,-1.8468997977295968e-14,1.0000629579604136e-08,52.91688221721323,-3.681830669194736,-3.672214274447848,454.2082194791701,1.0134878369473686e-13,9.998971810694631e-09,1.0000717156024664e-08,4.3853895007566614e-13,-10.22581735992664,291.9838713373414,291.96284249561484,-7.376921788271602
21,0.4997,17187987027.417072,333760842.3250695,3385304214.0370235,-9883852.377510132,43979803496.45562,13028669552.25454,9.999640125245221e-09,-2.306554045807461e-13,-2.8942726733774445e-13,1.9223406730972013e-13,171.87267902433447,3.151559724492353,3.1462252319248147,33.85664174008302,-4.139438230758003e-13,1.2623050439363065e-12,6.686453960514999e-13,9.999668809538869e-09,33.83208992207205,-0.0474244833772161,-0.037559843400352,439.7841227249367,1.2559757827955672e-12,9.998792549885869e-09,1.000033384613104e-08,-3.223438029193167e-13,6.322460221196192,260.57264333570777,260.5510100834516,-0.2037526281830434
22,0.5399,7001846882.265162,471709280.2234855,982085253.5785748,-464492471.9471575,42259330149.18061,9917419989.026785,1.0000526021179997e-08,-1.0132974329104442e-12,-6.10989761475177e-13,2.230473145064811e-13,70.02232227999492,4.431701504974607,4.429412442809657,9.824725792189843,-3.0196438495469095e-13,-7.348745688497168e-13,1.1166377784383837e-12,9.999165346382822e-09,9.805081749796528,-4.398708560148711,-4.388393251856952,422.55818077936135,1.0527208132333484e-12,1.0001573347082302e-08,9.998769025850584e-09,1.5404854386377397e-13,8.927586062048665,198.36144446342848,198.340365874344,-8.733102896846002
23,0.5413,6923518772.280674,445854769.0374711,970735355.9752704,-478904370.1923771,42256274564.42023,9884107983.973854,9.999591057222385e-09,-7.371449719879315e-13,-5.345273322124997e-13,-5.070182408135735e-13,69.23256257136177,4.1955140201778,4.193256023238159,9.703801028458944,6.206181353336811e-13,3.714520486544369e-13,-4.564837424609429e-13,9.9995591271828e-09,9.733061512969586,-4.507749635257703,-4.497448171862956,422.54379431689983,-9.439527267363468e-13,1.0000065141538186e-08,1.0001516095899256e-08,-3.7883306556204033e-13,8.392614986506388,197.7078330036828,197.6867517612555,-9.053148294223767
24,0.5425,6743412369.018078,439194069.9258497,929744393.8545104,-424302153.5146504,42219014241.11557,9737232234.425304,1.0000547079518033e-08,-1.3682893995554925e-12,-1.281958044184499e-12,-1.3606692091667817e-12,67.43818825320491,4.124505026090943,4.1221932595891,9.25911168272208,-3.7322293342954806e-15,8.903948869789919e-13,5.86288053262911e-13,9.999818404651774e-09,9.326180250457115,-3.974529077916855,-3.964198336419386,422.1814370391227,9.169230142114357e-13,9.99853862838078e-09,1.0001273850761068e-08,-5.760731837008469e-13,8.308957948468523,194.7517741123047,194.730484567133,-8.013941274240638
25,0.5427,6739725176.988521,443616986.2324143,932278765.1319675,-423538988.86625135,42217624127.46818,9735264842.854223,1.0000040632427313e-08,2.1410089083638552e-14,2.945041405394259e-13,3.510506829645536e-13,67.39759432933039,4.194356710368491,4.192053090433552,9.331925101423662,-2.982065602861119e-14,4.1966162666229924e-13,9.501111124324785e-13,1.0000207064877261e-08,9.314324759621003,-3.967166852197656,-3.956836334360655,422.18585435105314,2.3028946605852763e-13,9.999465201538444e-09,9.999565665853598e-09,-1.36363855312903e-12,8.360220365030642,194.7060925627497,194.68480138730305,-8.014658072957642
