t,bbr,C_1111,C_1112,C_1122,C_1222,C_2222,C_1212,eps_1_xx,eps_1_xy,eps_1_yx,eps_1_yy,sig_1_xx,sig_1_xy,sig_1_yx,sig_1_yy,eps_2_xx,eps_2_xy,eps_2_yx,eps_2_yy,sig_2_xx,sig_2_xy,sig_2_yx,sig_2_yy,eps_3_xx,eps_3_xy,eps_3_yx,eps_3_yy,sig_3_xx,sig_3_xy,sig_3_yx,sig_3_yy
0,0.0,49662422122.97837,-10778964.557358606,10338705280.500383,14334297.104455344,49651648380.86555,19210136885.280304,1.0000721043050418e-08,-1.28126954609131e-12,-1.0384984374394773e-12,-8.138881773757177e-13,496.65007464889726,-0.1147543126479617,-0.1243253858150852,103.36841180161947,-9.616957337401658e-13,1.3375298693642549e-12,3.499894739490909e-13,9.99747729417039e-09,103.2989219293837,0.2394013330931912,0.2489479576051211,496.3827694070219,1.136611840985137e-12,9.995903071143906e-09,9.998407502959838e-09,-2.204279337785113e-12,-0.1905567549449875,384.1036831810016,384.0832895061756,0.1063892766887547
1,0.0,49662422122.97837,-10778964.557358606,10338705280.500383,14334297.104455344,49651648380.86555,19210136885.280304,1.0000721043050418e-08,-1.28126954609131e-12,-1.0384984374394773e-12,-8.138881773757177e-13,496.65007464889726,-0.1147543126479617,-0.1243253858150852,103.36841180161947,-9.616957337401658e-13,1.3375298693642549e-12,3.499894739490909e-13,9.99747729417039e-09,103.2989219293837,0.2394013330931912,0.2489479576051211,496.3827694070219,1.136611840985137e-12,9.995903071143906e-09,9.998407502959838e-09,-2.204279337785113e-12,-0.1905567549449875,384.1036831810016,384.0832895061756,0.1063892766887547
2,0.0,49662422122.97837,-10778964.557358606,10338705280.500383,14334297.104455344,49651648380.86555,19210136885.280304,1.0000721043050418e-08,-1.28126954609131e-12,-1.0384984374394773e-12,-8.138881773757177e-13,496.65007464889726,-0.1147543126479617,-0.1243253858150852,103.36841180161947,-9.616957337401658e-13,1.3375298693642549e-12,3.499894739490909e-13,9.99747729417039e-09,103.2989219293837,0.2394013330931912,0.2489479576051211,496.3827694070219,1.136611840985137e-12,9.995903071143906e-09,9.998407502959838e-09,-2.204279337785113e-12,-0.1905567549449875,384.1036831810016,384.0832895061756,0.1063892766887547
3,0.0,49662422122.97837,-10778964.557358606,10338705280.500383,14334297.104455344,49651648380.86555,19210136885.280304,1.0000721043050418e-08,-1.28126954609131e-12,-1.0384984374394773e-12,-8.138881773757177e-13,496.65007464889726,-0.1147543126479617,-0.1243253858150852,103.36841180161947,-9.616957337401658e-13,1.3375298693642549e-12,3.499894739490909e-13,9.99747729417039e-09,103.2989219293837,0.2394013330931912,0.2489479576051211,496.3827694070219,1.136611840985137e-12,9.995903071143906e-09,9.998407502959838e-09,-2.204279337785113e-12,-0.1905567549449875,384.1036831810016,384.0832895061756,0.1063892766887547
4,0.0,49662422122.97837,-10778964.557358606,10338705280.500383,14334297.104455344,49651648380.86555,19210136885.280304,1.0000721043050418e-08,-1.28126954609131e-12,-1.0384984374394773e-12,-8.138881773757177e-13,496.65007464889726,-0.1147543126479617,-0.1243253858150852,103.36841180161947,-9.616957337401658e-13,1.3375298693642549e-12,3.499894739490909e-13,9.99747729417039e-09,103.2989219293837,0.2394013330931912,0.2489479576051211,496.3827694070219,1.136611840985137e-12,9.995903071143906e-09,9.998407502959838e-09,-2.204279337785113e-12,-0.1905567549449875,384.1036831810016,384.0832895061756,0.1063892766887547
5,0.0,49662422122.97837,-10778964.557358606,10338705280.500383,14334297.104455344,49651648380.86555,19210136885.280304,1.0000721043050418e-08,-1.28126954609131e-12,-1.0384984374394773e-12,-8.138881773757177e-13,496.65007464889726,-0.1147543126479617,-0.1243253858150852,103.36841180161947,-9.616957337401658e-13,1.3375298693642549e-12,3.499894739490909e-13,9.99747729417039e-09,103.2989219293837,0.2394013330931912,0.2489479576051211,496.3827694070219,1.136611840985137e-12,9.995903071143906e-09,9.998407502959838e-09,-2.204279337785113e-12,-0.1905567549449875,384.1036831810016,384.0832895061756,0.1063892766887547
6,0.0,49662422122.97837,-10778964.557358606,10338705280.500383,14334297.104455344,49651648380.86555,19210136885.280304,1.0000721043050418e-08,-1.28126954609131e-12,-1.0384984374394773e-12,-8.138881773757177e-13,496.65007464889726,-0.1147543126479617,-0.1243253858150852,103.36841180161947,-9.616957337401658e-13,1.3375298693642549e-12,3.499894739490909e-13,9.99747729417039e-09,103.2989219293837,0.2394013330931912,0.2489479576051211,496.3827694070219,1.136611840985137e-12,9.995903071143906e-09,9.998407502959838e-09,-2.204279337785113e-12,-0.1905567549449875,384.1036831810016,384.0832895061756,0.1063892766887547
7,0.0,49662422122.97837,-10778964.557358606,10338705280.500383,14334297.104455344,49651648380.86555,19210136885.280304,1.0000721043050418e-08,-1.28126954609131e-12,-1.0384984374394773e-12,-8.138881773757177e-13,496.65007464889726,-0.1147543126479617,-0.1243253858150852,103.36841180161947,-9.616957337401658e-13,1.3375298693642549e-12,3.499894739490909e-13,9.99747729417039e-09,103.2989219293837,0.2394013330931912,0.2489479576051211,496.3827694070219,1.136611840985137e-12,9.995903071143906e-09,9.998407502959838e-09,-2.204279337785113e-12,-0.1905567549449875,384.1036831810016,384.0832895061756,0.1063892766887547
8,0.0,49662422122.97837,-10778964.557358606,10338705280.500383,14334297.104455344,49651648380.86555,19210136885.280304,1.0000721043050418e-08,-1.28126954609131e-12,-1.0384984374394773e-12,-8.138881773757177e-13,496.65007464889726,-0.1147543126479617,-0.1243253858150852,103.36841180161947,-9.616957337401658e-13,1.3375298693642549e-12,3.499894739490909e-13,9.99747729417039e-09,103.2989219293837,0.2394013330931912,0.2489479576051211,496.3827694070219,1.136611840985137e-12,9.995903071143906e-09,9.998407502959838e-09,-2.204279337785113e-12,-0.1905567549449875,384.1036831810016,384.0832895061756,0.1063892766887547
9,0.0,49662422122.97837,-10778964.557358606,10338705280.500383,14334297.104455344,49651648380.86555,19210136885.280304,1.0000721043050418e-08,-1.28126954609131e-12,-1.0384984374394773e-12,-8.138881773757177e-13,496.65007464889726,-0.1147543126479617,-0.1243253858150852,103.36841180161947,-9.616957337401658e-13,1.3375298693642549e-12,3.499894739490909e-13,9.99747729417039e-09,103.2989219293837,0.2394013330931912,0.2489479576051211,496.3827694070219,1.136611840985137e-12,9.995903071143906e-09,9.998407502959838e-09,-2.204279337785113e-12,-0.1905567549449875,384.1036831810016,384.0832895061756,0.1063892766887547
10,0.0015,49658210497.95635,-16275456.258158352,10334436119.228046,5531686.087202498,49651582129.05234,19205198483.30561,9.999693938106845e-09,-1.2520285974504277e-12,2.296037471317277e-14,-1.6766568342164365e-12,496.55264524379845,-0.1249410633041971,-0.134514518721206,103.25705299977012,-1.3808630295356445e-12,1.7290742853853126e-12,7.607140013024047e-13,9.996566592494758e-09,103.24122030083372,0.1795766928692064,0.1891213286003524,496.3279752166684,-1.206766215153445e-12,9.997146429046494e-09,1.0000587535415568e-08,-3.87280705340278e-12,-0.394591920538739,384.0706760029225,384.05027366799794,-0.1211490049198744
11,0.0026,49650574082.96278,-22034232.876689065,10335660043.716375,2869786.846177928,49655424932.23991,19196052304.960743,9.999940624128082e-09,-1.5161725008279474e-12,-7.75031565960524e-13,-1.6725394918428282e-12,496.48866105194986,-0.2273628996704313,-0.2369256396075709,103.2293027313492,-1.3684009611787842e-12,1.60321713461851e-12,-1.5736341607794106e-12,9.996632238384552e-09,103.29755759706126,0.061359750987936,0.0709189852262676,496.36970086750233,-5.865551888875149e-13,9.996384085626272e-09,9.997529719998135e-09,-4.196748008506969e-12,-0.4702684485150637,383.8144536264189,383.79407936140575,-0.1571486329293304
12,0.0051,49638400961.80184,-30803002.792204544,10327964059.516384,-4213315.079431335,49645538734.02321,19189443589.96472,1.0000671429372465e-08,-1.758336958239367e-12,-5.773785546248778e-14,-1.0390247604104685e-12,496.4081237726963,-0.2809672284874764,-0.2905132026268925,103.23177809296322,-8.898798590468963e-13,4.65075315275927e-12,9.76613005611122e-13,9.999541014060416e-09,103.2339812853476,0.099757115100964,0.1092834582580337,496.4218745517736,8.574311125677765e-13,9.99728885000868e-09,1.0000511271162496e-08,-1.5322959087584893e-12,-0.5686069628116908,383.756875458663,383.736495924645,-0.1521196281839135
13,0.0124,49618134705.2709,-55311556.74151587,10305018991.9833,-40117873.41777638,49617052428.27013,19155546319.439243,1.0001287950801685e-08,1.2983548982700049e-12,7.071956188402312e-13,4.1343746587443257e-13,496.2383163377661,-0.4616697805766435,-0.4711823860678993,103.07384052651436,-6.610243638238371e-13,3.4439289193159158e-12,-7.093347966485035e-13,1.0000349215980133e-08,103.03099638500244,-0.3175452864692998,-0.3079628399655765,496.19208378497086,2.349699008458721e-12,1.0000783625892004e-08,1.0000374522520894e-08,7.179160276351293e-13,-0.9442703908546858,383.1430497274478,383.1227621673473,-0.7163630613386427
14,0.0248,49540133903.3328,-114598217.20481823,10267325401.008995,-111091458.18499877,49514306885.92054,19087719903.23928,1.0000484243040369e-08,4.906099503944015e-13,1.0686882457631133e-13,1.3711120394374117e-12,495.4231422057513,-1.0547944201089985,-1.0642599468981244,102.7584246692332,-2.054404854681445e-13,-1.9272458709092764e-12,-1.840195496539483e-12,9.99646879885467e-09,102.61438602936624,-1.1026154662890686,-1.092966997165339,494.9822253615434,7.189502907072662e-13,9.996381552216272e-09,9.998400965358192e-09,6.828982028640488e-13,-2.1586916366260005,381.6652190633156,381.6450708486776,-2.1077683884863943
15,0.0361,49470185044.90151,-162056697.96768874,10238474666.070017,-170805260.15681255,49423831499.42163,19035507001.69295,1.0000374900713068e-08,8.247187829801943e-13,1.090412247281477e-12,9.643510225888962e-13,494.7174039152737,-1.483726002639413,-1.4928895326309666,102.44694219962138,-2.785054031061184e-13,-5.650201483221707e-12,-1.6834874775150488e-12,9.998143759734794e-09,102.34105302407671,-1.7226462832190854,-1.7127885544591004,494.15631814308136,9.378780819674313e-13,9.994973103400426e-09,1.0000928741173104e-08,8.055468023911541e-13,-3.049543295162339,380.64276519814536,380.6233118236286,-3.253516550208626
16,0.0551,49357117785.476006,-240434594.81685445,10205650420.375051,-254902473.9950024,49292552042.86543,18949776497.38241,9.999112659722202e-09,7.99033719109502e-13,6.203073085396617e-13,-3.3638860204340583e-14,493.5320034341856,-2.2715826933624528,-2.280784543736234,102.05136682736185,4.4228845208482643e-13,3.609091914846007e-12,-1.4971350123005414e-12,9.998970480235435e-09,102.0624914073228,-2.361868945799097,-2.352087816979344,492.8745950918483,-4.650451976589257e-13,9.998948204934088e-09,9.999231939049417e-09,-6.853036569574957e-13,-4.495757036751913,378.9700123462245,378.950427882272,-4.818702581380018
17,0.069,49220805881.59544,-326406462.2081458,10157060501.160015,-328741380.7577746,49202853368.89453,18874948279.054047,9.999371323914428e-09,2.943826296299505e-12,6.31558599852184e-13,-2.746447608831734e-12,492.1719693623247,-3.012575449818303,-3.0217969221647816,101.42648777152068,-5.110105515342474e-13,-1.6383119799497561e-12,-9.46750564357081e-13,1.0003339037289477e-08,101.58315103185598,-3.1373745423925565,-3.127654887488857,492.166113948212,-1.3778727922817124e-13,1.000058005188466e-08,9.999321240017204e-09,-3.880748538389882e-12,-6.14459647902693,377.5067019320895,377.486913299122,-6.357996509986566
18,0.0949,48988667313.31154,-488170104.600178,10048489310.955196,-517347274.1636336,48886740285.212776,18711356924.527046,1.0000061133519487e-08,-6.894682233656841e-13,7.48383144356811e-14,-2.312273971322402e-12,489.8777760876057,-4.610288272344926,-4.619606394637721,100.38846193364786,-1.1719871141989142e-12,1.383909571429828e-12,-2.4786825298138946e-12,1.000178059434313e-08,100.4311319393477,-4.903518468250166,-4.893874363540655,488.93332775019127,2.514552328366007e-13,9.997379530143484e-09,9.998597272368774e-09,-4.33897966562154e-12,-9.20172109104864,374.1626011573011,374.1427518887327,-9.924947351446257
19,0.1164,48817250027.869545,-600051726.7027837,9975395889.11145,-653269633.2744472,48658789502.94227,18589929222.88491,1.0000107872899968e-08,-1.6782626817736329e-12,5.810052688386664e-13,-2.2860161254661645e-12,488.1798355683726,-5.70648025661116,-5.715653034704967,99.64510542710036,2.5201303164229993e-13,-1.387738922389068e-12,4.514680148174886e-13,9.997395143464048e-09,99.7423889121887,-6.151246022299405,-6.141894570793148,486.44298577918426,7.838825685495109e-13,9.995736418965244e-09,9.999813898347264e-09,-7.579229510516571e-12,-11.262437359645414,371.7271051770503,371.7070210992713,-12.633568564263667
20,0.1369,48632951663.17467,-710557236.7529016,9911422179.011108,-755642377.8991743,48470234704.92918,18496425979.83225,1.000067864109004e-08,8.283418947714869e-13,6.157622047309914e-13,-2.410852522479124e-12,486.3549033104535,-6.641971746055205,-6.6512702700581405,99.04766180289477,-7.668968354730481e-13,-3.016686711736192e-12,-2.556868712894776e-12,9.9992097585951e-09,99.03060184652276,-7.214520511743487,-7.205359963596121,484.6458726435403,1.8822114533722813e-14,9.997030798639941e-09,1.0000972115356056e-08,-8.063199848968363e-12,-13.441948428979718,369.9047950046652,369.8843896468438,-14.583980179971707
21,0.1555,48483023111.3266,-794554915.6372895,9864562641.00351,-841982833.0486319,48318869607.78346,18417835748.397503,9.999198498409497e-09,-1.0811084754726886e-12,9.43392844173592e-13,-2.568867779327123e-12,484.767200315741,-7.4598728277762945,-7.46904619672106,98.49300462367547,-2.6082706574500867e-12,-2.893123291308547e-12,-8.85164243054775e-14,1.0000063710037184e-08,98.5458084357916,-7.961849675439395,-7.952164967476286,483.1704230933814,-2.080489980209029e-12,9.996780577702273e-09,1.0000892331209496e-08,-5.069895267724822e-12,-15.097397608813994,368.32617990952826,368.3064866474341,-16.112654713054855
