t,bbr,C_1111,C_1112,C_1122,C_1222,C_2222,C_1212,eps_1_xx,eps_1_xy,eps_1_yx,eps_1_yy,sig_1_xx,sig_1_xy,sig_1_yx,sig_1_yy,eps_2_xx,eps_2_xy,eps_2_yx,eps_2_yy,sig_2_xx,sig_2_xy,sig_2_yx,sig_2_yy,eps_3_xx,eps_3_xy,eps_3_yx,eps_3_yy,sig_3_xx,sig_3_xy,sig_3_yx,sig_3_yy
0,0.0,49727748840.817696,40267949.53922068,10272479861.49624,-40051943.89135964,49727225586.05823,19162829206.970142,9.999799746028612e-09,-2.42628794071047e-13,-3.9296042129601786e-13,2.4662938450902102e-14,497.2672865610245,0.3596280353072243,0.3687374842833827,102.72742041799468,-2.3329761664648403e-14,1.35421352530492e-13,-1.0293811346692853e-13,9.999958602487642e-09,102.7197607415781,-0.3775215791133488,-0.3866315108680741,497.2704546745724,-1.0554935077580782e-13,9.999210152786149e-09,9.999647906361372e-09,-1.0674250908632626e-13,0.7550501013790966,383.2256534983924,383.2436984506029,-0.7572846403625983
1,0.0,49727748840.817696,40267949.53922068,10272479861.49624,-40051943.89135964,49727225586.05823,19162829206.970142,9.999799746028612e-09,-2.42628794071047e-13,-3.9296042129601786e-13,2.4662938450902102e-14,497.2672865610245,0.3596280353072243,0.3687374842833827,102.72742041799468,-2.3329761664648403e-14,1.35421352530492e-13,-1.0293811346692853e-13,9.999958602487642e-09,102.7197607415781,-0.3775215791133488,-0.3866315108680741,497.2704546745724,-1.0554935077580782e-13,9.999210152786149e-09,9.999647906361372e-09,-1.0674250908632626e-13,0.7550501013790966,383.2256534983924,383.2436984506029,-0.7572846403625983
2,0.0,49727748840.817696,40267949.53922068,10272479861.49624,-40051943.89135964,49727225586.05823,19162829206.970142,9.999799746028612e-09,-2.42628794071047e-13,-3.9296042129601786e-13,2.4662938450902102e-14,497.2672865610245,0.3596280353072243,0.3687374842833827,102.72742041799468,-2.3329761664648403e-14,1.35421352530492e-13,-1.0293811346692853e-13,9.999958602487642e-09,102.7197607415781,-0.3775215791133488,-0.3866315108680741,497.2704546745724,-1.0554935077580782e-13,9.999210152786149e-09,9.999647906361372e-09,-1.0674250908632626e-13,0.7550501013790966,383.2256534983924,383.2436984506029,-0.7572846403625983
3,0.0,49727748840.817696,40267949.53922068,10272479861.49624,-40051943.89135964,49727225586.05823,19162829206.970142,9.999799746028612e-09,-2.42628794071047e-13,-3.9296042129601786e-13,2.4662938450902102e-14,497.2672865610245,0.3596280353072243,0.3687374842833827,102.72742041799468,-2.3329761664648403e-14,1.35421352530492e-13,-1.0293811346692853e-13,9.999958602487642e-09,102.7197607415781,-0.3775215791133488,-0.3866315108680741,497.2704546745724,-1.0554935077580782e-13,9.999210152786149e-09,9.999647906361372e-09,-1.0674250908632626e-13,0.7550501013790966,383.2256534983924,383.2436984506029,-0.7572846403625983
4,0.0,49727748840.817696,40267949.53922068,10272479861.49624,-40051943.89135964,49727225586.05823,19162829206.970142,9.999799746028612e-09,-2.42628794071047e-13,-3.9296042129601786e-13,2.4662938450902102e-14,497.2672865610245,0.3596280353072243,0.3687374842833827,102.72742041799468,-2.3329761664648403e-14,1.35421352530492e-13,-1.0293811346692853e-13,9.999958602487642e-09,102.7197607415781,-0.3775215791133488,-0.3866315108680741,497.2704546745724,-1.0554935077580782e-13,9.999210152786149e-09,9.999647906361372e-09,-1.0674250908632626e-13,0.7550501013790966,383.2256534983924,383.2436984506029,-0.7572846403625983
5,0.002,49716588741.5384,29212825.86090711,10265707148.96004,-49859612.30993484,49719469293.07213,19150620015.058937,9.999746304602546e-09,2.40906693464239e-13,-4.688340837663404e-13,1.4751112596855376e-13,497.15592796955167,0.261341662952441,0.2704186680474441,102.66262934870736,2.575471552228715e-13,1.1134947761248706e-12,2.2312784453216651e-13,1.0000301559606857e-08,102.67213363662584,-0.4462722358059887,-0.4553930907546173,497.2111867226944,3.6445025045295673e-13,1.0001008543788118e-08,1.0000194321679492e-08,2.893091729669268e-13,0.5755144838286944,383.02637261224606,383.04436247300015,-0.916319848182678
6,0.012,49638138188.64974,-37466281.50251632,10225012643.39948,-113529656.67405742,49639132386.30146,19081348615.90205,9.999856812588944e-09,2.506051648645287e-13,-1.4709045843160616e-13,-8.739606565157036e-14,496.3803344819759,-0.3488829908659949,-0.3399264720709635,102.25603486860452,5.959122806241418e-13,3.3289383662628043e-13,2.1340059748555165e-13,1.000026755513444e-08,102.2706208001684,-1.0685882167114074,-1.0779184281839889,496.403688514878,9.579781744003646e-13,9.999882954443909e-09,1.0000282779645113e-08,2.114597769620475e-13,-0.6734997194575719,381.62129420854217,381.6388519180074,-2.1157520629361923
7,0.0246,49561338716.45119,-96445379.92692275,10186739890.813698,-189757484.60878465,49521290733.502365,19014657117.89448,9.999862981504329e-09,3.108942543593181e-13,-5.505719054392887e-13,2.2490950456105225e-13,495.61055110730655,-0.924642554648169,-0.9158212244729844,101.87554314450097,3.937067037877462e-13,1.082245509499964e-12,1.596409812559319e-13,9.999021664199176e-09,101.87844958885992,-1.7504249381978023,-1.7599694195538478,495.1667932428335,6.093795988811274e-13,1.000112579753762e-08,9.999724901128068e-09,-2.4330221600527645e-13,-1.7842501016576258,380.3005005769136,380.3177340368364,-3.591444445336809
8,0.0452,49373210638.0559,-233715626.2023685,10096887865.616549,-354285100.6019131,49259674280.20183,18872203601.415714,9.999845480063818e-09,8.399455567608134e-15,-1.62902296653651e-13,1.0437273252647776e-14,493.7276026992757,-2.226113866956146,-2.217308690345358,100.95808225965452,3.148350938175824e-13,2.4560934190136374e-13,2.520186671698957e-13,1.000006257037872e-08,100.99467000114724,-3.335038634068209,-3.344512892015888,492.59989965264026,2.3876502404032105e-13,1.000006475865292e-08,1.0000092518129506e-08,9.17344191563103e-14,-4.381214647119138,377.4382420057999,377.4555743062908,-6.666053920942413
9,0.0752,48966795868.24124,-470561791.7257534,9972957723.677238,-578316874.8563182,48892737171.87483,18646808335.13589,9.999768305571927e-09,3.049222892214012e-13,-2.129345882942687e-13,5.5319194484900856e-14,489.6630048418042,-4.440787778335495,-4.431847440888587,99.73632309571184,6.64087035081269e-13,-2.6492881574892887e-14,1.4169222805673485e-13,9.999976985508813e-09,99.7551762527918,-5.4574710060276335,-5.465485099740604,488.9267887753731,5.219481659488888e-13,9.999917732604808e-09,9.999884146081873e-09,1.7153853125064094e-14,-8.851361635637042,372.92277475161416,372.9419629170968,-10.891848559206746
