t,bbr,C_1111,C_1112,C_1122,C_1222,C_2222,C_1212,eps_1_xx,eps_1_xy,eps_1_yx,eps_1_yy,sig_1_xx,sig_1_xy,sig_1_yx,sig_1_yy,eps_2_xx,eps_2_xy,eps_2_yx,eps_2_yy,sig_2_xx,sig_2_xy,sig_2_yx,sig_2_yy,eps_3_xx,eps_3_xy,eps_3_yx,eps_3_yy,sig_3_xx,sig_3_xy,sig_3_yx,sig_3_yy
0,0.0,49886712957.40695,42861591.79187311,10111583576.473991,-43271520.16114786,49887354450.77669,18973766684.81678,9.999524341941476e-09,-1.3113964889121617e-13,-3.171218094979076e-13,5.973388684339512e-14,498.8449122457562,0.3945995448127758,0.4102977824057893,101.12164533527849,1.530234440964347e-13,1.208815034343755e-12,6.077799393654868e-13,9.999278987486558e-09,101.10860824490013,-0.362891710276956,-0.3785924107370039,498.8381462348222,-8.845307892901055e-13,9.999660096202651e-09,9.999980808340871e-09,7.92904009109528e-13,0.7742404752997242,379.4648062663698,379.4720509626525,-0.7799554684624928
1,0.0,49886712957.40695,42861591.79187311,10111583576.473991,-43271520.16114786,49887354450.77669,18973766684.81678,9.999524341941476e-09,-1.3113964889121617e-13,-3.171218094979076e-13,5.973388684339512e-14,498.8449122457562,0.3945995448127758,0.4102977824057893,101.12164533527849,1.530234440964347e-13,1.208815034343755e-12,6.077799393654868e-13,9.999278987486558e-09,101.10860824490013,-0.362891710276956,-0.3785924107370039,498.8381462348222,-8.845307892901055e-13,9.999660096202651e-09,9.999980808340871e-09,7.92904009109528e-13,0.7742404752997242,379.4648062663698,379.4720509626525,-0.7799554684624928
2,0.0,49886712957.40695,42861591.79187311,10111583576.473991,-43271520.16114786,49887354450.77669,18973766684.81678,9.999524341941476e-09,-1.3113964889121617e-13,-3.171218094979076e-13,5.973388684339512e-14,498.8449122457562,0.3945995448127758,0.4102977824057893,101.12164533527849,1.530234440964347e-13,1.208815034343755e-12,6.077799393654868e-13,9.999278987486558e-09,101.10860824490013,-0.362891710276956,-0.3785924107370039,498.8381462348222,-8.845307892901055e-13,9.999660096202651e-09,9.999980808340871e-09,7.92904009109528e-13,0.7742404752997242,379.4648062663698,379.4720509626525,-0.7799554684624928
3,0.0019,49876980439.70486,35204802.84682023,10108680092.904264,-53163341.41415215,49834969367.1959,18964164456.07049,9.999668591194828e-09,-3.492077189153901e-13,-3.814566264415336e-13,6.257334736036248e-14,498.7730562245967,0.3143371046940547,0.3300332317176174,101.07414267165476,1.962445922683451e-12,6.30797605649346e-13,-2.4623004707647613e-12,1.0000122037201685e-08,101.19838035290762,-0.5237737681213018,-0.539494457237838,498.35634451153976,-1.5127236162679825e-12,1.0000263104229624e-08,1.000046718250439e-08,1.317087079151028e-12,0.5884957150254815,379.2935913682189,379.3008252920577,-0.971453470645518
4,0.0046,49873509371.73435,37202103.85112876,10098828519.735352,-59799266.307781614,49703107714.299416,18948886589.36124,9.999698285899715e-09,-3.5484584867191334e-13,-2.5311310870525285e-13,1.5385778292283298e-13,498.7185074461912,0.3354773683070518,0.3511745859864207,101.0067391828586,-1.5049006520862208e-13,5.656315997533515e-13,2.207873073799621e-12,1.0000600635356106e-08,100.97311070128508,-0.4998759272737539,-0.5156277275402255,497.0624255843472,-5.482502133464969e-13,1.0000113594220102e-08,9.999706948083123e-09,1.023578639568446e-12,0.6869680329221658,378.97054676844607,378.9777627178384,-1.0790303844454625
5,0.0111,49818285239.027306,-10045972.202945417,10064846115.334454,-122865816.37611088,49549887805.1492,18891097716.794136,9.999674775251844e-09,-7.998268486557456e-14,-3.723815185946899e-13,9.910312004909665e-14,498.1683337994211,-0.1096413936109752,-0.093831238591631,100.65175554647158,1.666123405049607e-13,1.94841976544403e-12,-1.0347793237050449e-12,1.0000869316475222e-08,100.66390591487936,-1.1214744868049555,-1.1372836565140756,495.5428202503445,-7.14623582960854e-13,9.99944046226286e-09,1.0000004862413653e-08,1.1297523185285065e-12,-0.2161073462095757,377.8076941050638,377.81505381030087,-2.2829199522611128
6,0.0215,49742265576.18239,-74262218.59392762,10011830846.932312,-220064153.73285264,49313229533.36341,18790752210.05508,9.999435988364288e-09,-3.570452542350187e-13,-3.455813375159893e-13,1.13316883830732e-13,497.369775991625,-0.7246307132379912,-0.7089235070826722,100.138962360478,-2.479895953880959e-12,1.9504346054354983e-12,8.787493014218201e-13,1.0000212659644722e-08,99.97743348241164,-2.0359359741885603,-2.05223261289016,493.1437096753045,-9.752542162158653e-14,9.999546067808617e-09,9.999083260487596e-09,9.80610109919111e-13,-1.3895040818750803,375.78533204094174,375.79217801302656,-4.077134419639113
7,0.0356,49545010492.7629,-202019186.0647791,9938703359.362291,-363053817.83283,49054038200.21397,18650952797.447136,9.999722256315671e-09,-5.301254663366433e-13,-2.769478331725098e-13,1.2412048599330837e-13,495.4459977042143,-1.9190763187302389,-1.9033667861434,99.40373556470324,9.485728279758516e-13,1.6667508219791336e-12,-4.0371029633293707e-13,1.0000252035740068e-08,99.42306508003873,-3.396643568176952,-3.412524586008023,490.5537986130962,-1.1870143495313308e-12,1.0000080725337824e-08,1.0000187322479112e-08,5.252953475715459e-13,-3.861306010206101,373.02004092249655,373.02751412125167,-6.817831432480748
8,0.0552,49322232992.36837,-351878129.22079927,9815147287.554062,-549020036.6898477,48553712460.32498,18464219142.592903,9.99989350730784e-09,-4.984336892210138e-13,-2.4199349706966963e-13,1.1296299093577634e-14,493.2203017893448,-3.343603607076316,-3.3277570020446245,98.15100320545554,3.056302757443354e-13,3.7523043559253883e-13,-7.962953238871519e-13,1.0001072024343538e-08,98.17679957254916,-5.186981641792632,-5.198316121958584,485.58871394808256,-6.782217345001387e-13,9.999953082626622e-09,9.999685817636946e-09,1.1050723042442599e-12,-6.662493528922619,369.2727043864605,369.2836536958635,-10.310053919186348
9,0.0738,49121777312.02653,-488171533.94585496,9719626194.86593,-716766028.8515924,48018003020.18678,18307337504.602142,9.999735845615166e-09,-3.53623675087193e-13,-4.939075147995442e-13,1.0318262733738925e-13,491.2117300382772,-4.617516186018031,-4.601510986488289,97.18016789364812,6.731710406844431e-13,1.992975954411525e-12,-1.234289463588133e-12,9.999398176361822e-09,97.24135074367676,-6.727413687866634,-6.738495134109427,480.1513186191662,-8.507241303689591e-13,1.0000207353570155e-08,1.0000391479942884e-08,1.2098423526189416e-12,-9.247145714941736,366.1518985456902,366.163282534388,-13.48133959896782
