t,bbr,C_1111,C_1112,C_1122,C_1222,C_2222,C_1212,eps_1_xx,eps_1_xy,eps_1_yx,eps_1_yy,sig_1_xx,sig_1_xy,sig_1_yx,sig_1_yy,eps_2_xx,eps_2_xy,eps_2_yx,eps_2_yy,sig_2_xx,sig_2_xy,sig_2_yx,sig_2_yy,eps_3_xx,eps_3_xy,eps_3_yx,eps_3_yy,sig_3_xx,sig_3_xy,sig_3_yx,sig_3_yy
0,0.0,49682260359.42234,61223417.30559154,10311570808.093708,-67029296.97722868,49686704913.01531,19200301636.996803,1.0003061080533376e-08,-8.617901213061592e-12,1.6202715720771949e-12,-3.095459095574554e-12,496.9709258414359,0.3877179252206374,0.3862761956338126,102.9535210596731,-3.820258238216011e-13,7.608838632845941e-13,4.4761899575217047e-14,1.0000182760986778e-08,103.13822623450746,-0.5836680313023239,-0.5822191737776213,496.84437763234905,3.2277980807591228e-12,9.991092198358508e-09,1.0001747364343685e-08,-2.995834837843409e-12,1.299147378182381,383.8692656202677,383.86690562099216,-1.4442248629397445
1,0.0,49682260359.42234,61223417.30559154,10311570808.093708,-67029296.97722868,49686704913.01531,19200301636.996803,1.0003061080533376e-08,-8.617901213061592e-12,1.6202715720771949e-12,-3.095459095574554e-12,496.9709258414359,0.3877179252206374,0.3862761956338126,102.9535210596731,-3.820258238216011e-13,7.608838632845941e-13,4.4761899575217047e-14,1.0000182760986778e-08,103.13822623450746,-0.5836680313023239,-0.5822191737776213,496.84437763234905,3.2277980807591228e-12,9.991092198358508e-09,1.0001747364343685e-08,-2.995834837843409e-12,1.299147378182381,383.8692656202677,383.86690562099216,-1.4442248629397445
2,0.0009,49674404614.86684,54009155.840847634,10308670327.868805,-73662078.06094845,49682972792.05598,19192217378.015778,1.0002718953692964e-08,-7.947604013384082e-12,1.1437006787199054e-12,-3.726411459973698e-12,496.8731960783988,0.3281177032368739,0.3266643599012679,102.89274556705072,-5.871122480095995e-13,1.0435595982235089e-12,2.637846910710258e-13,1.0000469336077268e-08,103.0988678479635,-0.6293143143878055,-0.6278751619995735,496.8148933045532,2.839404323819356e-12,9.991626800474824e-09,1.0001250334223744e-08,-4.259568220355447e-12,1.1471484809210564,383.70838943766927,383.7060019071743,-1.6212144795373444
3,0.009,49562210671.85816,-41866476.005718425,10251847311.208118,-176663782.21078652,49549203011.49818,19086673171.322,1.0001201435848234e-08,-6.788708106367423e-12,1.796372149177886e-13,-2.030604575428427e-12,495.67745263808087,-0.5403100863187409,-0.541912477022086,102.40648253282592,-4.02401544971441e-13,1.8596711140352145e-13,7.233680894194982e-13,9.999781651775824e-09,102.51972115648746,-1.6253876751920835,-1.624235892060799,495.4607044642438,1.960345602761008e-12,9.992810818402844e-09,1.0000806733542494e-08,-1.9370994166172773e-12,-0.7271761411842381,381.6131988045636,381.61031111519264,-3.456540546386738
4,0.0323,48997350569.55888,-411318517.7890498,10040413253.792423,-494908273.4722504,49125082294.245766,18749051906.44193,1.0001618386840974e-08,-7.948350687093044e-12,2.682369092923188e-13,-2.204087810409875e-12,490.0515112420032,-4.065295412328108,-4.065877502260247,100.25789864427443,-9.348510870986976e-14,2.870267171891474e-13,-2.4434293643878137e-13,1.0000305793906567e-08,100.4576971354654,-4.614856077052849,-4.612952811137669,491.24489660953935,9.096813253045753e-13,9.991735998556526e-09,1.0000042121475272e-08,-2.6009774068176737e-12,-7.721657366178509,374.8302881977033,374.8293985662588,-9.515967487052103
5,0.0562,48402338512.26229,-753700692.1201043,9833739021.517223,-855642459.9095076,48578082721.922165,18413417752.37175,1.0002010063943956e-08,-7.6083943732386e-12,-4.856239361835813e-13,-2.330043003272937e-12,484.11293968243456,-7.323056701499563,-7.322882155011976,98.18991926978488,-6.709038966924312e-13,5.909843292644827e-13,3.18563992394246e-14,9.999854134909232e-09,98.35826330677686,-8.014847265378435,-8.012980735688563,485.7527395949187,1.601098216707007e-12,9.991664321317794e-09,9.999902360931905e-09,-2.40147759739813e-12,-14.127521345114504,368.1184587619202,368.1181505274892,-16.293519691674177
6,0.0869,47603366173.91086,-1198707673.2970564,9565778249.352491,-1331864456.6497366,47676290603.95253,17972531090.292145,1.0002169756348525e-08,-7.904994359613066e-12,-3.6649342051167934e-14,-2.394284756339011e-12,476.1322177865184,-11.493877630978462,-11.493426571334618,95.51647242853232,-3.0399661370893485e-13,9.6616269793624e-13,3.573235182451555e-13,1.0000707180193924e-08,95.69984100169825,-12.492110546318232,-12.490078020825008,476.777800541409,1.612653111593361e-12,9.9911873816385e-09,1.000027669770894e-08,-3.2754439976501644e-12,-22.534957056348336,359.3045526604972,359.3044733138672,-25.294948534662552
7,0.1179,46677777742.00571,-1633133686.6860862,9301420243.090555,-1814427193.501604,46815514511.41191,17553132921.22637,1.0001737694566748e-08,-7.554442142592746e-12,-6.83216033861979e-14,-2.598496945470232e-12,466.8555414667484,-15.575821552395547,-15.57650604553838,92.86771630855672,-1.270942044031605e-13,9.429209512720304e-13,2.2523501483149732e-13,1.0000511722940342e-08,93.05603338604496,-17.04941293206532,-17.04824662038682,468.15941025935456,1.4055653353948633e-12,9.991865947586575e-09,1.0000186079069844e-08,-2.632131264022535e-12,-30.737753880095905,350.93367568483967,350.9320784958991,-34.35842614022823
8,0.1485,45772430496.648285,-2117159689.44625,9021486630.76153,-2256353685.0559635,45982368423.96848,17114559770.561771,1.0001767605805563e-08,-7.717126177245766e-12,8.975653318089604e-14,-2.574305896048391e-12,457.79654504342295,-20.147966072584115,-20.145719135736744,90.06230505301895,-6.116978642065281e-13,5.084703195385644e-13,1.647331719546453e-13,1.0000154951162461e-08,90.2406701693965,-21.21381318285424,-21.211787364890142,459.8130865427752,1.5770646482851552e-12,9.991765130479912e-09,9.999325564129948e-09,-2.5995880853165545e-12,-39.84856448158485,342.15167145020104,342.1533245238851,-42.69538812936627
9,0.1768,44809950315.11118,-2548348215.458065,8773550510.77195,-2691138186.557685,45098724248.866745,16721742459.095505,1.0001954359232056e-08,-7.952266795443552e-12,1.7735315807336986e-15,-2.1109048550374005e-12,448.18151455162223,-24.2212330535678,-24.22006882260536,87.63842202483308,-7.03683067531085e-14,1.2842097510423293e-12,3.291610422818245e-13,1.0000093130254751e-08,87.75456063448469,-25.322671355761223,-25.320613138674897,450.9802675383797,2.055716459732956e-12,9.990959492290316e-09,1.0000480759796117e-08,-2.900173971694152e-12,-47.958554651721805,334.30607229630334,334.3073420022328,-50.87022685989098
