t,bbr,C_1111,C_1112,C_1122,C_1222,C_2222,C_1212,eps_1_xx,eps_1_xy,eps_1_yx,eps_1_yy,sig_1_xx,sig_1_xy,sig_1_yx,sig_1_yy,eps_2_xx,eps_2_xy,eps_2_yx,eps_2_yy,sig_2_xx,sig_2_xy,sig_2_yx,sig_2_yy,eps_3_xx,eps_3_xy,eps_3_yx,eps_3_yy,sig_3_xx,sig_3_xy,sig_3_yx,sig_3_yy
0,0.0,49687857681.190674,49268018.6674028,10309812264.64012,-49564559.03169949,49687944133.95242,19263864823.191715,1.0000246565433452e-08,9.748671891928377e-14,-4.945611221141298e-13,-1.357129196539024e-13,496.8922646188149,0.4554637518826783,0.4525725166018531,103.10275249929646,1.401646246280597e-13,4.365459591809966e-13,1.8247758389308082e-13,1.0000110350418016e-08,103.09739318027783,-0.4579163215829765,-0.4550271804166621,496.883534878412,-1.891883187524155e-13,9.999819914764948e-09,1.0000021174474e-08,-2.0197988493289765e-13,0.9255355852119116,385.28055144690654,385.2678242716984,-0.9398943938552644
1,0.0,49687857681.190674,49268018.6674028,10309812264.64012,-49564559.03169949,49687944133.95242,19263864823.191715,1.0000246565433452e-08,9.748671891928377e-14,-4.945611221141298e-13,-1.357129196539024e-13,496.8922646188149,0.4554637518826783,0.4525725166018531,103.10275249929646,1.401646246280597e-13,4.365459591809966e-13,1.8247758389308082e-13,1.0000110350418016e-08,103.09739318027783,-0.4579163215829765,-0.4550271804166621,496.883534878412,-1.891883187524155e-13,9.999819914764948e-09,1.0000021174474e-08,-2.0197988493289765e-13,0.9255355852119116,385.28055144690654,385.2678242716984,-0.9398943938552644
2,0.0,49687857681.190674,49268018.6674028,10309812264.64012,-49564559.03169949,49687944133.95242,19263864823.191715,1.0000246565433452e-08,9.748671891928377e-14,-4.945611221141298e-13,-1.357129196539024e-13,496.8922646188149,0.4554637518826783,0.4525725166018531,103.10275249929646,1.401646246280597e-13,4.365459591809966e-13,1.8247758389308082e-13,1.0000110350418016e-08,103.09739318027783,-0.4579163215829765,-0.4550271804166621,496.883534878412,-1.891883187524155e-13,9.999819914764948e-09,1.0000021174474e-08,-2.0197988493289765e-13,0.9255355852119116,385.28055144690654,385.2678242716984,-0.9398943938552644
3,0.0002,49685088124.15739,46612443.02571302,10307995785.836449,-54628584.32436781,49682958868.68031,19259120192.686382,1.0000227520322456e-08,1.3774546374640654e-13,-4.954106225185075e-13,-1.4188723841051465e-13,496.864524667956,0.4302384141831408,0.4273483739070945,103.08477338914032,2.2782448296915964e-13,1.6760942976976744e-13,2.94485433111934e-13,1.0000150344126368e-08,103.08330778397335,-0.5085585319473629,-0.5056636763456333,496.8356078954971,-2.2030525776503992e-13,9.99983713572975e-09,9.99990912194216e-09,-2.3404188329852173e-13,0.8746075197606774,385.1838365346558,385.1711183587876,-1.0374190099908782
4,0.002,49674371976.07784,36381834.11200629,10302529950.197062,-62466201.14672633,49676644238.68388,19248272141.444103,1.0000213986319676e-08,3.9271194640525046e-14,-5.17371137236543e-13,-1.5657076407061736e-13,496.7582874350946,0.3298411853053394,0.3269416972675162,103.02700069531905,3.8346387638817353e-13,1.0292231501862158e-13,1.5005043242265208e-13,1.0000006510492898e-08,103.03715809797662,-0.5849715195865304,-0.5820780717054107,496.7651629463679,-3.8266378282449924e-13,9.999800031480404e-09,1.0000135185912754e-08,-1.7140832733858218e-13,0.6753080219700903,384.97053049135513,384.9577984304756,-1.18607365529411
5,0.0085,49582857114.12561,-32032692.71846144,10267000276.043545,-120112637.8855076,49613639832.23586,19180591245.895657,1.0000249067690431e-08,1.0061552562192033e-13,-2.935729420634997e-13,-1.5778841681023528e-13,495.8419177476417,-0.3081022560399888,-0.3109788638083525,102.66796894138392,9.668415679147277e-14,1.1870253731401832e-13,2.7265182719912933e-13,1.0000108071655061e-08,102.67270089817634,-1.1315541876175403,-1.1286542673853386,496.1401698501389,-1.4399181398566526e-13,9.999721375108745e-09,9.999992717193629e-09,-2.602617814804448e-13,-0.6048114625988809,383.6126554964075,383.59994975922257,-2.268459068933754
6,0.0281,49275209034.609146,-247947925.22586903,10142410630.07988,-322403586.58201915,49330160496.45634,18968908202.443905,1.0000311016455896e-08,1.4715946163105325e-13,-3.7723731023587553e-13,3.120026843104388e-15,492.77049821430194,-2.3449672696484987,-2.3476568055294056,101.43130757733148,2.979625810113573e-13,-2.8760507235414735e-13,1.330963236033373e-13,1.0000302329294301e-08,101.43812446921976,-3.043708587096049,-3.040534828011662,493.31663895834765,-2.5767048191387346e-13,9.999863667072853e-09,9.999934157682364e-09,-2.910527362682176e-13,-4.683244836306497,379.38065139178985,379.3682081060695,-6.0930030152946735
7,0.0466,48930084159.8711,-459143669.4771885,10025642670.954657,-532434999.5609247,48989047784.41817,18765036024.720905,1.0000500302547687e-08,4.9242638165832805e-14,-5.901473258344584e-13,-6.547603436801936e-14,489.32702157093655,-4.342219802743143,-4.34501740859535,100.25448187929229,1.673205700384597e-13,-7.007514652238304e-14,2.1349334845540201e-13,1.000000085568605e-08,100.268485013212,-5.02496784516427,-5.022368317314464,489.88994423801,-5.220327961750711e-14,9.999792574572417e-09,9.999609090767556e-09,-1.6101949715531345e-13,-8.657870349675681,375.2962752255948,375.2830344711671,-10.040903274290883
8,0.0702,48475899810.91036,-736098764.2127697,9850093267.92321,-845805547.5079657,48451872456.31944,18491877986.53773,1.0000113263112858e-08,1.1339133668508433e-13,-5.830128430371916e-13,-1.1531691716142318e-13,484.7662037592569,-6.954732433840436,-6.958002211271859,98.50260226907449,1.880028635201438e-13,1.4269912406900538e-13,1.299860088233137e-13,1.0000537927199806e-08,98.50922815177316,-7.977740460322502,-7.975380465211254,484.5438692345632,1.968793403785566e-13,9.999872253943769e-09,9.999926849447328e-09,-2.718394260979564e-13,-13.866795180104733,369.8407973151087,369.82710905399074,-15.952810935445113
9,0.096,47920736247.74534,-1026389176.2679278,9696940885.509026,-1099713917.2103026,48003989441.160286,18238448524.73688,1.0000379269682137e-08,1.3142618840282073e-13,-5.33368976160085e-13,2.2710981401416787e-14,479.2249263682664,-9.684083070592791,-9.687221557389773,96.97115936206696,-4.9530862639665284e-14,1.5774518098300888e-13,3.224993462752731e-13,1.0000035102016054e-08,96.97045577398416,-10.368015915125811,-10.365600958336769,480.0420234951176,1.3503338694042518e-13,9.999762914892572e-09,9.999755739178341e-09,-2.1569602622758301e-13,-19.3477925583561,364.7668564746816,364.7533089026261,-20.73595516510748
