t,bbr,C_1111,C_1112,C_1122,C_1222,C_2222,C_1212,eps_1_xx,eps_1_xy,eps_1_yx,eps_1_yy,sig_1_xx,sig_1_xy,sig_1_yx,sig_1_yy,eps_2_xx,eps_2_xy,eps_2_yx,eps_2_yy,sig_2_xx,sig_2_xy,sig_2_yx,sig_2_yy,eps_3_xx,eps_3_xy,eps_3_yx,eps_3_yy,sig_3_xx,sig_3_xy,sig_3_yx,sig_3_yy
0,0.0,49727748840.817696,40267949.53922068,10272479861.49624,-40051943.89135964,49727225586.05823,19162829206.970142,9.999799746028612e-09,-2.42628794071047e-13,-3.9296042129601786e-13,2.4662938450902102e-14,497.2672865610245,0.3596280353072243,0.3687374842833827,102.72742041799468,-2.3329761664648403e-14,1.35421352530492e-13,-1.0293811346692853e-13,9.999958602487642e-09,102.7197607415781,-0.3775215791133488,-0.3866315108680741,497.2704546745724,-1.0554935077580782e-13,9.999210152786149e-09,9.999647906361372e-09,-1.0674250908632626e-13,0.7550501013790966,383.2256534983924,383.2436984506029,-0.7572846403625983
2,0.0,49727748840.817696,40267949.53922068,10272479861.49624,-40051943.89135964,49727225586.05823,19162829206.970142,9.999799746028612e-09,-2.42628794071047e-13,-3.9296042129601786e-13,2.4662938450902102e-14,497.2672865610245,0.3596280353072243,0.3687374842833827,102.72742041799468,-2.3329761664648403e-14,1.35421352530492e-13,-1.0293811346692853e-13,9.999958602487642e-09,102.7197607415781,-0.3775215791133488,-0.3866315108680741,497.2704546745724,-1.0554935077580782e-13,9.999210152786149e-09,9.999647906361372e-09,-1.0674250908632626e-13,0.7550501013790966,383.2256534983924,383.2436984506029,-0.7572846403625983
4,0.0,49727748840.817696,40267949.53922068,10272479861.49624,-40051943.89135964,49727225586.05823,19162829206.970142,9.999799746028612e-09,-2.42628794071047e-13,-3.9296042129601786e-13,2.4662938450902102e-14,497.2672865610245,0.3596280353072243,0.3687374842833827,102.72742041799468,-2.3329761664648403e-14,1.35421352530492e-13,-1.0293811346692853e-13,9.999958602487642e-09,102.7197607415781,-0.3775215791133488,-0.3866315108680741,497.2704546745724,-1.0554935077580782e-13,9.999210152786149e-09,9.999647906361372e-09,-1.0674250908632626e-13,0.7550501013790966,383.2256534983924,383.2436984506029,-0.7572846403625983
6,0.0,49727748840.817696,40267949.53922068,10272479861.49624,-40051943.89135964,49727225586.05823,19162829206.970142,9.999799746028612e-09,-2.42628794071047e-13,-3.9296042129601786e-13,2.4662938450902102e-14,497.2672865610245,0.3596280353072243,0.3687374842833827,102.72742041799468,-2.3329761664648403e-14,1.35421352530492e-13,-1.0293811346692853e-13,9.999958602487642e-09,102.7197607415781,-0.3775215791133488,-0.3866315108680741,497.2704546745724,-1.0554935077580782e-13,9.999210152786149e-09,9.999647906361372e-09,-1.0674250908632626e-13,0.7550501013790966,383.2256534983924,383.2436984506029,-0.7572846403625983
8,0.0,49727748840.817696,40267949.53922068,10272479861.49624,-40051943.89135964,49727225586.05823,19162829206.970142,9.999799746028612e-09,-2.42628794071047e-13,-3.9296042129601786e-13,2.4662938450902102e-14,497.2672865610245,0.3596280353072243,0.3687374842833827,102.72742041799468,-2.3329761664648403e-14,1.35421352530492e-13,-1.0293811346692853e-13,9.999958602487642e-09,102.7197607415781,-0.3775215791133488,-0.3866315108680741,497.2704546745724,-1.0554935077580782e-13,9.999210152786149e-09,9.999647906361372e-09,-1.0674250908632626e-13,0.7550501013790966,383.2256534983924,383.2436984506029,-0.7572846403625983
10,0.0,49727748840.817696,40267949.53922068,10272479861.49624,-40051943.89135964,49727225586.05823,19162829206.970142,9.999799746028612e-09,-2.42628794071047e-13,-3.9296042129601786e-13,2.4662938450902102e-14,497.2672865610245,0.3596280353072243,0.3687374842833827,102.72742041799468,-2.3329761664648403e-14,1.35421352530492e-13,-1.0293811346692853e-13,9.999958602487642e-09,102.7197607415781,-0.3775215791133488,-0.3866315108680741,497.2704546745724,-1.0554935077580782e-13,9.999210152786149e-09,9.999647906361372e-09,-1.0674250908632626e-13,0.7550501013790966,383.2256534983924,383.2436984506029,-0.7572846403625983
12,0.0005,49712432279.01185,38429118.70758824,10274321077.613483,-39823303.6527862,49726719317.8448,19162174486.66884,9.999759982721582e-09,-1.4852828783106558e-13,-3.5377231675210234e-13,5.4293658140753503e-14,497.1111308868113,0.3450848912156521,0.3541919664061869,102.7472882747266,-1.2241988722534974e-13,1.183493402348185e-13,-1.5244097264793597e-13,1.0000076136593625e-08,102.7340651412495,-0.3778157709590166,-0.3869245759477536,497.2715352498125,-6.271051036092719e-14,9.999265601687706e-09,9.999781976310562e-09,4.6941735342891554e-14,0.7222119251480349,383.2161979803629,383.2342466833967,-0.7456156638172113
14,0.0058,49477763773.4701,31950700.39906917,10281595798.161757,-40218773.97098771,49722521161.32432,19141815506.902924,9.999851622299741e-09,2.6324616256553293e-13,-6.133627841331738e-14,-4.728831248635309e-13,494.7739514941071,0.2913624795267909,0.3002715364644533,102.78052816919784,3.542431319012817e-13,3.611135662822855e-13,1.8386581237573026e-13,9.999395655211933e-09,102.83781138955928,-0.3580459061799432,-0.3671506126643969,497.1903481057232,4.574829527890552e-13,1.0000131579528568e-08,1.0000013963280245e-08,-1.280695544471485e-12,0.633161898019851,382.8300724030015,382.8480907726309,-0.8093891243660329
16,0.021,48779112654.214485,30838537.866641708,10264274976.502129,-55723235.88553305,49698355677.45777,19053914675.87859,9.999778498399524e-09,1.3989955538058984e-13,4.9091084253316126e-14,1.7773012289036734e-13,487.786030955817,0.2862940036537418,0.2950273705435523,102.65159259545582,5.546171385155294e-13,-4.384249337211929e-13,3.7460805984690676e-14,1.0000055942153109e-08,102.6684195910459,-0.5396857838158405,-0.5488233468982266,496.9881439991249,5.67321462405244e-13,9.99974641832906e-09,1.0000153204748562e-08,3.2295527116315173e-13,0.6056837645687599,381.0673902555251,381.0854244060467,-1.0285158823171374
18,0.0463,47470433207.62742,57918853.78550511,10194235616.23447,-40293508.61087423,49620037263.50749,18854679090.03544,9.999752484616716e-09,4.08277569584589e-13,-1.749682612160753e-13,2.089543177800959e-13,474.70189406190366,0.5465212146234851,0.5547534473791383,101.95079577058104,9.072847339754188e-13,2.782176196988459e-13,1.83119166684285e-13,9.999688365696426e-09,101.98307924162538,-0.368694562678423,-0.3778983949067801,496.1870617995997,1.150051769280703e-12,1.0000605302745128e-08,1.000002067370819e-08,-5.798324641780774e-13,1.1387336143193418,377.0965286803768,377.1142308760592,-0.7755718983653899
20,0.0703,45966360201.94181,74290777.0291996,10080113250.244007,-29040745.77883769,49504438029.23921,18607592639.35577,9.999952993923065e-09,-3.526865137968895e-13,-2.9802621304940633e-13,5.086561129905435e-14,459.66459314077497,0.6821733977274477,0.6917239553725043,100.80289346671226,3.079047659029068e-13,8.145363053221244e-14,4.3117845817401494e-13,9.99992771431372e-09,100.81569349838256,-0.2658732543479867,-0.2747886961525642,495.0413293944547,6.877705830928668e-13,9.999350298488288e-09,9.999941962284209e-09,-5.302653974286267e-13,1.4274875584992106,372.1292407666067,372.1480071702027,-0.5613691759606351
22,0.0962,44506525028.23921,111752311.88382348,9954765836.577644,-21838529.45212914,49396074399.4848,18371710773.02531,9.999934344758484e-09,-2.0210193270330032e-14,-3.140313062037502e-13,3.058195796992832e-13,445.0673305207366,1.034507976295317,1.0435252556578425,99.56278258444208,4.974100436955131e-13,4.99476990778413e-13,2.4792269433858872e-14,9.999802165470381e-09,99.56805179074809,-0.1936911261970541,-0.2029714231593481,493.9540220751814,4.842733154073006e-13,1.0000443704849806e-08,9.999905195005488e-09,-2.898018014076845e-13,2.134765573829296,367.4315159592725,367.4496425829885,-0.4186499346554571
24,0.1256,43177921744.19833,101190809.39752346,9776747216.893105,-26440941.968481224,49246903305.26844,18102090675.003326,1.0000041528419966e-08,2.085581866211809e-13,-3.665440681745128e-14,4.1548423517044213e-13,431.78366082972144,0.9512587316192972,0.9594030751700272,97.78244047989124,2.676341811505509e-13,4.378190534642731e-13,2.3246900937069163e-13,1.0000153366364296e-08,97.78554194037584,-0.2347417587236554,-0.2440825303829516,492.4806422000031,3.564736634769123e-13,9.9998705314513e-09,1.0000461911918444e-08,2.314363978095946e-13,1.9266814935083143,362.0390619904031,362.0566008298943,-0.4826587757658315
26,0.1576,41480178102.115776,186881861.3439949,9534399259.496058,4569638.683685141,48984411832.7005,17780911529.559,9.999946899582014e-09,1.0352135897759502e-13,-3.59873505437536e-13,1.700432241436225e-13,414.80280518674095,1.7434302525454628,1.7532300867097517,95.35441340203566,3.2553330621077573e-13,4.0877862029779494e-13,1.8254760619294778e-13,1.0000144094184422e-08,95.3574986309182,0.0430591774499166,0.0343811895559139,489.8527987658477,7.022716583284754e-13,1.0000136464702124e-08,1.0000323100840702e-08,3.3108131660884893e-13,3.559988247002178,355.6164791992237,355.63624048779474,0.1156255897198032
28,0.1807,40383358357.56712,204634533.0974489,9361961948.256435,5788731.353932377,48750570820.59264,17530288891.669495,1.0000116304740889e-08,-1.9623088081910128e-14,-4.1303138491063014e-13,-1.3097893560623164e-14,403.8411785729365,1.920715937341998,1.926818223796048,93.6242146673422,3.100981980803662e-13,-2.253770397265992e-13,-1.3626011409909366e-13,1.0000540029708903e-08,93.63592371752456,0.0456333351487369,0.0384229723909598,487.5319168901223,-2.534870046131408e-14,9.998941072712586e-09,9.999757277498226e-09,8.605214200451928e-13,3.852776351500168,350.5761813749645,350.58956696063444,0.1410295121016202
30,0.208,39035280941.43544,251341484.8791077,9137084478.83181,31813802.783866186,48455849341.56076,17204402651.947197,9.99992574421674e-09,-2.736679733871538e-13,1.84341532810692e-13,-5.3273915810945216e-14,390.35359526424014,2.360411093573832,2.368418492000319,91.3742264894467,3.9628331404321544e-13,1.79287399617146e-13,6.460465806095723e-14,1.0000477471900008e-08,91.38844069336648,0.2936239084113555,0.2866023423439114,484.5811625752048,2.6864296474579445e-13,1.0000250576277528e-08,1.0000123054256561e-08,6.892465032172774e-13,4.753243761023901,344.08951908079234,344.09941580564606,0.6389435805454587
32,0.2342,37457561488.47995,237176972.2990645,8887124984.21967,50474.00706451756,48183776002.2434,16882440415.76548,1.0000061823248406e-08,6.765641244211265e-14,3.648415631080253e-14,1.4103839011810696e-13,374.5780426952967,2.229120968559516,2.2369998026681945,88.87207877750564,8.910039707685904e-15,1.830723755843629e-12,1.7392025064388357e-13,1.0000624690245242e-08,88.88231059679745,0.026943355158443,0.0200009416984999,481.8691126465214,1.480098696001025e-13,1.0002318866289877e-08,1.0000165525004303e-08,3.4756708945769734e-13,4.491475911701289,337.6857523051581,337.6958015781641,0.0385113040547446
