t,bbr,C_1111,C_1112,C_1122,C_1222,C_2222,C_1212,eps_1_xx,eps_1_xy,eps_1_yx,eps_1_yy,sig_1_xx,sig_1_xy,sig_1_yx,sig_1_yy,eps_2_xx,eps_2_xy,eps_2_yx,eps_2_yy,sig_2_xx,sig_2_xy,sig_2_yx,sig_2_yy,eps_3_xx,eps_3_xy,eps_3_yx,eps_3_yy,sig_3_xx,sig_3_xy,sig_3_yx,sig_3_yy
0,0.0,49772158081.08928,34312146.2055515,10220917492.305292,-28742464.272487786,49775429956.470566,19186837782.93697,9.999902519762077e-09,6.265462286090514e-13,5.497563694814306e-13,-2.0437583846536282e-13,497.7185982674959,0.3164719197533931,0.3088071576509688,102.20791810513931,1.857396116171276e-13,1.48363747918244e-12,6.942082578936805e-13,1.0000280858712324e-08,102.21138884318212,-0.2341886555492252,-0.2265317209145653,497.76621382846827,-1.0753600032789785e-12,9.995545854942789e-09,9.9987263342423e-09,-7.976849334959474e-13,0.6568985114374466,383.6262338304463,383.6274487106235,-0.5529425746426343
1,0.0,49772158081.08928,34312146.2055515,10220917492.305292,-28742464.272487786,49775429956.470566,19186837782.93697,9.999902519762077e-09,6.265462286090514e-13,5.497563694814306e-13,-2.0437583846536282e-13,497.7185982674959,0.3164719197533931,0.3088071576509688,102.20791810513931,1.857396116171276e-13,1.48363747918244e-12,6.942082578936805e-13,1.0000280858712324e-08,102.21138884318212,-0.2341886555492252,-0.2265317209145653,497.76621382846827,-1.0753600032789785e-12,9.995545854942789e-09,9.9987263342423e-09,-7.976849334959474e-13,0.6568985114374466,383.6262338304463,383.6274487106235,-0.5529425746426343
2,0.0,49772158081.08928,34312146.2055515,10220917492.305292,-28742464.272487786,49775429956.470566,19186837782.93697,9.999902519762077e-09,6.265462286090514e-13,5.497563694814306e-13,-2.0437583846536282e-13,497.7185982674959,0.3164719197533931,0.3088071576509688,102.20791810513931,1.857396116171276e-13,1.48363747918244e-12,6.942082578936805e-13,1.0000280858712324e-08,102.21138884318212,-0.2341886555492252,-0.2265317209145653,497.76621382846827,-1.0753600032789785e-12,9.995545854942789e-09,9.9987263342423e-09,-7.976849334959474e-13,0.6568985114374466,383.6262338304463,383.6274487106235,-0.5529425746426343
3,0.0002,49773393309.30215,32428127.8432076,10220668613.195616,-30239618.200320285,49771592502.08834,19184130194.41837,9.999970247761264e-09,1.5490341493738476e-12,-8.850956196292537e-13,1.3126727773678133e-13,497.7411265106862,0.2922084327760814,0.2845452265605728,102.238396681315,8.52546043720616e-13,2.2420732821647507e-12,7.989357904002706e-13,9.999465451966729e-09,102.2182201153799,-0.223140255633381,-0.2154871656480207,497.6906625608064,-1.6348382208897677e-12,9.993853403377103e-09,9.999817209420242e-09,-5.39305924325072e-14,0.5980411272535555,383.5605081165509,383.5617266262844,-0.5588583145971818
4,0.0033,49763717141.94711,20721640.836388573,10212503106.484804,-45897460.17815723,49756504826.88403,19166683516.27225,1.0000956954717428e-08,1.319919372963093e-12,-3.69570681481235e-13,2.706832529801021e-13,497.6899962093946,0.1910665954078508,0.1833961556253883,102.1565132201312,5.123099675474525e-13,1.2856430239614062e-12,1.473201586767016e-13,9.99945545511596e-09,102.13679673252722,-0.4125927777661292,-0.4049549232338464,497.5407392117135,-1.9198620019738608e-12,9.994705452638664e-09,9.999784073583442e-09,-4.8682336278763e-13,0.3561901397266546,383.2274196531766,383.2286052019736,-0.8673810493158316
5,0.0144,49662350144.22052,-57019036.41241661,10162742066.150587,-123745212.84174882,49658252712.566666,19086363980.182594,1.0001240720404107e-08,2.6582401656847187e-12,6.165357541956335e-13,1.3294851930425888e-13,496.6847186088925,-0.5038232873847557,-0.5114877822682411,101.62935617592292,-5.5716804997674144e-14,1.544477262000018e-12,-5.1309096277945e-13,9.997984391668258e-09,101.62170477276156,-1.1653923881984156,-1.1577509404880222,496.4836384385866,-2.799292750181569e-12,9.993078620206842e-09,9.999494068750089e-09,1.2290432411014644e-12,-1.125277587341653,381.58463993526897,381.5858282918485,-2.2484129748066097
6,0.0348,49431939542.39983,-233715282.1538848,10047039371.60353,-315657677.353422,49396040614.28312,18908129715.24084,1.0000370444611084e-08,2.672438547371037e-12,-1.3969200825824229e-12,7.94638637375662e-14,494.3326854284415,-2.1977906196068826,-2.205616063183698,100.48616597028864,-5.146891378355648e-13,1.4263708909606909e-12,-1.2156983653834416e-13,9.999734026598332e-09,100.43445847735848,-2.961920192885543,-2.9546735522772103,493.94817753909706,-6.698028537395612e-13,9.994602883615404e-09,1.0001087952899455e-08,-3.70857545212561e-13,-4.395385188609823,378.0801474268218,378.0807534899092,-5.944473403365223
7,0.064,49075186344.48556,-468962283.1334153,9908429795.975277,-547236192.1978319,49045638159.358376,18668713515.69201,1.0001745836914152e-08,1.0300721634094656e-12,-5.26590909581163e-13,2.384509057358655e-13,490.8395815553442,-4.42312406929132,-4.4309225695262,99.12293776949346,1.130784260758011e-13,6.729447507171949e-13,1.837576083663337e-13,9.999910677550846e-09,99.0807095565436,-5.141714333107238,-5.134539751194235,490.4547416438502,-2.0702141291915644e-12,9.996161904634974e-09,1.0000079572870649e-08,-7.339488226399543e-13,-8.898751096992006,373.30327589097374,373.3036033790856,-10.34309917621241
8,0.096,48621382927.95307,-722567228.6123347,9756326169.41035,-817585641.6089772,48578990717.062485,18429040440.90585,1.0000378383787993e-08,2.400617915733926e-12,-2.901884817321204e-13,-1.82182275476868e-12,486.23809054991415,-6.825065957817954,-6.832744788760633,97.48754997751377,5.051777585869502e-13,1.1243518656634305e-12,-3.434308665798037e-13,9.998962555214592e-09,97.56792783026236,-7.704947961565583,-7.697904799441102,485.71991760201456,-1.3560562774083897e-12,9.993563711355338e-09,1.0000165302237029e-08,2.355759679273893e-12,-13.602378476471744,368.463015576268,368.4634036999756,-15.300808007914382
9,0.1311,47999049237.74964,-1065030214.787184,9567305456.1241,-1139415134.289508,47978860419.7979,18133139034.340435,1.0000618878183562e-08,2.089636957870821e-13,-1.789006269312972e-13,9.937689933532479e-13,480.0219223623131,-10.063105810507976,-10.071040771218554,95.74527701259038,7.045196098132419e-14,2.1304295009957146e-12,-2.4683227793616505e-13,9.999972202546993e-09,95.66084364816594,-10.696983711292496,-10.68919969417774,479.7990762777855,-1.0419708741293433e-12,9.995685043507122e-09,9.999524219127396e-09,-2.1416333873980976e-12,-20.08356202542124,362.57349684962185,362.5742148537901,-21.566133246701053
10,0.1627,47451723690.39319,-1354199550.036935,9396328346.733383,-1410789271.128154,47487360953.80956,17869040039.30218,1.000019561578601e-08,2.251958570453436e-12,-3.04789800122172e-13,-9.282071383838297e-13,474.5296762212897,-12.7469930501393,-12.75504279351367,93.9226756384589,1.626029637197108e-13,9.073813755508712e-13,8.233792166165772e-14,9.999447108629326e-09,93.96455307301616,-13.2929814765361,-13.285647591631944,474.8372263306045,-1.2721618251566156e-12,9.994830560731869e-09,1.0000585655003633e-08,1.0559411390366801e-12,-25.54414170282302,357.2949555753646,357.29523501718137,-26.536557698653592
11,0.1968,46792902771.21809,-1706802577.7649271,9144277285.53989,-1770569246.1346035,46797155690.32923,17561876553.70757,1.0000500489532573e-08,1.3605741419378408e-12,3.627130783272873e-13,1.7722370887937734e-13,467.965341184139,-16.06430396802658,-16.072634248349566,91.4511335136533,9.970395637280333e-13,1.2548154697133806e-12,1.57681683588443e-13,1.0000457070457595e-08,91.50422264814416,-16.689010982374292,-16.682008306104926,467.9968319488454,-2.3436209119412825e-12,9.995626359766834e-09,1.000049540307958e-08,-1.3537338444822018e-12,-32.24454721593568,351.16438575299,351.1642059070668,-33.39921944431523
12,0.2319,46084025358.99501,-2092108258.90787,8850892650.042027,-2174002120.8997293,46029887348.11821,17209373829.896763,1.0000831258122917e-08,-6.920505721049774e-14,-1.0410112960982058e-12,-3.4657265230928246e-14,460.8824830291216,-19.74333700353241,-19.752106502617945,88.51065542729735,6.83316241984605e-14,4.962611719636508e-13,-1.258171737378101e-13,1.0000613254322918e-08,88.52836788931575,-20.493712898970177,-20.485248014065583,460.3303174699431,-1.6816774762550962e-12,9.997877503641157e-09,1.0001779690981993e-08,-1.7189536984831385e-12,-39.51108063787932,344.1829569132564,344.1830584191497,-41.05816336788967
13,0.2691,45360154100.16769,-2433279144.782708,8630689586.457167,-2516937863.4452715,45289969934.26123,16901215135.188786,1.0001997834366122e-08,9.072109089442872e-13,9.270832665774317e-13,1.7135694372197258e-13,453.7042097539199,-22.91823819403386,-22.92678511874537,86.34957183968986,1.4174092996617236e-12,2.3336271596321345e-12,6.744546002804165e-13,1.0000402336825286e-08,86.3559126451443,-23.68915321109443,-23.68051144050763,452.9185858919288,8.317051751970183e-14,9.996491182606226e-09,1.0002797944391773e-08,3.4242065512818814e-13,-45.858681611239774,338.00073787855547,338.0011621162161,-47.41916486672664
14,0.2983,44883885416.37653,-2685261879.9088125,8478400333.415768,-2765027695.4421544,44786557189.09137,16664647750.821882,1.0001608492449644e-08,1.834408702114227e-12,1.036400860850334e-12,6.430626681435201e-13,448.9174871558359,-25.285885207620133,-25.29444238690176,84.82629019181766,9.948008690197712e-13,2.1420600346905884e-12,1.2503516851996036e-12,1.0000933639724384e-08,84.83547146344625,-26.023810660013183,-26.014664777437524,447.9137032522868,7.871564399947206e-13,9.995740506107882e-09,1.0001775664608696e-08,-3.312866333249211e-13,-50.565634820221646,333.2346357819912,333.2362966636603,-52.11533439687349
