t,bbr,C_1111,C_1112,C_1122,C_1222,C_2222,C_1212,eps_1_xx,eps_1_xy,eps_1_yx,eps_1_yy,sig_1_xx,sig_1_xy,sig_1_yx,sig_1_yy,eps_2_xx,eps_2_xy,eps_2_yx,eps_2_yy,sig_2_xx,sig_2_xy,sig_2_yx,sig_2_yy,eps_3_xx,eps_3_xy,eps_3_yx,eps_3_yy,sig_3_xx,sig_3_xy,sig_3_yx,sig_3_yy
0,0.0,49801343754.045006,-8424156.114816362,10198885034.573706,9432977.949388716,49803480368.53777,19152650000.66017,1.000045309054277e-08,-2.0585815263234845e-13,-4.3576387056064294e-13,-1.186618358536338e-13,498.035420043781,-0.0854771818643521,-0.0954237504715272,101.9869532416004,-5.682683541008069e-14,6.5098867488216e-13,1.489549519572885e-13,9.9995655729526e-09,101.98219318307834,0.0905909464730745,0.1005346675984449,498.0119641963489,3.050312309150889e-13,9.999548926738716e-09,1.0000103333341945e-08,8.373541713962239e-13,-0.1480404910424279,383.0541675489042,383.038537473399,0.219957908224095
1,0.0,49801343754.045006,-8424156.114816362,10198885034.573706,9432977.949388716,49803480368.53777,19152650000.66017,1.000045309054277e-08,-2.0585815263234845e-13,-4.3576387056064294e-13,-1.186618358536338e-13,498.035420043781,-0.0854771818643521,-0.0954237504715272,101.9869532416004,-5.682683541008069e-14,6.5098867488216e-13,1.489549519572885e-13,9.9995655729526e-09,101.98219318307834,0.0905909464730745,0.1005346675984449,498.0119641963489,3.050312309150889e-13,9.999548926738716e-09,1.0000103333341945e-08,8.373541713962239e-13,-0.1480404910424279,383.0541675489042,383.038537473399,0.219957908224095
2,0.0,49801343754.045006,-8424156.114816362,10198885034.573706,9432977.949388716,49803480368.53777,19152650000.66017,1.000045309054277e-08,-2.0585815263234845e-13,-4.3576387056064294e-13,-1.186618358536338e-13,498.035420043781,-0.0854771818643521,-0.0954237504715272,101.9869532416004,-5.682683541008069e-14,6.5098867488216e-13,1.489549519572885e-13,9.9995655729526e-09,101.98219318307834,0.0905909464730745,0.1005346675984449,498.0119641963489,3.050312309150889e-13,9.999548926738716e-09,1.0000103333341945e-08,8.373541713962239e-13,-0.1480404910424279,383.0541675489042,383.038537473399,0.219957908224095
3,0.0,49801343754.045006,-8424156.114816362,10198885034.573706,9432977.949388716,49803480368.53777,19152650000.66017,1.000045309054277e-08,-2.0585815263234845e-13,-4.3576387056064294e-13,-1.186618358536338e-13,498.035420043781,-0.0854771818643521,-0.0954237504715272,101.9869532416004,-5.682683541008069e-14,6.5098867488216e-13,1.489549519572885e-13,9.9995655729526e-09,101.98219318307834,0.0905909464730745,0.1005346675984449,498.0119641963489,3.050312309150889e-13,9.999548926738716e-09,1.0000103333341945e-08,8.373541713962239e-13,-0.1480404910424279,383.0541675489042,383.038537473399,0.219957908224095
4,0.0002,49791181203.62201,-6634696.827029146,10200199707.5312,9045420.243219843,49803415685.17955,19151910990.700417,1.0000406636224452e-08,-2.363456387805144e-13,-4.568685708634536e-13,-1.2415328521826533e-13,497.931991116901,-0.0664008198411059,-0.0763402850500364,101.9959412858981,-6.5735060934135326e-15,5.799625806597242e-13,1.1852159737058902e-13,9.999601940086708e-09,102.0016271268407,0.0862426102078039,0.0961856589719422,498.0130721871597,1.3236612458535944e-13,9.999739468343156e-09,1.0000198148697428e-08,8.292752916409181e-13,-0.1249175984997515,383.0448526464587,383.029218953371,0.2102457984162204
5,0.0068,49564437957.37311,5541051.993203315,10204610363.76678,14130877.00731851,49796854467.658745,19135611902.43296,9.99990179878692e-09,2.7924380686867304e-13,6.1775494102793345e-15,-3.609474972061615e-15,495.63776810533386,0.0585192237013298,0.0480907133318352,102.04253350322988,-1.7115480833083781e-13,-1.399852102386054e-15,-4.8316841199638566e-14,9.999871649771676e-09,102.03866770048394,0.1231513648233688,0.1331315140689047,497.96211968361376,5.059708814487788e-13,9.999822200010593e-09,1.0000161957079944e-08,2.56302820827156e-13,0.1295977132221923,382.71983578604846,382.7040357791082,0.2815639813772491
6,0.0318,48503475558.70788,48394313.45634487,10174203126.871643,21782078.90022241,49758720620.00377,18986983244.14582,9.999873280339802e-09,1.0396637842734441e-13,-1.160898540790866e-13,2.8966658916112984e-13,485.0265292074503,0.4561861448748597,0.4459795516895256,101.75492113848604,-2.0584426491835445e-13,2.426554497640098e-13,-3.144430291944987e-13,9.999848009749911e-09,101.73011799392566,0.1905203981513921,0.200467128290797,497.5825899171765,3.15974697023235e-13,9.999964484002756e-09,1.0000384185932777e-08,-2.8274177744804385e-14,0.9290422799883364,379.75406135562446,379.738504672735,0.4176987198151434
7,0.0741,46709425122.8384,77860758.07721545,10007130015.824202,56303666.68357203,49644475707.48706,18725821577.535133,1.0000026845984584e-08,-1.8959466509388885e-13,-2.057970269796251e-13,7.987954776626935e-14,467.0924567845098,0.725958798793069,0.7162344583615112,100.06963429271477,-3.061259832786384e-13,-1.6002536319979396e-13,-6.333461400580114e-14,9.999457866110256e-09,100.05639219015362,0.5129887312694673,0.5230423445651063,496.41866996986784,2.0558752300879037e-13,9.999923988992404e-09,9.999864195156216e-09,5.229367791875721e-13,1.4784494467846352,374.5203215633235,374.504526701324,1.0865031605506563
8,0.1168,45178234538.76226,52649965.77027543,9860399876.813038,58546113.22827977,49497824071.06696,18435090427.73703,9.999860843819596e-09,1.003353103757374e-13,-4.954059492042885e-13,-9.749382423924657e-14,451.77689810281015,0.4935970517546095,0.4847119542097323,98.59402813602443,8.687576134989254e-14,5.646059086524528e-13,-2.404121689124956e-13,1.000013979575723e-08,98.61382795239876,0.5561897240918513,0.5663385309183575,494.9841719660568,-3.4289295643954417e-13,9.999715057890133e-09,1.000038653655183e-08,-4.851501979643109e-13,0.9800410864462784,368.7116575099384,368.6957018723818,1.0828665024860649
9,0.1666,43419489201.07196,60393303.71565039,9640220077.554218,86844340.42215607,49271847336.38551,18110888067.584885,1.0000119074636014e-08,-1.3951589477932297e-13,-1.186013121995536e-13,1.895740998913832e-13,434.201521230321,0.5741435843610743,0.5648652086076321,96.40116525114998,1.5319752036764362e-13,-7.29539365332319e-13,-9.412799049664078e-14,1.0000168438631928e-08,96.42175245303991,0.7962684635654218,0.8062308089892299,492.7285862254705,-3.044800838584585e-13,9.999850522673274e-09,1.000056535207787e-08,-1.721413493370577e-13,1.1181245116364806,362.23335791001983,362.21706482008926,1.6273739082367953
10,0.2134,41867283392.02125,54012738.42169372,9397589284.455452,104025645.60794216,49000107822.777695,17757502715.252537,1.0000219364508242e-08,-7.157889917880224e-14,-4.510903713239203e-13,-1.148780956692306e-13,418.68145956770087,0.5010560535550255,0.4925978073151169,93.9728244294884,-5.724786300023471e-14,-3.429975636904542e-13,-2.2009024652253563e-13,9.999818890100491e-09,93.97169486312715,0.9607717757247946,0.9701988223218464,489.9911791518927,-4.0236650700012214e-13,1.0000059756917296e-08,1.0000200856349985e-08,5.588806160155279e-13,1.0030244070166623,355.16242162481655,355.14677909851,1.980367016265812
11,0.2572,40550762037.60101,77234095.62152855,9235973873.598576,101078501.58477344,48793778342.842125,17489379824.39038,1.0000187368344344e-08,-2.304239620133656e-13,5.375616441752486e-13,-1.4341099884844325e-14,405.5130367856335,0.7414827285447317,0.7314776211047634,92.35693415902686,-2.3808065833682306e-13,5.845873521994985e-14,-2.5953744764849613e-13,9.999919840249266e-09,92.35136681676444,0.948477093065432,0.9577712099418136,487.9337514291904,2.3730285859212933e-13,9.999223886582948e-09,1.0000129494943835e-08,1.2286766339700538e-13,1.461587564574182,349.7838110241234,349.7687704248182,1.906569786687719
12,0.3106,38329055625.28159,89951097.30614255,8866412635.452549,99366130.0820882,48401011234.24552,17027876171.352846,9.999369031286471e-09,-2.687914844650821e-13,4.2727330304088854e-13,1.3601066173930276e-13,383.2654891334361,0.8569614666995213,0.8466716317912578,88.6559411183182,-9.598658237651025e-14,3.680813368073885e-13,-2.1060218706332682e-13,1.0000117793591641e-08,88.6683359792734,0.9420021227943636,0.9520551083892628,484.0170681244727,-3.745612011700383e-13,9.999193007275544e-09,1.000016052728825e-08,5.127540120347377e-13,1.6832116135572832,340.5561199132937,340.53696737037853,1.885460562354655
13,0.394,28869435107.565403,-88874341.82386145,6712371621.676685,-152287979.5633865,46640477927.65435,15679822413.560291,9.999741359258945e-09,-1.46952973002606e-13,5.981411429105386e-13,5.435317176583432e-13,288.6855609427345,-0.8336630086347283,-0.8415039608248247,67.14539262820603,-1.9308006501834802e-13,-5.931943444692984e-13,-3.439072796393939e-13,9.999657057055076e-09,67.10460632938235,-1.4678427943323462,-1.4585202892575495,466.3923723034969,3.2268451035713013e-13,1.0000386558535814e-08,1.0000484751179113e-08,4.150651187672828e-13,-1.6626139973810452,313.621025413865,313.5993880553531,-2.851551575928876
14,0.4145,27446359869.96548,-199483216.9717421,6335881823.505686,-232074575.7141064,46303184815.14154,15355549791.286163,1.0000294188066796e-08,-2.145731894909057e-13,1.2960509854524208e-13,-5.08343944635676e-13,274.46426003738395,-1.8925439419288992,-1.8999953596295591,63.34999198700759,-1.1549688260424608e-12,-6.962174241617087e-13,-7.471040808291824e-13,1.0001000061496646e-08,63.30836605043479,-2.222676520835554,-2.2130483483404984,463.0750056953951,5.049608758234249e-13,1.0000354381091472e-08,1.0001656244839005e-08,-3.314327507221992e-13,-3.735992688084292,307.15310081469994,307.13130343856943,-4.390527717181593
15,0.4265,26658552834.523407,-284077154.798421,6099881484.0752735,-300520187.73032093,46022922536.03482,15159224907.958551,9.999958039454336e-09,-2.056046387964704e-13,9.826455856932657e-14,-3.8685340893132025e-13,266.58921038143745,-2.659235227232669,-2.66667088341726,60.98116401583151,7.70156805476946e-13,1.6656790908928789e-12,6.01309462680738e-13,1.0000459070412104e-08,61.044202390223184,-2.7830490810103137,-2.773419148775609,460.24794118021936,-3.880558692064546e-13,9.998598196641953e-09,1.0000399415210578e-08,1.8299635318299308e-13,-5.378525624337248,303.1795511994503,303.1578265340824,-5.66428377534027
16,0.4738,19765695854.113503,297233215.6127404,4100954067.2329617,152182566.27467313,44447601161.31045,13660024706.953646,1.0000151365075126e-08,-3.0911253659182933e-13,-2.402134755668273e-13,1.7038850916955469e-13,197.66033486825404,2.8186692584782174,2.8111147070281657,40.99908668666263,9.844514194678669e-14,-1.1386599963481648e-13,6.563237169805403e-13,9.999587813044608e-09,41.026551368355214,1.4383666127431434,1.4479278554520827,444.45833491536285,-6.778304095299351e-14,9.99968985054262e-09,1.000020545862199e-08,-3.835754101966216e-13,5.586062238237336,273.2092425474865,273.1887344212385,2.861644538413204
17,0.4938,17004210729.21106,289787785.9631314,3344784949.477504,-29827081.63395394,43934421290.58781,13001328191.943144,1.0000330418153982e-08,-5.87004658923279e-13,1.6396840157283033e-13,-7.574379638922523e-13,170.04956143599767,2.723066826285553,2.7177762822998948,33.435195967035646,5.707074855638427e-13,-1.2316439558842334e-13,3.846860712408465e-13,9.99922351220999e-09,33.47155183817181,-0.2900595646462061,-0.2802002384577381,439.3075289461583,-2.694810377542851e-13,1.0000096782296622e-08,1.0000916912982111e-08,1.2455199345973856e-12,5.466135552714641,260.05042649220474,260.02881395324016,-0.5214693416166575
18,0.531,6975317473.003047,454225073.9930585,974312048.9675173,-472042872.77560425,42256591044.19186,9902908373.69505,1.000043045060424e-08,-2.8952285337621324e-13,4.1670513585168053e-13,-2.880000868148e-13,69.75646402667464,4.280972798197164,4.278683018580576,9.739122088921468,2.250922072333028e-13,-2.7658437879206095e-13,3.279889255017186e-13,9.998684291775773e-09,9.754207484122672,-4.466227095012238,-4.455918331927869,422.5094917753737,1.5771142298182e-13,1.0001553364188338e-08,1.0000167980222418e-08,1.2117989486225205e-12,8.57172651539811,198.0857895210584,198.06470133766524,-8.86462839997958
19,0.5326,6743412369.018078,439194069.9258497,929744393.8545104,-424302153.5146504,42219014241.11557,9737232234.425304,1.0000547079518033e-08,-1.3682893995554925e-12,-1.281958044184499e-12,-1.3606692091667817e-12,67.43818825320491,4.124505026090943,4.1221932595891,9.25911168272208,-3.7322293342954806e-15,8.903948869789919e-13,5.86288053262911e-13,9.999818404651774e-09,9.326180250457115,-3.974529077916855,-3.964198336419386,422.1814370391227,9.169230142114357e-13,9.99853862838078e-09,1.0001273850761068e-08,-5.760731837008469e-13,8.308957948468523,194.7517741123047,194.730484567133,-8.013941274240638
20,0.5362,6341539724.417305,135444626.2174162,887216468.5509229,-373721992.0135495,42173680431.96843,9027680945.368208,1.0000173718764441e-08,4.1392004836189215e-14,-5.95764498130108e-13,1.1635972075466182e-13,63.41619699499594,1.2824679737425886,1.280083051189911,8.875867961971025,-5.499597270846223e-13,6.124293430591887e-13,1.603983147562122e-13,1.0000526049173637e-08,8.845791538295112,-3.498311896434633,-3.4879539577187817,421.75998344921527,1.451697532926195e-12,9.99965204796622e-09,1.0001726041374214e-08,-2.537791854706655e-12,2.5749941144134705,180.57687899457707,180.5545537151559,-7.107674968611182
21,0.5372,6141130074.84138,46659196.10755586,867163336.9216305,-370539812.33135504,42129804167.09526,8724328416.829197,1.0001051409728808e-08,1.4006826289235286e-12,1.2900844002586477e-13,7.189045232405842e-13,61.41790371357324,0.4454149990079861,0.4431414098011555,8.679275587595885,1.3122959187229216e-13,1.016155803210888e-13,2.904303763852389e-13,1.0000036418513482e-08,8.674562652269836,-3.4898501200924588,-3.479444218114199,421.3006634902292,7.346490719990649e-13,9.999734734379036e-09,1.0000414320933081e-08,-1.3291400542639613e-12,0.8931330006219725,174.49916823818774,174.4764299919137,-7.010059888438164
22,0.539,4763678062.186631,-581658778.1536832,624937232.3547838,-291476531.94454926,42049591884.85508,7444757532.856684,1.0000308433618873e-08,8.828953322036932e-13,-3.81351770596488e-14,1.4725246277218737e-13,47.63895626551809,-5.478856547979763,-5.481345361502525,6.256068542691723,2.388040289703445e-13,7.347487011575087e-13,1.1187982587687853e-13,9.999707824095787e-09,6.254147456619957,-2.712984558082061,-2.702639148538562,420.4839444377682,-1.0159997153782613e-12,9.998603919531688e-09,1.000206933549084e-08,-8.053743982396829e-13,-10.985199239848408,148.9107152887298,148.8882165931728,-5.530409214549702
23,0.541,4073441875.5533295,-354537323.58078253,477453208.2405664,-184056744.7964916,41953581405.99349,7216563778.059968,9.999964229792257e-09,1.472775710667267e-13,3.3628088619159754e-13,9.684312672288448e-13,40.734150077083136,-3.3403436876986685,-3.34253471727922,4.779457686866797,5.478484457616026e-14,5.526062948286186e-13,4.2156156791612093e-13,9.999608147444632e-09,4.775811927056409,-1.7336255960154774,-1.7231364514884506,419.5199646131044,4.4613609344238274e-13,9.998730865988114e-09,1.0000616327761031e-08,-7.31165877215911e-13,-6.678619924636803,144.33785730928196,144.31461175302778,-3.4679874046449632
24,0.5419,3971906150.458725,-480617670.2240774,494650369.99216014,-135240879.71740896,41934150920.86859,6689574697.231008,1.0000787632707998e-08,7.618401329065927e-13,-1.1262081987532689e-13,-4.249059280693165e-13,39.72245552692856,-4.5209414259060745,-4.523034863188612,4.941337030812404,3.424409888991538e-13,-5.897748312780706e-14,1.4143573334059745e-13,9.999386732631564e-09,4.964557257574805,-1.2899257182182675,-1.2795054271643551,419.31561062665065,-2.1301406647288165e-13,1.0000705101141041e-08,1.0001335499481646e-08,-2.221843363039748e-13,-9.07473552325845,133.81632558044885,133.79335396326687,-2.5411473394862893
25,0.5478,1864933499.3839283,88154481.13926953,125609838.0584154,83537989.62352002,41626832065.80808,5062576664.575068,1.0000946960123252e-08,2.888461026623991e-13,8.265331572473562e-14,-3.6620564299192994e-13,18.650986538985592,0.8270654891066498,0.8266919205288912,1.2605650694826067,6.286075451646733e-13,-3.831189569625145e-13,8.44165523772961e-14,9.999423576621385e-09,1.2769220093288027,0.7872463381707855,0.7974762218706681,416.24422972850095,-2.3445956901726984e-12,1.00015294843213e-08,1.0001511077493002e-08,-6.317935547899058e-13,1.643476564926156,101.27893658049446,101.25493135621156,1.5578292529088038
